actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,stealPlayerName,stealPersonId
18,PT10M14.00S,2021-02-27T00:47:15.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,6,2021-02-27T00:47:18Z,180000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT10M06.00S,2021-02-27T00:47:24.4Z,1,REGULAR,3pt,Jump Shot,[],1626167,23.209592641261498,85.36305147058823,1610612754,0,9,2021-02-27T00:47:29Z,190000,-177.0,166.0,1,left,M. Turner 24' 3PT  (6 PTS) (J. Holiday 1 AST),"[1626167, 203200]",1610612754.0,IND,,,,Turner,M. Turner,,,,,24.23,Made,,,,,,,,6.0,J. Holiday,203200.0,1.0,,,,,,,,
21,PT09M50.00S,2021-02-27T00:47:39.9Z,1,REGULAR,2pt,Jump Shot,[],202689,76.5604467805519,44.43167892156863,1610612738,0,9,2021-02-27T00:47:45Z,210000,-28.0,168.0,1,right,MISS K. Walker 17' driving floating Shot,[202689],1610612738.0,BOS,driving floating,,,Walker,K. Walker,,,,,17.01,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M48.00S,2021-02-27T00:47:41.9Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,0,9,2021-02-27T00:47:45Z,220000,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT09M44.00S,2021-02-27T00:47:47.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626167,7.5722733245729295,47.86305147058824,1610612754,0,11,2021-02-27T00:47:57Z,230000,11.0,19.0,1,left,M. Turner running Layup (8 PTS) (M. Brogdon 2 AST),"[1626167, 1627763]",1610612754.0,IND,running,,,Turner,M. Turner,,,,,2.15,Made,,,,,,,,8.0,M. Brogdon,1627763.0,2.0,,,,,,,,
25,PT09M44.00S,2021-02-27T00:47:51.6Z,1,REGULAR,foul,personal,['1freethrow'],1627759,,,1610612754,0,11,2021-02-27T00:51:15Z,250000,,,0,,J. Brown personal FOUL (1 PF) (Turner 1 FT),"[1627759, 1626167]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Turner,1626167.0,,,
27,PT09M44.00S,2021-02-27T00:48:14.2Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1626167,,,1610612754,0,12,2021-02-27T00:48:14Z,270000,,,0,,M. Turner Free Throw 1 of 1 (9 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,Made,,,,,,,,9.0,,,,,,,,,,,
28,PT09M34.00S,2021-02-27T00:48:26.5Z,1,REGULAR,2pt,Jump Shot,[],1627759,76.03482260183968,44.921875,1610612738,2,12,2021-02-27T00:49:39Z,280000,-25.0,173.0,1,right,J. Brown 17' pullup Jump Shot (2 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,17.47,Made,,,,,,,,2.0,K. Walker,202689.0,1.0,,,,,,,,
29,PT09M20.00S,2021-02-27T00:48:40.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203926,15.062417871222076,34.38265931372549,1610612754,2,12,2021-02-27T00:48:46Z,290000,78.0,89.0,1,left,MISS D. McDermott 11' Jump Shot,[203926],1610612754.0,IND,,,,McDermott,D. McDermott,,,,,11.85,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M19.00S,2021-02-27T00:48:41.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,12,2021-02-27T00:48:46Z,300000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,
31,PT09M19.00S,2021-02-27T00:48:45.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,2,12,2021-02-27T00:48:45Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M14.00S,2021-02-27T00:48:57.7Z,1,REGULAR,foul,personal,[],203926,,,1610612738,2,12,2021-02-27T00:49:07Z,320000,,,0,,D. McDermott personal FOUL (1 PF),"[203926, 1627759]",1610612754.0,IND,,,,McDermott,D. McDermott,,,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Brown,1627759.0,,,
34,PT09M05.00S,2021-02-27T00:49:24.9Z,1,REGULAR,2pt,Jump Shot,[],1628369,86.02168199737189,26.53952205882353,1610612738,2,12,2021-02-27T00:52:47Z,340000,-117.0,79.0,1,right,MISS J. Tatum 14' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,14.14,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M02.00S,2021-02-27T00:49:27.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,12,2021-02-27T00:49:27Z,350000,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,
36,PT08M54.00S,2021-02-27T00:49:37.5Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612754,2,12,2021-02-27T00:52:09Z,360000,,,0,,D. Sabonis flagrant-type-1 personal FOUL (1 PF) (Theis 2 FT),"[1627734, 1628464]",1610612754.0,IND,flagrant-type-1,,,Sabonis,D. Sabonis,,,,,,,,,,,,,1626302.0,,,,,,1.0,0.0,Theis,1628464.0,,,
39,PT08M54.00S,2021-02-27T00:49:37.5Z,1,REGULAR,turnover,,[],1627734,,,1610612754,2,12,2021-02-27T00:52:02Z,380000,,,0,,D. Sabonis TURNOVER (1 TO),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,1626302.0,,,,,1.0,,,,,,,
40,PT08M54.00S,2021-02-27T00:49:57.8Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,2,12,2021-02-27T00:51:18Z,390000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,,,2715.0,,,,,,,,,,Common Foul to Flagrant 1,,
42,PT08M54.00S,2021-02-27T00:52:10.4Z,1,REGULAR,freethrow,1 of 2,[],1628464,,,1610612738,3,12,2021-02-27T00:52:21Z,400000,,,0,,D. Theis flagrant Free Throw 1 of 2 (1 PTS),[1628464],1610612738.0,BOS,flagrant,,,Theis,D. Theis,,,,,,Made,,,,,,,,1.0,,,,,,,,,,,
43,PT08M54.00S,2021-02-27T00:52:10.4Z,1,REGULAR,freethrow,2 of 2,[],1628464,,,1610612738,3,12,2021-02-27T00:52:21Z,410000,,,0,,MISS D. Theis flagrant Free Throw 2 of 2,[1628464],1610612738.0,BOS,flagrant,,,Theis,D. Theis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M54.00S,2021-02-27T00:52:10.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,3,12,2021-02-27T00:52:21Z,420000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,
45,PT08M44.00S,2021-02-27T00:52:37.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628464,88.91261498028909,2.7650122549019605,1610612738,3,12,2021-02-27T00:52:43Z,430000,-236.0,52.0,1,right,MISS D. Theis 24' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,24.18,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M40.00S,2021-02-27T00:52:41.2Z,1,REGULAR,rebound,defensive,[],203200,,,1610612754,3,12,2021-02-27T00:52:43Z,440000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,
47,PT08M31.00S,2021-02-27T00:52:49.3Z,1,REGULAR,2pt,Jump Shot,[],1627763,21.107095926412615,66.73560049019608,1610612754,3,12,2021-02-27T00:52:55Z,450000,-84.0,146.0,1,left,MISS M. Brogdon 16' pullup Shot,[1627763],1610612754.0,IND,pullup,,,Brogdon,M. Brogdon,,,,,16.82,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M29.00S,2021-02-27T00:52:51.3Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,3,12,2021-02-27T00:52:55Z,460000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,
49,PT08M21.00S,2021-02-27T00:52:59.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,89.30683311432325,95.90226715686273,1610612738,3,12,2021-02-27T00:53:03Z,470000,230.0,48.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.45,Missed,,,,,,,,,,,,,,,,,,,
51,PT08M19.00S,2021-02-27T00:53:01.3Z,1,REGULAR,rebound,defensive,[],203926,,,1610612754,3,12,2021-02-27T00:53:03Z,480000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612754.0,IND,,,,McDermott,D. McDermott,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,
52,PT08M08.00S,2021-02-27T00:53:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,7.440867279894875,56.44148284313726,1610612754,3,12,2021-02-27T00:53:17Z,490000,-32.0,17.0,1,left,MISS M. Brogdon Layup - blocked,"[1627763, 1628464]",1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,3.66,Missed,Theis,1628464.0,,,,,,,,,,,,,,,,,
53,PT08M08.00S,2021-02-27T00:53:12.6Z,1,REGULAR,block,,[],1628464,,,1610612754,3,12,2021-02-27T00:53:15Z,500000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M05.00S,2021-02-27T00:53:15.6Z,1,REGULAR,rebound,offensive,[],1627763,,,1610612754,3,12,2021-02-27T00:53:17Z,510000,,,0,,M. Brogdon REBOUND (Off:1 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,,
55,PT08M04.00S,2021-02-27T00:53:16.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627763,5.781865965834428,44.0640318627451,1610612754,3,12,2021-02-27T00:53:32Z,520000,30.0,2.0,1,left,MISS M. Brogdon putback Layup,[1627763],1610612754.0,IND,putback,,,Brogdon,M. Brogdon,,,,,2.98,Missed,,,,,,,,,,,,,,,,,,,
56,PT08M03.00S,2021-02-27T00:53:17.5Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,3,12,2021-02-27T00:53:22Z,530000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,
57,PT08M00.00S,2021-02-27T00:53:24.5Z,1,REGULAR,foul,personal,['2freethrow'],1627763,,,1610612738,3,12,2021-02-27T00:53:34Z,540000,,,0,,M. Brogdon shooting personal FOUL (1 PF) (Brown 2 FT),"[1627763, 1627759]",1610612754.0,IND,shooting,,,Brogdon,M. Brogdon,,,,,,,,,,,,,1626302.0,,,,,,1.0,0.0,Brown,1627759.0,,,
59,PT08M00.00S,2021-02-27T00:53:48.6Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,4,12,2021-02-27T00:54:06Z,560000,,,0,,J. Brown Free Throw 1 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,,,,3.0,,,,,,,,,,,
60,PT08M00.00S,2021-02-27T00:53:48.6Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,4,12,2021-02-27T00:54:06Z,570000,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
61,PT08M00.00S,2021-02-27T00:53:48.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,4,12,2021-02-27T00:54:21Z,580000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,
62,PT07M37.00S,2021-02-27T00:54:26.0Z,1,REGULAR,3pt,Jump Shot,[],1627763,28.07161629434954,77.76501225490196,1610612754,4,15,2021-02-27T00:54:31Z,590000,-139.0,211.0,1,left,M. Brogdon 25' 3PT  (3 PTS) (M. Turner 1 AST),"[1627763, 1626167]",1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,25.29,Made,,,,,,,,3.0,M. Turner,1626167.0,1.0,,,,,,,,
64,PT07M16.00S,2021-02-27T00:54:46.8Z,1,REGULAR,2pt,Jump Shot,[],1628369,75.24638633377135,53.74540441176471,1610612738,4,15,2021-02-27T00:54:55Z,610000,19.0,180.0,1,right,MISS J. Tatum 18' step back Shot,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,18.12,Missed,,,,,,,,,,,,,,,,,,,
65,PT07M12.00S,2021-02-27T00:54:50.8Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,4,15,2021-02-27T00:54:55Z,620000,,,0,,M. Brogdon REBOUND (Off:1 Def:2),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,64.0,3.0,2.0,1.0,,,,,,,,,,,,,
66,PT07M05.00S,2021-02-27T00:54:57.9Z,1,REGULAR,3pt,Jump Shot,[],203200,5.469776609724048,96.14736519607843,1610612754,4,18,2021-02-27T00:55:03Z,630000,-231.0,-1.0,1,left,J. Holiday 3PT  (3 PTS) (D. Sabonis 2 AST),"[203200, 1627734]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,23.07,Made,,,,,,,,3.0,D. Sabonis,1627734.0,2.0,,,,,,,,
68,PT07M02.00S,2021-02-27T00:55:04.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,4,18,2021-02-27T00:55:04Z,650000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M48.00S,2021-02-27T00:58:41.0Z,1,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612738,4,18,2021-02-27T00:58:49Z,660000,,,0,,M. Turner shooting personal FOUL (1 PF) (Walker 2 FT),"[1626167, 202689]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Walker,202689.0,,,
71,PT06M48.00S,2021-02-27T00:59:07.2Z,1,REGULAR,freethrow,1 of 2,[],202689,,,1610612738,5,18,2021-02-27T00:59:07Z,680000,,,0,,K. Walker Free Throw 1 of 2 (1 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,,,,1.0,,,,,,,,,,,
72,PT06M48.00S,2021-02-27T00:59:08.3Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,5,18,2021-02-27T00:59:16Z,690000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M48.00S,2021-02-27T00:59:08.3Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,5,18,2021-02-27T00:59:16Z,700000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M48.00S,2021-02-27T00:59:28.6Z,1,REGULAR,freethrow,2 of 2,[],202689,,,1610612738,6,18,2021-02-27T00:59:28Z,710000,,,0,,K. Walker Free Throw 2 of 2 (2 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,,,,2.0,,,,,,,,,,,
75,PT06M35.00S,2021-02-27T00:59:44.0Z,1,REGULAR,3pt,Jump Shot,[],203926,26.62614980289093,18.696384803921568,1610612754,6,18,2021-02-27T00:59:49Z,720000,157.0,198.0,1,left,MISS D. McDermott 25' pullup 3PT,[203926],1610612754.0,IND,pullup,,,McDermott,D. McDermott,,,,,25.22,Missed,,,,,,,,,,,,,,,,,,,
76,PT06M31.00S,2021-02-27T00:59:48.0Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,6,18,2021-02-27T00:59:49Z,730000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,,,,,,
77,PT06M23.00S,2021-02-27T00:59:55.5Z,1,REGULAR,3pt,Jump Shot,[],202689,65.78515111695138,39.28462009803921,1610612738,9,18,2021-02-27T00:59:59Z,740000,-54.0,269.0,1,right,K. Walker 27' 3PT pullup (5 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,27.44,Made,,,,,,,,5.0,,,,,,,,,,,
85,PT05M57.00S,2021-02-27T01:00:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,14.71747700394218,45.68014705882353,1610612754,9,18,2021-02-27T01:04:31Z,750000,22.0,86.0,1,left,MISS D. Sabonis 8' driving finger roll Layup - blocked,"[1627734, 1628464]",1610612754.0,IND,driving finger roll,,,Sabonis,D. Sabonis,,,,,8.85,Missed,Theis,1628464.0,,,,,,,,,,,,,,,,,
86,PT05M57.00S,2021-02-27T01:00:12.1Z,1,REGULAR,block,,[],1628464,,,1610612754,9,18,2021-02-27T01:01:36Z,755000,,,0,,D. Theis BLOCK (2 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M55.00S,2021-02-27T01:00:14.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,9,18,2021-02-27T01:04:31Z,757500,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,
79,PT05M55.00S,2021-02-27T01:00:28.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612754,9,18,2021-02-27T01:01:00Z,760000,,,0,,IND shot clock Team TURNOVER,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,2715.0,,,,,,,,,,,,
80,PT05M43.00S,2021-02-27T01:00:57.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627734,,,1610612738,9,18,2021-02-27T01:01:09Z,770000,,,0,,D. Sabonis shooting personal FOUL (2 PF) (Theis 2 FT),"[1627734, 1628464]",1610612754.0,IND,shooting,,,Sabonis,D. Sabonis,,,,,,,,,,,,,1626302.0,,,,,,2.0,0.0,Theis,1628464.0,,,
82,PT05M43.00S,2021-02-27T01:01:19.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628464,,,1610612738,10,18,2021-02-27T01:01:19Z,790000,,,0,,D. Theis Free Throw 1 of 2 (2 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,,,,,,,,2.0,,,,,,,,,,,
83,PT05M43.00S,2021-02-27T01:01:20.0Z,1,REGULAR,substitution,out,[],203926,,,1610612738,10,18,2021-02-27T01:01:24Z,800000,,,0,,SUB out: D. McDermott,[203926],1610612754.0,IND,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M43.00S,2021-02-27T01:01:20.0Z,1,REGULAR,substitution,in,[],204456,,,1610612738,10,18,2021-02-27T01:01:24Z,810000,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M43.00S,2021-02-27T01:01:40.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628464,,,1610612738,11,18,2021-02-27T01:01:40Z,820000,,,0,,D. Theis Free Throw 2 of 2 (3 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,,,,,,,,3.0,,,,,,,,,,,
89,PT05M26.00S,2021-02-27T01:01:59.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204456,7.178055190538765,45.41207107843137,1610612754,11,20,2021-02-27T01:02:16Z,830000,23.0,15.0,1,left,T. McConnell Layup (2 PTS) (D. Sabonis 3 AST),"[204456, 1627734]",1610612754.0,IND,,,,McConnell,T. McConnell,,,,,2.74,Made,,,,,,,,2.0,D. Sabonis,1627734.0,3.0,,,,,,,,
91,PT05M14.00S,2021-02-27T01:02:10.7Z,1,REGULAR,3pt,Jump Shot,[],202689,66.70499342969777,34.872855392156865,1610612738,14,20,2021-02-27T01:04:44Z,850000,-76.0,260.0,1,right,K. Walker 27' 3PT pullup (8 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,27.12,Made,,,,,,,,8.0,,,,,,,,,,,
92,PT05M02.00S,2021-02-27T01:02:22.8Z,1,REGULAR,turnover,bad pass,[],204456,,,1610612754,14,20,2021-02-27T01:02:28Z,860000,,,0,,T. McConnell bad pass TURNOVER (1 TO),"[204456, 202689]",1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,1.0,,,,,,Walker,202689.0
93,PT05M02.00S,2021-02-27T01:02:22.8Z,1,REGULAR,steal,,[],202689,,,1610612738,14,20,2021-02-27T01:02:25Z,870000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M00.00S,2021-02-27T01:02:30.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",204456,,,1610612738,14,20,2021-02-27T01:02:38Z,880000,,,0,,T. McConnell personal FOUL (1 PF) (Walker 2 FT),"[204456, 202689]",1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,200834.0,,,,,,1.0,0.0,Walker,202689.0,,,
96,PT05M00.00S,2021-02-27T01:03:01.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202689,,,1610612738,15,20,2021-02-27T01:03:01Z,900000,,,0,,K. Walker Free Throw 1 of 2 (9 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,,,,9.0,,,,,,,,,,,
