actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
81,PT06M10.00S,2020-12-19T01:21:19.3Z,1,REGULAR,block,,[],203925,,,1610612738,11,16,2020-12-19T01:21:21Z,800000,,,0,,J. Harris BLOCK (1 BLK),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M10.00S,2020-12-19T01:21:19.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,11,16,2020-12-19T01:21:29Z,810000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,
83,PT06M10.00S,2020-12-19T01:21:26.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,11,16,2020-12-19T01:21:26Z,820000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M03.00S,2020-12-19T01:21:42.5Z,1,REGULAR,foul,offensive,[],1629057,,,1610612738,11,16,2020-12-19T01:23:05Z,830000,,,0,,R. Williams III charge offensive FOUL (1 PF),"[1629057, 201142]",1610612738.0,BOS,charge,,,Williams III,R. Williams III,,,,,,,,,,,,,,,1628954.0,1.0,0.0,Durant,201142.0,,,,,,
86,PT06M03.00S,2020-12-19T01:21:42.5Z,1,REGULAR,turnover,offensive foul,[],1629057,,,1610612738,11,16,2020-12-19T01:23:05Z,850000,,,0,,R. Williams III offensive foul TURNOVER (1 TO),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1.0,,,,,,,,,,1628954.0,,,,,,,,,,
87,PT05M53.00S,2020-12-19T01:22:06.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202681,5.995400788436268,49.333639705882355,1610612751,11,18,2020-12-19T01:22:12Z,860000,3.0,4.0,1,left,K. Irving cutting Layup (6 PTS) (D. Jordan 1 AST),"[202681, 201599]",1610612751.0,BKN,cutting,,,Irving,K. Irving,,,,,,,,0.51,Made,,,,,6.0,,,,,,D. Jordan,201599.0,1.0,,,
89,PT05M39.00S,2020-12-19T01:22:20.5Z,1,REGULAR,turnover,bad pass,[],1629057,,,1610612738,11,18,2020-12-19T01:22:30Z,880000,,,0,,R. Williams III bad pass TURNOVER (2 TO),"[1629057, 201599]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,2.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,
90,PT05M39.00S,2020-12-19T01:22:20.5Z,1,REGULAR,steal,,[],201599,,,1610612751,11,18,2020-12-19T01:22:25Z,890000,,,0,,D. Jordan STEAL (1 STL),[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M32.00S,2020-12-19T01:22:26.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203915,6.521024967148489,50.314031862745104,1610612751,11,20,2020-12-19T01:22:41Z,900000,-2.0,9.0,1,left,S. Dinwiddie Layup (2 PTS) (D. Jordan 2 AST),"[203915, 201599]",1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,,,,0.89,Made,,,,,2.0,,,,,,D. Jordan,201599.0,2.0,,,
93,PT05M15.00S,2020-12-19T01:22:44.4Z,1,REGULAR,2pt,Jump Shot,[],1629684,88.51839684625493,7.176776960784313,1610612738,11,20,2020-12-19T01:22:57Z,920000,-214.0,55.0,1,right,MISS G. Williams 22' Jump Shot,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,22.12,Missed,,,,,,,,,,,,,,,,
94,PT05M12.00S,2020-12-19T01:22:47.4Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,11,20,2020-12-19T01:22:57Z,930000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,93.0,1.0,1.0,0.0,,,,,,,,,,,,
95,PT05M09.00S,2020-12-19T01:22:53.1Z,1,REGULAR,foul,personal,[],1629684,,,1610612751,11,20,2020-12-19T01:29:52Z,940000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 203925]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,1628954.0,1.0,0.0,Harris,203925.0,,,,,,
97,PT05M09.00S,2020-12-19T01:23:13.8Z,1,REGULAR,substitution,out,[],201599,,,1610612751,11,20,2020-12-19T01:23:27Z,960000,,,0,,SUB out: D. Jordan,[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M09.00S,2020-12-19T01:23:13.8Z,1,REGULAR,substitution,out,[],201142,,,1610612751,11,20,2020-12-19T01:23:27Z,970000,,,0,,SUB out: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT05M09.00S,2020-12-19T01:23:13.8Z,1,REGULAR,substitution,out,[],203915,,,1610612751,11,20,2020-12-19T01:23:27Z,980000,,,0,,SUB out: S. Dinwiddie,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT05M09.00S,2020-12-19T01:23:13.8Z,1,REGULAR,substitution,in,[],201145,,,1610612751,11,20,2020-12-19T01:23:27Z,990000,,,0,,SUB in: J. Green,[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT05M09.00S,2020-12-19T01:23:13.8Z,1,REGULAR,substitution,in,[],1627747,,,1610612751,11,20,2020-12-19T01:23:27Z,1000000,,,0,,SUB in: C. LeVert,[1627747],1610612751.0,BKN,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT05M09.00S,2020-12-19T01:23:13.8Z,1,REGULAR,substitution,in,[],1628386,,,1610612751,11,20,2020-12-19T01:23:27Z,1010000,,,0,,SUB in: J. Allen,[1628386],1610612751.0,BKN,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT05M00.00S,2020-12-19T01:23:40.1Z,1,REGULAR,2pt,Jump Shot,[],202681,23.73521681997372,25.80422794117647,1610612751,11,20,2020-12-19T01:23:45Z,1020000,121.0,171.0,1,left,MISS K. Irving 20' Jump Shot,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,20.92,Missed,,,,,,,,,,,,,,,,
104,PT04M57.00S,2020-12-19T01:23:43.1Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612751,11,20,2020-12-19T01:23:45Z,1030000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612751.0,BKN,,,,Allen,J. Allen,,,,,,,,,,103.0,1.0,0.0,1.0,,,,,,,,,,,,
105,PT04M56.00S,2020-12-19T01:23:43.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,5.075558475689881,50.06893382352941,1610612751,11,22,2020-12-19T01:23:49Z,1040000,0.0,-5.0,1,left,J. Allen putback Layup (2 PTS),[1628386],1610612751.0,BKN,putback,,,Allen,J. Allen,,,,,,,,0.48,Made,,,,,2.0,,,,,,,,,,,
106,PT04M37.00S,2020-12-19T01:24:02.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,91.27792378449409,49.57873774509804,1610612738,13,22,2020-12-19T01:24:07Z,1050000,-2.0,29.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (M. Smart 2 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,2.96,Made,,,,,2.0,,,,,,M. Smart,203935.0,2.0,,,
108,PT04M25.00S,2020-12-19T01:24:17.3Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612751,13,22,2020-12-19T01:24:27Z,1070000,,,0,,R. Williams III shooting personal FOUL (2 PF) (Allen 2 FT),"[1629057, 1628386]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,202041.0,2.0,0.0,Allen,1628386.0,,,,,,
110,PT04M25.00S,2020-12-19T01:24:41.1Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612751,13,22,2020-12-19T01:24:41Z,1090000,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612751.0,BKN,,,,Allen,J. Allen,,,,,,,,,Missed,,,,,,,,,,,,,,,,
111,PT04M25.00S,2020-12-19T01:24:41.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,13,22,2020-12-19T01:24:41Z,1100000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,
112,PT04M25.00S,2020-12-19T01:24:42.8Z,1,REGULAR,substitution,out,[],202681,,,1610612751,13,22,2020-12-19T01:24:54Z,1110000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M25.00S,2020-12-19T01:24:42.8Z,1,REGULAR,substitution,out,[],203925,,,1610612751,13,22,2020-12-19T01:24:54Z,1120000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M25.00S,2020-12-19T01:24:42.8Z,1,REGULAR,substitution,in,[],1629013,,,1610612751,13,22,2020-12-19T01:24:54Z,1130000,,,0,,SUB in: L. Shamet,[1629013],1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M25.00S,2020-12-19T01:24:42.8Z,1,REGULAR,substitution,in,[],1627752,,,1610612751,13,22,2020-12-19T01:24:54Z,1140000,,,0,,SUB in: T. Prince,[1627752],1610612751.0,BKN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT04M25.00S,2020-12-19T01:24:58.5Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612751,13,23,2020-12-19T01:24:58Z,1150000,,,0,,J. Allen Free Throw 2 of 2 (3 PTS),[1628386],1610612751.0,BKN,,,,Allen,J. Allen,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
117,PT04M13.00S,2020-12-19T01:25:12.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627759,88.12417871222075,57.666973039215684,1610612738,15,23,2020-12-19T01:25:19Z,1160000,38.0,59.0,1,right,J. Brown 7' driving Hook (6 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,7.04,Made,,,,,6.0,,,,,,,,,,,
118,PT04M05.00S,2020-12-19T01:25:20.5Z,1,REGULAR,3pt,Jump Shot,[],1627747,30.962549277266753,62.32383578431373,1610612751,15,26,2020-12-19T01:25:27Z,1170000,-62.0,239.0,1,left,C. LeVert 24' 3PT step back (3 PTS),[1627747],1610612751.0,BKN,step back,,,LeVert,C. LeVert,,,,,,,,24.63,Made,,,,,3.0,,,,,,,,,,,
119,PT03M47.00S,2020-12-19T01:25:38.8Z,1,REGULAR,3pt,Jump Shot,[],203935,92.9862023653088,4.4806985294117645,1610612738,15,26,2020-12-19T01:25:43Z,1180000,-228.0,13.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,22.8,Missed,,,,,,,,,,,,,,,,
120,PT03M45.00S,2020-12-19T01:25:40.8Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612751,15,26,2020-12-19T01:25:43Z,1190000,,,0,,L. Shamet REBOUND (Off:0 Def:1),[1629013],1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,,,119.0,1.0,1.0,0.0,,,,,,,,,,,,
121,PT03M28.00S,2020-12-19T01:25:57.6Z,1,REGULAR,2pt,Jump Shot,[],1627747,12.040078843626807,31.196384803921568,1610612751,15,26,2020-12-19T01:26:04Z,1200000,94.0,61.0,1,left,MISS C. LeVert 11' driving bank Shot,[1627747],1610612751.0,BKN,driving bank,,,LeVert,C. LeVert,,,,,,,,11.19,Missed,,,,,,,,,,,,,,,,
122,PT03M28.00S,2020-12-19T01:25:57.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,15,26,2020-12-19T01:26:04Z,1210000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,
123,PT03M28.00S,2020-12-19T01:26:03.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612751,15,26,2020-12-19T01:26:14Z,1220000,,,0,,J. Brown loose ball personal FOUL (1 PF) (Allen 2 FT),"[1627759, 1628386]",1610612738.0,BOS,loose ball,,,Brown,J. Brown,,,,,,,,,,,,,,,1626301.0,1.0,0.0,Allen,1628386.0,,,,,,
125,PT03M28.00S,2020-12-19T01:26:24.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628386,,,1610612751,15,27,2020-12-19T01:26:24Z,1240000,,,0,,J. Allen Free Throw 1 of 2 (4 PTS),[1628386],1610612751.0,BKN,,,,Allen,J. Allen,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,
126,PT03M28.00S,2020-12-19T01:26:25.2Z,1,REGULAR,substitution,out,[],203935,,,1610612751,15,27,2020-12-19T01:26:29Z,1250000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M28.00S,2020-12-19T01:26:25.2Z,1,REGULAR,substitution,in,[],1630202,,,1610612751,15,27,2020-12-19T01:26:29Z,1260000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M28.00S,2020-12-19T01:26:43.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628386,,,1610612751,15,28,2020-12-19T01:26:43Z,1270000,,,0,,J. Allen Free Throw 2 of 2 (5 PTS),[1628386],1610612751.0,BKN,,,,Allen,J. Allen,,,,,,,,,Made,,,,,5.0,,,,,,,,,,,
129,PT03M15.00S,2020-12-19T01:26:59.3Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,15,28,2020-12-19T01:27:08Z,1280000,,,0,,R. Williams III bad pass out-of-bounds TURNOVER (3 TO),[1629057],1610612738.0,BOS,bad pass,,,Williams III,R. Williams III,,,,,3.0,,,,,,,,,,202041.0,,,,,,,,,,
130,PT03M05.00S,2020-12-19T01:27:15.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201145,30.305519053876477,62.32383578431373,1610612751,15,31,2020-12-19T01:27:25Z,1290000,-62.0,232.0,1,left,J. Green 24' 3PT  (3 PTS) (J. Allen 1 AST),"[201145, 1628386]",1610612751.0,BKN,,,,Green,J. Green,,,,,,,,24.04,Made,,,,,3.0,,,,,,J. Allen,1628386.0,1.0,,,
132,PT02M49.00S,2020-12-19T01:27:30.7Z,1,REGULAR,3pt,Jump Shot,[],1630202,91.80354796320631,3.5003063725490198,1610612738,15,31,2020-12-19T01:27:35Z,1310000,-232.0,25.0,1,right,MISS P. Pritchard 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,23.38,Missed,,,,,,,,,,,,,,,,
133,PT02M46.00S,2020-12-19T01:27:33.7Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612751,15,31,2020-12-19T01:27:35Z,1320000,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612751.0,BKN,,,,Prince,T. Prince,,,,,,,,,,132.0,1.0,1.0,0.0,,,,,,,,,,,,
134,PT02M46.00S,2020-12-19T01:27:40.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630202,,,1610612751,15,31,2020-12-19T01:30:37Z,1330000,,,0,,P. Pritchard personal FOUL (1 PF) (LeVert 2 FT),"[1630202, 1627747]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,1626301.0,1.0,0.0,LeVert,1627747.0,,,,,,
136,PT02M46.00S,2020-12-19T01:27:51.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,15,31,2020-12-19T01:27:51Z,1350000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M46.00S,2020-12-19T01:30:19.9Z,1,REGULAR,substitution,out,[],1627759,,,1610612751,15,31,2020-12-19T01:30:36Z,1360000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M46.00S,2020-12-19T01:30:19.9Z,1,REGULAR,substitution,out,[],1629057,,,1610612751,15,31,2020-12-19T01:30:36Z,1370000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M46.00S,2020-12-19T01:30:19.9Z,1,REGULAR,substitution,in,[],1628369,,,1610612751,15,31,2020-12-19T01:30:36Z,1380000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M46.00S,2020-12-19T01:30:19.9Z,1,REGULAR,substitution,in,[],1628464,,,1610612751,15,31,2020-12-19T01:30:36Z,1390000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT02M46.00S,2020-12-19T01:31:11.4Z,1,REGULAR,freethrow,1 of 2,[],1627747,,,1610612751,15,32,2020-12-19T01:31:11Z,1400000,,,0,,C. LeVert Free Throw 1 of 2 (4 PTS),[1627747],1610612751.0,BKN,,,,LeVert,C. LeVert,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,
142,PT02M46.00S,2020-12-19T01:31:23.0Z,1,REGULAR,freethrow,2 of 2,[],1627747,,,1610612751,15,33,2020-12-19T01:31:23Z,1410000,,,0,,C. LeVert Free Throw 2 of 2 (5 PTS),[1627747],1610612751.0,BKN,,,,LeVert,C. LeVert,,,,,,,,,Made,,,,,5.0,,,,,,,,,,,
143,PT02M30.00S,2020-12-19T01:31:41.0Z,1,REGULAR,turnover,bad pass,[],1629684,,,1610612738,15,33,2020-12-19T01:31:46Z,1420000,,,0,,G. Williams bad pass TURNOVER (1 TO),"[1629684, 1627752]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,1.0,Prince,1627752.0,,,,,,,,,,,,,,,,,,
144,PT02M30.00S,2020-12-19T01:31:41.0Z,1,REGULAR,steal,,[],1627752,,,1610612751,15,33,2020-12-19T01:31:43Z,1430000,,,0,,T. Prince STEAL (1 STL),[1627752],1610612751.0,BKN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M26.00S,2020-12-19T01:31:45.6Z,1,REGULAR,turnover,bad pass,[],1627747,,,1610612751,15,33,2020-12-19T01:31:49Z,1440000,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 201952]",1610612751.0,BKN,,,,LeVert,C. LeVert,,,,,1.0,Teague,201952.0,,,,,,,,,,,,,,,,,,
146,PT02M26.00S,2020-12-19T01:31:45.6Z,1,REGULAR,steal,,[],201952,,,1610612738,15,33,2020-12-19T01:31:47Z,1450000,,,0,,J. Teague STEAL (1 STL),[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT02M24.00S,2020-12-19T01:31:49.5Z,1,REGULAR,foul,personal,['2freethrow'],1627752,,,1610612738,15,33,2020-12-19T01:32:00Z,1460000,,,0,,T. Prince shooting personal FOUL (1 PF) (Tatum 2 FT),"[1627752, 1628369]",1610612751.0,BKN,shooting,,,Prince,T. Prince,,,,,,,,,,,,,,,1626301.0,1.0,0.0,Tatum,1628369.0,,,,,,
149,PT02M24.00S,2020-12-19T01:32:17.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628369,,,1610612738,16,33,2020-12-19T01:32:17Z,1480000,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
150,PT02M24.00S,2020-12-19T01:32:32.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1628369,,,1610612738,17,33,2020-12-19T01:32:32Z,1490000,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,
151,PT02M09.00S,2020-12-19T01:32:48.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,9.543363994743759,48.59834558823529,1610612751,17,35,2020-12-19T01:32:57Z,1500000,7.0,37.0,1,left,C. LeVert Layup (7 PTS),[1627747],1610612751.0,BKN,,,,LeVert,C. LeVert,,,,,,,,3.79,Made,,,,,7.0,,,,,,,,,,,
152,PT01M59.00S,2020-12-19T01:33:04.1Z,1,REGULAR,foul,personal,[],1629013,,,1610612738,17,35,2020-12-19T01:33:16Z,1510000,,,0,,L. Shamet personal FOUL (1 PF),"[1629013, 1628464]",1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,1628954.0,1.0,0.0,Theis,1628464.0,,,,,,
154,PT01M54.00S,2020-12-19T01:33:19.9Z,1,REGULAR,3pt,Jump Shot,[],201952,64.20827858081472,38.05912990196079,1610612738,20,35,2020-12-19T01:33:24Z,1530000,-60.0,284.0,1,right,J. Teague 29' 3PT  (3 PTS) (D. Theis 1 AST),"[201952, 1628464]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,29.01,Made,,,,,3.0,,,,,,D. Theis,1628464.0,1.0,,,
156,PT01M35.00S,2020-12-19T01:33:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,15.374507227332456,40.21139705882353,1610612751,20,35,2020-12-19T01:33:46Z,1550000,49.0,92.0,1,left,MISS C. LeVert 10' Jump Shot,[1627747],1610612751.0,BKN,,,,LeVert,C. LeVert,,,,,,,,10.42,Missed,,,,,,,,,,,,,,,,
157,PT01M31.00S,2020-12-19T01:33:43.6Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,20,35,2020-12-19T01:33:46Z,1560000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,156.0,1.0,1.0,0.0,,,,,,,,,,,,
158,PT01M18.00S,2020-12-19T01:33:55.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.07030223390277,21.637561274509803,1610612738,20,35,2020-12-19T01:34:02Z,1570000,-142.0,238.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,27.72,Missed,,,,,,,,,,,,,,,,
159,PT01M14.00S,2020-12-19T01:33:59.9Z,1,REGULAR,rebound,defensive,[],201145,,,1610612751,20,35,2020-12-19T01:34:02Z,1580000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,,,158.0,1.0,1.0,0.0,,,,,,,,,,,,
160,PT01M02.00S,2020-12-19T01:34:12.1Z,1,REGULAR,2pt,Jump Shot,[],1629013,28.831307490144546,43.90701593137255,1610612751,20,35,2020-12-19T01:34:19Z,1590000,30.0,219.0,1,left,MISS L. Shamet 22' Jump Shot,[1629013],1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,22.06,Missed,,,,,,,,,,,,,,,,
161,PT01M00.00S,2020-12-19T01:34:14.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,20,35,2020-12-19T01:34:19Z,1600000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,160.0,4.0,4.0,0.0,,,,,,,,,,,,
164,PT00M51.60S,2020-12-19T01:34:43.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627752,,,1610612738,20,35,2020-12-19T01:34:47Z,1630000,,,0,,T. Prince shooting personal FOUL (2 PF) (Theis 2 FT),"[1627752, 1628464]",1610612751.0,BKN,shooting,,,Prince,T. Prince,,,,,,,,,,,,,,,202041.0,2.0,0.0,Theis,1628464.0,,,,,,
166,PT00M51.60S,2020-12-19T01:34:49.3Z,1,REGULAR,freethrow,1 of 2,[],1628464,,,1610612738,21,35,2020-12-19T01:34:49Z,1650000,,,0,,D. Theis Free Throw 1 of 2 (5 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,Made,,,,,5.0,,,,,,,,,,,
167,PT00M51.60S,2020-12-19T01:35:04.7Z,1,REGULAR,freethrow,2 of 2,[],1628464,,,1610612738,21,35,2020-12-19T01:35:04Z,1660000,,,0,,MISS D. Theis Free Throw 2 of 2,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,Missed,,,,,,,,,,,,,,,,
168,PT00M49.30S,2020-12-19T01:35:06.5Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612751,21,35,2020-12-19T01:35:06Z,1670000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612751.0,BKN,,,,LeVert,C. LeVert,,,,,,,,,,167.0,1.0,1.0,0.0,,,,,,,,,,,,
169,PT00M36.50S,2020-12-19T01:35:19.3Z,1,REGULAR,3pt,Jump Shot,[],1629013,29.6484888304862,34.38265931372549,1610612751,21,35,2020-12-19T01:35:29Z,1680000,78.0,226.0,1,left,MISS L. Shamet 3PT,[1629013],1610612751.0,BKN,,,,Shamet,L. Shamet,,,,,,,,23.93,Missed,,,,,,,,,,,,,,,,
170,PT00M33.20S,2020-12-19T01:35:22.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,21,35,2020-12-19T01:35:22Z,1690000,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,169.0,5.0,5.0,0.0,,,,,,,,,,,,
171,PT00M28.60S,2020-12-19T01:35:29.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,89.43823915900131,51.294424019607845,1610612738,23,35,2020-12-19T01:35:41Z,1700000,6.0,47.0,1,right,J. Tatum driving finger roll Layup (4 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,,,,4.72,Made,,,,,4.0,,,,,,,,,,,
172,PT00M05.00S,2020-12-19T01:35:52.8Z,1,REGULAR,3pt,Jump Shot,[],201145,5.601182654402102,96.39246323529412,1610612751,23,35,2020-12-19T01:35:57Z,1710000,-232.0,0.0,1,left,MISS J. Green 3PT,[201145],1610612751.0,BKN,,,,Green,J. Green,,,,,,,,23.2,Missed,,,,,,,,,,,,,,,,
