actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
18,PT10M41.00S,2020-12-19T01:11:48.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,10.988830486202366,37.8140318627451,1610612751,2,0,2020-12-19T03:16:47Z,180000,61.0,51.0,1,left,MISS K. Irving 7' driving Layup,[202681],1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,,,,7.93,Missed,,,,,,,,,,,,,,,,
19,PT10M39.00S,2020-12-19T01:11:50.6Z,1,REGULAR,rebound,offensive,[],201599,,,1610612751,2,0,2020-12-19T01:11:57Z,190000,,,0,,D. Jordan REBOUND (Off:1 Def:0),[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,
20,PT10M39.00S,2020-12-19T01:11:55.0Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612751,2,0,2020-12-19T01:12:06Z,200000,,,0,,D. Theis shooting personal FOUL (1 PF) (Jordan 2 FT),"[1628464, 201599]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,1628954.0,1.0,0.0,Jordan,201599.0,,,,,,
22,PT10M39.00S,2020-12-19T01:12:24.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],201599,,,1610612751,2,0,2020-12-19T01:12:24Z,220000,,,0,,MISS D. Jordan Free Throw 1 of 2,[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,Missed,,,,,,,,,,,,,,,,
23,PT10M39.00S,2020-12-19T01:12:24.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,2,0,2020-12-19T01:12:24Z,230000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,
24,PT10M39.00S,2020-12-19T01:12:43.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],201599,,,1610612751,2,1,2020-12-19T01:12:43Z,240000,,,0,,D. Jordan Free Throw 2 of 2 (1 PTS),[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
25,PT10M26.00S,2020-12-19T01:12:58.6Z,1,REGULAR,3pt,Jump Shot,[],1628464,85.3646517739816,95.65716911764706,1610612738,2,1,2020-12-19T01:13:04Z,250000,228.0,85.0,1,right,MISS D. Theis 24' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,24.36,Missed,,,,,,,,,,,,,,,,
26,PT10M23.00S,2020-12-19T01:13:01.6Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612738,2,1,2020-12-19T01:13:04Z,260000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,
27,PT10M20.00S,2020-12-19T01:13:05.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,74.19513797634691,13.794424019607842,1610612738,5,1,2020-12-19T01:13:11Z,270000,-181.0,190.0,1,right,M. Smart 26' 3PT  (3 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,26.25,Made,,,,,3.0,,,,,,J. Brown,1627759.0,1.0,,,
29,PT10M06.00S,2020-12-19T01:13:19.6Z,1,REGULAR,turnover,bad pass,[],202681,,,1610612751,5,1,2020-12-19T01:29:28Z,290000,,,0,,K. Irving bad pass TURNOVER (2 TO),"[202681, 1628464]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,2.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,
30,PT10M06.00S,2020-12-19T01:13:19.6Z,1,REGULAR,steal,,[],1628464,,,1610612738,5,1,2020-12-19T01:13:21Z,300000,,,0,,D. Theis STEAL (2 STL),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M57.00S,2020-12-19T01:13:27.6Z,1,REGULAR,turnover,bad pass,[],1628464,,,1610612738,5,1,2020-12-19T01:13:35Z,310000,,,0,,D. Theis bad pass TURNOVER (1 TO),"[1628464, 202681]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,1.0,Irving,202681.0,,,,,,,,,,,,,,,,,,
33,PT09M57.00S,2020-12-19T01:13:27.6Z,1,REGULAR,steal,,[],202681,,,1610612751,5,1,2020-12-19T01:13:30Z,320000,,,0,,K. Irving STEAL (1 STL),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
