actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-04-27T23:10:53.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-27T23:10:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-04-27T23:10:55.5Z,1,REGULAR,jumpball,recovered,[],1630177,,,1610612760,0,0,2021-04-27T23:10:55Z,40000,,,0,,Jump Ball M. Brown vs. T. Thompson: Tip to T. Maledon,"[1630177, 1629650, 202684]",1610612760.0,OKC,startperiod,T. Maledon,1630177.0,Maledon,T. Maledon,Brown,1629650.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-04-27T23:11:08.1Z,1,REGULAR,3pt,Jump Shot,[],1629652,31.09395532194481,64.03952205882352,1610612760,0,3,2021-04-27T23:11:16Z,70000,-70.0,240.0,1,left,L. Dort 24' 3PT  (3 PTS) (D. Bazley 1 AST),"[1629652, 1629647]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,24.99,Made,3.0,D. Bazley,1629647.0,1.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-04-27T23:11:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.93495400788436,52.76501225490197,1610612738,2,3,2021-04-27T23:11:27Z,90000,14.0,23.0,1,right,J. Brown alley-oop Layup (2 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,alley-oop,,,Brown,J. Brown,,,,,2.71,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2021-04-27T23:11:41.2Z,1,REGULAR,turnover,bad pass,[],1630197,,,1610612760,2,3,2021-04-27T23:12:33Z,110000,,,0,,A. Pokusevski bad pass TURNOVER (1 TO),"[1630197, 202684]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,1.0,Thompson,202684.0,,,,,,,,,,,,
12,PT11M12.00S,2021-04-27T23:11:41.2Z,1,REGULAR,steal,,[],202684,,,1610612738,2,3,2021-04-27T23:11:43Z,120000,,,0,,T. Thompson STEAL (1 STL),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2021-04-27T23:11:48.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202684,80.76544021024968,49.57873774509804,1610612738,2,3,2021-04-27T23:11:56Z,130000,-2.0,128.0,1,right,MISS T. Thompson 12' driving Hook,[202684],1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,12.83,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2021-04-27T23:11:51.4Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,2,3,2021-04-27T23:11:56Z,140000,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M55.00S,2021-04-27T23:11:57.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630197,5.863994743758213,59.872855392156865,1610612760,2,3,2021-04-27T23:12:12Z,150000,-49.0,3.0,1,left,MISS A. Pokusevski driving Layup,[1630197],1610612760.0,OKC,driving,,,Pokusevski,A. Pokusevski,,,,,4.95,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M53.00S,2021-04-27T23:11:59.1Z,1,REGULAR,rebound,offensive,[],1629650,,,1610612760,2,3,2021-04-27T23:12:12Z,160000,,,0,,M. Brown REBOUND (Off:1 Def:0),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,
