actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
21,PT10M43.00S,2021-05-15T18:11:52.0Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,0,0,2021-05-15T18:11:54Z,210000,,,0,,S. Ojeleye REBOUND (Off:0 Def:2),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,
22,PT10M36.00S,2021-05-15T18:11:59.2Z,1,REGULAR,3pt,Jump Shot,[],1628436,25.837713534822605,17.47089460784314,1610612738,0,0,2021-05-15T18:12:03Z,220000,163.0,190.0,1,left,MISS L. Kornet 25' 3PT,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M34.00S,2021-05-15T18:12:01.2Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,0,2021-05-15T18:12:03Z,230000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT10M21.00S,2021-05-15T18:12:14.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,91.01511169513797,53.990502450980394,1610612750,2,0,2021-05-15T18:12:19Z,240000,20.0,32.0,1,right,K. Towns turnaround Hook (2 PTS) (A. Edwards 1 AST),"[1626157, 1630162]",1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,3.77,Made,,,,,,,2.0,A. Edwards,1630162.0,1.0,,,,,,,,,
26,PT10M05.00S,2021-05-15T18:12:30.3Z,1,REGULAR,3pt,Jump Shot,[],1628400,6.258212877792378,96.8826593137255,1610612738,2,0,2021-05-15T18:12:34Z,260000,-234.0,6.0,1,left,MISS S. Ojeleye 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,23.45,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M02.00S,2021-05-15T18:12:33.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,0,2021-05-15T18:12:34Z,270000,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,
28,PT09M57.00S,2021-05-15T18:12:38.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630162,94.03745072273325,50.55912990196079,1610612750,4,0,2021-05-15T18:12:44Z,280000,3.0,4.0,1,right,A. Edwards cutting Layup (2 PTS) (D. Russell 1 AST),"[1630162, 1626156]",1610612750.0,MIN,cutting,,,Edwards,A. Edwards,,,,,0.45,Made,,,,,,,2.0,D. Russell,1626156.0,1.0,,,,,,,,,
30,PT09M42.00S,2021-05-15T18:12:52.8Z,1,REGULAR,3pt,Jump Shot,[],1628400,28.465834428383708,75.80422794117648,1610612738,4,0,2021-05-15T18:12:57Z,300000,-129.0,215.0,1,left,MISS S. Ojeleye 25' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,25.08,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M39.00S,2021-05-15T18:12:55.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,4,0,2021-05-15T18:12:57Z,310000,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,30.0,3.0,3.0,0.0,,,,,,,,,,,,,
32,PT09M29.00S,2021-05-15T18:13:07.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,83.13074901445466,37.32383578431372,1610612750,6,0,2021-05-15T18:13:16Z,320000,-63.0,106.0,1,right,K. Towns 12' driving floating Jump Shot (4 PTS),[1626157],1610612750.0,MIN,driving floating,,,Towns,K. Towns,,,,,12.36,Made,,,,,,,4.0,,,,,,,,,,,,
34,PT09M29.00S,2021-05-15T18:13:13.8Z,1,REGULAR,foul,personal,['1freethrow'],1628436,,,1610612750,6,0,2021-05-15T18:13:25Z,340000,,,0,,L. Kornet shooting personal FOUL (1 PF) (Towns 1 FT),"[1628436, 1626157]",1610612738.0,BOS,shooting,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Towns,1626157.0,,,,
36,PT09M29.00S,2021-05-15T18:13:34.7Z,1,REGULAR,freethrow,1 of 1,[],1626157,,,1610612750,7,0,2021-05-15T18:13:34Z,360000,,,0,,K. Towns Free Throw 1 of 1 (5 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Made,,,,,,,5.0,,,,,,,,,,,,
37,PT09M17.00S,2021-05-15T18:13:49.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,15.456636005256241,40.01991421568628,1610612738,7,0,2021-05-15T18:13:54Z,370000,50.0,93.0,1,left,MISS J. Tatum 10' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,10.54,Missed,,,,,,,,,,,,,,,,,,,
38,PT09M13.00S,2021-05-15T18:13:53.6Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612738,7,0,2021-05-15T18:13:54Z,380000,,,0,,L. Kornet REBOUND (Off:1 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,37.0,2.0,1.0,1.0,,,,,,,,,,,,,
39,PT09M13.00S,2021-05-15T18:13:53.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628436,6.389618922470433,50.314031862745104,1610612738,7,2,2021-05-15T18:13:56Z,390000,-2.0,8.0,1,left,L. Kornet putback Layup (2 PTS),[1628436],1610612738.0,BOS,putback,,,Kornet,L. Kornet,,,,,0.78,Made,,,,,,,2.0,,,,,,,,,,,,
40,PT09M01.00S,2021-05-15T18:14:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,93.77463863337714,51.049325980392155,1610612750,9,2,2021-05-15T18:14:10Z,400000,5.0,6.0,1,right,K. Towns cutting Layup (7 PTS) (D. Russell 2 AST),"[1626157, 1626156]",1610612750.0,MIN,cutting,,,Towns,K. Towns,,,,,0.79,Made,,,,,,,7.0,D. Russell,1626156.0,2.0,,,,,,,,,
