actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
77,PT05M39.00S,2021-04-16T02:31:29.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627936,17.0335085413929,48.353247549019606,1610612747,9,21,2021-04-16T02:31:33Z,760000,8.0,108.0,1,left,A. Caruso 10' pullup Jump Shot (2 PTS),[1627936],1610612747.0,LAL,pullup,,,Caruso,A. Caruso,,,,,,,,,,10.79,Made,2.0,,,,,,,,,,,,
78,PT05M28.00S,2021-04-16T02:31:50.5Z,1,REGULAR,foul,offensive,[],1627759,,,1610612738,9,21,2021-04-16T02:32:00Z,770000,,,0,,J. Brown offensive FOUL (1 PF),"[1627759, 1627936]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,1162.0,1.0,0.0,Caruso,1627936.0,,,,,,,,,,,,,,,
80,PT05M28.00S,2021-04-16T02:31:50.5Z,1,REGULAR,turnover,offensive foul,[],1627759,,,1610612738,9,21,2021-04-16T02:31:50Z,790000,,,0,,J. Brown offensive foul TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,1162.0,,,,,,,,,,,,,,,1.0,,,,
81,PT05M10.00S,2021-04-16T02:32:21.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626149,8.886333771353483,52.51991421568627,1610612747,9,21,2021-04-16T02:32:30Z,800000,-13.0,31.0,1,left,MISS M. Harrell Layup - blocked,"[1626149, 202684]",1610612747.0,LAL,,,,Harrell,M. Harrell,,,,,,,,,,3.35,Missed,,,,,,,,,,,,Thompson,202684.0
82,PT05M10.00S,2021-04-16T02:32:21.6Z,1,REGULAR,block,,[],202684,,,1610612747,9,21,2021-04-16T02:32:28Z,810000,,,0,,T. Thompson BLOCK (1 BLK),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M07.00S,2021-04-16T02:32:24.6Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,9,21,2021-04-16T02:32:30Z,820000,,,0,,T. Thompson REBOUND (Off:0 Def:3),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,81.0,3.0,3.0,0.0,,,,,
84,PT05M07.00S,2021-04-16T02:32:35.1Z,1,REGULAR,foul,offensive,[],1627759,,,1610612738,9,21,2021-04-16T02:32:43Z,830000,,,0,,J. Brown offensive FOUL (2 PF),"[1627759, 202083]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,1626300.0,2.0,0.0,Matthews,202083.0,,,,,,,,,,,,,,,
86,PT05M07.00S,2021-04-16T02:32:35.1Z,1,REGULAR,turnover,offensive foul,[],1627759,,,1610612738,9,21,2021-04-16T02:32:35Z,850000,,,0,,J. Brown offensive foul TURNOVER (2 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,1626300.0,,,,,,,,,,,,,,,2.0,,,,
87,PT04M57.00S,2021-04-16T02:32:52.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629659,7.5722733245729295,40.01991421568628,1610612747,11,21,2021-04-16T02:32:56Z,860000,50.0,19.0,1,left,T. Horton-Tucker floating Jump Shot (4 PTS),[1629659],1610612747.0,LAL,floating,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,5.33,Made,4.0,,,,,,,,,,,,
88,PT04M41.00S,2021-04-16T02:33:13.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627936,,,1610612738,11,21,2021-04-16T02:33:19Z,870000,,,0,,A. Caruso personal FOUL (1 PF) (Walker 2 FT),"[1627936, 202689]",1610612747.0,LAL,,,,Caruso,A. Caruso,,,,,1626300.0,1.0,0.0,Walker,202689.0,,,,,,,,,,,,,,,
90,PT04M41.00S,2021-04-16T02:33:42.5Z,1,REGULAR,freethrow,1 of 2,[],202689,,,1610612738,11,22,2021-04-16T02:33:42Z,890000,,,0,,K. Walker Free Throw 1 of 2 (4 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,Made,4.0,,,,,,,,,,,,
91,PT04M41.00S,2021-04-16T02:33:49.4Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,11,22,2021-04-16T02:33:57Z,900000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M41.00S,2021-04-16T02:33:49.4Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,11,22,2021-04-16T02:33:57Z,910000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M41.00S,2021-04-16T02:34:08.7Z,1,REGULAR,freethrow,2 of 2,[],202689,,,1610612738,11,23,2021-04-16T02:34:08Z,920000,,,0,,K. Walker Free Throw 2 of 2 (5 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,Made,5.0,,,,,,,,,,,,
94,PT04M28.00S,2021-04-16T02:34:21.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626149,6.258212877792378,49.08854166666667,1610612747,13,23,2021-04-16T02:34:25Z,930000,5.0,6.0,1,left,M. Harrell Layup (2 PTS) (A. Caruso 1 AST),"[1626149, 1627936]",1610612747.0,LAL,,,,Harrell,M. Harrell,,,,,,,,,,0.78,Made,2.0,A. Caruso,1627936.0,1.0,,,,,,,,,
96,PT04M15.00S,2021-04-16T02:34:35.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,83.78777923784494,47.127757352941174,1610612738,13,25,2021-04-16T02:35:58Z,950000,-14.0,100.0,1,right,M. Smart 10' driving floating Jump Shot (2 PTS) (K. Walker 4 AST),"[203935, 202689]",1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,,,,,,10.09,Made,2.0,K. Walker,202689.0,4.0,,,,,,,,,
98,PT03M59.00S,2021-04-16T02:34:52.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1627936,6.652431011826544,55.4610906862745,1610612747,15,25,2021-04-16T02:36:45Z,970000,-27.0,10.0,1,left,A. Caruso driving Layup (4 PTS),[1627936],1610612747.0,LAL,driving,,,Caruso,A. Caruso,,,,,,,,,,2.91,Made,4.0,,,,,,,,,,,,
99,PT03M59.00S,2021-04-16T02:34:56.1Z,1,REGULAR,violation,defensive goaltending,[],202684,,,1610612747,15,25,2021-04-16T02:35:06Z,980000,,,0,,T. Thompson defensive goaltending VIOLATION,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,202026.0,,,,,,,,,,,,,,,,,,,
100,PT03M43.00S,2021-04-16T02:35:20.2Z,1,REGULAR,3pt,Jump Shot,[],203935,69.85873850197109,78.50030637254902,1610612738,15,28,2021-04-16T02:35:24Z,990000,143.0,231.0,1,right,M. Smart 27' 3PT  (5 PTS) (P. Pritchard 1 AST),"[203935, 1630202]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,27.12,Made,5.0,P. Pritchard,1630202.0,1.0,,,,,,,,,
102,PT03M26.00S,2021-04-16T02:35:36.9Z,1,REGULAR,2pt,Jump Shot,[],1629659,5.601182654402102,78.50030637254902,1610612747,17,28,2021-04-16T02:35:40Z,1010000,-143.0,0.0,1,left,T. Horton-Tucker 14' step back Jump Shot (6 PTS) (M. Harrell 1 AST),"[1629659, 1626149]",1610612747.0,LAL,step back,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,14.25,Made,6.0,M. Harrell,1626149.0,1.0,,,,,,,,,
104,PT03M07.00S,2021-04-16T02:35:57.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202684,82.34231274638634,49.57873774509804,1610612738,17,28,2021-04-16T02:36:00Z,1030000,-2.0,113.0,1,right,MISS T. Thompson 11' floating Shot,[202684],1610612738.0,BOS,floating,,,Thompson,T. Thompson,,,,,,,,,,11.35,Missed,,,,,,,,,,,,,
105,PT03M05.00S,2021-04-16T02:35:59.1Z,1,REGULAR,rebound,defensive,[],1626149,,,1610612747,17,28,2021-04-16T02:36:00Z,1040000,,,0,,M. Harrell REBOUND (Off:0 Def:1),[1626149],1610612747.0,LAL,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,104.0,1.0,1.0,0.0,,,,,
106,PT02M56.00S,2021-04-16T02:36:07.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629659,8.229303547963205,45.65716911764706,1610612747,17,28,2021-04-16T02:36:11Z,1050000,22.0,25.0,1,left,MISS T. Horton-Tucker turnaround Shot,[1629659],1610612747.0,LAL,turnaround,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,3.3,Missed,,,,,,,,,,,,,
107,PT02M54.00S,2021-04-16T02:36:09.6Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,17,28,2021-04-16T02:36:11Z,1060000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,106.0,1.0,1.0,0.0,,,,,
108,PT02M47.00S,2021-04-16T02:36:16.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630202,90.22667542706965,96.39246323529412,1610612738,17,28,2021-04-16T02:38:08Z,1070000,232.0,39.0,1,right,MISS P. Pritchard running 3PT,[1630202],1610612738.0,BOS,running,,,Pritchard,P. Pritchard,,,,,,,,,,23.53,Missed,,,,,,,,,,,,,
109,PT02M47.00S,2021-04-16T02:36:16.1Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,17,28,2021-04-16T02:36:24Z,1080000,,,0,,T. Thompson REBOUND (Off:1 Def:3),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,108.0,4.0,3.0,1.0,,,,,
110,PT02M47.00S,2021-04-16T02:36:19.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.40999984741211,50.0,1610612738,17,28,2021-04-16T02:36:19Z,1090000,0.0,0.0,1,right,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,
111,PT02M47.00S,2021-04-16T02:36:21.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,17,28,2021-04-16T02:36:21Z,1100000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,,
112,PT02M47.00S,2021-04-16T02:36:23.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,17,28,2021-04-16T02:36:23Z,1110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M47.00S,2021-04-16T02:36:24.3Z,1,REGULAR,substitution,out,[],1628398,,,1610612747,17,28,2021-04-16T02:36:34Z,1120000,,,0,,SUB out: K. Kuzma,[1628398],1610612747.0,LAL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M47.00S,2021-04-16T02:36:24.3Z,1,REGULAR,substitution,out,[],202083,,,1610612747,17,28,2021-04-16T02:36:34Z,1130000,,,0,,SUB out: W. Matthews,[202083],1610612747.0,LAL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M47.00S,2021-04-16T02:36:24.3Z,1,REGULAR,substitution,in,[],203463,,,1610612747,17,28,2021-04-16T02:36:34Z,1140000,,,0,,SUB in: B. McLemore,[203463],1610612747.0,LAL,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M47.00S,2021-04-16T02:36:24.3Z,1,REGULAR,substitution,in,[],203471,,,1610612747,17,28,2021-04-16T02:36:34Z,1150000,,,0,,SUB in: D. Schroder,[203471],1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M37.00S,2021-04-16T02:36:59.0Z,1,REGULAR,3pt,Jump Shot,[],203463,28.728646517739815,17.47089460784314,1610612747,17,28,2021-04-16T02:37:02Z,1160000,163.0,218.0,1,left,MISS B. McLemore 27' 3PT,[203463],1610612747.0,LAL,,,,McLemore,B. McLemore,,,,,,,,,,27.16,Missed,,,,,,,,,,,,,
118,PT02M33.00S,2021-04-16T02:37:01.7Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,17,28,2021-04-16T02:37:01Z,1170000,,,0,,T. Thompson REBOUND (Off:1 Def:4),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,117.0,5.0,4.0,1.0,,,,,
119,PT02M18.00S,2021-04-16T02:37:16.7Z,1,REGULAR,2pt,Jump Shot,[],202689,92.32917214191852,67.47089460784314,1610612738,17,28,2021-04-16T02:40:51Z,1180000,87.0,20.0,1,right,MISS K. Walker 8' fadeaway Shot,[202689],1610612738.0,BOS,fadeaway,,,Walker,K. Walker,,,,,,,,,,8.96,Missed,,,,,,,,,,,,,
120,PT02M18.00S,2021-04-16T02:37:16.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,17,28,2021-04-16T02:37:27Z,1190000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,119.0,,,,,,,,
121,PT02M18.00S,2021-04-16T02:37:22.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203471,,,1610612738,17,28,2021-04-16T02:37:30Z,1200000,,,0,,D. Schroder loose ball personal FOUL (1 PF) (Thompson 2 FT),"[203471, 202684]",1610612747.0,LAL,loose ball,,,Schroder,D. Schroder,,,,,1162.0,1.0,0.0,Thompson,202684.0,,,,,,,,,,,,,,,
123,PT02M18.00S,2021-04-16T02:38:05.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202684,,,1610612738,17,29,2021-04-16T02:38:05Z,1220000,,,0,,T. Thompson Free Throw 1 of 2 (5 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,Made,5.0,,,,,,,,,,,,
124,PT02M18.00S,2021-04-16T02:38:06.8Z,1,REGULAR,substitution,out,[],202689,,,1610612738,17,29,2021-04-16T02:38:10Z,1230000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M18.00S,2021-04-16T02:38:06.8Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,17,29,2021-04-16T02:38:10Z,1240000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M18.00S,2021-04-16T02:38:05.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202684,,,1610612738,17,29,2021-04-16T02:38:33Z,1250000,,,0,,MISS T. Thompson Free Throw 2 of 2,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,Missed,,,,,,,,,,,,,
127,PT02M16.00S,2021-04-16T02:38:07.7Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612747,17,29,2021-04-16T02:38:33Z,1260000,,,0,,T. Horton-Tucker REBOUND (Off:1 Def:2),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,126.0,3.0,2.0,1.0,,,,,
128,PT02M02.00S,2021-04-16T02:38:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626149,6.1268068331143235,52.51991421568627,1610612747,19,29,2021-04-16T02:38:48Z,1270000,-13.0,5.0,1,left,M. Harrell Layup (4 PTS),[1626149],1610612747.0,LAL,,,,Harrell,M. Harrell,,,,,,,,,,1.36,Made,4.0,,,,,,,,,,,,
129,PT01M48.00S,2021-04-16T02:38:59.0Z,1,REGULAR,3pt,Jump Shot,[],203935,70.38436268068331,75.55912990196079,1610612738,19,29,2021-04-16T02:39:02Z,1280000,128.0,226.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,25.95,Missed,,,,,,,,,,,,,
130,PT01M46.00S,2021-04-16T02:39:00.8Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612747,19,29,2021-04-16T02:39:00Z,1290000,,,0,,T. Horton-Tucker REBOUND (Off:1 Def:3),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,129.0,4.0,3.0,1.0,,,,,
131,PT01M40.00S,2021-04-16T02:39:07.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629659,7.046649145860711,52.76501225490197,1610612747,21,29,2021-04-16T02:39:13Z,1300000,-14.0,14.0,1,left,T. Horton-Tucker running Layup (8 PTS),[1629659],1610612747.0,LAL,running,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,1.94,Made,8.0,,,,,,,,,,,,
132,PT01M19.00S,2021-04-16T02:39:27.9Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612738,21,29,2021-04-16T02:42:44Z,1310000,,,0,,M. Smart lost ball TURNOVER (2 TO),"[203935, 1626149]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,2.0,Harrell,1626149.0,,
133,PT01M19.00S,2021-04-16T02:39:27.9Z,1,REGULAR,steal,,[],1626149,,,1610612747,21,29,2021-04-16T02:39:30Z,1320000,,,0,,M. Harrell STEAL (1 STL),[1626149],1610612747.0,LAL,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M12.00S,2021-04-16T02:39:36.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629659,24.26084099868594,15.019914215686276,1610612747,21,29,2021-04-16T02:43:54Z,1330000,175.0,176.0,1,left,MISS T. Horton-Tucker 24' running 3PT,[1629659],1610612747.0,LAL,running,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,24.78,Missed,,,,,,,,,,,,,
135,PT01M10.00S,2021-04-16T02:39:38.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,21,29,2021-04-16T02:39:40Z,1340000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,134.0,,,,,,,,
136,PT01M10.00S,2021-04-16T02:39:39.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,21,29,2021-04-16T02:39:39Z,1350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M10.00S,2021-04-16T02:39:40.9Z,1,REGULAR,substitution,out,[],202684,,,1610612738,21,29,2021-04-16T02:39:43Z,1360000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M10.00S,2021-04-16T02:39:40.9Z,1,REGULAR,substitution,in,[],1628436,,,1610612738,21,29,2021-04-16T02:39:43Z,1370000,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,
139,PT00M55.00S,2021-04-16T02:40:07.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,86.28449408672799,45.90226715686275,1610612738,21,29,2021-04-16T02:44:33Z,1380000,-20.0,76.0,1,right,MISS P. Pritchard 7' driving floating Shot,[1630202],1610612738.0,BOS,driving floating,,,Pritchard,P. Pritchard,,,,,,,,,,7.91,Missed,,,,,,,,,,,,,
140,PT00M53.30S,2021-04-16T02:40:09.3Z,1,REGULAR,rebound,offensive,[],1630202,,,1610612738,21,29,2021-04-16T02:44:33Z,1390000,,,0,,P. Pritchard REBOUND (Off:1 Def:0),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,139.0,1.0,0.0,1.0,,,,,
141,PT00M51.50S,2021-04-16T02:40:11.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,73.66951379763469,86.83363970588235,1610612738,21,29,2021-04-16T02:40:16Z,1400000,184.0,195.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,26.82,Missed,,,,,,,,,,,,,
142,PT00M48.80S,2021-04-16T02:40:13.7Z,1,REGULAR,rebound,defensive,[],1626149,,,1610612747,21,29,2021-04-16T02:40:16Z,1410000,,,0,,M. Harrell REBOUND (Off:0 Def:2),[1626149],1610612747.0,LAL,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,141.0,2.0,2.0,0.0,,,,,
143,PT00M29.70S,2021-04-16T02:40:32.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626149,9.674770039421814,54.970894607843135,1610612747,21,29,2021-04-16T02:40:37Z,1420000,-25.0,38.0,1,left,MISS M. Harrell floating Shot,[1626149],1610612747.0,LAL,floating,,,Harrell,M. Harrell,,,,,,,,,,4.58,Missed,,,,,,,,,,,,,
144,PT00M28.00S,2021-04-16T02:40:34.5Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,21,29,2021-04-16T02:40:37Z,1430000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,143.0,2.0,2.0,0.0,,,,,
145,PT00M05.80S,2021-04-16T02:40:57.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.67608409986859,75.3140318627451,1610612738,21,29,2021-04-16T02:46:47Z,1440000,127.0,242.0,1,right,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,27.3,Missed,,,,,,,,,,,,,
146,PT00M05.80S,2021-04-16T02:40:57.0Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612738,21,29,2021-04-16T02:41:04Z,1450000,,,0,,R. Langford REBOUND (Off:1 Def:0),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,145.0,1.0,0.0,1.0,,,,,
147,PT00M05.80S,2021-04-16T02:41:00.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629641,93.24901445466492,48.84344362745098,1610612738,21,31,2021-04-16T02:41:26Z,1460000,-6.0,11.0,1,right,R. Langford putback Layup (2 PTS),[1629641],1610612738.0,BOS,putback,,,Langford,R. Langford,,,,,,,,,,1.24,Made,2.0,,,,,,,,,,,,
148,PT00M02.30S,2021-04-16T02:41:07.6Z,1,REGULAR,foul,personal,['2freethrow'],1629641,,,1610612747,21,31,2021-04-16T02:42:05Z,1470000,,,0,,R. Langford shooting personal FOUL (1 PF) (Horton-Tucker 2 FT),"[1629641, 1629659]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,1162.0,1.0,0.0,Horton-Tucker,1629659.0,,,,,,,,,,,,,,,
150,PT00M02.30S,2021-04-16T02:41:32.5Z,1,REGULAR,substitution,out,[],1630202,,,1610612747,21,31,2021-04-16T02:41:36Z,1490000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M02.30S,2021-04-16T02:41:32.5Z,1,REGULAR,substitution,in,[],1629684,,,1610612747,21,31,2021-04-16T02:41:36Z,1500000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M02.30S,2021-04-16T02:42:17.0Z,1,REGULAR,freethrow,1 of 2,[],1629659,,,1610612747,22,31,2021-04-16T02:42:17Z,1510000,,,0,,T. Horton-Tucker Free Throw 1 of 2 (9 PTS),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,Made,9.0,,,,,,,,,,,,
153,PT00M02.30S,2021-04-16T02:42:35.4Z,1,REGULAR,freethrow,2 of 2,[],1629659,,,1610612747,23,31,2021-04-16T02:42:35Z,1520000,,,0,,T. Horton-Tucker Free Throw 2 of 2 (10 PTS),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,Made,10.0,,,,,,,,,,,,
154,PT00M00.00S,2021-04-16T02:42:43.4Z,1,REGULAR,turnover,bad pass,[],1629684,,,1610612738,23,31,2021-04-16T02:42:48Z,1530000,,,0,,G. Williams bad pass TURNOVER (1 TO),"[1629684, 1629659]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,1.0,Horton-Tucker,1629659.0,,
155,PT00M00.00S,2021-04-16T02:42:43.4Z,1,REGULAR,steal,,[],1629659,,,1610612747,23,31,2021-04-16T02:42:46Z,1540000,,,0,,T. Horton-Tucker STEAL (1 STL),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M00.00S,2021-04-16T02:42:47.4Z,1,REGULAR,period,end,[],0,,,1610612747,23,31,2021-04-16T02:42:47Z,1550000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-04-16T02:46:19.2Z,2,REGULAR,substitution,out,['startperiod'],1627936,,,1610612747,23,31,2021-04-16T02:46:31Z,1560000,,,0,,SUB out: A. Caruso,[1627936],1610612747.0,LAL,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-04-16T02:46:19.2Z,2,REGULAR,substitution,out,['startperiod'],1629659,,,1610612747,23,31,2021-04-16T02:46:31Z,1570000,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2021-04-16T02:46:19.2Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612747,23,31,2021-04-16T02:46:31Z,1580000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2021-04-16T02:46:19.2Z,2,REGULAR,substitution,in,['startperiod'],203484,,,1610612747,23,31,2021-04-16T02:46:31Z,1590000,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612747.0,LAL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2021-04-16T02:46:19.2Z,2,REGULAR,substitution,in,['startperiod'],1628035,,,1610612747,23,31,2021-04-16T02:46:31Z,1600000,,,0,,SUB in: A. McKinnie,[1628035],1610612747.0,LAL,,,,McKinnie,A. McKinnie,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-04-16T02:46:19.2Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612747,23,31,2021-04-16T02:46:31Z,1610000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
