actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
21,PT10M30.00S,2021-04-16T02:17:43.4Z,1,REGULAR,foul,personal,[],203484,,,1610612738,0,5,2021-04-16T02:17:49Z,210000,,,0,,K. Caldwell-Pope loose ball personal FOUL (2 PF),"[203484, 202684]",1610612747.0,LAL,loose ball,,,Caldwell-Pope,K. Caldwell-Pope,,,,,202026.0,2.0,0.0,Thompson,202684.0,,,,,,,,,,,,,,,
23,PT10M30.00S,2021-04-16T02:17:59.1Z,1,REGULAR,substitution,out,[],203484,,,1610612738,0,5,2021-04-16T02:18:17Z,230000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612747.0,LAL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M30.00S,2021-04-16T02:17:59.1Z,1,REGULAR,substitution,in,[],1629659,,,1610612738,0,5,2021-04-16T02:18:17Z,240000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M18.00S,2021-04-16T02:18:25.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628369,89.83245729303549,41.00030637254902,1610612738,0,7,2021-04-16T02:19:54Z,250000,-45.0,43.0,1,right,J. Tatum 6' floating Jump Shot (2 PTS),[1628369],1610612738.0,BOS,floating,,,Tatum,J. Tatum,,,,,,,,,,6.23,Made,2.0,,,,,,,,,,,,
26,PT10M04.00S,2021-04-16T02:18:39.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201188,17.0335085413929,40.75520833333333,1610612747,2,7,2021-04-16T02:18:43Z,260000,46.0,108.0,1,left,M. Gasol 11' turnaround Jump Shot (2 PTS) (D. Schroder 1 AST),"[201188, 203471]",1610612747.0,LAL,turnaround,,,Gasol,M. Gasol,,,,,,,,,,11.71,Made,2.0,D. Schroder,203471.0,1.0,,,,,,,,,
28,PT09M46.00S,2021-04-16T02:18:57.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,94.30026281208936,64.77481617647058,1610612738,2,7,2021-04-16T02:20:47Z,280000,74.0,1.0,1,right,MISS J. Tatum 7' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,,,,,,7.39,Missed,,,,,,,,,,,,,
29,PT09M44.00S,2021-04-16T02:18:59.6Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612747,2,7,2021-04-16T02:19:03Z,290000,,,0,,T. Horton-Tucker REBOUND (Off:0 Def:1),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,
30,PT09M27.00S,2021-04-16T02:19:17.5Z,1,REGULAR,3pt,Jump Shot,[],1629659,30.699737187910642,71.6375612745098,1610612747,2,7,2021-04-16T02:21:37Z,300000,-108.0,236.0,1,left,MISS T. Horton-Tucker 25' pullup 3PT,[1629659],1610612747.0,LAL,pullup,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,25.97,Missed,,,,,,,,,,,,,
31,PT09M25.00S,2021-04-16T02:19:19.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,7,2021-04-16T02:19:21Z,310000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,
32,PT09M18.00S,2021-04-16T02:19:25.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,92.9862023653088,51.78462009803921,1610612738,2,9,2021-04-16T02:19:30Z,320000,9.0,13.0,1,right,J. Brown running Layup (7 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,,,,,,1.61,Made,7.0,,,,,,,,,,,,
33,PT09M07.00S,2021-04-16T02:19:37.2Z,1,REGULAR,3pt,Jump Shot,[],201188,29.911300919842315,27.029718137254903,1610612747,2,9,2021-04-16T02:19:41Z,330000,115.0,229.0,1,left,MISS M. Gasol 25' 3PT,[201188],1610612747.0,LAL,,,,Gasol,M. Gasol,,,,,,,,,,25.59,Missed,,,,,,,,,,,,,
34,PT09M03.00S,2021-04-16T02:19:40.5Z,1,REGULAR,rebound,offensive,[],1629659,,,1610612747,2,9,2021-04-16T02:19:40Z,340000,,,0,,T. Horton-Tucker REBOUND (Off:1 Def:1),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,33.0,2.0,1.0,1.0,,,,,
35,PT08M59.00S,2021-04-16T02:19:44.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628398,7.178055190538765,41.98069852941176,1610612747,2,9,2021-04-16T02:22:45Z,350000,40.0,15.0,1,left,MISS K. Kuzma driving Hook,[1628398],1610612747.0,LAL,driving,,,Kuzma,K. Kuzma,,,,,,,,,,4.28,Missed,,,,,,,,,,,,,
36,PT08M57.00S,2021-04-16T02:19:46.7Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,2,9,2021-04-16T02:19:48Z,360000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,
37,PT08M51.00S,2021-04-16T02:19:52.8Z,1,REGULAR,2pt,Jump Shot,[],202689,76.5604467805519,68.94148284313727,1610612738,2,9,2021-04-16T02:19:56Z,370000,95.0,168.0,1,right,MISS K. Walker 19' pullup Shot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,,,19.27,Missed,,,,,,,,,,,,,
38,PT08M48.00S,2021-04-16T02:19:55.8Z,1,REGULAR,rebound,defensive,[],202083,,,1610612747,2,9,2021-04-16T02:19:56Z,380000,,,0,,W. Matthews REBOUND (Off:0 Def:1),[202083],1610612747.0,LAL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,
39,PT08M46.00S,2021-04-16T02:20:01.8Z,1,REGULAR,turnover,out-of-bounds,[],1629659,,,1610612747,2,9,2021-04-16T02:20:06Z,390000,,,0,,T. Horton-Tucker lost ball out-of-bounds TURNOVER (1 TO),[1629659],1610612747.0,LAL,lost ball,,,Horton-Tucker,T. Horton-Tucker,,,,,202026.0,,,,,,,,,,,,,,,1.0,,,,
40,PT08M31.00S,2021-04-16T02:20:30.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628369,83.65637319316689,66.00030637254902,1610612738,2,11,2021-04-16T02:23:53Z,400000,80.0,101.0,1,right,J. Tatum 12' driving floating Jump Shot (4 PTS) (T. Thompson 2 AST),"[1628369, 202684]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,,,,,,12.89,Made,4.0,T. Thompson,202684.0,2.0,,,,,,,,,
41,PT08M30.00S,2021-04-16T02:20:36.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,2,11,2021-04-16T02:20:39Z,410000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M15.00S,2021-04-16T02:24:07.7Z,1,REGULAR,2pt,Jump Shot,[],1628398,21.369908015768726,23.108149509803923,1610612747,2,11,2021-04-16T02:25:38Z,420000,134.0,148.0,1,left,MISS K. Kuzma 20' pullup Shot,[1628398],1610612747.0,LAL,pullup,,,Kuzma,K. Kuzma,,,,,,,,,,20.03,Missed,,,,,,,,,,,,,
44,PT08M15.00S,2021-04-16T02:24:07.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,11,2021-04-16T02:24:12Z,430000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,
45,PT08M00.00S,2021-04-16T02:24:36.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,88.64980289093299,45.90226715686275,1610612738,2,13,2021-04-16T02:26:40Z,440000,-20.0,54.0,1,right,J. Brown driving floating Jump Shot (9 PTS) (K. Walker 2 AST),"[1627759, 202689]",1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,,,,,,5.79,Made,9.0,K. Walker,202689.0,2.0,,,,,,,,,
47,PT08M00.00S,2021-04-16T02:24:38.6Z,1,REGULAR,foul,personal,['1freethrow'],201188,,,1610612738,2,13,2021-04-16T02:24:48Z,460000,,,0,,M. Gasol shooting personal FOUL (1 PF) (Brown 1 FT),"[201188, 1627759]",1610612747.0,LAL,shooting,,,Gasol,M. Gasol,,,,,202026.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
49,PT08M00.00S,2021-04-16T02:24:57.9Z,1,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,2,14,2021-04-16T02:24:58Z,480000,,,0,,J. Brown Free Throw 1 of 1 (10 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Made,10.0,,,,,,,,,,,,
50,PT07M50.00S,2021-04-16T02:25:12.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,18.084756898817346,41.98069852941176,1610612747,2,14,2021-04-16T02:25:16Z,490000,40.0,117.0,1,left,MISS D. Schroder 12' pullup Shot,[203471],1610612747.0,LAL,pullup,,,Schroder,D. Schroder,,,,,,,,,,12.42,Missed,,,,,,,,,,,,,
51,PT07M48.00S,2021-04-16T02:25:14.5Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,2,14,2021-04-16T02:25:16Z,500000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,50.0,2.0,2.0,0.0,,,,,
