actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
81,PT06M05.00S,2021-05-02T23:51:07.6Z,1,REGULAR,substitution,out,[],202684,,,1610612738,11,16,2021-05-02T23:51:43Z,800000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M05.00S,2021-05-02T23:51:07.6Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,11,16,2021-05-02T23:51:43Z,810000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M05.00S,2021-05-02T23:51:07.6Z,1,REGULAR,substitution,in,[],1630174,,,1610612738,11,16,2021-05-02T23:51:43Z,820000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M05.00S,2021-05-02T23:51:29.1Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1627759,,,1610612738,12,16,2021-05-02T23:51:29Z,830000,,,0,,J. Brown Free Throw 1 of 1 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
85,PT05M55.00S,2021-05-02T23:51:40.2Z,1,REGULAR,2pt,Jump Shot,[],203081,8.886333771353483,15.510110294117647,1610612757,12,16,2021-05-02T23:51:47Z,840000,172.0,31.0,1,left,MISS D. Lillard 17' pullup Shot,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,17.52,Missed,,,,,,,,,,,,,,,,,,,
86,PT05M53.00S,2021-05-02T23:51:42.2Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,12,16,2021-05-02T23:51:47Z,850000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,
87,PT05M43.00S,2021-05-02T23:51:53.8Z,1,REGULAR,3pt,Jump Shot,[],1630174,70.12155059132719,79.48069852941177,1610612738,15,16,2021-05-02T23:52:00Z,860000,147.0,228.0,1,right,A. Nesmith 27' 3PT  (3 PTS) (M. Smart 1 AST),"[1630174, 203935]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,27.18,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
89,PT05M16.00S,2021-05-02T23:52:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,6.1268068331143235,55.951286764705884,1610612757,15,18,2021-05-02T23:52:27Z,880000,-30.0,5.0,1,left,C. McCollum driving Layup (4 PTS),[203468],1610612757.0,POR,driving,,,McCollum,C. McCollum,,,,,3.02,Made,4.0,,,,,,,,,,,,,,,,,,
90,PT05M03.00S,2021-05-02T23:52:32.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,82.7365308804205,41.98069852941176,1610612738,17,18,2021-05-02T23:52:39Z,890000,-40.0,110.0,1,right,J. Brown 11' turnaround fadeaway Jump Shot (5 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,11.69,Made,5.0,,,,,,,,,,,,,,,,,,
92,PT04M53.00S,2021-05-02T23:52:42.8Z,1,REGULAR,3pt,Jump Shot,[],203468,27.020367936925098,78.50030637254902,1610612757,17,18,2021-05-02T23:58:03Z,910000,-143.0,201.0,1,left,MISS C. McCollum 24' step back 3PT,[203468],1610612757.0,POR,step back,,,McCollum,C. McCollum,,,,,24.68,Missed,,,,,,,,,,,,,,,,,,,
93,PT04M49.00S,2021-05-02T23:52:46.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,17,18,2021-05-02T23:52:48Z,920000,,,0,,J. Brown REBOUND (Off:2 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,92.0,5.0,3.0,2.0,,,,,,,,
94,PT04M45.00S,2021-05-02T23:52:51.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629057,92.46057818659659,48.10814950980392,1610612738,19,18,2021-05-02T23:53:02Z,930000,-9.0,18.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (M. Smart 2 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,2.07,Made,2.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,,
96,PT04M26.00S,2021-05-02T23:53:10.8Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612757,19,18,2021-05-02T23:53:19Z,950000,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Kanter 2 FT),"[1630174, 202683]",1610612738.0,BOS,shooting,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Kanter,202683.0,
98,PT04M26.00S,2021-05-02T23:53:51.8Z,1,REGULAR,freethrow,1 of 2,[],202683,,,1610612757,19,19,2021-05-02T23:53:51Z,970000,,,0,,E. Kanter Free Throw 1 of 2 (1 PTS),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
99,PT04M26.00S,2021-05-02T23:53:53.0Z,1,REGULAR,substitution,out,[],203468,,,1610612757,19,19,2021-05-02T23:54:11Z,980000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M26.00S,2021-05-02T23:53:53.0Z,1,REGULAR,substitution,out,[],1626181,,,1610612757,19,19,2021-05-02T23:54:11Z,990000,,,0,,SUB out: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M26.00S,2021-05-02T23:53:53.0Z,1,REGULAR,substitution,in,[],2546,,,1610612757,19,19,2021-05-02T23:54:11Z,1000000,,,0,,SUB in: C. Anthony,[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M26.00S,2021-05-02T23:53:53.0Z,1,REGULAR,substitution,in,[],1629014,,,1610612757,19,19,2021-05-02T23:54:11Z,1010000,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M26.00S,2021-05-02T23:54:22.3Z,1,REGULAR,freethrow,2 of 2,[],202683,,,1610612757,19,19,2021-05-02T23:54:22Z,1020000,,,0,,MISS E. Kanter Free Throw 2 of 2,[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,Missed,,,,,,,,,,,,,,,,,,,
104,PT04M25.00S,2021-05-02T23:54:23.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,19,19,2021-05-02T23:54:23Z,1030000,,,0,,J. Brown REBOUND (Off:2 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,103.0,6.0,4.0,2.0,,,,,,,,
105,PT04M11.00S,2021-05-02T23:54:37.7Z,1,REGULAR,2pt,Jump Shot,[],203095,69.20170827858082,55.951286764705884,1610612738,21,19,2021-05-02T23:54:44Z,1040000,30.0,237.0,1,right,E. Fournier 23' step back Jump Shot (7 PTS),[203095],1610612738.0,BOS,step back,,,Fournier,E. Fournier,,,,,23.89,Made,7.0,,,,,,,,,,,,,,,,,,
106,PT04M01.00S,2021-05-02T23:54:50.0Z,1,REGULAR,foul,personal,[],203935,,,1610612757,21,19,2021-05-02T23:55:03Z,1050000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 203081]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Lillard,203081.0,
108,PT03M48.00S,2021-05-02T23:55:23.0Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612757,21,19,2021-05-02T23:55:39Z,1070000,,,0,,J. Brown shooting personal FOUL (2 PF) (Lillard 2 FT),"[1627759, 203081]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1627534.0,2.0,0.0,Lillard,203081.0,
110,PT03M48.00S,2021-05-02T23:55:55.6Z,1,REGULAR,freethrow,1 of 2,[],203081,,,1610612757,21,20,2021-05-02T23:55:55Z,1090000,,,0,,D. Lillard Free Throw 1 of 2 (8 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
111,PT03M48.00S,2021-05-02T23:56:10.7Z,1,REGULAR,freethrow,2 of 2,[],203081,,,1610612757,21,21,2021-05-02T23:56:10Z,1100000,,,0,,D. Lillard Free Throw 2 of 2 (9 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
112,PT03M37.00S,2021-05-02T23:56:26.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.85873850197109,77.0297181372549,1610612738,24,21,2021-05-02T23:56:31Z,1110000,135.0,231.0,1,right,J. Brown 26' 3PT  (8 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.74,Made,8.0,,,,,,,,,,,,,,,,,,
113,PT03M25.00S,2021-05-02T23:56:38.9Z,1,REGULAR,2pt,Jump Shot,[],203081,23.47240473061761,31.44148284313725,1610612757,24,21,2021-05-02T23:56:48Z,1120000,93.0,168.0,1,left,MISS D. Lillard 19' pullup Shot,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,19.2,Missed,,,,,,,,,,,,,,,,,,,
114,PT03M23.00S,2021-05-02T23:56:40.9Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,24,21,2021-05-02T23:56:48Z,1130000,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,113.0,2.0,2.0,0.0,,,,,,,,
115,PT03M13.00S,2021-05-02T23:57:16.5Z,1,REGULAR,jumpball,recovered,[],1629057,,,1610612738,24,21,2021-05-02T23:57:16Z,1140000,,,0,,Jump Ball M. Smart vs. A. Simons: Tip to R. Williams III,"[1629057, 203935, 1629014]",1610612738.0,BOS,heldball,R. Williams III,1629057.0,Williams III,R. Williams III,Smart,203935.0,Simons,1629014.0,,,,,,,,,,,,,,,,,,,,,
118,PT03M07.00S,2021-05-02T23:57:23.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,60.791721419185286,42.715992647058826,1610612738,24,21,2021-05-02T23:57:29Z,1170000,-36.0,316.0,1,right,MISS J. Brown 31' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,31.82,Missed,,,,,,,,,,,,,,,,,,,
119,PT03M04.00S,2021-05-02T23:57:26.2Z,1,REGULAR,rebound,defensive,[],202683,,,1610612757,24,21,2021-05-02T23:57:29Z,1180000,,,0,,E. Kanter REBOUND (Off:0 Def:1),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,118.0,1.0,1.0,0.0,,,,,,,,
120,PT02M54.00S,2021-05-02T23:57:35.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2546,12.302890932982917,65.75520833333334,1610612757,24,23,2021-05-02T23:57:43Z,1190000,-79.0,63.0,1,left,C. Anthony 10' turnaround Jump Shot (2 PTS),[2546],1610612757.0,POR,turnaround,,,Anthony,C. Anthony,,,,,10.1,Made,2.0,,,,,,,,,,,,,,,,,,
121,PT02M37.00S,2021-05-02T23:57:53.5Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,24,23,2021-05-02T23:58:00Z,1200000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 202683]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,1.0,Kanter,202683.0,,,,,,,,,,,,
122,PT02M37.00S,2021-05-02T23:57:53.5Z,1,REGULAR,steal,,[],202683,,,1610612757,24,23,2021-05-02T23:57:55Z,1210000,,,0,,E. Kanter STEAL (1 STL),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M34.00S,2021-05-02T23:57:58.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203095,,,1610612757,24,23,2021-05-03T00:00:39Z,1220000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Covington 2 FT),"[203095, 203496]",1610612738.0,BOS,shooting,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,1627534.0,1.0,0.0,Covington,203496.0,
126,PT02M34.00S,2021-05-02T23:58:26.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,24,23,2021-05-02T23:58:26Z,1240000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M34.00S,2021-05-03T00:00:31.2Z,1,REGULAR,substitution,out,[],1627759,,,1610612757,24,23,2021-05-03T00:00:38Z,1250000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M34.00S,2021-05-03T00:00:31.2Z,1,REGULAR,substitution,out,[],203095,,,1610612757,24,23,2021-05-03T00:00:38Z,1260000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M34.00S,2021-05-03T00:00:31.2Z,1,REGULAR,substitution,in,[],1628369,,,1610612757,24,23,2021-05-03T00:00:38Z,1270000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M34.00S,2021-05-03T00:00:31.2Z,1,REGULAR,substitution,in,[],1629641,,,1610612757,24,23,2021-05-03T00:00:38Z,1280000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M34.00S,2021-05-03T00:01:14.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203496,,,1610612757,24,24,2021-05-03T00:01:36Z,1290000,,,0,,R. Covington Free Throw 1 of 2 (1 PTS),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
132,PT02M34.00S,2021-05-03T00:01:14.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203496,,,1610612757,24,24,2021-05-03T00:01:36Z,1300000,,,0,,MISS R. Covington Free Throw 2 of 2,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,Missed,,,,,,,,,,,,,,,,,,,
133,PT02M32.00S,2021-05-03T00:01:16.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,24,24,2021-05-03T00:01:36Z,1310000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,132.0,1.0,1.0,0.0,,,,,,,,
134,PT02M21.00S,2021-05-03T00:01:42.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629641,92.59198423127464,52.27481617647059,1610612738,26,24,2021-05-03T00:01:47Z,1320000,11.0,17.0,1,right,R. Langford alley-oop DUNK (2 PTS) (M. Smart 3 AST),"[1629641, 203935]",1610612738.0,BOS,alley-oop,,,Langford,R. Langford,,,,,2.06,Made,2.0,M. Smart,203935.0,3.0,,,,,,,,,,,,,,,
136,PT01M59.00S,2021-05-03T00:02:04.2Z,1,REGULAR,3pt,Jump Shot,[],203496,27.414586070959263,78.50030637254902,1610612757,26,24,2021-05-03T00:02:09Z,1340000,-143.0,205.0,1,left,MISS R. Covington 24' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,24.98,Missed,,,,,,,,,,,,,,,,,,,
137,PT01M55.00S,2021-05-03T00:02:08.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,26,24,2021-05-03T00:02:09Z,1350000,,,0,,M. Smart REBOUND (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,136.0,2.0,1.0,1.0,,,,,,,,
138,PT01M47.00S,2021-05-03T00:02:15.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,70.12155059132719,78.25520833333334,1610612738,29,24,2021-05-03T00:02:24Z,1360000,141.0,228.0,1,right,J. Tatum 26' 3PT  (5 PTS) (M. Smart 4 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.86,Made,5.0,M. Smart,203935.0,4.0,,,,,,,,,,,,,,,
140,PT01M23.00S,2021-05-03T00:02:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,16.113666228646515,37.8140318627451,1610612757,29,24,2021-05-03T00:02:48Z,1380000,61.0,99.0,1,left,MISS D. Lillard 11' floating Shot,[203081],1610612757.0,POR,floating,,,Lillard,D. Lillard,,,,,11.62,Missed,,,,,,,,,,,,,,,,,,,
141,PT01M21.00S,2021-05-03T00:02:41.6Z,1,REGULAR,rebound,offensive,[],202683,,,1610612757,29,24,2021-05-03T00:02:48Z,1390000,,,0,,E. Kanter REBOUND (Off:1 Def:1),[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,140.0,2.0,1.0,1.0,,,,,,,,
142,PT01M21.00S,2021-05-03T00:02:43.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202683,6.652431011826544,46.14736519607843,1610612757,29,24,2021-05-03T00:02:52Z,1400000,19.0,10.0,1,left,MISS E. Kanter Layup - blocked,"[202683, 1629057]",1610612757.0,POR,,,,Kanter,E. Kanter,,,,,2.17,Missed,,,,,,,,,,,,Williams III,1629057.0,,,,,,
143,PT01M21.00S,2021-05-03T00:02:43.2Z,1,REGULAR,block,,[],1629057,,,1610612757,29,24,2021-05-03T00:02:44Z,1410000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M18.00S,2021-05-03T00:02:46.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,29,24,2021-05-03T00:11:49Z,1420000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,142.0,1.0,1.0,0.0,,,,,,,,
145,PT01M18.00S,2021-05-03T00:02:50.8Z,1,REGULAR,turnover,traveling,[],1628369,,,1610612738,29,24,2021-05-03T00:03:01Z,1430000,,,0,,J. Tatum traveling TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,1.0,,,,,,,,,2882.0,,,,,
146,PT00M58.80S,2021-05-03T00:03:20.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],2546,7.966491458607096,78.25520833333334,1610612757,29,26,2021-05-03T00:03:26Z,1440000,-141.0,22.0,1,left,C. Anthony 14' Jump Shot (4 PTS),[2546],1610612757.0,POR,,,,Anthony,C. Anthony,,,,,14.31,Made,4.0,,,,,,,,,,,,,,,,,,
147,PT00M42.80S,2021-05-03T00:03:47.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.72733245729303,76.53952205882352,1610612738,32,26,2021-05-03T00:03:56Z,1450000,133.0,232.0,1,right,J. Tatum 26' 3PT step back (8 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,26.74,Made,8.0,,,,,,,,,,,,,,,,,,
148,PT00M36.60S,2021-05-03T00:04:00.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,6.783837056504599,47.86305147058824,1610612757,32,28,2021-05-03T00:04:05Z,1460000,11.0,11.0,1,left,D. Lillard driving finger roll Layup (11 PTS),[203081],1610612757.0,POR,driving finger roll,,,Lillard,D. Lillard,,,,,1.56,Made,11.0,,,,,,,,,,,,,,,,,,
149,PT00M32.90S,2021-05-03T00:04:06.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,69.59592641261499,24.57873774509804,1610612738,32,28,2021-05-03T00:04:14Z,1470000,-127.0,233.0,1,right,MISS M. Smart 26' running pullup 3PT,[203935],1610612738.0,BOS,running pullup,,,Smart,M. Smart,,,,,26.57,Missed,,,,,,,,,,,,,,,,,,,
150,PT00M30.20S,2021-05-03T00:04:09.6Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,32,28,2021-05-03T00:04:14Z,1480000,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,149.0,2.0,2.0,0.0,,,,,,,,
151,PT00M09.00S,2021-05-03T00:04:30.8Z,1,REGULAR,3pt,Jump Shot,[],1629014,26.62614980289093,14.529718137254902,1610612757,32,31,2021-05-03T00:04:37Z,1490000,177.0,198.0,1,left,A. Simons 26' 3PT  (3 PTS) (D. Lillard 3 AST),"[1629014, 203081]",1610612757.0,POR,,,,Simons,A. Simons,,,,,26.57,Made,3.0,D. Lillard,203081.0,3.0,,,,,,,,,,,,,,,
153,PT00M03.60S,2021-05-03T00:04:44.8Z,1,REGULAR,foul,offensive,['inpenalty'],1629057,,,1610612738,32,31,2021-05-03T00:05:02Z,1510000,,,0,,R. Williams III offensive FOUL (1 PF),"[1629057, 203081]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Lillard,203081.0,
155,PT00M03.60S,2021-05-03T00:04:44.8Z,1,REGULAR,turnover,offensive foul,[],1629057,,,1610612738,32,31,2021-05-03T00:04:44Z,1530000,,,0,,R. Williams III offensive foul TURNOVER (1 TO),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,1.0,,,,,,,,,2882.0,,,,,
156,PT00M03.60S,2021-05-03T00:05:02.1Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612757,32,31,2021-05-03T00:05:09Z,1540000,,,0,,TEAM delay-of-game VIOLATION,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,204058.0,,,,,
157,PT00M03.60S,2021-05-03T00:05:04.2Z,1,REGULAR,substitution,out,[],202683,,,1610612757,32,31,2021-05-03T00:05:10Z,1550000,,,0,,SUB out: E. Kanter,[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M03.60S,2021-05-03T00:05:04.2Z,1,REGULAR,substitution,in,[],203468,,,1610612757,32,31,2021-05-03T00:05:10Z,1560000,,,0,,SUB in: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M00.50S,2021-05-03T00:05:18.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,25.57490144546649,83.15716911764706,1610612757,32,34,2021-05-03T00:05:27Z,1570000,-166.0,188.0,1,left,C. McCollum 25' 3PT pullup (7 PTS) (R. Covington 1 AST),"[203468, 203496]",1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,25.06,Made,7.0,R. Covington,203496.0,1.0,,,,,,,,,,,,,,,
160,PT00M00.00S,2021-05-03T00:05:47.7Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,32,34,2021-05-03T00:06:20Z,1580000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,,,,2882.0,,,,,Support 3pt FG
162,PT00M00.00S,2021-05-03T00:07:19.8Z,1,REGULAR,period,end,[],0,,,1610612738,32,34,2021-05-03T00:07:19Z,1590000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-05-03T00:07:42.1Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612738,32,34,2021-05-03T00:08:00Z,1600000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-05-03T00:07:42.1Z,2,REGULAR,substitution,out,['startperiod'],203081,,,1610612738,32,34,2021-05-03T00:08:00Z,1610000,,,0,,SUB out: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-05-03T00:07:42.1Z,2,REGULAR,substitution,out,['startperiod'],203496,,,1610612738,32,34,2021-05-03T00:08:00Z,1620000,,,0,,SUB out: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-05-03T00:07:42.1Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612738,32,34,2021-05-03T00:08:00Z,1630000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-05-03T00:07:42.1Z,2,REGULAR,substitution,in,['startperiod'],202683,,,1610612738,32,34,2021-05-03T00:08:00Z,1640000,,,0,,SUB in: E. Kanter,[202683],1610612757.0,POR,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-05-03T00:07:42.1Z,2,REGULAR,substitution,in,['startperiod'],1626181,,,1610612738,32,34,2021-05-03T00:08:00Z,1650000,,,0,,SUB in: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-05-03T00:08:11.2Z,2,REGULAR,period,start,[],0,,,1610612738,32,34,2021-05-03T00:08:11Z,1660000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M47.00S,2021-05-03T00:08:23.7Z,2,REGULAR,3pt,Jump Shot,[],1630174,66.17936925098554,44.921875,1610612738,35,34,2021-05-03T00:08:29Z,1670000,-25.0,265.0,1,right,A. Nesmith 26' 3PT  (6 PTS) (J. Tatum 1 AST),"[1630174, 1628369]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,26.66,Made,6.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
172,PT11M27.00S,2021-05-03T00:08:43.0Z,2,REGULAR,3pt,Jump Shot,[],203468,25.57490144546649,83.64736519607843,1610612757,35,37,2021-05-03T00:08:48Z,1690000,-168.0,188.0,1,left,C. McCollum 25' 3PT pullup (10 PTS),[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,25.22,Made,10.0,,,,,,,,,,,,,,,,,,
173,PT11M15.00S,2021-05-03T00:08:58.8Z,2,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,35,37,2021-05-03T00:09:15Z,1700000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (2 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,,,,2.0,,,,,,,,,2882.0,,,,,
