actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
27,PT09M43.00S,2021-05-02T23:43:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,5.995400788436268,60.60814950980392,1610612757,4,9,2021-05-02T23:43:53Z,270000,-53.0,4.0,1,left,D. Lillard cutting finger roll Layup (2 PTS) (J. Nurkic 2 AST),"[203081, 203994]",1610612757.0,POR,cutting finger roll,,,Lillard,D. Lillard,,,,,5.31,Made,2.0,J. Nurkic,203994.0,2.0,,,,,,,,,,,,,,,
29,PT09M34.00S,2021-05-02T23:43:53.1Z,1,REGULAR,2pt,Jump Shot,[],203935,77.61169513797634,50.314031862745104,1610612738,4,9,2021-05-02T23:48:03Z,290000,2.0,158.0,1,right,MISS M. Smart 15' driving floating Shot,[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,15.8,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M30.00S,2021-05-02T23:43:57.1Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,4,9,2021-05-02T23:44:02Z,300000,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,
31,PT09M30.00S,2021-05-02T23:43:57.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203935,94.40999984741211,50.0,1610612738,4,9,2021-05-02T23:49:51Z,310000,0.0,0.0,1,right,MISS M. Smart tip Layup,[203935],1610612738.0,BOS,tip,,,Smart,M. Smart,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M29.00S,2021-05-02T23:43:58.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,4,9,2021-05-02T23:49:51Z,320000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,
33,PT09M27.00S,2021-05-02T23:44:01.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626181,7.5722733245729295,47.127757352941174,1610612757,4,9,2021-05-02T23:44:09Z,330000,14.0,19.0,1,left,MISS N. Powell running Layup - blocked,"[1626181, 1628369]",1610612757.0,POR,running,,,Powell,N. Powell,,,,,2.36,Missed,,,,,,,,,,,,Tatum,1628369.0,,,,,,
34,PT09M27.00S,2021-05-02T23:44:01.2Z,1,REGULAR,block,,[],1628369,,,1610612757,4,9,2021-05-02T23:44:03Z,340000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M27.00S,2021-05-02T23:44:01.2Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,4,9,2021-05-02T23:44:09Z,350000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,
36,PT09M22.00S,2021-05-02T23:44:06.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,69.33311432325887,76.29442401960785,1610612738,4,9,2021-05-02T23:44:17Z,360000,131.0,236.0,1,right,MISS J. Brown 27' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,27.0,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M19.00S,2021-05-02T23:44:09.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,4,9,2021-05-02T23:44:17Z,370000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,
