actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
21,PT09M35.00S,2021-06-01T23:48:14.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,92.72339027595268,48.59834558823529,1610612738,2,8,2021-06-01T23:48:23Z,210000,-7.0,16.0,1,right,R. Langford driving Layup (2 PTS),[1629641],1610612738.0,BOS,driving,,,Langford,R. Langford,,,,,1.74,Made,,,,,,,2.0,,,,,,,,,,,,
22,PT09M24.00S,2021-06-01T23:48:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,4.812746386333772,49.82383578431372,1610612751,4,8,2021-06-01T23:48:37Z,220000,1.0,-7.0,1,left,J. Harden running Layup (4 PTS),[201935],1610612751.0,BKN,running,,,Harden,J. Harden,,,,,0.74,Made,,,,,,,4.0,,,,,,,,,,,,
23,PT09M07.00S,2021-06-01T23:48:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,87.46714848883047,46.63756127450981,1610612738,4,8,2021-06-01T23:48:45Z,230000,-17.0,65.0,1,right,MISS J. Tatum 6' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,6.74,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M06.00S,2021-06-01T23:48:43.3Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,4,8,2021-06-01T23:48:43Z,240000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
25,PT09M05.00S,2021-06-01T23:48:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.03745072273325,47.61795343137255,1610612738,4,8,2021-06-01T23:48:48Z,250000,-12.0,4.0,1,right,MISS T. Thompson putback Layup - blocked,"[202684, 202681]",1610612738.0,BOS,putback,,,Thompson,T. Thompson,,,,,1.24,Missed,,,,,Irving,202681.0,,,,,,,,,,,,,
26,PT09M05.00S,2021-06-01T23:48:44.3Z,1,REGULAR,block,,[],202681,,,1610612738,4,8,2021-06-01T23:48:46Z,260000,,,0,,K. Irving BLOCK (1 BLK),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M05.00S,2021-06-01T23:48:44.3Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,4,8,2021-06-01T23:48:48Z,270000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
28,PT08M56.00S,2021-06-01T23:48:53.4Z,1,REGULAR,3pt,Jump Shot,[],201935,31.35676741130092,49.82383578431372,1610612751,4,8,2021-06-01T23:49:00Z,280000,1.0,242.0,1,left,MISS J. Harden 24' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,24.23,Missed,,,,,,,,,,,,,,,,,,,
29,PT08M53.00S,2021-06-01T23:48:56.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,8,2021-06-01T23:49:00Z,290000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
30,PT08M50.00S,2021-06-01T23:49:00.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,76.03482260183968,87.56893382352942,1610612738,4,8,2021-06-01T23:49:13Z,300000,188.0,173.0,1,right,MISS M. Smart 25' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,25.52,Missed,,,,,,,,,,,,,,,,,,,
