actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-02-17T00:11:00.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-02-17T00:11:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-02-17T00:11:03.4Z,1,REGULAR,jumpball,recovered,[],203210,,,1610612743,0,0,2021-02-17T00:11:03Z,40000,,,0,,Jump Ball N. Jokic vs. T. Thompson: Tip to J. Green,"[203210, 203999, 202684]",1610612743.0,DEN,startperiod,J. Green,203210.0,Green,J. Green,Jokic,203999.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-02-17T00:11:15.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,8.09789750328515,62.07873774509803,1610612743,0,0,2021-02-17T00:11:23Z,70000,-60.0,24.0,1,left,MISS J. Murray 6' driving finger roll Layup,[1627750],1610612743.0,DEN,driving finger roll,,,Murray,J. Murray,,,,,6.48,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-02-17T00:11:16.4Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,0,0,2021-02-17T00:11:23Z,80000,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M42.00S,2021-02-17T00:11:22.5Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612743,0,0,2021-02-17T00:11:30Z,90000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Jokic 2 FT),"[1628369, 203999]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,2530.0,1.0,0.0,Jokic,203999.0,,,,,,,,,
11,PT11M42.00S,2021-02-17T00:11:44.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203999,,,1610612743,0,1,2021-02-17T00:11:44Z,110000,,,0,,N. Jokic Free Throw 1 of 2 (1 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M42.00S,2021-02-17T00:11:57.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203999,,,1610612743,0,2,2021-02-17T00:11:57Z,120000,,,0,,N. Jokic Free Throw 2 of 2 (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
13,PT11M24.00S,2021-02-17T00:12:16.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202684,90.75229960578186,51.294424019607845,1610612738,2,2,2021-02-17T00:12:21Z,130000,6.0,34.0,1,right,T. Thompson cutting DUNK (2 PTS) (K. Walker 1 AST),"[202684, 202689]",1610612738.0,BOS,cutting,,,Thompson,T. Thompson,,,,,3.5,Made,,,,,,,,,,2.0,K. Walker,202689.0,1.0,,,,,
15,PT11M02.00S,2021-02-17T00:12:37.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,10.463206307490145,46.392463235294116,1610612743,2,4,2021-02-17T00:12:46Z,150000,18.0,46.0,1,left,N. Jokic driving Layup (4 PTS),[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,4.93,Made,,,,,,,,,,4.0,,,,,,,,
16,PT10M45.00S,2021-02-17T00:12:54.3Z,1,REGULAR,2pt,Jump Shot,[],202689,90.88370565045992,75.55912990196079,1610612738,2,4,2021-02-17T00:13:01Z,160000,128.0,33.0,1,right,MISS K. Walker 13' fadeaway Shot,[202689],1610612738.0,BOS,fadeaway,,,Walker,K. Walker,,,,,13.2,Missed,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2021-02-17T00:12:57.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,2,4,2021-02-17T00:13:01Z,170000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M24.00S,2021-02-17T00:13:16.0Z,1,REGULAR,3pt,Jump Shot,[],1627750,12.828515111695138,95.65716911764706,1610612743,2,7,2021-02-17T00:13:21Z,180000,-228.0,68.0,1,left,J. Murray 3PT step back (3 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,23.82,Made,,,,,,,,,,3.0,,,,,,,,
19,PT09M58.00S,2021-02-17T00:13:42.3Z,1,REGULAR,3pt,Jump Shot,[],1628400,71.69842312746385,13.549325980392158,1610612738,2,7,2021-02-17T00:13:46Z,190000,-182.0,214.0,1,right,MISS S. Ojeleye 28' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,28.07,Missed,,,,,,,,,,,,,,,,,,
20,PT09M54.00S,2021-02-17T00:13:46.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,2,7,2021-02-17T00:13:46Z,200000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT09M50.00S,2021-02-17T00:13:49.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,24.917871222076215,15.510110294117647,1610612743,2,7,2021-02-17T00:13:56Z,210000,172.0,182.0,1,left,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,25.05,Missed,,,,,,,,,,,,,,,,,,
22,PT09M45.00S,2021-02-17T00:13:54.4Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,2,7,2021-02-17T00:13:56Z,220000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M25.00S,2021-02-17T00:14:15.2Z,1,REGULAR,3pt,Jump Shot,[],202689,93.38042049934296,3.5003063725490198,1610612738,2,7,2021-02-17T00:14:19Z,230000,-232.0,10.0,1,right,MISS K. Walker 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,23.27,Missed,,,,,,,,,,,,,,,,,,
24,PT09M23.00S,2021-02-17T00:14:17.2Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,2,7,2021-02-17T00:14:19Z,240000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,23.0,3.0,3.0,0.0,,,,,,,,,,,,,,
25,PT09M18.00S,2021-02-17T00:14:24.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,2,7,2021-02-17T00:14:24Z,250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M02.00S,2021-02-17T00:14:53.9Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,2,7,2021-02-17T00:15:00Z,260000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,,,,,,,1204.0,,,,,,,,,1.0,,,,
27,PT08M37.00S,2021-02-17T00:15:23.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628400,74.85216819973719,11.588541666666668,1610612738,2,7,2021-02-17T00:15:31Z,270000,-192.0,184.0,1,right,MISS S. Ojeleye 26' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,26.59,Missed,,,,,,,,,,,,,,,,,,
28,PT08M36.00S,2021-02-17T00:15:24.0Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,2,7,2021-02-17T00:16:36Z,280000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,,,,,,
29,PT08M34.00S,2021-02-17T00:15:30.4Z,1,REGULAR,turnover,bad pass,[],202684,,,1610612738,2,7,2021-02-17T00:20:08Z,290000,,,0,,T. Thompson bad pass TURNOVER (1 TO),"[202684, 1627750]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,1.0,Murray,1627750.0,,
30,PT08M34.00S,2021-02-17T00:15:30.4Z,1,REGULAR,steal,,[],1627750,,,1610612743,2,7,2021-02-17T00:15:32Z,300000,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,
31,PT08M33.00S,2021-02-17T00:15:34.3Z,1,REGULAR,turnover,lost ball,[],1627750,,,1610612743,2,7,2021-02-17T00:15:44Z,310000,,,0,,J. Murray lost ball TURNOVER (1 TO),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,1.0,,,,
