actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
207,PT07M12.00S,2021-02-21T21:19:45.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.40999984741211,50.0,1610612738,34,46,2021-02-21T21:19:45Z,1990000,0.0,0.0,1,right,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
208,PT07M11.00S,2021-02-21T21:19:46.6Z,2,REGULAR,rebound,defensive,[],1628366,,,1610612740,34,46,2021-02-21T21:19:46Z,2000000,,,0,,L. Ball REBOUND (Off:0 Def:3),[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,,,,207.0,3.0,3.0,0.0,,,,,,,,,,,
209,PT07M08.00S,2021-02-21T21:19:50.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628366,27.151773981603156,81.68658088235294,1610612740,37,46,2021-02-21T21:19:54Z,2010000,-158.0,203.0,1,left,L. Ball 25' 3PT  (11 PTS),[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,25.73,Made,11.0,,,,,,,,,,,,,,,,,,
210,PT06M46.00S,2021-02-21T21:20:12.4Z,2,REGULAR,turnover,bad pass,[],1630202,,,1610612738,37,46,2021-02-21T21:20:18Z,2020000,,,0,,P. Pritchard bad pass TURNOVER (1 TO),"[1630202, 1628366]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,1.0,Ball,1628366.0,,,,,,,,
211,PT06M46.00S,2021-02-21T21:20:12.4Z,2,REGULAR,steal,,[],1628366,,,1610612740,37,46,2021-02-21T21:20:14Z,2030000,,,0,,L. Ball STEAL (1 STL),[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT06M36.00S,2021-02-21T21:20:21.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629627,5.338370565045992,45.166973039215684,1610612740,37,46,2021-02-21T21:20:31Z,2040000,24.0,-2.0,1,left,MISS Z. Williamson Layup - blocked,"[1629627, 202684]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,2.43,Missed,,,,,,,,,,,,,,,,,Thompson,202684.0,
213,PT06M36.00S,2021-02-21T21:20:21.5Z,2,REGULAR,block,,[],202684,,,1610612740,37,46,2021-02-21T21:20:23Z,2050000,,,0,,T. Thompson BLOCK (1 BLK),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT06M34.00S,2021-02-21T21:20:23.5Z,2,REGULAR,rebound,defensive,[],202684,,,1610612738,37,46,2021-02-21T21:20:31Z,2060000,,,0,,T. Thompson REBOUND (Off:1 Def:3),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,212.0,4.0,3.0,1.0,,,,,,,,,,,
215,PT06M33.00S,2021-02-21T21:20:34.5Z,2,REGULAR,foul,personal,['2freethrow'],200755,,,1610612738,37,46,2021-02-21T21:20:49Z,2070000,,,0,,J. Redick shooting personal FOUL (2 PF) (Nesmith 2 FT),"[200755, 1630174]",1610612740.0,NOP,shooting,,,Redick,J. Redick,,,,,,,,,,,,,,,,,,2148.0,2.0,0.0,Nesmith,1630174.0,,,
217,PT06M33.00S,2021-02-21T21:21:07.7Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1630174,,,1610612738,37,47,2021-02-21T21:21:07Z,2090000,,,0,,A. Nesmith Free Throw 1 of 2 (6 PTS),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
218,PT06M33.00S,2021-02-21T21:21:10.0Z,2,REGULAR,substitution,out,[],1629627,,,1610612738,37,47,2021-02-21T21:21:26Z,2100000,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M33.00S,2021-02-21T21:21:10.0Z,2,REGULAR,substitution,out,[],1630202,,,1610612738,37,47,2021-02-21T21:21:26Z,2110000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M33.00S,2021-02-21T21:21:10.0Z,2,REGULAR,substitution,out,[],202684,,,1610612738,37,47,2021-02-21T21:21:26Z,2120000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M33.00S,2021-02-21T21:21:10.0Z,2,REGULAR,substitution,in,[],1627742,,,1610612738,37,47,2021-02-21T21:21:26Z,2130000,,,0,,SUB in: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M33.00S,2021-02-21T21:21:10.0Z,2,REGULAR,substitution,in,[],202689,,,1610612738,37,47,2021-02-21T21:21:26Z,2140000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M33.00S,2021-02-21T21:21:10.0Z,2,REGULAR,substitution,in,[],1629057,,,1610612738,37,47,2021-02-21T21:21:26Z,2150000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M33.00S,2021-02-21T21:21:39.0Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1630174,,,1610612738,37,48,2021-02-21T21:21:39Z,2160000,,,0,,A. Nesmith Free Throw 2 of 2 (7 PTS),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
225,PT06M17.00S,2021-02-21T21:21:56.3Z,2,REGULAR,3pt,Jump Shot,[],200755,21.50131406044678,88.79442401960785,1610612740,37,48,2021-02-21T21:22:01Z,2170000,-194.0,150.0,1,left,MISS J. Redick 24' 3PT,[200755],1610612740.0,NOP,,,,Redick,J. Redick,,,,,24.5,Missed,,,,,,,,,,,,,,,,,,,
226,PT06M15.00S,2021-02-21T21:21:58.3Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,37,48,2021-02-21T21:22:01Z,2180000,,,0,,R. Williams III REBOUND (Off:2 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,225.0,3.0,1.0,2.0,,,,,,,,,,,
242,PT06M03.00S,2021-02-21T21:22:12.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.5407358738502,51.294424019607845,1610612738,37,48,2021-02-21T21:25:43Z,2190000,6.0,27.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.78,Missed,,,,,,,,,,,,,,,,,,,
243,PT06M02.00S,2021-02-21T21:22:13.7Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,37,48,2021-02-21T21:25:43Z,2195000,,,0,,R. Williams III REBOUND (Off:3 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,242.0,4.0,1.0,3.0,,,,,,,,,,,
241,PT06M02.00S,2021-02-21T21:22:29.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629057,94.30026281208936,51.294424019607845,1610612738,37,50,2021-02-21T21:44:17Z,2200000,6.0,1.0,1,right,R. Williams III putback DUNK (4 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,0.66,Made,4.0,,,,,,,,,,,,,,,,,,
230,PT06M02.00S,2021-02-21T21:23:02.0Z,2,REGULAR,instantreplay,challenge,[],0,,,1610612740,37,50,2021-02-21T21:44:08Z,2220000,,,0,,,[],1610612738.0,BOS,overturned,,,,,,,,,,,,,,,,,,,,,,201639.0,,,,,,,
231,PT06M02.00S,2021-02-21T21:24:00.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,37,50,2021-02-21T21:25:25Z,2230000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M02.00S,2021-02-21T21:25:03.7Z,2,REGULAR,substitution,out,[],200755,,,1610612740,37,50,2021-02-21T21:25:25Z,2240000,,,0,,SUB out: J. Redick,[200755],1610612740.0,NOP,,,,Redick,J. Redick,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M02.00S,2021-02-21T21:25:03.7Z,2,REGULAR,substitution,out,[],1629637,,,1610612740,37,50,2021-02-21T21:25:25Z,2250000,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M02.00S,2021-02-21T21:25:03.7Z,2,REGULAR,substitution,out,[],1630174,,,1610612740,37,50,2021-02-21T21:25:25Z,2260000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M02.00S,2021-02-21T21:25:03.7Z,2,REGULAR,substitution,in,[],1626195,,,1610612740,37,50,2021-02-21T21:25:25Z,2270000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M02.00S,2021-02-21T21:25:03.7Z,2,REGULAR,substitution,in,[],202339,,,1610612740,37,50,2021-02-21T21:25:25Z,2280000,,,0,,SUB in: E. Bledsoe,[202339],1610612740.0,NOP,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M02.00S,2021-02-21T21:25:03.7Z,2,REGULAR,substitution,in,[],1627759,,,1610612740,37,50,2021-02-21T21:25:25Z,2290000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT05M45.00S,2021-02-21T21:26:15.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202339,5.469776609724048,47.127757352941174,1610612740,39,50,2021-02-21T21:29:05Z,2300000,14.0,-1.0,1,left,E. Bledsoe driving Layup (4 PTS) (B. Ingram 2 AST),"[202339, 1627742]",1610612740.0,NOP,driving,,,Bledsoe,E. Bledsoe,,,,,1.44,Made,4.0,B. Ingram,1627742.0,2.0,,,,,,,,,,,,,,,
246,PT05M45.00S,2021-02-21T21:26:18.3Z,2,REGULAR,foul,personal,['1freethrow'],1629057,,,1610612740,39,50,2021-02-21T21:26:34Z,2320000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Bledsoe 1 FT),"[1629057, 202339]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,2148.0,1.0,0.0,Bledsoe,202339.0,,,
248,PT05M45.00S,2021-02-21T21:26:38.4Z,2,REGULAR,freethrow,1 of 1,[],202339,,,1610612740,39,50,2021-02-21T21:26:38Z,2340000,,,0,,MISS E. Bledsoe Free Throw 1 of 1,[202339],1610612740.0,NOP,,,,Bledsoe,E. Bledsoe,,,,,,Missed,,,,,,,,,,,,,,,,,,,
249,PT05M42.00S,2021-02-21T21:26:39.5Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,39,50,2021-02-21T21:26:39Z,2350000,,,0,,R. Williams III REBOUND (Off:3 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,248.0,5.0,2.0,3.0,,,,,,,,,,,
250,PT05M27.00S,2021-02-21T21:26:54.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,88.64980289093299,49.57873774509804,1610612738,39,50,2021-02-21T21:27:03Z,2360000,-2.0,54.0,1,right,MISS J. Brown floating Shot,[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,5.42,Missed,,,,,,,,,,,,,,,,,,,
251,PT05M27.00S,2021-02-21T21:26:54.5Z,2,REGULAR,rebound,defensive,[],1626195,,,1610612740,39,50,2021-02-21T21:27:03Z,2370000,,,0,,W. Hernangomez REBOUND (Off:0 Def:4),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,250.0,4.0,4.0,0.0,,,,,,,,,,,
252,PT05M10.00S,2021-02-21T21:27:11.3Z,2,REGULAR,3pt,Jump Shot,[],1627742,10.85742444152431,3.2552083333333335,1610612740,42,50,2021-02-21T21:27:21Z,2380000,234.0,50.0,1,left,B. Ingram 3PT  (10 PTS) (E. Bledsoe 3 AST),"[1627742, 202339]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,23.89,Made,10.0,E. Bledsoe,202339.0,3.0,,,,,,,,,,,,,,,
254,PT04M58.00S,2021-02-21T21:27:26.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202689,92.72339027595268,54.970894607843135,1610612738,42,50,2021-02-21T21:27:32Z,2400000,25.0,16.0,1,right,MISS K. Walker Layup - blocked,"[202689, 1626195]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,2.95,Missed,,,,,,,,,,,,,,,,,Hernangomez,1626195.0,
255,PT04M58.00S,2021-02-21T21:27:26.2Z,2,REGULAR,block,,[],1626195,,,1610612738,42,50,2021-02-21T21:27:29Z,2410000,,,0,,W. Hernangomez BLOCK (1 BLK),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT04M57.00S,2021-02-21T21:27:27.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,42,50,2021-02-21T21:27:32Z,2420000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,254.0,,,,,,,,,,,,,,
257,PT04M57.00S,2021-02-21T21:27:31.3Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,42,50,2021-02-21T21:27:31Z,2430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M51.00S,2021-02-21T21:27:42.0Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1628369,79.45137976346912,44.43167892156863,1610612738,42,50,2021-02-21T21:27:47Z,2440000,-28.0,141.0,1,right,MISS J. Tatum 14' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,14.34,Missed,,,,,,,,,,,,,,,,,,,
259,PT04M47.00S,2021-02-21T21:27:46.0Z,2,REGULAR,rebound,defensive,[],1628404,,,1610612740,42,50,2021-02-21T21:27:47Z,2450000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,258.0,2.0,2.0,0.0,,,,,,,,,,,
260,PT04M40.00S,2021-02-21T21:27:54.2Z,2,REGULAR,turnover,out-of-bounds,[],1626195,,,1610612740,42,50,2021-02-21T21:28:17Z,2460000,,,0,,W. Hernangomez bad pass out-of-bounds TURNOVER (1 TO),[1626195],1610612740.0,NOP,bad pass,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,1.0,,,1155.0,,,,,,,
261,PT04M23.00S,2021-02-21T21:28:21.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,94.43166885676742,51.049325980392155,1610612738,42,52,2021-02-21T21:28:25Z,2470000,5.0,0.0,1,right,J. Tatum driving Layup (8 PTS) (R. Williams III 2 AST),"[1628369, 1629057]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,0.52,Made,8.0,R. Williams III,1629057.0,2.0,,,,,,,,,,,,,,,
262,PT04M05.00S,2021-02-21T21:28:39.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202339,11.514454664914586,38.794424019607845,1610612740,42,52,2021-02-21T21:32:42Z,2480000,56.0,56.0,1,left,MISS E. Bledsoe 7' driving floating Shot,[202339],1610612740.0,NOP,driving floating,,,Bledsoe,E. Bledsoe,,,,,7.9,Missed,,,,,,,,,,,,,,,,,,,
263,PT04M03.00S,2021-02-21T21:28:41.2Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,42,52,2021-02-21T21:28:45Z,2490000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,262.0,1.0,1.0,0.0,,,,,,,,,,,
264,PT03M45.00S,2021-02-21T21:28:59.8Z,2,REGULAR,3pt,Jump Shot,[],202689,68.41327201051249,35.60814950980392,1610612738,42,52,2021-02-21T21:29:06Z,2500000,-72.0,244.0,1,right,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
265,PT03M42.00S,2021-02-21T21:29:02.8Z,2,REGULAR,rebound,defensive,[],1626195,,,1610612740,42,52,2021-02-21T21:29:06Z,2510000,,,0,,W. Hernangomez REBOUND (Off:0 Def:5),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,264.0,5.0,5.0,0.0,,,,,,,,,,,
266,PT03M36.00S,2021-02-21T21:29:13.1Z,2,REGULAR,foul,offensive,[],1628366,,,1610612740,42,52,2021-02-21T21:29:18Z,2520000,,,0,,L. Ball charge offensive FOUL (1 PF),"[1628366, 202689]",1610612740.0,NOP,charge,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Walker,202689.0,,,
268,PT03M36.00S,2021-02-21T21:29:13.1Z,2,REGULAR,turnover,offensive foul,[],1628366,,,1610612740,42,52,2021-02-21T21:29:13Z,2540000,,,0,,L. Ball offensive foul TURNOVER (3 TO),[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,,,,,,,,3.0,,,1155.0,,,,,,,
269,PT03M36.00S,2021-02-21T21:29:22.6Z,2,REGULAR,substitution,out,[],1628404,,,1610612738,42,52,2021-02-21T21:29:42Z,2550000,,,0,,SUB out: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT03M36.00S,2021-02-21T21:29:22.6Z,2,REGULAR,substitution,in,[],1629627,,,1610612738,42,52,2021-02-21T21:29:42Z,2560000,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT03M36.00S,2021-02-21T21:29:22.6Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,42,52,2021-02-21T21:30:05Z,2565000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT03M36.00S,2021-02-21T21:29:22.6Z,2,REGULAR,substitution,in,[],202684,,,1610612738,42,52,2021-02-21T21:30:05Z,2567500,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT03M19.00S,2021-02-21T21:29:51.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,92.32917214191852,50.55912990196079,1610612738,42,54,2021-02-21T21:29:59Z,2570000,3.0,20.0,1,right,J. Brown driving finger roll Layup (13 PTS),[1627759],1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,1.98,Made,13.0,,,,,,,,,,,,,,,,,,
274,PT02M59.00S,2021-02-21T21:30:12.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,11.514454664914586,50.314031862745104,1610612740,42,54,2021-02-21T21:30:16Z,2580000,-2.0,56.0,1,left,MISS Z. Williamson driving finger roll Layup,[1629627],1610612740.0,NOP,driving finger roll,,,Williamson,Z. Williamson,,,,,5.57,Missed,,,,,,,,,,,,,,,,,,,
275,PT02M56.00S,2021-02-21T21:30:14.3Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,42,54,2021-02-21T21:30:14Z,2590000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,274.0,1.0,1.0,0.0,,,,,,,,,,,
276,PT02M50.00S,2021-02-21T21:30:23.0Z,2,REGULAR,turnover,out-of-bounds,[],202689,,,1610612738,42,54,2021-02-21T21:30:32Z,2600000,,,0,,K. Walker bad pass out-of-bounds TURNOVER (1 TO),[202689],1610612738.0,BOS,bad pass,,,Walker,K. Walker,,,,,,,,,,,,,,,1.0,,,2148.0,,,,,,,
277,PT02M34.00S,2021-02-21T21:30:49.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202339,6.258212877792378,57.91207107843137,1610612740,42,54,2021-02-21T21:42:19Z,2610000,-40.0,6.0,1,left,MISS E. Bledsoe Layup - blocked,"[202339, 1628464]",1610612740.0,NOP,,,,Bledsoe,E. Bledsoe,,,,,4.01,Missed,,,,,,,,,,,,,,,,,Theis,1628464.0,
278,PT02M34.00S,2021-02-21T21:30:49.3Z,2,REGULAR,block,,[],1628464,,,1610612740,42,54,2021-02-21T21:30:51Z,2620000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
279,PT02M33.00S,2021-02-21T21:30:50.3Z,2,REGULAR,rebound,offensive,[],1626195,,,1610612740,42,54,2021-02-21T21:42:19Z,2630000,,,0,,W. Hernangomez REBOUND (Off:1 Def:5),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,277.0,6.0,5.0,1.0,,,,,,,,,,,
280,PT02M33.00S,2021-02-21T21:30:53.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626195,7.966491458607096,54.72579656862745,1610612740,42,54,2021-02-21T21:43:03Z,2640000,-24.0,22.0,1,left,MISS W. Hernangomez Layup,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,3.25,Missed,,,,,,,,,,,,,,,,,,,
281,PT02M32.00S,2021-02-21T21:30:54.9Z,2,REGULAR,rebound,offensive,[],1626195,,,1610612740,42,54,2021-02-21T21:43:03Z,2650000,,,0,,W. Hernangomez REBOUND (Off:2 Def:5),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,280.0,7.0,5.0,2.0,,,,,,,,,,,
282,PT02M32.00S,2021-02-21T21:30:59.9Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1626195,5.590000152587891,50.0,1610612740,42,54,2021-02-21T21:43:20Z,2660000,0.0,0.0,1,left,MISS W. Hernangomez putback Layup,[1626195],1610612740.0,NOP,putback,,,Hernangomez,W. Hernangomez,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
283,PT02M31.00S,2021-02-21T21:31:00.9Z,2,REGULAR,rebound,offensive,[],1626195,,,1610612740,42,54,2021-02-21T21:43:20Z,2670000,,,0,,W. Hernangomez REBOUND (Off:3 Def:5),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,282.0,8.0,5.0,3.0,,,,,,,,,,,
302,PT02M31.00S,2021-02-21T21:31:01.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626195,7.178055190538765,50.55912990196079,1610612740,42,54,2021-02-21T21:43:32Z,2675000,-3.0,15.0,1,left,MISS W. Hernangomez tip Layup,[1626195],1610612740.0,NOP,tip,,,Hernangomez,W. Hernangomez,,,,,1.53,Missed,,,,,,,,,,,,,,,,,,,
303,PT02M30.00S,2021-02-21T21:31:02.7Z,2,REGULAR,rebound,offensive,[],1626195,,,1610612740,42,54,2021-02-21T21:43:32Z,2677500,,,0,,W. Hernangomez REBOUND (Off:4 Def:5),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,302.0,9.0,5.0,4.0,,,,,,,,,,,
306,PT02M30.00S,2021-02-21T21:31:02.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626195,6.83311432325887,50.091911764705884,1610612740,42,54,2021-02-21T21:43:47Z,2678750,0.0,12.0,1,left,MISS W. Hernangomez putback Layup - blocked,"[1626195, 202689]",1610612740.0,NOP,putback,,,Hernangomez,W. Hernangomez,,,,,1.17,Missed,,,,,,,,,,,,,,,,,Walker,202689.0,
307,PT02M30.00S,2021-02-21T21:31:02.6Z,2,REGULAR,block,,[],202689,,,1610612740,42,54,2021-02-21T21:41:51Z,2679375,,,0,,K. Walker BLOCK (1 BLK),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT02M28.00S,2021-02-21T21:31:04.6Z,2,REGULAR,rebound,offensive,[],1626195,,,1610612740,42,54,2021-02-21T21:44:07Z,2679687,,,0,,W. Hernangomez REBOUND (Off:5 Def:5),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,306.0,10.0,5.0,5.0,,,,,,,,,,,
284,PT02M27.00S,2021-02-21T21:31:03.6Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628366,28.465834428383708,25.314031862745097,1610612740,42,54,2021-02-21T21:44:21Z,2680000,123.0,215.0,1,left,MISS L. Ball 24' 3PT,[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,24.8,Missed,,,,,,,,,,,,,,,,,,,
285,PT02M26.00S,2021-02-21T21:31:04.6Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,42,54,2021-02-21T21:44:21Z,2690000,,,0,,J. Brown REBOUND (Off:1 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,284.0,5.0,4.0,1.0,,,,,,,,,,,
286,PT02M17.00S,2021-02-21T21:31:10.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.38042049934296,46.14736519607843,1610612738,42,56,2021-02-21T21:44:42Z,2700000,-19.0,10.0,1,right,J. Tatum driving Layup (10 PTS) (J. Brown 6 AST),"[1628369, 1627759]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.16,Made,10.0,J. Brown,1627759.0,6.0,,,,,,,,,,,,,,,
287,PT02M11.00S,2021-02-21T21:31:14.9Z,2,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612740,42,56,2021-02-21T21:31:38Z,2710000,,,0,,D. Theis shooting personal FOUL (2 PF) (Ball 2 FT),"[1628464, 1628366]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,1155.0,2.0,0.0,Ball,1628366.0,,,
