actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
19,PT10M25.00S,2021-03-18T00:13:35.9Z,1,REGULAR,2pt,Jump Shot,[],1629012,20.844283837056505,25.559129901960787,1610612739,0,0,2021-03-18T00:13:39Z,190000,122.0,143.0,1,left,MISS C. Sexton 18' step back Shot,[1629012],1610612739.0,CLE,step back,,,Sexton,C. Sexton,,,,,,,,,,18.84,Missed,,,,,,,,,,,,,,
20,PT10M23.00S,2021-03-18T00:13:37.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2021-03-18T00:13:39Z,200000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,
21,PT10M13.00S,2021-03-18T00:13:51.5Z,1,REGULAR,foul,personal,[],1630171,,,1610612738,0,0,2021-03-18T00:14:01Z,210000,,,0,,I. Okoro personal FOUL (1 PF),"[1630171, 1627759]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,1151.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,,
23,PT10M02.00S,2021-03-18T00:14:23.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628369,90.22667542706965,39.77481617647059,1610612738,0,2,2021-03-18T00:16:30Z,230000,-51.0,39.0,1,right,J. Tatum 6' driving Hook (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,6.45,Made,,,,,2.0,,,,,,,,,
25,PT09M40.00S,2021-03-18T00:14:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,7.178055190538765,49.82383578431372,1610612739,2,2,2021-03-18T00:14:51Z,250000,1.0,15.0,1,left,D. Garland driving Layup (2 PTS),[1629636],1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,,,,,,1.5,Made,,,,,2.0,,,,,,,,,
26,PT09M35.00S,2021-03-18T00:14:52.7Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,2,2,2021-03-18T00:15:01Z,260000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,1627541.0,,,,,,,,,,,,1.0,,,,,,,,
27,PT09M12.00S,2021-03-18T00:15:21.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626204,7.5722733245729295,46.392463235294116,1610612739,4,2,2021-03-18T00:15:25Z,270000,18.0,19.0,1,left,L. Nance Jr. cutting DUNK (2 PTS) (I. Okoro 1 AST),"[1626204, 1630171]",1610612739.0,CLE,cutting,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,2.6,Made,,,,,2.0,,I. Okoro,1630171.0,1.0,,,,,
29,PT08M56.00S,2021-03-18T00:15:37.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628400,92.72339027595268,52.029718137254896,1610612738,4,2,2021-03-18T00:15:41Z,290000,10.0,16.0,1,right,MISS S. Ojeleye Layup,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,1.88,Missed,,,,,,,,,,,,,,
30,PT08M54.00S,2021-03-18T00:15:39.4Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,4,2,2021-03-18T00:15:41Z,300000,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,
31,PT08M45.00S,2021-03-18T00:15:52.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,4,2,2021-03-18T00:15:52Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
