actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
80,PT05M34.00S,2021-03-18T00:23:42.0Z,1,REGULAR,turnover,lost ball,[],1629012,,,1610612739,13,8,2021-03-18T00:23:45Z,800000,,,0,,C. Sexton lost ball TURNOVER (1 TO),"[1629012, 1627759]",1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,1.0,,,,,,Brown,1627759.0,
81,PT05M34.00S,2021-03-18T00:23:42.0Z,1,REGULAR,steal,,[],1627759,,,1610612738,13,8,2021-03-18T00:23:44Z,810000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M26.00S,2021-03-18T00:23:49.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1627759,69.59592641261499,24.333639705882355,1610612738,13,8,2021-03-18T00:27:11Z,820000,-128.0,233.0,1,right,MISS J. Brown 26' running 3PT,[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,,,,,,26.63,Missed,,,,,,,,,,,,,,
83,PT05M21.00S,2021-03-18T00:23:54.4Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,13,8,2021-03-18T00:27:11Z,830000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,82.0,1.0,0.0,1.0,,,,,,,,,,
84,PT05M13.00S,2021-03-18T00:24:03.0Z,1,REGULAR,turnover,bad pass,[],201952,,,1610612738,13,8,2021-03-18T00:27:19Z,840000,,,0,,J. Teague bad pass TURNOVER (1 TO),"[201952, 1626204]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,1.0,,,,,,Nance Jr.,1626204.0,
85,PT05M13.00S,2021-03-18T00:24:03.0Z,1,REGULAR,steal,,[],1626204,,,1610612739,13,8,2021-03-18T00:24:05Z,850000,,,0,,L. Nance Jr. STEAL (1 STL),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M13.00S,2021-03-18T00:24:26.1Z,1,REGULAR,foul,personal,['2freethrow'],201952,,,1610612739,13,8,2021-03-18T00:24:43Z,880000,,,0,,J. Teague shooting personal FOUL (1 PF) (Okoro 2 FT),"[201952, 1630171]",1610612738.0,BOS,shooting,,,Teague,J. Teague,,,,,1627529.0,1.0,0.0,Okoro,1630171.0,,,,,,,,,,,,,,,,
90,PT05M13.00S,2021-03-18T00:24:43.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630171,,,1610612739,14,8,2021-03-18T00:24:43Z,900000,,,0,,I. Okoro Free Throw 1 of 2 (1 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,
91,PT05M13.00S,2021-03-18T00:24:46.7Z,1,REGULAR,substitution,out,[],1629012,,,1610612739,14,8,2021-03-18T00:24:51Z,910000,,,0,,SUB out: C. Sexton,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M13.00S,2021-03-18T00:24:46.7Z,1,REGULAR,substitution,in,[],1626224,,,1610612739,14,8,2021-03-18T00:24:51Z,920000,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M13.00S,2021-03-18T00:24:58.1Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1630171,,,1610612739,15,8,2021-03-18T00:24:58Z,930000,,,0,,I. Okoro Free Throw 2 of 2 (2 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,
94,PT05M04.00S,2021-03-18T00:25:14.1Z,1,REGULAR,foul,offensive,[],1629057,,,1610612738,15,8,2021-03-18T00:25:26Z,940000,,,0,,R. Williams III offensive FOUL (1 PF),"[1629057, 1630171]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1151.0,1.0,0.0,Okoro,1630171.0,,,,,,,,,,,,,,,,
96,PT05M04.00S,2021-03-18T00:25:14.1Z,1,REGULAR,turnover,offensive foul,[],1629057,,,1610612738,15,8,2021-03-18T00:25:14Z,960000,,,0,,R. Williams III offensive foul TURNOVER (1 TO),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1151.0,,,,,,,,,,,,1.0,,,,,,,,
97,PT04M39.00S,2021-03-18T00:25:49.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630171,6.783837056504599,50.55912990196079,1610612739,17,8,2021-03-18T00:25:55Z,970000,-3.0,11.0,1,left,I. Okoro reverse Layup (4 PTS) (J. Allen 1 AST),"[1630171, 1628386]",1610612739.0,CLE,reverse,,,Okoro,I. Okoro,,,,,,,,,,1.16,Made,,,,,4.0,,J. Allen,1628386.0,1.0,,,,,
99,PT04M23.00S,2021-03-18T00:26:04.9Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,17,8,2021-03-18T00:26:09Z,990000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1626204]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,1.0,,,,,,Nance Jr.,1626204.0,
100,PT04M23.00S,2021-03-18T00:26:04.9Z,1,REGULAR,steal,,[],1626204,,,1610612739,17,8,2021-03-18T00:26:06Z,1000000,,,0,,L. Nance Jr. STEAL (2 STL),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M19.00S,2021-03-18T00:26:10.0Z,1,REGULAR,turnover,bad pass,[],1626204,,,1610612739,17,8,2021-03-18T00:26:14Z,1010000,,,0,,L. Nance Jr. bad pass TURNOVER (1 TO),"[1626204, 201952]",1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,1.0,,,,,,Teague,201952.0,
102,PT04M19.00S,2021-03-18T00:26:10.0Z,1,REGULAR,steal,,[],201952,,,1610612738,17,8,2021-03-18T00:26:12Z,1020000,,,0,,J. Teague STEAL (1 STL),[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M15.00S,2021-03-18T00:26:14.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630202,94.43166885676742,51.049325980392155,1610612738,17,10,2021-03-18T00:26:19Z,1030000,5.0,0.0,1,right,P. Pritchard running Layup (2 PTS) (J. Brown 1 AST),"[1630202, 1627759]",1610612738.0,BOS,running,,,Pritchard,P. Pritchard,,,,,,,,,,0.52,Made,,,,,2.0,,J. Brown,1627759.0,1.0,,,,,
105,PT03M49.00S,2021-03-18T00:26:39.7Z,1,REGULAR,3pt,Jump Shot,[],1629636,31.35676741130092,32.91207107843137,1610612739,17,10,2021-03-18T00:26:44Z,1050000,85.0,242.0,1,left,MISS D. Garland 25' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,25.69,Missed,,,,,,,,,,,,,,
106,PT03M45.00S,2021-03-18T00:26:43.7Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,17,10,2021-03-18T00:26:44Z,1060000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,105.0,2.0,1.0,1.0,,,,,,,,,,
107,PT03M39.00S,2021-03-18T00:26:49.2Z,1,REGULAR,turnover,bad pass,[],1628464,,,1610612738,17,10,2021-03-18T00:26:56Z,1070000,,,0,,D. Theis bad pass TURNOVER (1 TO),"[1628464, 1626224]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,1.0,,,,,,Osman,1626224.0,
108,PT03M39.00S,2021-03-18T00:26:49.2Z,1,REGULAR,steal,,[],1626224,,,1610612739,17,10,2021-03-18T00:26:53Z,1080000,,,0,,C. Osman STEAL (1 STL),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M39.00S,2021-03-18T00:26:58.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612739,17,10,2021-03-18T00:27:06Z,1090000,,,0,,J. Brown personal FOUL (1 PF) (Osman 2 FT),"[1627759, 1626224]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,1627541.0,1.0,0.0,Osman,1626224.0,,,,,,,,,,,,,,,,
111,PT03M39.00S,2021-03-18T00:27:35.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626224,,,1610612739,18,10,2021-03-18T00:27:35Z,1110000,,,0,,C. Osman Free Throw 1 of 2 (1 PTS),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,
112,PT03M39.00S,2021-03-18T00:27:36.7Z,1,REGULAR,substitution,out,[],1626204,,,1610612739,18,10,2021-03-18T00:27:52Z,1120000,,,0,,SUB out: L. Nance Jr.,[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M39.00S,2021-03-18T00:27:36.7Z,1,REGULAR,substitution,out,[],1628386,,,1610612739,18,10,2021-03-18T00:27:52Z,1130000,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M39.00S,2021-03-18T00:27:36.7Z,1,REGULAR,substitution,out,[],1630171,,,1610612739,18,10,2021-03-18T00:27:52Z,1140000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M39.00S,2021-03-18T00:27:36.7Z,1,REGULAR,substitution,in,[],201580,,,1610612739,18,10,2021-03-18T00:27:52Z,1150000,,,0,,SUB in: J. McGee,[201580],1610612739.0,CLE,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M39.00S,2021-03-18T00:27:36.7Z,1,REGULAR,substitution,in,[],1629731,,,1610612739,18,10,2021-03-18T00:27:52Z,1160000,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M39.00S,2021-03-18T00:27:36.7Z,1,REGULAR,substitution,in,[],1629685,,,1610612739,18,10,2021-03-18T00:27:52Z,1170000,,,0,,SUB in: D. Windler,[1629685],1610612739.0,CLE,,,,Windler,D. Windler,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M39.00S,2021-03-18T00:28:02.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626224,,,1610612739,19,10,2021-03-18T00:28:02Z,1180000,,,0,,C. Osman Free Throw 2 of 2 (2 PTS),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,
119,PT03M28.00S,2021-03-18T00:28:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,96.00854139290408,50.314031862745104,1610612738,19,12,2021-03-18T00:28:23Z,1190000,2.0,-15.0,1,right,P. Pritchard driving finger roll Layup (4 PTS),[1630202],1610612738.0,BOS,driving finger roll,,,Pritchard,P. Pritchard,,,,,,,,,,1.51,Made,,,,,4.0,,,,,,,,,
120,PT03M14.00S,2021-03-18T00:28:34.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629057,,,1610612739,19,12,2021-03-18T00:28:41Z,1200000,,,0,,R. Williams III personal FOUL (2 PF) (Garland 2 FT),"[1629057, 1629636]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1151.0,2.0,0.0,Garland,1629636.0,,,,,,,,,,,,,,,,
122,PT03M14.00S,2021-03-18T00:28:53.8Z,1,REGULAR,freethrow,1 of 2,[],1629636,,,1610612739,20,12,2021-03-18T00:28:53Z,1220000,,,0,,D. Garland Free Throw 1 of 2 (7 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,Made,,,,,7.0,,,,,,,,,
123,PT03M14.00S,2021-03-18T00:29:05.7Z,1,REGULAR,freethrow,2 of 2,[],1629636,,,1610612739,21,12,2021-03-18T00:29:05Z,1230000,,,0,,D. Garland Free Throw 2 of 2 (8 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,Made,,,,,8.0,,,,,,,,,
124,PT02M56.00S,2021-03-18T00:29:24.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201952,89.30683311432325,56.196384803921575,1610612738,21,14,2021-03-18T00:29:28Z,1240000,31.0,48.0,1,right,J. Teague driving floating Jump Shot (2 PTS),[201952],1610612738.0,BOS,driving floating,,,Teague,J. Teague,,,,,,,,,,5.71,Made,,,,,2.0,,,,,,,,,
125,PT02M35.00S,2021-03-18T00:29:46.9Z,1,REGULAR,2pt,Hook,[],201580,7.966491458607096,33.15716911764706,1610612739,21,14,2021-03-18T00:29:51Z,1250000,84.0,22.0,1,left,MISS J. McGee 8' driving Hook,[201580],1610612739.0,CLE,driving,,,McGee,J. McGee,,,,,,,,,,8.71,Missed,,,,,,,,,,,,,,
126,PT02M32.00S,2021-03-18T00:29:49.9Z,1,REGULAR,rebound,offensive,[],201580,,,1610612739,21,14,2021-03-18T00:29:51Z,1260000,,,0,,J. McGee REBOUND (Off:1 Def:0),[201580],1610612739.0,CLE,,,,McGee,J. McGee,,,,,,,,,,,,125.0,1.0,0.0,1.0,,,,,,,,,,
127,PT02M28.00S,2021-03-18T00:29:53.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626224,34.90473061760841,22.127757352941178,1610612739,21,14,2021-03-18T00:29:57Z,1270000,139.0,276.0,1,left,MISS C. Osman 30' 3PT,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,30.88,Missed,,,,,,,,,,,,,,
128,PT02M26.00S,2021-03-18T00:29:55.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,21,14,2021-03-18T00:29:55Z,1280000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,127.0,1.0,1.0,0.0,,,,,,,,,,
129,PT02M25.00S,2021-03-18T00:30:02.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,21,14,2021-03-18T00:30:02Z,1290000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M25.00S,2021-03-18T00:32:32.0Z,1,REGULAR,substitution,out,[],1629636,,,1610612738,21,14,2021-03-18T00:32:46Z,1300000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M25.00S,2021-03-18T00:32:32.0Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,21,14,2021-03-18T00:32:46Z,1310000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M25.00S,2021-03-18T00:32:32.0Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,21,14,2021-03-18T00:32:46Z,1320000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M25.00S,2021-03-18T00:32:32.0Z,1,REGULAR,substitution,in,[],1629012,,,1610612738,21,14,2021-03-18T00:32:46Z,1330000,,,0,,SUB in: C. Sexton,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M25.00S,2021-03-18T00:32:32.0Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,21,14,2021-03-18T00:32:46Z,1340000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M25.00S,2021-03-18T00:32:32.0Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,21,14,2021-03-18T00:32:46Z,1350000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M14.00S,2021-03-18T00:33:02.8Z,1,REGULAR,2pt,Jump Shot,[],1629057,87.72996057818659,30.46109068627451,1610612738,21,14,2021-03-18T00:33:07Z,1360000,-98.0,63.0,1,right,MISS R. Williams III 11' Jump Shot,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,11.61,Missed,,,,,,,,,,,,,,
137,PT02M12.00S,2021-03-18T00:33:04.8Z,1,REGULAR,rebound,defensive,[],1629685,,,1610612739,21,14,2021-03-18T00:33:07Z,1370000,,,0,,D. Windler REBOUND (Off:0 Def:1),[1629685],1610612739.0,CLE,,,,Windler,D. Windler,,,,,,,,,,,,136.0,1.0,1.0,0.0,,,,,,,,,,
138,PT01M57.00S,2021-03-18T00:33:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,7.046649145860711,50.55912990196079,1610612739,21,14,2021-03-18T00:33:24Z,1380000,-3.0,14.0,1,left,MISS C. Sexton driving Layup - blocked,"[1629012, 1629057]",1610612739.0,CLE,driving,,,Sexton,C. Sexton,,,,,,,,,,1.4,Missed,,,,,,,,,,Williams III,1629057.0,,,
139,PT01M57.00S,2021-03-18T00:33:19.6Z,1,REGULAR,block,,[],1629057,,,1610612739,21,14,2021-03-18T00:33:22Z,1390000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M54.00S,2021-03-18T00:33:22.6Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,21,14,2021-03-18T00:33:24Z,1400000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,138.0,1.0,1.0,0.0,,,,,,,,,,
141,PT01M44.00S,2021-03-18T00:33:34.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.32917214191852,52.27481617647059,1610612738,21,16,2021-03-18T00:33:38Z,1410000,11.0,20.0,1,right,R. Williams III cutting DUNK (2 PTS) (J. Teague 1 AST),"[1629057, 201952]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,,,,,,2.27,Made,,,,,2.0,,J. Teague,201952.0,1.0,,,,,
143,PT01M21.00S,2021-03-18T00:33:56.3Z,1,REGULAR,3pt,Jump Shot,[],1629012,29.6484888304862,70.90226715686273,1610612739,24,16,2021-03-18T00:34:01Z,1430000,-105.0,226.0,1,left,C. Sexton 24' 3PT  (5 PTS) (D. Windler 1 AST),"[1629012, 1629685]",1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,24.92,Made,,,,,5.0,,D. Windler,1629685.0,1.0,,,,,
145,PT01M13.00S,2021-03-18T00:34:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201952,92.46057818659659,62.32383578431373,1610612738,24,16,2021-03-18T00:34:08Z,1450000,62.0,18.0,1,right,MISS J. Teague 6' driving floating bank Shot,[201952],1610612738.0,BOS,driving floating bank,,,Teague,J. Teague,,,,,,,,,,6.43,Missed,,,,,,,,,,,,,,
146,PT01M10.00S,2021-03-18T00:34:06.8Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,24,16,2021-03-18T00:34:06Z,1460000,,,0,,R. Williams III REBOUND (Off:2 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,145.0,3.0,1.0,2.0,,,,,,,,,,
147,PT01M09.00S,2021-03-18T00:34:08.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629684,72.22404730617609,18.941482843137255,1610612738,24,16,2021-03-18T00:34:14Z,1470000,-155.0,209.0,1,right,MISS G. Williams 26' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,26.01,Missed,,,,,,,,,,,,,,
148,PT01M03.00S,2021-03-18T00:34:14.7Z,1,REGULAR,rebound,offensive,[],1630202,,,1610612738,24,16,2021-03-18T00:34:14Z,1480000,,,0,,P. Pritchard REBOUND (Off:1 Def:0),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,147.0,1.0,0.0,1.0,,,,,,,,,,
149,PT01M03.00S,2021-03-18T00:34:13.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630202,94.40999984741211,50.0,1610612738,24,18,2021-03-18T00:34:13Z,1490000,0.0,0.0,1,right,P. Pritchard tip Layup (6 PTS),[1630202],1610612738.0,BOS,tip,,,Pritchard,P. Pritchard,,,,,,,,,,0.0,Made,,,,,6.0,,,,,,,,,
150,PT00M51.60S,2021-03-18T00:34:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626224,7.178055190538765,54.72579656862745,1610612739,24,18,2021-03-18T00:34:31Z,1500000,-24.0,15.0,1,left,MISS C. Osman driving floating Shot - blocked,"[1626224, 1629057]",1610612739.0,CLE,driving floating,,,Osman,C. Osman,,,,,,,,,,2.8,Missed,,,,,,,,,,Williams III,1629057.0,,,
151,PT00M51.60S,2021-03-18T00:34:26.6Z,1,REGULAR,block,,[],1629057,,,1610612739,24,18,2021-03-18T00:34:29Z,1510000,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M48.00S,2021-03-18T00:34:30.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,24,18,2021-03-18T00:34:31Z,1520000,,,0,,R. Williams III REBOUND (Off:2 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,150.0,4.0,2.0,2.0,,,,,,,,,,
153,PT00M44.70S,2021-03-18T00:34:33.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,77.87450722733246,6.686580882352941,1610612738,24,18,2021-03-18T00:34:41Z,1530000,-217.0,155.0,1,right,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,,,26.66,Missed,,,,,,,,,,,,,,
154,PT00M42.30S,2021-03-18T00:34:35.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,24,18,2021-03-18T00:34:41Z,1540000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,153.0,,,,,,,,,,,,,
155,PT00M33.20S,2021-03-18T00:35:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201580,7.30946123521682,49.08854166666667,1610612739,26,18,2021-03-18T00:35:06Z,1550000,5.0,16.0,1,left,J. McGee cutting Layup (2 PTS) (C. Sexton 1 AST),"[201580, 1629012]",1610612739.0,CLE,cutting,,,McGee,J. McGee,,,,,,,,,,1.68,Made,,,,,2.0,,C. Sexton,1629012.0,1.0,,,,,
157,PT00M12.60S,2021-03-18T00:35:24.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,73.66951379763469,15.510110294117647,1610612738,26,18,2021-03-18T00:35:28Z,1570000,-172.0,195.0,1,right,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,,,26.03,Missed,,,,,,,,,,,,,,
158,PT00M10.30S,2021-03-18T00:35:26.6Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,26,18,2021-03-18T00:35:26Z,1580000,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,157.0,1.0,1.0,0.0,,,,,,,,,,
159,PT00M00.00S,2021-03-18T00:35:38.2Z,1,REGULAR,3pt,Jump Shot,[],1629685,9.149145860709593,4.725796568627451,1610612739,26,18,2021-03-18T00:35:42Z,1590000,226.0,34.0,1,left,MISS D. Windler 3PT,[1629685],1610612739.0,CLE,,,,Windler,D. Windler,,,,,,,,,,22.89,Missed,,,,,,,,,,,,,,
160,PT00M00.00S,2021-03-18T00:35:38.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,26,18,2021-03-18T00:35:42Z,1600000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,159.0,,,,,,,,,,,,,
161,PT00M00.00S,2021-03-18T00:35:43.7Z,1,REGULAR,period,end,[],0,,,1610612739,26,18,2021-03-18T00:35:43Z,1610000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-03-18T00:38:16.7Z,2,REGULAR,period,start,[],0,,,1610612738,26,18,2021-03-18T00:38:16Z,1620000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M48.00S,2021-03-18T00:38:28.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201952,93.77463863337714,50.80422794117647,1610612738,26,20,2021-03-18T00:38:32Z,1630000,4.0,6.0,1,right,J. Teague cutting Layup (4 PTS) (R. Williams III 1 AST),"[201952, 1629057]",1610612738.0,BOS,cutting,,,Teague,J. Teague,,,,,,,,,,0.72,Made,,,,,4.0,,R. Williams III,1629057.0,1.0,,,,,
165,PT11M28.00S,2021-03-18T00:38:47.9Z,2,REGULAR,3pt,Jump Shot,[],1629012,31.35676741130092,69.43167892156863,1610612739,29,20,2021-03-18T00:38:52Z,1650000,-97.0,242.0,1,left,C. Sexton 26' 3PT  (8 PTS) (C. Osman 1 AST),"[1629012, 1626224]",1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,26.11,Made,,,,,8.0,,C. Osman,1626224.0,1.0,,,,,
167,PT11M08.00S,2021-03-18T00:39:07.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,94.1688567674113,51.53952205882353,1610612738,29,22,2021-03-18T00:39:11Z,1670000,8.0,2.0,1,right,J. Tatum cutting DUNK (4 PTS) (R. Williams III 2 AST),"[1628369, 1629057]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,,,,,,0.8,Made,,,,,4.0,,R. Williams III,1629057.0,2.0,,,,,
169,PT10M46.00S,2021-03-18T00:39:29.7Z,2,REGULAR,2pt,Jump Shot,[],1629012,23.73521681997372,50.314031862745104,1610612739,29,22,2021-03-18T00:39:34Z,1690000,-2.0,171.0,1,left,MISS C. Sexton 17' pullup Shot - blocked,"[1629012, 201952]",1610612739.0,CLE,pullup,,,Sexton,C. Sexton,,,,,,,,,,17.06,Missed,,,,,,,,,,Teague,201952.0,,,
