actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
379,PT09M08.00S,2023-04-15T21:03:10.4Z,3,REGULAR,rebound,defensive,[],1627749,,,1610612737,76,50,2023-04-15T21:03:13Z,3770000,False,,,0,,D. Murray REBOUND (Off:2 Def:3),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,378.0,5.0,3.0,2.0,,,,,,,,,,
380,PT09M00.00S,2023-04-15T21:03:18.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,92.9862023653088,52.20588235294118,1610612737,76,52,2023-04-15T21:03:23Z,3780000,False,11.0,13.0,1,right,D. Murray driving reverse Layup (14 PTS),[1627749],1610612737.0,ATL,driving reverse,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,1.73,Made,14.0,,,,,,,,,,,,,,
381,PT08M43.00S,2023-04-15T21:03:36.1Z,3,REGULAR,3pt,Jump Shot,[],1628401,26.363337713534822,14.950980392156863,1610612738,79,52,2023-04-15T21:03:40Z,3790000,False,175.0,195.0,1,left,D. White 26' 3PT  (19 PTS) (J. Tatum 2 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,26.24,Made,19.0,,,,,,,J. Tatum,1628369.0,2.0,,,,,
383,PT08M32.00S,2023-04-15T21:03:46.5Z,3,REGULAR,2pt,Jump Shot,[],1629027,89.17542706964521,77.69607843137256,1610612737,79,52,2023-04-15T21:03:51Z,3810000,False,138.0,49.0,1,right,MISS T. Young 14' step back Shot,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Mid-Range,8-16 Right,,,,14.7,Missed,,,,,,,,,,,,,,,
384,PT08M30.00S,2023-04-15T21:03:48.5Z,3,REGULAR,rebound,defensive,[],203935,,,1610612738,79,52,2023-04-15T21:03:54Z,3820000,False,,,0,,M. Smart REBOUND (Off:1 Def:5),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,8-16 Right,,,,,,,383.0,6.0,5.0,1.0,,,,,,,,,,
385,PT08M25.00S,2023-04-15T21:03:56.0Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,5.124835742444152,45.615042892156865,1610612738,79,52,2023-04-15T21:04:22Z,3830000,False,22.0,-4.0,1,left,MISS J. Brown driving reverse DUNK,[1627759],1610612738.0,BOS,driving reverse,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,2.23,Missed,,,,,,,,,,,,,,,
386,PT08M24.00S,2023-04-15T21:03:57.0Z,3,REGULAR,rebound,offensive,[],1627759,,,1610612738,79,52,2023-04-15T21:04:09Z,3840000,False,,,0,,J. Brown REBOUND (Off:2 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,385.0,7.0,5.0,2.0,,,,,,,,,,
387,PT08M23.00S,2023-04-15T21:04:01.0Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,10.200394218134035,43.13725490196079,1610612738,81,52,2023-04-15T21:04:14Z,3850000,False,34.0,43.0,1,left,J. Brown putback Layup (15 PTS),[1627759],1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,5.53,Made,15.0,,,,,,,,,,,,,,
388,PT08M23.00S,2023-04-15T21:04:04.5Z,3,REGULAR,foul,personal,['1freethrow'],1628381,,,1610612738,81,52,2023-04-15T21:04:11Z,3860000,False,,,0,,J. Collins shooting personal FOUL (2 PF) (Brown 1 FT),"[1628381, 1627759]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1662.0,2.0,0.0,Brown,1627759.0
390,PT08M23.00S,2023-04-15T21:04:25.6Z,3,REGULAR,freethrow,1 of 1,['2ndchance'],1627759,,,1610612738,82,52,2023-04-15T21:04:25Z,3880000,False,,,0,,J. Brown Free Throw 1 of 1 (16 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Made,16.0,,,,,,,,,,,,,,
391,PT08M11.00S,2023-04-15T21:04:40.1Z,3,REGULAR,2pt,Jump Shot,[],1627749,75.77201051248358,60.5392156862745,1610612737,82,52,2023-04-15T21:04:46Z,3890000,False,53.0,175.0,1,right,MISS D. Murray 18' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,,,,18.3,Missed,,,,,,,,,,,,,,,
392,PT08M09.00S,2023-04-15T21:04:42.1Z,3,REGULAR,rebound,defensive,[],1628401,,,1610612738,82,52,2023-04-15T21:04:46Z,3900000,False,,,0,,D. White REBOUND (Off:1 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Center,,,,,,,391.0,4.0,3.0,1.0,,,,,,,,,,
393,PT07M59.00S,2023-04-15T21:04:51.5Z,3,REGULAR,2pt,Jump Shot,[],1627759,8.360709592641262,19.607843137254903,1610612738,84,52,2023-04-15T21:04:56Z,3910000,False,152.0,26.0,1,left,J. Brown 15' fadeaway Jump Shot (18 PTS) (D. White 5 AST),"[1627759, 1628401]",1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,,,,15.42,Made,18.0,,,,,,,D. White,1628401.0,5.0,,,,,
395,PT07M48.00S,2023-04-15T21:05:03.6Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,92.46057818659659,53.92156862745098,1610612737,84,54,2023-04-15T21:05:08Z,3930000,False,20.0,18.0,1,right,C. Capela alley-oop DUNK (6 PTS) (T. Young 7 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,2.69,Made,6.0,,,,,,,T. Young,1629027.0,7.0,,,,,
397,PT07M30.00S,2023-04-15T21:05:20.9Z,3,REGULAR,3pt,Jump Shot,[],1628369,32.933639947437584,58.333333333333336,1610612738,84,54,2023-04-15T21:08:24Z,3950000,False,-42.0,257.0,1,left,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,26.05,Missed,,,,,,,,,,,,,,,
398,PT07M29.00S,2023-04-15T21:05:21.9Z,3,REGULAR,rebound,defensive,[],1628381,,,1610612737,84,54,2023-04-15T21:05:27Z,3960000,False,,,0,,J. Collins REBOUND (Off:1 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,,,,,,,397.0,2.0,1.0,1.0,,,,,,,,,,
399,PT07M20.00S,2023-04-15T21:05:33.3Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,92.19776609724047,56.61764705882353,1610612737,84,54,2023-04-15T21:08:40Z,3970000,False,33.0,21.0,1,right,MISS T. Young driving floating bank Shot,[1629027],1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,3.91,Missed,,,,,,,,,,,,,,,
400,PT07M19.00S,2023-04-15T21:05:34.3Z,3,REGULAR,rebound,offensive,[],1629027,,,1610612737,84,54,2023-04-15T21:05:45Z,3980000,False,,,0,,T. Young REBOUND (Off:2 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,399.0,3.0,1.0,2.0,,,,,,,,,,
401,PT07M18.00S,2023-04-15T21:05:37.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629027,94.03745072273325,53.67647058823529,1610612737,84,56,2023-04-15T21:05:48Z,3990000,False,18.0,4.0,1,right,T. Young putback Layup (14 PTS),[1629027],1610612737.0,ATL,putback,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,1.87,Made,14.0,,,,,,,,,,,,,,
402,PT07M18.00S,2023-04-15T21:05:42.9Z,3,REGULAR,foul,personal,['1freethrow'],203935,,,1610612737,84,56,2023-04-15T21:05:50Z,4000000,False,,,0,,M. Smart shooting personal FOUL (1 PF) (Young 1 FT),"[203935, 1629027]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Young,1629027.0
404,PT07M18.00S,2023-04-15T21:05:57.4Z,3,REGULAR,freethrow,1 of 1,['2ndchance'],1629027,,,1610612737,84,56,2023-04-15T21:06:12Z,4020000,False,,,0,,MISS T. Young Free Throw 1 of 1,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
405,PT07M18.00S,2023-04-15T21:05:57.4Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,84,56,2023-04-15T21:06:12Z,4030000,False,,,0,,J. Tatum REBOUND (Off:0 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,404.0,6.0,6.0,0.0,,,,,,,,,,
406,PT06M59.00S,2023-04-15T21:06:15.0Z,3,REGULAR,3pt,Jump Shot,[],1628401,28.728646517739815,80.3921568627451,1610612738,84,56,2023-04-15T21:09:20Z,4040000,False,-152.0,218.0,1,left,MISS D. White 26' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,26.53,Missed,,,,,,,,,,,,,,,
407,PT06M58.00S,2023-04-15T21:06:16.0Z,3,REGULAR,rebound,defensive,[],1628381,,,1610612737,84,56,2023-04-15T21:06:22Z,4050000,False,,,0,,J. Collins REBOUND (Off:1 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,,,,,406.0,3.0,2.0,1.0,,,,,,,,,,
408,PT06M49.00S,2023-04-15T21:06:28.9Z,3,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,84,56,2023-04-15T21:06:35Z,4060000,False,,,0,,T. Young lost ball out-of-bounds TURNOVER (5 TO),[1629027],1610612737.0,ATL,lost ball,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,5.0,,,,,,,,,,,,,,,202049.0,,,,
409,PT06M49.00S,2023-04-15T21:06:36.4Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,84,56,2023-04-15T21:06:36Z,4070000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,PT06M49.00S,2023-04-15T21:09:33.0Z,3,REGULAR,substitution,out,[],203935,,,1610612738,84,56,2023-04-15T21:10:05Z,4080000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
411,PT06M49.00S,2023-04-15T21:09:33.0Z,3,REGULAR,substitution,out,[],1629027,,,1610612738,84,56,2023-04-15T21:10:05Z,4090000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
412,PT06M49.00S,2023-04-15T21:09:33.0Z,3,REGULAR,substitution,in,[],1629057,,,1610612738,84,56,2023-04-15T21:10:05Z,4100000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
413,PT06M49.00S,2023-04-15T21:09:33.0Z,3,REGULAR,substitution,in,[],203992,,,1610612738,84,56,2023-04-15T21:10:05Z,4110000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
414,PT06M36.00S,2023-04-15T21:10:19.1Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,24.78646517739816,6.862745098039216,1610612738,84,56,2023-04-15T21:10:26Z,4120000,False,216.0,180.0,1,left,MISS J. Brown 28' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,28.13,Missed,,,,,,,,,,,,,,,
415,PT06M35.00S,2023-04-15T21:10:20.1Z,3,REGULAR,rebound,defensive,[],203991,,,1610612737,84,56,2023-04-15T21:10:26Z,4130000,False,,,0,,C. Capela REBOUND (Off:0 Def:7),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,,,,,414.0,7.0,7.0,0.0,,,,,,,,,,
416,PT06M22.00S,2023-04-15T21:10:32.7Z,3,REGULAR,2pt,Jump Shot,[],1629631,75.90341655716163,30.88235294117647,1610612737,84,58,2023-04-15T21:10:36Z,4140000,False,-96.0,174.0,1,right,D. Hunter 19' step back Jump Shot (6 PTS),[1629631],1610612737.0,ATL,step back,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Left Center,,,,19.85,Made,6.0,,,,,,,,,,,,,,
417,PT05M56.00S,2023-04-15T21:10:57.7Z,3,REGULAR,3pt,Jump Shot,[],1628401,34.37910643889619,55.392156862745104,1610612738,87,58,2023-04-15T21:11:22Z,4150000,False,-27.0,271.0,1,left,D. White 27' 3PT pullup (22 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,27.2,Made,22.0,,,,,,,,,,,,,,
418,PT05M45.00S,2023-04-15T21:11:09.3Z,3,REGULAR,3pt,Jump Shot,[],1627749,66.04796320630749,43.627450980392155,1610612737,87,58,2023-04-15T21:11:47Z,4160000,False,-32.0,267.0,1,right,MISS D. Murray 26' pullup 3PT,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,,26.85,Missed,,,,,,,,,,,,,,,
419,PT05M44.00S,2023-04-15T21:11:10.3Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,87,58,2023-04-15T21:11:16Z,4170000,False,,,0,,A. Horford REBOUND (Off:1 Def:5),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,,,,418.0,6.0,5.0,1.0,,,,,,,,,,
420,PT05M31.00S,2023-04-15T21:11:23.5Z,3,REGULAR,turnover,bad pass,[],1628401,,,1610612738,87,58,2023-04-15T21:11:27Z,4180000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1627749]",1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,1.0,Murray,1627749.0,,,,,,,,,,,,,,,,,
421,PT05M31.00S,2023-04-15T21:11:23.5Z,3,REGULAR,steal,,[],1627749,,,1610612737,87,58,2023-04-15T21:11:25Z,4190000,False,,,0,,D. Murray STEAL (2 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
422,PT05M22.00S,2023-04-15T21:11:33.1Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],203992,92.85479632063075,3.6764705882352944,1610612737,87,58,2023-04-15T21:11:40Z,4200000,False,-232.0,15.0,1,right,MISS B. Bogdanovic 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,,,,23.21,Missed,,,,,,,,,,,,,,,
423,PT05M20.00S,2023-04-15T21:11:35.1Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,87,58,2023-04-15T21:11:40Z,4210000,False,,,0,,J. Tatum REBOUND (Off:0 Def:7),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,,,,,,,422.0,7.0,7.0,0.0,,,,,,,,,,
424,PT05M11.00S,2023-04-15T21:11:44.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,8.360709592641262,54.166666666666664,1610612738,87,58,2023-04-15T21:11:50Z,4220000,False,-21.0,26.0,1,left,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,3.34,Missed,,,,,,,,,,,,,,,
425,PT05M09.00S,2023-04-15T21:11:46.2Z,3,REGULAR,rebound,defensive,[],1627749,,,1610612737,87,58,2023-04-15T21:11:50Z,4230000,False,,,0,,D. Murray REBOUND (Off:2 Def:4),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,,424.0,6.0,4.0,2.0,,,,,,,,,,
426,PT05M05.00S,2023-04-15T21:11:49.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627749,91.5407358738502,42.40196078431372,1610612737,87,58,2023-04-15T21:11:57Z,4240000,False,-38.0,27.0,1,right,MISS D. Murray running Layup,[1627749],1610612737.0,ATL,running,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,4.66,Missed,,,,,,,,,,,,,,,
427,PT05M04.00S,2023-04-15T21:11:50.7Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,87,58,2023-04-15T21:11:57Z,4250000,False,,,0,,A. Horford REBOUND (Off:1 Def:6),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,426.0,7.0,6.0,1.0,,,,,,,,,,
428,PT04M58.00S,2023-04-15T21:11:56.3Z,3,REGULAR,turnover,lost ball,[],1627759,,,1610612738,87,58,2023-04-15T21:12:01Z,4260000,False,,,0,,J. Brown lost ball TURNOVER (4 TO),"[1627759, 203991]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Right,4.0,Capela,203991.0,,,,,,,,,,,,,,,,,
429,PT04M58.00S,2023-04-15T21:11:56.3Z,3,REGULAR,steal,,[],203991,,,1610612737,87,58,2023-04-15T21:11:58Z,4270000,False,,,0,,C. Capela STEAL (1 STL),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
430,PT04M53.00S,2023-04-15T21:12:01.7Z,3,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203991,92.19776609724047,44.6078431372549,1610612737,87,60,2023-04-15T21:14:12Z,4280000,False,-27.0,21.0,1,right,C. Capela running DUNK (8 PTS) (D. Murray 4 AST),"[203991, 1627749]",1610612737.0,ATL,running,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,3.41,Made,8.0,,,,,,,D. Murray,1627749.0,4.0,,,,,
433,PT04M37.00S,2023-04-15T21:12:30.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,10.5946123521682,54.65686274509803,1610612738,87,60,2023-04-15T21:14:29Z,4310000,False,-23.0,47.0,1,left,MISS D. White driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,5.25,Missed,,,,,,,,,,,,,,,
434,PT04M35.00S,2023-04-15T21:12:32.1Z,3,REGULAR,rebound,offensive,[],1629057,,,1610612738,87,60,2023-04-15T21:17:18Z,4320000,False,,,0,,R. Williams III REBOUND (Off:2 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,433.0,4.0,2.0,2.0,,,,,,,,,,
435,PT04M30.00S,2023-04-15T21:12:38.1Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628369,15.193823915900131,36.51960784313725,1610612738,87,60,2023-04-15T21:17:03Z,4330000,False,67.0,90.0,1,left,MISS J. Tatum 11' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Right,,,,11.27,Missed,,,,,,,,,,,,,,,
436,PT04M30.00S,2023-04-15T21:12:38.1Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612737,87,60,2023-04-15T21:13:00Z,4340000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,435.0,,,,,,,,,,,,,
437,PT04M30.00S,2023-04-15T21:12:49.9Z,3,REGULAR,foul,personal,[],1629057,,,1610612737,87,60,2023-04-15T21:18:32Z,4350000,False,,,0,,R. Williams III loose ball personal FOUL (1 PF),"[1629057, 1629631]",1610612738.0,BOS,loose ball,,,Williams III,R. Williams III,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,202049.0,1.0,0.0,Hunter,1629631.0
439,PT04M30.00S,2023-04-15T21:12:58.0Z,3,REGULAR,substitution,out,[],1628369,,,1610612737,87,60,2023-04-15T21:13:10Z,4370000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
440,PT04M30.00S,2023-04-15T21:12:58.0Z,3,REGULAR,substitution,out,[],203991,,,1610612737,87,60,2023-04-15T21:13:10Z,4380000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
441,PT04M30.00S,2023-04-15T21:12:58.0Z,3,REGULAR,substitution,out,[],1628381,,,1610612737,87,60,2023-04-15T21:13:10Z,4390000,False,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
442,PT04M30.00S,2023-04-15T21:12:58.0Z,3,REGULAR,substitution,in,[],1627763,,,1610612737,87,60,2023-04-15T21:13:10Z,4400000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
443,PT04M30.00S,2023-04-15T21:12:58.0Z,3,REGULAR,substitution,in,[],1630180,,,1610612737,87,60,2023-04-15T21:13:10Z,4410000,False,,,0,,SUB in: S. Bey,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
444,PT04M30.00S,2023-04-15T21:12:58.0Z,3,REGULAR,substitution,in,[],1630168,,,1610612737,87,60,2023-04-15T21:13:10Z,4420000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
445,PT04M17.00S,2023-04-15T21:13:20.4Z,3,REGULAR,foul,personal,['2freethrow'],201143,,,1610612737,87,60,2023-04-15T21:13:50Z,4430000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Hunter 2 FT),"[201143, 1629631]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Hunter,1629631.0
447,PT04M17.00S,2023-04-15T21:13:53.4Z,3,REGULAR,freethrow,1 of 2,[],1629631,,,1610612737,87,61,2023-04-15T21:13:53Z,4450000,False,,,0,,D. Hunter Free Throw 1 of 2 (7 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
448,PT04M17.00S,2023-04-15T21:14:10.3Z,3,REGULAR,freethrow,2 of 2,[],1629631,,,1610612737,87,62,2023-04-15T21:14:10Z,4460000,False,,,0,,D. Hunter Free Throw 2 of 2 (8 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,
449,PT03M59.00S,2023-04-15T21:14:31.0Z,3,REGULAR,2pt,Jump Shot,[],1628401,17.296320630749015,28.921568627450984,1610612738,89,62,2023-04-15T21:14:34Z,4470000,False,105.0,110.0,1,left,D. White 15' pullup Jump Shot (24 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Mid-Range,8-16 Right,,,,15.24,Made,24.0,,,,,,,,,,,,,,
450,PT03M44.00S,2023-04-15T21:14:45.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,92.85479632063075,60.5392156862745,1610612737,89,64,2023-04-15T21:14:50Z,4480000,False,53.0,15.0,1,right,D. Murray fadeaway bank Jump Shot (16 PTS),[1627749],1610612737.0,ATL,fadeaway bank,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,5.47,Made,16.0,,,,,,,,,,,,,,
451,PT03M35.00S,2023-04-15T21:14:55.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,14.536793692509855,37.254901960784316,1610612738,91,64,2023-04-15T21:14:59Z,4490000,False,64.0,84.0,1,left,J. Brown 10' driving floating Jump Shot (20 PTS) (D. White 6 AST),"[1627759, 1628401]",1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Right,,,,10.55,Made,20.0,,,,,,,D. White,1628401.0,6.0,,,,,
453,PT03M27.00S,2023-04-15T21:15:02.0Z,3,REGULAR,3pt,Jump Shot,[],1629631,77.21747700394218,8.333333333333332,1610612737,91,67,2023-04-15T21:19:51Z,4510000,False,-208.0,162.0,1,right,D. Hunter 26' 3PT pullup (11 PTS) (S. Bey 1 AST),"[1629631, 1630180]",1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,,26.37,Made,11.0,,,,,,,S. Bey,1630180.0,1.0,,,,,
456,PT03M21.00S,2023-04-15T21:15:08.8Z,3,REGULAR,turnover,bad pass,[],1627759,,,1610612738,91,67,2023-04-15T21:15:14Z,4540000,False,,,0,,J. Brown bad pass TURNOVER (5 TO),"[1627759, 1627749]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,5.0,Murray,1627749.0,,,,,,,,,,,,,,,,,
457,PT03M21.00S,2023-04-15T21:15:08.8Z,3,REGULAR,steal,,[],1627749,,,1610612737,91,67,2023-04-15T21:15:12Z,4550000,False,,,0,,D. Murray STEAL (3 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
458,PT03M16.00S,2023-04-15T21:15:14.4Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,66.17936925098554,65.19607843137256,1610612737,91,67,2023-04-15T21:15:20Z,4560000,False,76.0,265.0,1,right,MISS D. Hunter 27' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,,,,27.61,Missed,,,,,,,,,,,,,,,
459,PT03M15.00S,2023-04-15T21:15:15.4Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612738,91,67,2023-04-15T21:15:20Z,4570000,False,,,0,,R. Williams III REBOUND (Off:2 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Center,,,,,,,458.0,5.0,3.0,2.0,,,,,,,,,,
