actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
322,PT01M55.00S,2023-04-15T20:38:25.2Z,2,REGULAR,turnover,bad pass,[],1629057,,,1610612738,64,38,2023-04-15T20:38:30Z,3200000,False,,,0,,R. Williams III bad pass TURNOVER (1 TO),"[1629057, 1630180]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Center,1.0,Bey,1630180.0,,,,,,,,,,,,,,,,,
323,PT01M55.00S,2023-04-15T20:38:25.2Z,2,REGULAR,steal,,[],1630180,,,1610612737,64,38,2023-04-15T20:38:26Z,3210000,False,,,0,,S. Bey STEAL (2 STL),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
325,PT01M43.00S,2023-04-15T20:38:49.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628381,7.835085413929041,55.63725490196079,1610612737,64,40,2023-04-15T20:38:57Z,3230000,False,-28.0,21.0,1,left,J. Collins reverse Layup (10 PTS) (T. Young 3 AST),"[1628381, 1629027]",1610612737.0,ATL,reverse,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,3.52,Made,10.0,,,,,,,T. Young,1629027.0,3.0,,,,,
327,PT01M29.00S,2023-04-15T20:39:04.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,83.26215505913272,40.19607843137255,1610612738,66,40,2023-04-15T20:39:08Z,3250000,False,-49.0,105.0,1,right,D. White 11' driving floating Jump Shot (13 PTS),[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,11.57,Made,13.0,,,,,,,,,,,,,,
328,PT01M21.00S,2023-04-15T20:39:14.1Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628401,,,1610612737,66,40,2023-04-15T20:39:26Z,3260000,False,,,0,,D. White personal FOUL (1 PF) (Young 2 FT),"[1628401, 1629027]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Young,1629027.0
330,PT01M21.00S,2023-04-15T20:39:45.5Z,2,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,66,41,2023-04-15T20:39:45Z,3280000,False,,,0,,T. Young Free Throw 1 of 2 (11 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,Made,11.0,,,,,,,,,,,,,,
331,PT01M21.00S,2023-04-15T20:40:01.6Z,2,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,66,42,2023-04-15T20:40:01Z,3290000,False,,,0,,T. Young Free Throw 2 of 2 (12 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,Made,12.0,,,,,,,,,,,,,,
332,PT01M02.00S,2023-04-15T20:40:22.6Z,2,REGULAR,3pt,Jump Shot,[],203935,68.67608409986859,28.676470588235293,1610612738,66,42,2023-04-15T20:40:48Z,3300000,False,-107.0,242.0,1,right,MISS M. Smart 26' step back 3PT,[203935],1610612738.0,BOS,step back,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,26.43,Missed,,,,,,,,,,,,,,,
333,PT01M00.00S,2023-04-15T20:40:23.8Z,2,REGULAR,rebound,offensive,[],201143,,,1610612738,66,42,2023-04-15T20:40:30Z,3310000,False,,,0,,A. Horford REBOUND (Off:1 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,,,,332.0,5.0,4.0,1.0,,,,,,,,,,
334,PT00M55.10S,2023-04-15T20:40:31.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629057,92.46057818659659,52.94117647058824,1610612738,68,42,2023-04-15T20:40:48Z,3320000,False,15.0,18.0,1,right,R. Williams III alley-oop DUNK (10 PTS) (D. White 3 AST),"[1629057, 1628401]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,2.36,Made,10.0,,,,,,,D. White,1628401.0,3.0,,,,,
