actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-21T23:15:33.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-21T23:15:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-21T23:15:36.0Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2023-04-21T23:15:36Z,40000,False,,,0,,Jump Ball A. Horford vs. C. Capela: Tip to D. White,"[1628401, 201143, 203991]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Horford,201143.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M31.00S,2023-04-21T23:16:00.3Z,1,REGULAR,2pt,Jump Shot,[],203935,27.283180026281208,32.1078431372549,1610612738,0,0,2023-04-21T23:16:10Z,70000,False,89.0,204.0,1,left,MISS M. Smart 22' step back Shot,[203935],1610612738.0,BOS,step back,,,Smart,M. Smart,,,,,Mid-Range,16-24 Right Center,22.28,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2023-04-21T23:16:01.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,0,0,2023-04-21T23:16:10Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Mid-Range,16-24 Right Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2023-04-21T23:16:21.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,94.1688567674113,52.20588235294118,1610612737,2,0,2023-04-21T23:16:27Z,100000,False,11.0,2.0,1,right,T. Young driving floating Jump Shot (2 PTS) (D. Murray 1 AST),"[1629027, 1627749]",1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.12,Made,,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,
11,PT11M06.00S,2023-04-21T23:16:33.2Z,1,REGULAR,2pt,Jump Shot,[],1628369,24.26084099868594,27.696078431372552,1610612738,2,0,2023-04-21T23:16:37Z,110000,False,112.0,176.0,1,left,MISS J. Tatum 20' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,20.8,Missed,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2023-04-21T23:16:36.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,2,0,2023-04-21T23:16:37Z,120000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right Center,,,11.0,,,,,1.0,1.0,0.0,,,,,,,,,,
13,PT10M54.00S,2023-04-21T23:16:45.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,90.75229960578186,36.029411764705884,1610612737,2,0,2023-04-21T23:16:51Z,130000,False,-70.0,34.0,1,right,MISS T. Young 7' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,7.79,Missed,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2023-04-21T23:16:47.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,0,2023-04-21T23:16:51Z,140000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,,,
15,PT10M48.00S,2023-04-21T23:16:52.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201143,29.6484888304862,23.03921568627451,1610612738,2,0,2023-04-21T23:17:59Z,150000,False,135.0,226.0,1,left,MISS A. Horford 26' running 3PT,[201143],1610612738.0,BOS,running,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,26.33,Missed,,,,,,,,,,,,,,,,,,
