actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M45.00S,2023-04-21T23:16:55.3Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,2,0,2023-04-21T23:16:58Z,160000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,15.0,,,,,1.0,1.0,0.0,,,,,,,,,,
17,PT10M37.00S,2023-04-21T23:17:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,83.78777923784494,46.32352941176471,1610612737,4,0,2023-04-21T23:17:09Z,170000,False,-18.0,100.0,1,right,D. Murray 10' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,10.16,Made,,2.0,,,,,,,,,,,,,,,,
18,PT10M20.00S,2023-04-21T23:17:19.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,10.726018396846255,4.411764705882353,1610612738,4,0,2023-04-21T23:17:24Z,180000,False,228.0,48.0,1,left,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,23.3,Missed,,,,,,,,,,,,,,,,,,
19,PT10M18.00S,2023-04-21T23:17:21.7Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,4,0,2023-04-21T23:17:21Z,190000,False,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,,,18.0,,,,,2.0,1.0,1.0,,,,,,,,,,
20,PT10M16.00S,2023-04-21T23:17:24.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628369,6.915243101182654,14.460784313725492,1610612738,4,2,2023-04-21T23:17:28Z,200000,False,178.0,13.0,1,left,J. Tatum 17' Jump Shot (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right,17.81,Made,,2.0,,,,,,,,,,,,,,,,
21,PT09M55.00S,2023-04-21T23:17:44.2Z,1,REGULAR,3pt,Jump Shot,[],1627749,67.88764783180025,45.09803921568628,1610612737,4,2,2023-04-21T23:17:52Z,210000,False,-25.0,249.0,1,right,MISS D. Murray 25' pullup 3PT,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,25.06,Missed,,,,,,,,,,,,,,,,,,
22,PT09M51.00S,2023-04-21T23:17:48.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,4,2,2023-04-21T23:17:52Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,,,21.0,,,,,,,,,,,,,,,,,
24,PT09M44.00S,2023-04-21T23:18:02.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,18.347568988173457,46.07843137254902,1610612738,4,4,2023-04-21T23:19:04Z,240000,False,20.0,120.0,1,left,J. Brown 12' turnaround fadeaway Jump Shot (2 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,12.16,Made,,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,
26,PT09M30.00S,2023-04-21T23:18:20.9Z,1,REGULAR,foul,offensive,[],1628381,,,1610612737,4,4,2023-04-21T23:18:31Z,260000,False,,,0,,J. Collins off-the-ball offensive FOUL (1 PF),"[1628381, 1628401]",1610612737.0,ATL,off-the-ball,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1162.0,1.0,0.0,White,1628401.0,,,,,
28,PT09M30.00S,2023-04-21T23:18:20.9Z,1,REGULAR,turnover,offensive foul,[],1628381,,,1610612737,4,4,2023-04-21T23:18:20Z,280000,False,,,0,,J. Collins offensive foul TURNOVER (1 TO),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1162.0,,,,,1.0,,,,
29,PT09M20.00S,2023-04-21T23:18:46.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628369,13.222733245729303,48.77450980392157,1610612738,4,4,2023-04-21T23:18:51Z,290000,False,6.0,72.0,1,left,MISS J. Tatum 7' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,7.21,Missed,,,,,,,,,,,,,,,,,,
30,PT09M17.00S,2023-04-21T23:18:49.9Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,4,4,2023-04-21T23:18:51Z,300000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,29.0,,,,,2.0,2.0,0.0,,,,,,,,,,
31,PT09M10.00S,2023-04-21T23:18:56.4Z,1,REGULAR,3pt,Jump Shot,[],1628381,74.32654402102497,83.08823529411765,1610612737,4,4,2023-04-21T23:19:03Z,310000,False,165.0,189.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,25.1,Missed,,,,,,,,,,,,,,,,,,
32,PT09M07.00S,2023-04-21T23:19:00.8Z,1,REGULAR,rebound,offensive,[],1627749,,,1610612737,4,4,2023-04-21T23:19:00Z,320000,False,,,0,,D. Murray REBOUND (Off:1 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,31.0,,,,,2.0,1.0,1.0,,,,,,,,,,
33,PT08M56.00S,2023-04-21T23:19:12.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,92.9862023653088,51.71568627450981,1610612737,6,4,2023-04-21T23:19:17Z,330000,False,9.0,13.0,1,right,J. Collins Layup (2 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.59,Made,,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,
35,PT08M56.00S,2023-04-21T23:19:20.0Z,1,REGULAR,foul,personal,['1freethrow'],1628401,,,1610612737,6,4,2023-04-21T23:19:36Z,350000,False,,,0,,D. White shooting personal FOUL (1 PF) (Collins 1 FT),"[1628401, 1628381]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1162.0,1.0,0.0,Collins,1628381.0,,,,,
37,PT08M56.00S,2023-04-21T23:19:39.2Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1628381,,,1610612737,6,4,2023-04-21T23:19:41Z,370000,False,,,0,,MISS J. Collins Free Throw 1 of 1,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT08M54.00S,2023-04-21T23:19:41.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,6,4,2023-04-21T23:19:41Z,380000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,37.0,,,,,1.0,1.0,0.0,,,,,,,,,,
39,PT08M43.00S,2023-04-21T23:19:51.4Z,1,REGULAR,3pt,Jump Shot,[],203935,30.436925098554536,73.2843137254902,1610612738,6,4,2023-04-21T23:19:57Z,390000,False,-116.0,234.0,1,left,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,,,,,,,,,,,,,,,,,
40,PT08M38.00S,2023-04-21T23:19:56.4Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,6,4,2023-04-21T23:19:57Z,400000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,39.0,,,,,1.0,1.0,0.0,,,,,,,,,,
41,PT08M37.00S,2023-04-21T23:19:57.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203991,94.30026281208936,50.98039215686274,1610612737,8,4,2023-04-21T23:20:03Z,410000,False,5.0,1.0,1,right,C. Capela running DUNK (2 PTS) (T. Young 2 AST),"[203991, 1629027]",1610612737.0,ATL,running,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.5,Made,,2.0,T. Young,1629027.0,2.0,,,,,,,,,,,,,
43,PT08M21.00S,2023-04-21T23:20:13.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,20.05584756898817,8.57843137254902,1610612738,8,7,2023-04-21T23:20:18Z,430000,False,207.0,136.0,1,left,J. Tatum 24' 3PT  (5 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,24.78,Made,,5.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,
45,PT08M13.00S,2023-04-21T23:20:24.0Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612737,8,7,2023-04-21T23:20:46Z,450000,False,,,0,,D. White shooting personal FOUL (2 PF) (Young 2 FT),"[1628401, 1629027]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Mid-Range,8-16 Right,,,,,,,,,,,203591.0,2.0,0.0,Young,1629027.0,,,,,
47,PT08M13.00S,2023-04-21T23:20:48.6Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,9,7,2023-04-21T23:20:48Z,470000,False,,,0,,T. Young Free Throw 1 of 2 (3 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
48,PT08M13.00S,2023-04-21T23:20:49.5Z,1,REGULAR,substitution,out,[],1628401,,,1610612737,9,7,2023-04-21T23:20:56Z,480000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M13.00S,2023-04-21T23:20:49.5Z,1,REGULAR,substitution,in,[],1627763,,,1610612737,9,7,2023-04-21T23:20:56Z,490000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M13.00S,2023-04-21T23:21:07.9Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,10,7,2023-04-21T23:21:07Z,500000,False,,,0,,T. Young Free Throw 2 of 2 (4 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,,4.0,,,,,,,,,,,,,,,,
51,PT07M55.00S,2023-04-21T23:21:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,19.398817345597898,51.9607843137255,1610612738,10,9,2023-04-21T23:26:40Z,510000,False,-10.0,130.0,1,left,J. Brown 13' pullup Jump Shot (4 PTS) (M. Brogdon 1 AST),"[1627759, 1627763]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,13.02,Made,,4.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,,
52,PT07M39.00S,2023-04-21T23:21:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,93.11760840998686,47.30392156862745,1610612737,12,9,2023-04-21T23:21:49Z,520000,False,-13.0,12.0,1,right,C. Capela driving Layup (4 PTS) (T. Young 3 AST),"[203991, 1629027]",1610612737.0,ATL,driving,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1.82,Made,,4.0,T. Young,1629027.0,3.0,,,,,,,,,,,,,
54,PT07M25.00S,2023-04-21T23:21:57.5Z,1,REGULAR,3pt,Jump Shot,[],203935,12.828515111695138,95.58823529411765,1610612738,12,12,2023-04-21T23:22:02Z,540000,False,-228.0,68.0,1,left,M. Smart 3PT  (3 PTS) (M. Brogdon 2 AST),"[203935, 1627763]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,23.79,Made,,3.0,M. Brogdon,1627763.0,2.0,,,,,,,,,,,,,
56,PT07M17.00S,2023-04-21T23:22:08.0Z,1,REGULAR,turnover,out-of-bounds,[],1629631,,,1610612737,12,12,2023-04-21T23:22:17Z,560000,False,,,0,,D. Hunter step out-of-bounds TURNOVER (1 TO),[1629631],1610612737.0,ATL,step,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,,,,,,,,,,,1162.0,,,,,1.0,,,,
57,PT07M05.00S,2023-04-21T23:22:37.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627763,28.203022339027594,24.509803921568626,1610612738,12,15,2023-04-21T23:22:41Z,570000,False,127.0,213.0,1,left,M. Brogdon 24' 3PT pullup (3 PTS),[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Right Center,24.79,Made,,3.0,,,,,,,,,,,,,,,,
58,PT06M45.00S,2023-04-21T23:22:57.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,91.93495400788436,50.49019607843137,1610612737,12,15,2023-04-21T23:23:01Z,580000,False,2.0,23.0,1,right,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,,,,,,,,,,,,,,
59,PT06M43.00S,2023-04-21T23:22:59.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,12,15,2023-04-21T23:23:01Z,590000,False,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,58.0,,,,,3.0,2.0,1.0,,,,,,,,,,
60,PT06M38.00S,2023-04-21T23:23:04.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,29.38567674113009,74.75490196078431,1610612738,12,15,2023-04-21T23:23:14Z,600000,False,-124.0,224.0,1,left,MISS J. Tatum 25' running pullup 3PT,[1628369],1610612738.0,BOS,running pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.57,Missed,,,,,,,,,,,,,,,,,,
61,PT06M35.00S,2023-04-21T23:23:07.4Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,12,15,2023-04-21T23:23:14Z,610000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,60.0,,,,,1.0,1.0,0.0,,,,,,,,,,
62,PT06M29.00S,2023-04-21T23:23:13.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,83.13074901445466,43.627450980392155,1610612737,12,15,2023-04-21T23:23:19Z,620000,False,-32.0,106.0,1,right,MISS D. Hunter 11' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,11.08,Missed,,,,,,,,,,,,,,,,,,
63,PT06M27.00S,2023-04-21T23:23:18.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,12,15,2023-04-21T23:23:18Z,630000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,62.0,,,,,,,,,,,,,,,,,
65,PT06M27.00S,2023-04-21T23:23:22.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,12,15,2023-04-21T23:23:22Z,650000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M27.00S,2023-04-21T23:26:13.6Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,12,15,2023-04-21T23:26:41Z,660000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M27.00S,2023-04-21T23:26:13.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612737,12,15,2023-04-21T23:26:41Z,670000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M27.00S,2023-04-21T23:26:13.6Z,1,REGULAR,substitution,out,[],203935,,,1610612737,12,15,2023-04-21T23:26:41Z,680000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M27.00S,2023-04-21T23:26:13.6Z,1,REGULAR,substitution,out,[],201143,,,1610612737,12,15,2023-04-21T23:26:41Z,690000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M27.00S,2023-04-21T23:26:13.6Z,1,REGULAR,substitution,in,[],203992,,,1610612737,12,15,2023-04-21T23:26:41Z,700000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M27.00S,2023-04-21T23:26:13.6Z,1,REGULAR,substitution,in,[],1629057,,,1610612737,12,15,2023-04-21T23:26:41Z,710000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M27.00S,2023-04-21T23:26:13.6Z,1,REGULAR,substitution,in,[],1630573,,,1610612737,12,15,2023-04-21T23:26:41Z,720000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M27.00S,2023-04-21T23:26:13.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612737,12,15,2023-04-21T23:26:41Z,730000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M18.00S,2023-04-21T23:27:15.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627749,94.1688567674113,50.73529411764706,1610612737,12,15,2023-04-21T23:27:22Z,740000,False,4.0,2.0,1,right,MISS D. Murray driving Layup,[1627749],1610612737.0,ATL,driving,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,0.44,Missed,,,,,,,,,,,,,,,,,,
77,PT06M15.00S,2023-04-21T23:27:18.4Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,12,15,2023-04-21T23:27:22Z,750000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,76.0,,,,,1.0,0.0,1.0,,,,,,,,,,
78,PT06M15.00S,2023-04-21T23:27:18.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.40999984741211,50.0,1610612737,14,15,2023-04-21T23:27:18Z,760000,False,0.0,0.0,1,right,C. Capela tip Layup (6 PTS),[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,0.0,Made,,6.0,,,,,,,,,,,,,,,,
79,PT06M01.00S,2023-04-21T23:27:31.7Z,1,REGULAR,3pt,Jump Shot,[],1629684,6.1268068331143235,96.81372549019608,1610612738,14,18,2023-04-21T23:27:36Z,770000,False,-234.0,5.0,1,left,G. Williams 3PT  (3 PTS) (M. Brogdon 3 AST),"[1629684, 1627763]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,Left Corner 3,24+ Left,23.42,Made,,3.0,M. Brogdon,1627763.0,3.0,,,,,,,,,,,,,
81,PT05M46.00S,2023-04-21T23:27:46.8Z,1,REGULAR,3pt,Jump Shot,[],1629631,91.01511169513797,3.9215686274509802,1610612737,14,18,2023-04-21T23:27:52Z,790000,False,-230.0,32.0,1,right,MISS D. Hunter 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,23.26,Missed,,,,,,,,,,,,,,,,,,
82,PT05M44.00S,2023-04-21T23:27:48.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,14,18,2023-04-21T23:27:52Z,800000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,,,81.0,,,,,1.0,1.0,0.0,,,,,,,,,,
83,PT05M39.00S,2023-04-21T23:27:55.0Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,14,18,2023-04-21T23:27:58Z,810000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 203992]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Bogdanovic,203992.0,,
84,PT05M39.00S,2023-04-21T23:27:55.0Z,1,REGULAR,steal,,[],203992,,,1610612737,14,18,2023-04-21T23:27:57Z,820000,False,,,0,,B. Bogdanovic STEAL (1 STL),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
85,PT05M21.00S,2023-04-21T23:28:12.2Z,1,REGULAR,turnover,bad pass,[],203992,,,1610612737,14,18,2023-04-21T23:28:16Z,830000,False,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[203992, 1629684]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Williams,1629684.0,,
86,PT05M21.00S,2023-04-21T23:28:12.2Z,1,REGULAR,steal,,[],1629684,,,1610612738,14,18,2023-04-21T23:28:14Z,840000,False,,,0,,G. Williams STEAL (1 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
87,PT05M11.00S,2023-04-21T23:28:25.2Z,1,REGULAR,turnover,traveling,[],1627763,,,1610612738,14,18,2023-04-21T23:28:29Z,850000,False,,,0,,M. Brogdon traveling TURNOVER (1 TO),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1162.0,,,,,1.0,,,,
