actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
650,PT00M16.90S,2023-05-28T03:06:44.2Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629130,,,1610612738,100,101,2023-05-28T03:06:53Z,6250000,False,,,0,,D. Robinson take personal FOUL (5 PF) (Smart 2 FT),"[1629130, 203935]",1610612748.0,MIA,take,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,2534.0,5.0,0.0,Smart,203935.0,,,
652,PT00M16.90S,2023-05-28T03:07:06.5Z,4,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,100,101,2023-05-28T03:07:06Z,6270000,False,,,0,,MISS M. Smart Free Throw 1 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
653,PT00M16.90S,2023-05-28T03:07:06.5Z,4,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,100,101,2023-05-28T03:07:06Z,6280000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,652.0,,,,,,,,,,,,,,,,,
654,PT00M16.90S,2023-05-28T03:07:21.7Z,4,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,100,102,2023-05-28T03:07:21Z,6290000,False,,,0,,M. Smart Free Throw 2 of 2 (21 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,,,21.0,,,,,,,,,,,
655,PT00M03.00S,2023-05-28T03:07:52.8Z,4,REGULAR,foul,personal,"['inpenalty', '3freethrow']",201143,,,1610612748,100,102,2023-05-28T03:10:30Z,6300000,False,,,0,,A. Horford shooting personal FOUL (5 PF) (Butler 3 FT),"[201143, 202710]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,201639.0,5.0,0.0,Butler,202710.0,,,
657,PT00M03.00S,2023-05-28T03:08:31.4Z,4,REGULAR,timeout,full,['team'],0,,,1610612748,100,102,2023-05-28T03:10:37Z,6320000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,PT00M03.00S,2023-05-28T03:10:39.9Z,4,REGULAR,freethrow,1 of 3,[],202710,,,1610612748,101,102,2023-05-28T03:11:36Z,6340000,False,,,0,,J. Butler Free Throw 1 of 3 (22 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,22.0,,,,,,,,,,,
660,PT00M03.00S,2023-05-28T03:10:39.9Z,4,REGULAR,freethrow,2 of 3,[],202710,,,1610612748,102,102,2023-05-28T03:11:36Z,6350000,False,,,0,,J. Butler Free Throw 2 of 3 (23 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,23.0,,,,,,,,,,,
661,PT00M03.00S,2023-05-28T03:10:39.9Z,4,REGULAR,freethrow,3 of 3,[],202710,,,1610612748,103,102,2023-05-28T03:11:36Z,6360000,False,,,0,,J. Butler Free Throw 3 of 3 (24 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,24.0,,,,,,,,,,,
662,PT00M03.00S,2023-05-28T03:11:34.7Z,4,REGULAR,timeout,full,['team'],0,,,1610612738,103,102,2023-05-28T03:11:34Z,6370000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,PT00M03.00S,2023-05-28T03:12:34.5Z,4,REGULAR,substitution,out,[],1629130,,,1610612738,103,102,2023-05-28T03:12:58Z,6380000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
664,PT00M03.00S,2023-05-28T03:12:34.5Z,4,REGULAR,substitution,in,[],1629622,,,1610612738,103,102,2023-05-28T03:12:58Z,6390000,False,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
665,PT00M01.00S,2023-05-28T03:13:19.3Z,4,REGULAR,3pt,Jump Shot,[],203935,74.58935611038108,12.745098039215685,1610612738,103,102,2023-05-28T03:29:09Z,6400000,False,-186.0,186.0,1,right,MISS M. Smart 26' turnaround 3PT,[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,26.35,Missed,,,,,,,,,,,,,,,,,,
666,PT00M00.10S,2023-05-28T03:13:20.2Z,4,REGULAR,rebound,offensive,[],1628401,,,1610612738,103,102,2023-05-28T03:14:10Z,6410000,False,,,0,,D. White REBOUND (Off:1 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,665.0,4.0,3.0,1.0,,,,,,,,,,,,,,
667,PT00M00.00S,2023-05-28T03:13:34.0Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628401,94.40999984741211,50.0,1610612738,103,104,2023-05-28T03:13:34Z,6420000,False,0.0,0.0,1,right,D. White tip Layup (11 PTS),[1628401],1610612738.0,BOS,tip,,,White,D. White,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,11.0,,,,,,,,,,,
669,PT00M00.00S,2023-05-28T03:14:26.6Z,4,REGULAR,period,end,[],0,,,1610612748,103,104,2023-05-28T03:14:26Z,6440000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,PT00M00.00S,2023-05-28T03:14:36.6Z,4,REGULAR,game,end,[],0,,,0,103,104,2023-05-28T03:14:36Z,6450000,False,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
