actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-23T23:02:37.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-23T23:02:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-23T23:02:39.7Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2023-04-23T23:02:39Z,40000,False,,,0,,Jump Ball C. Capela vs. A. Horford: Tip to J. Collins,"[1628381, 203991, 201143]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-04-23T23:02:59.1Z,1,REGULAR,3pt,Jump Shot,[],1629631,96.66557161629436,97.54901960784314,1610612737,3,0,2023-04-23T23:03:04Z,70000,False,238.0,-21.0,1,right,D. Hunter 3PT  (3 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Right Corner 3,24+ Right,23.86,Made,3.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-04-23T23:03:15.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,11.777266754270697,58.57843137254902,1610612738,3,0,2023-04-23T23:03:20Z,90000,False,-43.0,58.0,1,left,MISS J. Brown 7' driving Layup - blocked,"[1627759, 1627749]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,7.23,Missed,,,,,Murray,1627749.0,,,,,,,,,,,,
10,PT11M21.00S,2023-04-23T23:03:15.1Z,1,REGULAR,block,,[],1627749,,,1610612738,3,0,2023-04-23T23:03:18Z,100000,False,,,0,,D. Murray BLOCK (1 BLK),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2023-04-23T23:03:18.1Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,3,0,2023-04-23T23:03:20Z,110000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
12,PT11M13.00S,2023-04-23T23:03:22.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629027,88.25558475689881,44.85294117647059,1610612737,3,0,2023-04-23T23:03:30Z,120000,False,-26.0,58.0,1,right,MISS T. Young 6' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,6.33,Missed,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2023-04-23T23:03:24.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,0,2023-04-23T23:03:30Z,130000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M08.00S,2023-04-23T23:03:30.4Z,1,REGULAR,foul,personal,['2freethrow'],1629631,,,1610612738,3,0,2023-04-23T23:03:39Z,140000,False,,,0,,D. Hunter shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629631, 1628369]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,204058.0,1.0,0.0,Tatum,1628369.0,,,
16,PT11M08.00S,2023-04-23T23:03:54.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628369,,,1610612738,3,1,2023-04-23T23:03:54Z,160000,False,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
