actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
17,PT11M08.00S,2023-04-23T23:04:12.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628369,,,1610612738,3,2,2023-04-23T23:04:12Z,170000,False,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M52.00S,2023-04-23T23:04:29.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,83.26215505913272,41.911764705882355,1610612737,3,2,2023-04-23T23:04:34Z,180000,False,-40.0,105.0,1,right,MISS D. Murray 11' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,11.23,Missed,,,,,,,,,,,,,,,,,,
19,PT10M49.00S,2023-04-23T23:04:32.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,2,2023-04-23T23:04:34Z,190000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,
20,PT10M44.00S,2023-04-23T23:04:37.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628401,8.623521681997373,45.588235294117645,1610612738,3,4,2023-04-23T23:04:45Z,200000,False,22.0,29.0,1,left,D. White driving floating Jump Shot (2 PTS),[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,Restricted Area,0-8 Center,3.61,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M36.00S,2023-04-23T23:04:45.3Z,1,REGULAR,3pt,Jump Shot,[],1628381,73.27529566360053,20.833333333333336,1610612737,3,4,2023-04-23T23:04:50Z,210000,False,-146.0,199.0,1,right,MISS J. Collins 24' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,24.65,Missed,,,,,,,,,,,,,,,,,,
22,PT10M33.00S,2023-04-23T23:04:48.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,4,2023-04-23T23:04:50Z,220000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,
23,PT10M28.00S,2023-04-23T23:04:53.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,5.995400788436268,50.49019607843137,1610612738,3,6,2023-04-23T23:05:02Z,230000,False,-2.0,4.0,1,left,J. Brown driving Layup (2 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,0.46,Made,2.0,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2023-04-23T23:05:05.4Z,1,REGULAR,2pt,Jump Shot,[],1628381,93.64323258869908,27.450980392156865,1610612737,3,6,2023-04-23T23:05:10Z,240000,False,-113.0,7.0,1,right,MISS J. Collins 11' pullup Shot,[1628381],1610612737.0,ATL,pullup,,,Collins,J. Collins,,,,,Mid-Range,8-16 Left,11.29,Missed,,,,,,,,,,,,,,,,,,
25,PT10M13.00S,2023-04-23T23:05:08.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,6,2023-04-23T23:05:10Z,250000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,,,,,,,,,24.0,3.0,3.0,0.0,,,,,,,,
26,PT10M03.00S,2023-04-23T23:05:17.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,28.203022339027594,23.03921568627451,1610612738,3,9,2023-04-23T23:05:22Z,260000,False,135.0,213.0,1,left,D. White 25' 3PT  (5 PTS) (A. Horford 1 AST),"[1628401, 201143]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,25.17,Made,5.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
28,PT09M46.00S,2023-04-23T23:05:35.3Z,1,REGULAR,3pt,Jump Shot,[],1627749,80.1084099868594,9.558823529411764,1610612737,6,9,2023-04-23T23:05:41Z,280000,False,-202.0,134.0,1,right,D. Murray 24' 3PT  (3 PTS) (T. Young 2 AST),"[1627749, 1629027]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,24.28,Made,3.0,T. Young,1629027.0,2.0,,,,,,,,,,,,,,
30,PT09M34.00S,2023-04-23T23:05:46.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,19.793035479632064,93.13725490196079,1610612738,6,9,2023-04-23T23:05:52Z,300000,False,-216.0,134.0,1,left,MISS J. Brown 25' step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.37,Missed,,,,,,,,,,,,,,,,,,
31,PT09M32.00S,2023-04-23T23:05:48.7Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,6,9,2023-04-23T23:05:52Z,310000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
32,PT09M26.00S,2023-04-23T23:05:56.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,86.67871222076215,55.63725490196079,1610612737,8,9,2023-04-23T23:06:01Z,320000,False,28.0,73.0,1,right,T. Young 7' driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,7.8,Made,2.0,,,,,,,,,,,,,,,,,
33,PT09M06.00S,2023-04-23T23:06:14.8Z,1,REGULAR,3pt,Jump Shot,[],203935,30.962549277266753,68.38235294117648,1610612738,8,9,2023-04-23T23:06:19Z,330000,False,-92.0,239.0,1,left,MISS M. Smart 25' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,25.56,Missed,,,,,,,,,,,,,,,,,,
34,PT09M04.00S,2023-04-23T23:06:16.8Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,8,9,2023-04-23T23:06:19Z,340000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,
35,PT08M54.00S,2023-04-23T23:06:30.2Z,1,REGULAR,turnover,out-of-bounds,[],1629631,,,1610612737,8,9,2023-04-23T23:06:37Z,350000,False,,,0,,D. Hunter step out-of-bounds TURNOVER (1 TO),[1629631],1610612737.0,ATL,step,,,Hunter,D. Hunter,,,,,Mid-Range,24+ Left,,,,,,,,,,,,,204058.0,,,,,1.0,,
36,PT08M38.00S,2023-04-23T23:06:59.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,5.995400788436268,48.77450980392157,1610612738,8,9,2023-04-23T23:07:05Z,360000,False,6.0,4.0,1,left,MISS J. Brown driving Layup - blocked,"[1627759, 1628381]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,0.72,Missed,,,,,Collins,1628381.0,,,,,,,,,,,,
37,PT08M38.00S,2023-04-23T23:06:59.2Z,1,REGULAR,block,,[],1628381,,,1610612738,8,9,2023-04-23T23:07:03Z,370000,False,,,0,,J. Collins BLOCK (1 BLK),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT08M34.00S,2023-04-23T23:07:03.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,8,9,2023-04-23T23:07:05Z,380000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,
39,PT08M29.00S,2023-04-23T23:07:08.9Z,1,REGULAR,3pt,Jump Shot,[],1627749,72.48685939553219,79.65686274509804,1610612737,11,9,2023-04-23T23:07:17Z,390000,False,148.0,206.0,1,right,D. Murray 25' 3PT  (6 PTS) (T. Young 3 AST),"[1627749, 1629027]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,25.39,Made,6.0,T. Young,1629027.0,3.0,,,,,,,,,,,,,,
41,PT08M18.00S,2023-04-23T23:07:19.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,10.068988173455978,5.392156862745098,1610612738,11,12,2023-04-23T23:07:23Z,410000,False,223.0,42.0,1,left,J. Tatum 3PT  (5 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,22.69,Made,5.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
43,PT08M06.00S,2023-04-23T23:07:31.5Z,1,REGULAR,3pt,Jump Shot,[],1628381,72.61826544021025,80.3921568627451,1610612737,11,12,2023-04-23T23:07:36Z,430000,False,152.0,205.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,25.51,Missed,,,,,,,,,,,,,,,,,,
44,PT08M03.00S,2023-04-23T23:07:34.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,11,12,2023-04-23T23:07:36Z,440000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,
45,PT07M57.00S,2023-04-23T23:07:40.2Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,11,12,2023-04-23T23:07:47Z,450000,False,,,0,,J. Tatum lost ball TURNOVER (1 TO),"[1628369, 1627749]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Murray,1627749.0
46,PT07M57.00S,2023-04-23T23:07:40.2Z,1,REGULAR,steal,,[],1627749,,,1610612737,11,12,2023-04-23T23:07:42Z,460000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
47,PT07M53.00S,2023-04-23T23:07:43.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629027,93.9060446780552,50.245098039215684,1610612737,11,12,2023-04-23T23:07:52Z,470000,False,1.0,5.0,1,right,MISS T. Young running Layup,[1629027],1610612737.0,ATL,running,,,Young,T. Young,,,,,Restricted Area,0-8 Center,0.49,Missed,,,,,,,,,,,,,,,,,,
48,PT07M50.00S,2023-04-23T23:07:47.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,12,2023-04-23T23:07:47Z,480000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,
49,PT07M47.00S,2023-04-23T23:07:51.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628401,6.1268068331143235,51.470588235294116,1610612738,11,14,2023-04-23T23:08:04Z,490000,False,-7.0,5.0,1,left,D. White running Layup (7 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,running,,,White,D. White,,,,,Restricted Area,0-8 Center,0.9,Made,7.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
51,PT07M47.00S,2023-04-23T23:07:55.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,11,14,2023-04-23T23:07:55Z,510000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M32.00S,2023-04-23T23:11:57.1Z,1,REGULAR,foul,offensive,[],1628381,,,1610612737,11,14,2023-04-23T23:12:03Z,520000,False,,,0,,J. Collins charge offensive FOUL (1 PF),"[1628381, 1628401]",1610612737.0,ATL,charge,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,204059.0,1.0,0.0,White,1628401.0,,,
54,PT07M32.00S,2023-04-23T23:11:57.1Z,1,REGULAR,turnover,offensive foul,[],1628381,,,1610612737,11,14,2023-04-23T23:11:57Z,540000,False,,,0,,J. Collins offensive foul TURNOVER (1 TO),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,204059.0,,,,,1.0,,
55,PT07M24.00S,2023-04-23T23:12:29.1Z,1,REGULAR,foul,offensive,[],201143,,,1610612738,11,14,2023-04-23T23:12:35Z,550000,False,,,0,,A. Horford off-the-ball offensive FOUL (1 PF),"[201143, 1629027]",1610612738.0,BOS,off-the-ball,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,204059.0,1.0,0.0,Young,1629027.0,,,
57,PT07M24.00S,2023-04-23T23:12:29.1Z,1,REGULAR,turnover,offensive foul,[],201143,,,1610612738,11,14,2023-04-23T23:12:29Z,570000,False,,,0,,A. Horford offensive foul TURNOVER (1 TO),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,204059.0,,,,,1.0,,
58,PT07M13.00S,2023-04-23T23:12:49.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627749,78.79434954007884,90.19607843137256,1610612737,11,14,2023-04-23T23:12:54Z,580000,False,201.0,147.0,1,right,MISS D. Murray 24' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,24.89,Missed,,,,,,,,,,,,,,,,,,
59,PT07M10.00S,2023-04-23T23:12:52.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,14,2023-04-23T23:12:54Z,590000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,
60,PT06M59.00S,2023-04-23T23:13:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.966491458607096,52.20588235294118,1610612738,11,16,2023-04-23T23:13:09Z,600000,False,-11.0,22.0,1,left,J. Tatum driving Layup (7 PTS) (A. Horford 2 AST),"[1628369, 201143]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.5,Made,7.0,A. Horford,201143.0,2.0,,,,,,,,,,,,,,
62,PT06M38.00S,2023-04-23T23:13:23.5Z,1,REGULAR,turnover,lost ball,[],1627749,,,1610612737,11,16,2023-04-23T23:13:27Z,620000,False,,,0,,D. Murray lost ball TURNOVER (1 TO),"[1627749, 201143]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Horford,201143.0
63,PT06M38.00S,2023-04-23T23:13:23.5Z,1,REGULAR,steal,,[],201143,,,1610612738,11,16,2023-04-23T23:13:25Z,630000,False,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT06M33.00S,2023-04-23T23:13:28.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,7.835085413929041,51.71568627450981,1610612738,11,16,2023-04-23T23:13:38Z,640000,False,-9.0,21.0,1,left,MISS J. Brown running Layup - blocked,"[1627759, 1629631]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.28,Missed,,,,,Hunter,1629631.0,,,,,,,,,,,,
65,PT06M33.00S,2023-04-23T23:13:28.6Z,1,REGULAR,block,,[],1629631,,,1610612738,11,16,2023-04-23T23:13:31Z,650000,False,,,0,,D. Hunter BLOCK (1 BLK),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
66,PT06M31.00S,2023-04-23T23:13:30.6Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,11,16,2023-04-23T23:13:38Z,660000,False,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,64.0,1.0,0.0,1.0,,,,,,,,
67,PT06M29.00S,2023-04-23T23:13:33.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203935,20.581471747700395,91.42156862745098,1610612738,11,16,2023-04-23T23:13:41Z,670000,False,-207.0,141.0,1,left,MISS M. Smart 25' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,25.05,Missed,,,,,,,,,,,,,,,,,,
68,PT06M25.00S,2023-04-23T23:13:36.9Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,11,16,2023-04-23T23:13:36Z,680000,False,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,,,,,,67.0,3.0,2.0,1.0,,,,,,,,
69,PT06M16.00S,2023-04-23T23:13:46.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628401,32.53942181340342,50.0,1610612738,11,16,2023-04-23T23:13:51Z,690000,False,0.0,253.0,1,left,MISS D. White 25' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Center,25.34,Missed,,,,,,,,,,,,,,,,,,
70,PT06M13.00S,2023-04-23T23:13:49.4Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,11,16,2023-04-23T23:13:51Z,700000,False,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,
71,PT06M08.00S,2023-04-23T23:13:54.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628381,94.69448094612353,52.20588235294118,1610612737,11,16,2023-04-23T23:15:32Z,710000,False,11.0,-3.0,1,right,MISS J. Collins driving DUNK,[1628381],1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.13,Missed,,,,,,,,,,,,,,,,,,
72,PT06M05.00S,2023-04-23T23:13:57.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,11,16,2023-04-23T23:14:03Z,720000,False,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,,,71.0,4.0,4.0,0.0,,,,,,,,
73,PT06M02.00S,2023-04-23T23:14:00.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,16.507884362680684,94.85294117647058,1610612738,11,16,2023-04-23T23:14:07Z,730000,False,-224.0,103.0,1,left,MISS M. Smart 24' running 3PT,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,24.67,Missed,,,,,,,,,,,,,,,,,,
74,PT06M00.00S,2023-04-23T23:14:02.6Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,11,16,2023-04-23T23:14:02Z,740000,False,,,0,,M. Smart REBOUND (Off:2 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,73.0,2.0,0.0,2.0,,,,,,,,
75,PT05M53.00S,2023-04-23T23:14:09.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,31.61957950065703,63.970588235294116,1610612738,11,16,2023-04-23T23:14:14Z,750000,False,-70.0,245.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,25.45,Missed,,,,,,,,,,,,,,,,,,
76,PT05M49.00S,2023-04-23T23:14:13.8Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,11,16,2023-04-23T23:14:14Z,760000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,
77,PT05M43.00S,2023-04-23T23:14:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,93.24901445466492,46.07843137254902,1610612737,11,16,2023-04-23T23:14:24Z,770000,False,-20.0,11.0,1,right,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,2.25,Missed,,,,,,,,,,,,,,,,,,
78,PT05M41.00S,2023-04-23T23:14:21.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,16,2023-04-23T23:14:24Z,780000,False,,,0,,A. Horford REBOUND (Off:1 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,77.0,4.0,3.0,1.0,,,,,,,,
79,PT05M33.00S,2023-04-23T23:14:29.2Z,1,REGULAR,3pt,Jump Shot,[],1628401,6.521024967148489,4.166666666666666,1610612738,11,19,2023-04-23T23:14:34Z,790000,False,229.0,9.0,1,left,D. White 3PT  (10 PTS) (J. Tatum 2 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,22.94,Made,10.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,
81,PT05M32.00S,2023-04-23T23:14:35.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,11,19,2023-04-23T23:14:35Z,810000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
