actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-05-05T23:54:11.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-05T23:54:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-05-05T23:54:13.0Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612755,0,0,2023-05-05T23:54:13Z,40000,False,,,0,,Jump Ball J. Embiid vs. A. Horford: Tip to J. Harden,"[201935, 203954, 201143]",1610612755.0,PHI,startperiod,J. Harden,201935.0,Harden,J. Harden,Embiid,203954.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-05-05T23:54:29.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,14.241130091984232,43.13725490196079,1610612755,2,0,2023-05-05T23:54:33Z,70000,False,34.0,81.0,1,left,J. Embiid 8' Jump Shot (2 PTS) (J. Harden 1 AST),"[203954, 201935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,8.83,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-05-05T23:54:47.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,84.67477003942182,80.63725490196079,1610612738,2,2,2023-05-05T23:54:52Z,90000,False,153.0,92.0,1,right,J. Tatum 17' turnaround Jump Shot (2 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right,17.85,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
11,PT11M12.00S,2023-05-05T23:54:57.8Z,1,REGULAR,3pt,Jump Shot,[],203954,34.346254927726676,37.5,1610612755,2,2,2023-05-05T23:55:02Z,110000,False,62.0,270.0,1,left,MISS J. Embiid 27' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,27.75,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2023-05-05T23:55:01.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,2,2023-05-05T23:55:02Z,120000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M04.00S,2023-05-05T23:55:06.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,74.55650459921156,12.25490196078431,1610612738,2,5,2023-05-05T23:55:21Z,130000,False,-189.0,187.0,1,right,M. Smart 26' 3PT running pullup (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,running pullup,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,26.55,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
15,PT10M47.00S,2023-05-05T23:55:22.4Z,1,REGULAR,2pt,Jump Shot,[],1630178,15.818002628120894,76.9607843137255,1610612755,2,5,2023-05-06T00:00:37Z,150000,False,-135.0,96.0,1,left,MISS T. Maxey 16' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Left,16.56,Missed,,,,,,,,,,,,,,,,,,
16,PT10M45.00S,2023-05-05T23:55:25.3Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,2,5,2023-05-05T23:55:25Z,160000,False,,,0,,J. Embiid REBOUND (Off:1 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Left,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
17,PT10M43.00S,2023-05-05T23:55:26.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203954,7.539421813403408,52.205882352941174,1610612755,2,5,2023-05-05T23:55:32Z,170000,False,-11.0,18.0,1,left,MISS J. Embiid putback Layup,[203954],1610612755.0,PHI,putback,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,,,,,,,,,,
