actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
18,PT10M41.00S,2023-05-05T23:55:28.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,5,2023-05-05T23:55:32Z,180000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,
19,PT10M37.00S,2023-05-05T23:55:32.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,71.40275952693824,19.117647058823522,1610612738,2,8,2023-05-05T23:55:40Z,190000,False,-154.0,216.0,1,right,J. Tatum 26' 3PT running (5 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.58,Made,5.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
21,PT10M23.00S,2023-05-05T23:55:50.9Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612755,2,8,2023-05-05T23:55:59Z,210000,False,,,0,,J. Tatum shooting personal FOUL (1 PF) (Harden 2 FT),"[1628369, 201935]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,202049.0,1.0,0.0,Harden,201935.0,,,,,
23,PT10M23.00S,2023-05-05T23:56:17.5Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612755,3,8,2023-05-05T23:56:17Z,230000,False,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
24,PT10M23.00S,2023-05-05T23:56:35.3Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612755,4,8,2023-05-05T23:56:35Z,240000,False,,,0,,J. Harden Free Throw 2 of 2 (2 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
25,PT10M04.00S,2023-05-05T23:56:56.6Z,1,REGULAR,3pt,Jump Shot,[],1628401,71.66557161629436,20.588235294117652,1610612738,4,11,2023-05-05T23:57:00Z,250000,False,-147.0,214.0,1,right,D. White 25' 3PT  (3 PTS) (A. Horford 1 AST),"[1628401, 201143]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,25.95,Made,3.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
27,PT09M50.00S,2023-05-05T23:57:12.3Z,1,REGULAR,turnover,backcourt,[],200782,,,1610612755,4,11,2023-05-05T23:57:22Z,270000,False,,,0,,P. Tucker backcourt TURNOVER (1 TO),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,202049.0,,,,,1.0,,,,
28,PT09M35.00S,2023-05-05T23:57:38.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,95.45006570302233,2.6960784313725554,1610612738,4,14,2023-05-05T23:57:43Z,280000,False,-237.0,-10.0,1,right,J. Tatum 3PT  (8 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,23.67,Made,8.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
30,PT09M18.00S,2023-05-05T23:57:59.4Z,1,REGULAR,foul,personal,[],1627759,,,1610612755,4,14,2023-05-05T23:58:04Z,300000,False,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 201935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,202049.0,1.0,0.0,Harden,201935.0,,,,,
32,PT09M10.00S,2023-05-05T23:58:22.5Z,1,REGULAR,3pt,Jump Shot,[],200782,7.408015768725363,4.901960784313729,1610612755,4,14,2023-05-05T23:58:27Z,320000,False,225.0,17.0,1,left,MISS P. Tucker 3PT,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Right Corner 3,24+ Right,22.61,Missed,,,,,,,,,,,,,,,,,,
33,PT09M08.00S,2023-05-05T23:58:24.5Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,4,14,2023-05-05T23:58:27Z,330000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Right Corner 3,24+ Right,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
34,PT09M03.00S,2023-05-05T23:58:31.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,91.24507227332458,46.568627450980394,1610612738,4,14,2023-05-05T23:58:36Z,340000,False,-17.0,30.0,1,right,MISS M. Smart driving Layup - blocked,"[203935, 202699]",1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,3.44,Missed,,,,,,,,,,,,,,,Harris,202699.0,,
35,PT09M03.00S,2023-05-05T23:58:31.0Z,1,REGULAR,block,,[],202699,,,1610612738,4,14,2023-05-05T23:58:33Z,350000,False,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT09M03.00S,2023-05-05T23:58:31.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,4,14,2023-05-05T23:58:36Z,360000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,34.0,,,,,,,,,,,,,
38,PT08M50.00S,2023-05-05T23:58:52.4Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612755,4,14,2023-05-05T23:58:56Z,380000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1628369]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,,,Tatum,1628369.0
39,PT08M50.00S,2023-05-05T23:58:52.4Z,1,REGULAR,steal,,[],1628369,,,1610612738,4,14,2023-05-05T23:58:55Z,390000,False,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
40,PT08M44.00S,2023-05-05T23:58:58.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,92.95335085413929,52.450980392156865,1610612738,4,14,2023-05-05T23:59:43Z,400000,False,12.0,14.0,1,right,MISS J. Brown running Layup - blocked,"[1627759, 203954]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,,,,,,Embiid,203954.0,,
41,PT08M44.00S,2023-05-05T23:58:58.3Z,1,REGULAR,block,,[],203954,,,1610612738,4,14,2023-05-05T23:59:00Z,410000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M41.00S,2023-05-05T23:59:01.3Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,4,14,2023-05-05T23:59:03Z,420000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,
43,PT08M38.00S,2023-05-05T23:59:04.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201935,30.66688567674113,75.73529411764706,1610612755,7,14,2023-05-05T23:59:10Z,430000,False,-129.0,236.0,1,left,J. Harden 26' 3PT running pullup (5 PTS),[201935],1610612755.0,PHI,running pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,26.86,Made,5.0,,,,,,,,,,,,,,,,,
44,PT08M22.00S,2023-05-05T23:59:19.2Z,1,REGULAR,3pt,Jump Shot,[],201143,68.51182654402103,72.30392156862744,1610612738,7,14,2023-05-05T23:59:22Z,440000,False,112.0,243.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,26.78,Missed,,,,,,,,,,,,,,,,,,
45,PT08M20.00S,2023-05-05T23:59:21.2Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,7,14,2023-05-05T23:59:22Z,450000,False,,,0,,T. Maxey REBOUND (Off:0 Def:2),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,
46,PT08M11.00S,2023-05-05T23:59:31.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,11.875821287779246,49.26470588235294,1610612755,7,14,2023-05-05T23:59:35Z,460000,False,4.0,59.0,1,left,MISS J. Harden driving floating Shot,[201935],1610612755.0,PHI,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,5.92,Missed,,,,,,,,,,,,,,,,,,
47,PT08M09.00S,2023-05-05T23:59:33.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,7,14,2023-05-05T23:59:35Z,470000,False,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,46.0,3.0,3.0,0.0,,,,,,,,,,
48,PT08M07.00S,2023-05-05T23:59:35.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,93.87319316688567,50.245098039215684,1610612738,7,16,2023-05-05T23:59:42Z,480000,False,1.0,5.0,1,right,J. Tatum running Layup (10 PTS) (J. Brown 2 AST),"[1628369, 1627759]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.52,Made,10.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,,
50,PT08M07.00S,2023-05-05T23:59:52.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,7,16,2023-05-05T23:59:52Z,500000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M07.00S,2023-05-06T00:02:44.6Z,1,REGULAR,substitution,out,[],200782,,,1610612755,7,16,2023-05-06T00:03:00Z,510000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M07.00S,2023-05-06T00:02:44.6Z,1,REGULAR,substitution,in,[],1629001,,,1610612755,7,16,2023-05-06T00:03:00Z,520000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M48.00S,2023-05-06T00:03:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,5.831143232588701,48.28431372549019,1610612755,9,16,2023-05-06T00:03:46Z,530000,False,9.0,2.0,1,left,J. Embiid driving finger roll Layup (4 PTS),[203954],1610612755.0,PHI,driving finger roll,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,0.89,Made,4.0,,,,,,,,,,,,,,,,,
54,PT07M35.00S,2023-05-06T00:03:51.9Z,1,REGULAR,2pt,Jump Shot,[],203935,74.68791064388962,51.22549019607843,1610612738,9,16,2023-05-06T00:03:56Z,540000,False,6.0,185.0,1,right,MISS M. Smart 18' pullup Shot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,Mid-Range,16-24 Center,18.55,Missed,,,,,,,,,,,,,,,,,,
55,PT07M32.00S,2023-05-06T00:03:54.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,9,16,2023-05-06T00:03:56Z,550000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Center,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,
56,PT07M30.00S,2023-05-06T00:04:03.2Z,1,REGULAR,foul,offensive,[],202699,,,1610612755,9,16,2023-05-06T00:04:14Z,560000,False,,,0,,T. Harris charge offensive FOUL (1 PF),"[202699, 203935]",1610612755.0,PHI,charge,,,Harris,T. Harris,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1162.0,1.0,0.0,Smart,203935.0,,,,,
58,PT07M30.00S,2023-05-06T00:04:03.2Z,1,REGULAR,turnover,offensive foul,[],202699,,,1610612755,9,16,2023-05-06T00:04:03Z,580000,False,,,0,,T. Harris offensive foul TURNOVER (1 TO),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1162.0,,,,,1.0,,,,
59,PT07M23.00S,2023-05-06T00:04:23.0Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612738,9,16,2023-05-06T00:04:30Z,590000,False,,,0,,T. Harris shooting personal FOUL (2 PF) (Brown 2 FT),"[202699, 1627759]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1162.0,2.0,0.0,Brown,1627759.0,,,,,
61,PT07M23.00S,2023-05-06T00:04:46.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627759,,,1610612738,9,17,2023-05-06T00:04:46Z,610000,False,,,0,,J. Brown Free Throw 1 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
62,PT07M23.00S,2023-05-06T00:05:12.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627759,,,1610612738,9,18,2023-05-06T00:05:12Z,620000,False,,,0,,J. Brown Free Throw 2 of 2 (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
63,PT07M10.00S,2023-05-06T00:05:31.5Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612755,9,18,2023-05-06T00:05:38Z,630000,False,,,0,,D. White shooting personal FOUL (1 PF) (Embiid 2 FT),"[1628401, 203954]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1162.0,1.0,0.0,Embiid,203954.0,,,,,
65,PT07M10.00S,2023-05-06T00:06:01.3Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,10,18,2023-05-06T00:06:01Z,650000,False,,,0,,J. Embiid Free Throw 1 of 2 (5 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
66,PT07M10.00S,2023-05-06T00:06:03.4Z,1,REGULAR,substitution,out,[],202699,,,1610612755,10,18,2023-05-06T00:06:07Z,660000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M10.00S,2023-05-06T00:06:03.4Z,1,REGULAR,substitution,in,[],1629667,,,1610612755,10,18,2023-05-06T00:06:07Z,670000,False,,,0,,SUB in: J. McDaniels,[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M10.00S,2023-05-06T00:06:27.0Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,11,18,2023-05-06T00:06:27Z,680000,False,,,0,,J. Embiid Free Throw 2 of 2 (6 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
69,PT07M01.00S,2023-05-06T00:06:38.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,66.40932982917215,33.57843137254902,1610612738,11,18,2023-05-06T00:06:43Z,690000,False,-82.0,263.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,27.58,Missed,,,,,,,,,,,,,,,,,,
70,PT06M57.00S,2023-05-06T00:06:42.2Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,11,18,2023-05-06T00:06:42Z,700000,False,,,0,,M. Smart REBOUND (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,,69.0,2.0,1.0,1.0,,,,,,,,,,
71,PT06M51.00S,2023-05-06T00:06:48.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,86.38304862023654,96.81372549019608,1610612738,11,18,2023-05-06T00:06:52Z,710000,False,234.0,75.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Right Corner 3,24+ Right,24.6,Missed,,,,,,,,,,,,,,,,,,
72,PT06M48.00S,2023-05-06T00:06:51.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,11,18,2023-05-06T00:06:52Z,720000,False,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Right Corner 3,24+ Right,,,,,,,71.0,2.0,1.0,1.0,,,,,,,,,,
73,PT06M42.00S,2023-05-06T00:06:57.9Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,11,18,2023-05-06T00:07:01Z,730000,False,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 1627759]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,,,Brown,1627759.0
74,PT06M42.00S,2023-05-06T00:06:57.9Z,1,REGULAR,steal,,[],1627759,,,1610612738,11,18,2023-05-06T00:14:19Z,740000,False,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
75,PT06M35.00S,2023-05-06T00:07:04.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201143,67.46057818659658,69.6078431372549,1610612738,11,21,2023-05-06T00:07:10Z,750000,False,98.0,253.0,1,right,A. Horford 27' 3PT  (3 PTS) (D. White 2 AST),"[201143, 1628401]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,27.17,Made,3.0,D. White,1628401.0,2.0,,,,,,,,,,,,,,
77,PT06M22.00S,2023-05-06T00:07:18.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,10.82457293035479,48.529411764705884,1610612755,11,21,2023-05-06T00:07:47Z,770000,False,7.0,49.0,1,left,MISS T. Maxey driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,4.99,Missed,,,,,,,,,,,,,,,,,,
78,PT06M22.00S,2023-05-06T00:07:18.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,11,21,2023-05-06T00:07:47Z,780000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,77.0,,,,,,,,,,,,,
79,PT06M22.00S,2023-05-06T00:07:28.5Z,1,REGULAR,foul,personal,[],201143,,,1610612755,11,21,2023-05-06T00:07:35Z,790000,False,,,0,,A. Horford loose ball personal FOUL (1 PF),"[201143, 1630178]",1610612738.0,BOS,loose ball,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202049.0,1.0,0.0,Maxey,1630178.0,,,,,
81,PT06M22.00S,2023-05-06T00:07:39.1Z,1,REGULAR,substitution,out,[],203935,,,1610612755,11,21,2023-05-06T00:07:48Z,810000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M22.00S,2023-05-06T00:07:39.1Z,1,REGULAR,substitution,in,[],1629057,,,1610612755,11,21,2023-05-06T00:07:48Z,820000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M10.00S,2023-05-06T00:08:01.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629667,27.644546649145866,18.137254901960787,1610612755,11,21,2023-05-06T00:08:05Z,830000,False,159.0,207.0,1,left,MISS J. McDaniels 26' 3PT,[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,26.15,Missed,,,,,,,,,,,,,,,,,,
84,PT06M08.00S,2023-05-06T00:08:03.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,11,21,2023-05-06T00:08:05Z,840000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,
85,PT06M01.00S,2023-05-06T00:08:11.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.40275952693824,17.64705882352942,1610612738,11,21,2023-05-06T00:08:14Z,850000,False,-162.0,216.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,27.01,Missed,,,,,,,,,,,,,,,,,,
86,PT05M58.00S,2023-05-06T00:08:14.2Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,11,21,2023-05-06T00:08:14Z,860000,False,,,0,,T. Maxey REBOUND (Off:0 Def:3),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,85.0,3.0,3.0,0.0,,,,,,,,,,
