actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-05-07T19:45:42.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-07T19:45:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-05-07T19:45:47.1Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612755,0,0,2023-05-07T19:45:47Z,40000,False,,,0,,Jump Ball J. Embiid vs. A. Horford: Tip to J. Harden,"[201935, 203954, 201143]",1610612755.0,PHI,startperiod,J. Harden,201935.0,Harden,J. Harden,Embiid,203954.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-05-07T19:46:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,5.568331143232584,50.49019607843137,1610612755,2,0,2023-05-07T19:46:04Z,70000,False,-2.0,0.0,1,left,J. Embiid cutting Layup (2 PTS) (J. Harden 1 AST),"[203954, 201935]",1610612755.0,PHI,cutting,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,0.25,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-05-07T19:46:19.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,83.75492772667542,56.372549019607845,1610612738,2,0,2023-05-07T19:46:23Z,90000,False,32.0,100.0,1,right,MISS J. Tatum 10' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,10.52,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2023-05-07T19:46:22.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,0,2023-05-07T19:46:23Z,100000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M10.00S,2023-05-07T19:46:31.3Z,1,REGULAR,3pt,Jump Shot,[],203954,27.644546649145866,82.84313725490196,1610612755,2,0,2023-05-07T19:46:36Z,110000,False,-164.0,207.0,1,left,MISS J. Embiid 26' pullup 3PT,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,26.45,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2023-05-07T19:46:35.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,0,2023-05-07T19:46:36Z,120000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M00.00S,2023-05-07T19:46:41.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627759,89.14257555847568,50.73529411764706,1610612738,2,2,2023-05-07T19:46:46Z,130000,False,4.0,50.0,1,right,J. Brown driving floating Jump Shot (2 PTS),[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,4.97,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2023-05-07T19:46:54.7Z,1,REGULAR,2pt,Jump Shot,[],1630178,13.18988173455979,25.980392156862735,1610612755,4,2,2023-05-07T19:46:59Z,140000,False,120.0,71.0,1,left,T. Maxey 13' step back Jump Shot (2 PTS),[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,13.98,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M27.00S,2023-05-07T19:47:14.6Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,4,2,2023-05-07T19:47:19Z,150000,False,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1630178]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1.0,Maxey,1630178.0,,,,,,,
