actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT10M27.00S,2023-05-07T19:47:14.6Z,1,REGULAR,steal,,[],1630178,,,1610612755,4,2,2023-05-07T19:47:16Z,160000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
17,PT10M24.00S,2023-05-07T19:47:23.0Z,1,REGULAR,foul,personal,[],1627759,,,1610612755,4,2,2023-05-07T19:47:33Z,170000,False,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 202699]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,204058.0,1.0,0.0,Harris,202699.0,,
19,PT10M14.00S,2023-05-07T19:47:50.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201935,9.247700394218143,53.431372549019606,1610612755,6,2,2023-05-07T19:47:53Z,190000,False,-17.0,34.0,1,left,J. Harden driving floating Jump Shot (2 PTS),[201935],1610612755.0,PHI,driving floating,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,3.85,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M01.00S,2023-05-07T19:48:02.7Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,6,2,2023-05-07T19:48:09Z,200000,False,,,0,,J. Tatum lost ball TURNOVER (1 TO),"[1628369, 1630178]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Maxey,1630178.0,,,,,,,
21,PT10M01.00S,2023-05-07T19:48:02.7Z,1,REGULAR,steal,,[],1630178,,,1610612755,6,2,2023-05-07T19:50:54Z,210000,False,,,0,,T. Maxey STEAL (2 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT09M50.00S,2023-05-07T19:48:14.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202699,7.539421813403408,44.11764705882353,1610612755,8,2,2023-05-07T19:48:18Z,220000,False,29.0,18.0,1,left,T. Harris turnaround bank Jump Shot (2 PTS),[202699],1610612755.0,PHI,turnaround bank,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,3.47,Made,2.0,,,,,,,,,,,,,,,,,
23,PT09M34.00S,2023-05-07T19:48:30.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.61038107752957,53.67647058823529,1610612738,8,4,2023-05-07T19:48:34Z,230000,False,18.0,8.0,1,right,J. Brown Layup (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.99,Made,4.0,,,,,,,,,,,,,,,,,
24,PT09M18.00S,2023-05-07T19:48:49.7Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612755,8,4,2023-05-07T19:48:57Z,240000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Embiid 2 FT),"[201143, 203954]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,202058.0,1.0,0.0,Embiid,203954.0,,
26,PT09M18.00S,2023-05-07T19:49:14.2Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,9,4,2023-05-07T19:49:32Z,260000,False,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
27,PT09M18.00S,2023-05-07T19:49:14.2Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,9,4,2023-05-07T19:49:32Z,270000,False,,,0,,MISS J. Embiid Free Throw 2 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
28,PT09M16.00S,2023-05-07T19:49:16.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,9,4,2023-05-07T19:49:47Z,280000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,
29,PT08M54.00S,2023-05-07T19:49:52.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,96.10709592641261,1.470588235294116,1610612738,9,7,2023-05-07T19:49:55Z,290000,False,-243.0,-16.0,1,right,J. Brown 24' 3PT  (7 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,24.31,Made,7.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
31,PT08M45.00S,2023-05-07T19:50:01.8Z,1,REGULAR,3pt,Jump Shot,[],200782,4.911300919842304,95.58823529411765,1610612755,9,7,2023-05-07T19:50:09Z,310000,False,-228.0,-6.0,1,left,MISS P. Tucker 3PT,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,22.8,Missed,,,,,,,,,,,,,,,,,,
32,PT08M43.00S,2023-05-07T19:50:03.8Z,1,REGULAR,rebound,offensive,[],200782,,,1610612755,9,7,2023-05-07T19:51:26Z,320000,False,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,,,,,,,31.0,1.0,0.0,1.0,,,,,,,,,,
33,PT08M40.00S,2023-05-07T19:50:08.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202699,20.942838370565042,6.127450980392155,1610612755,9,7,2023-05-07T19:50:13Z,330000,False,219.0,144.0,1,left,MISS T. Harris 26' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,26.27,Missed,,,,,,,,,,,,,,,,,,
34,PT08M37.00S,2023-05-07T19:50:11.2Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,9,7,2023-05-07T19:50:13Z,340000,False,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,
35,PT08M37.00S,2023-05-07T19:50:14.1Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612755,9,7,2023-05-07T19:50:22Z,350000,False,,,0,,J. Brown shooting personal FOUL (2 PF) (Embiid 2 FT),"[1627759, 203954]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,101284.0,2.0,0.0,Embiid,203954.0,,
37,PT08M37.00S,2023-05-07T19:50:44.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203954,,,1610612755,10,7,2023-05-07T19:50:44Z,370000,False,,,0,,J. Embiid Free Throw 1 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
38,PT08M37.00S,2023-05-07T19:51:02.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203954,,,1610612755,11,7,2023-05-07T19:51:02Z,380000,False,,,0,,J. Embiid Free Throw 2 of 2 (5 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
39,PT08M21.00S,2023-05-07T19:51:20.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,73.50525624178712,12.5,1610612738,11,10,2023-05-07T19:51:23Z,390000,False,-188.0,197.0,1,right,J. Brown 27' 3PT  (10 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,27.17,Made,10.0,,,,,,,,,,,,,,,,,
40,PT08M08.00S,2023-05-07T19:51:34.3Z,1,REGULAR,turnover,out-of-bounds,[],202699,,,1610612755,11,10,2023-05-07T19:51:39Z,400000,False,,,0,,T. Harris lost ball out-of-bounds TURNOVER (1 TO),[202699],1610612755.0,PHI,lost ball,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,204058.0,,,,,,
41,PT07M52.00S,2023-05-07T19:51:55.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628401,96.89553219448095,51.96078431372549,1610612738,11,12,2023-05-07T19:53:59Z,410000,False,10.0,-23.0,1,right,D. White cutting Layup (2 PTS) (A. Horford 1 AST),"[1628401, 201143]",1610612738.0,BOS,cutting,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,2.53,Made,2.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
43,PT07M38.00S,2023-05-07T19:52:08.7Z,1,REGULAR,3pt,Jump Shot,[],200782,7.670827858081481,1.470588235294116,1610612755,11,12,2023-05-07T19:52:12Z,430000,False,243.0,20.0,1,left,MISS P. Tucker 24' 3PT,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Right Corner 3,24+ Right,24.34,Missed,,,,,,,,,,,,,,,,,,
44,PT07M36.00S,2023-05-07T19:52:10.7Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,11,12,2023-05-07T19:52:12Z,440000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,
45,PT07M30.00S,2023-05-07T19:52:17.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,68.51182654402103,39.70588235294118,1610612738,11,12,2023-05-07T19:52:21Z,450000,False,-51.0,243.0,1,right,MISS J. Brown 24' step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,24.89,Missed,,,,,,,,,,,,,,,,,,
46,PT07M27.00S,2023-05-07T19:52:20.0Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,11,12,2023-05-07T19:52:21Z,460000,False,,,0,,J. Embiid REBOUND (Off:1 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,,,,,45.0,3.0,2.0,1.0,,,,,,,,,,
47,PT07M18.00S,2023-05-07T19:52:30.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,25.673455978975028,11.029411764705884,1610612755,11,12,2023-05-07T19:52:36Z,470000,False,195.0,189.0,1,left,MISS T. Maxey 27' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,27.14,Missed,,,,,,,,,,,,,,,,,,
48,PT07M13.00S,2023-05-07T19:52:35.1Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,11,12,2023-05-07T19:52:36Z,480000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,
49,PT07M10.00S,2023-05-07T19:52:37.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1627759,94.92444152431011,49.26470588235294,1610612738,11,14,2023-05-07T19:54:39Z,490000,False,-4.0,-5.0,1,right,J. Brown running DUNK (12 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,0.61,Made,12.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
51,PT07M10.00S,2023-05-07T19:52:45.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,11,14,2023-05-07T19:52:45Z,510000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M53.00S,2023-05-07T19:56:36.0Z,1,REGULAR,3pt,Jump Shot,[],200782,7.408015768725363,2.205882352941174,1610612755,11,14,2023-05-07T19:56:39Z,520000,False,239.0,17.0,1,left,MISS P. Tucker 3PT,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Right Corner 3,24+ Right,23.96,Missed,,,,,,,,,,,,,,,,,,
53,PT06M51.00S,2023-05-07T19:56:38.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,11,14,2023-05-07T19:56:38Z,530000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,
54,PT06M48.00S,2023-05-07T19:56:42.1Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,11,14,2023-05-07T19:56:47Z,540000,False,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 203954]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,2.0,Embiid,203954.0,,,,,,,
55,PT06M48.00S,2023-05-07T19:56:42.1Z,1,REGULAR,steal,,[],203954,,,1610612755,11,14,2023-05-07T19:56:44Z,550000,False,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
56,PT06M44.00S,2023-05-07T19:56:46.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201935,6.750985545335084,46.32352941176471,1610612755,11,14,2023-05-07T19:56:55Z,560000,False,18.0,11.0,1,left,MISS J. Harden running Layup - blocked,"[201935, 201143]",1610612755.0,PHI,running,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,,,,,,,,,Horford,201143.0
57,PT06M44.00S,2023-05-07T19:56:46.4Z,1,REGULAR,block,,[],201143,,,1610612755,11,14,2023-05-07T19:56:49Z,570000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT06M40.00S,2023-05-07T19:56:50.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,11,14,2023-05-07T19:56:55Z,580000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,56.0,3.0,3.0,0.0,,,,,,,,,,
59,PT06M35.00S,2023-05-07T19:56:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,87.17148488830486,53.431372549019606,1610612738,11,14,2023-05-07T19:57:02Z,590000,False,17.0,68.0,1,right,MISS D. White 7' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,7.02,Missed,,,,,,,,,,,,,,,,,,
60,PT06M32.00S,2023-05-07T19:56:58.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,11,14,2023-05-07T19:57:02Z,600000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,
61,PT06M13.00S,2023-05-07T19:57:17.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,14.898160315374511,48.774509803921575,1610612755,13,14,2023-05-07T19:57:21Z,610000,False,6.0,88.0,1,left,J. Embiid 8' turnaround Jump Shot (7 PTS) (T. Harris 1 AST),"[203954, 202699]",1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,8.77,Made,7.0,T. Harris,202699.0,1.0,,,,,,,,,,,,,,
63,PT05M50.00S,2023-05-07T19:57:40.4Z,1,REGULAR,3pt,Jump Shot,[],201143,77.973061760841,91.66666666666667,1610612738,13,14,2023-05-07T19:57:57Z,630000,False,208.0,155.0,1,right,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,25.94,Missed,,,,,,,,,,,,,,,,,,
64,PT05M46.00S,2023-05-07T19:57:44.4Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,13,14,2023-05-07T19:57:44Z,640000,False,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,63.0,4.0,3.0,1.0,,,,,,,,,,
65,PT05M42.00S,2023-05-07T19:57:47.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,71.13994743758212,82.1078431372549,1610612738,13,14,2023-05-07T19:57:51Z,650000,False,161.0,219.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,27.14,Missed,,,,,,,,,,,,,,,,,,
66,PT05M38.00S,2023-05-07T19:57:51.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,13,14,2023-05-07T19:57:51Z,660000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,
67,PT05M22.00S,2023-05-07T19:58:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,7.276609724047319,53.92156862745098,1610612755,13,14,2023-05-07T19:58:11Z,670000,False,-20.0,16.0,1,left,MISS T. Maxey driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.52,Missed,,,,,,,,,,,,,,,,,,
68,PT05M18.00S,2023-05-07T19:58:11.7Z,1,REGULAR,rebound,offensive,[],1630178,,,1610612755,13,14,2023-05-07T20:01:59Z,680000,False,,,0,,T. Maxey REBOUND (Off:1 Def:0),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,67.0,1.0,0.0,1.0,,,,,,,,,,
69,PT05M18.00S,2023-05-07T19:58:10.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630178,5.590000152587891,50.0,1610612755,15,14,2023-05-07T20:01:54Z,690000,False,0.0,0.0,1,left,T. Maxey tip Layup (4 PTS),[1630178],1610612755.0,PHI,tip,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,0.0,Made,4.0,,,,,,,,,,,,,,,,,
70,PT04M53.00S,2023-05-07T19:58:35.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,82.70367936925098,98.77450980392157,1610612738,15,14,2023-05-07T19:58:41Z,700000,False,244.0,110.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,26.76,Missed,,,,,,,,,,,,,,,,,,
71,PT04M49.00S,2023-05-07T19:58:39.9Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,15,14,2023-05-07T20:02:37Z,710000,False,,,0,,J. Tatum REBOUND (Off:2 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,70.0,5.0,3.0,2.0,,,,,,,,,,
72,PT04M48.00S,2023-05-07T19:58:41.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628369,86.7772667542707,61.51960784313725,1610612738,15,14,2023-05-07T19:58:45Z,720000,False,58.0,72.0,1,right,MISS J. Tatum 9' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Right,9.2,Missed,,,,,,,,,,,,,,,,,,
73,PT04M45.00S,2023-05-07T19:58:44.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,15,14,2023-05-07T19:58:45Z,730000,False,,,0,,J. Embiid REBOUND (Off:1 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,72.0,4.0,3.0,1.0,,,,,,,,,,
74,PT04M41.00S,2023-05-07T19:58:48.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630178,8.065045992115643,50.98039215686275,1610612755,15,14,2023-05-07T19:58:53Z,740000,False,-5.0,23.0,1,left,MISS T. Maxey running Layup - blocked,"[1630178, 1628401]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,,,,,,White,1628401.0
75,PT04M41.00S,2023-05-07T19:58:48.3Z,1,REGULAR,block,,[],1628401,,,1610612755,15,14,2023-05-07T19:58:51Z,750000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
76,PT04M38.00S,2023-05-07T19:58:51.3Z,1,REGULAR,rebound,offensive,[],1630178,,,1610612755,15,14,2023-05-07T19:58:53Z,760000,False,,,0,,T. Maxey REBOUND (Off:2 Def:0),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,74.0,2.0,0.0,2.0,,,,,,,,,,
77,PT04M37.00S,2023-05-07T19:58:52.9Z,1,REGULAR,turnover,bad pass,[],1630178,,,1610612755,15,14,2023-05-07T19:58:56Z,770000,False,,,0,,T. Maxey bad pass TURNOVER (1 TO),"[1630178, 1628369]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Tatum,1628369.0,,,,,,,
78,PT04M37.00S,2023-05-07T19:58:52.9Z,1,REGULAR,steal,,[],1628369,,,1610612738,15,14,2023-05-07T19:58:54Z,780000,False,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
