actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
16,PT10M42.00S,2023-05-30T00:35:51.0Z,1,REGULAR,2pt,Jump Shot,[],1629216,27.677398160315374,63.25827205882353,1610612748,1,0,2023-05-30T00:36:08Z,160000,False,-66.0,208.0,1,left,MISS G. Vincent 21' step back Shot,[1629216],1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Left Center,,,,,,Missed,,,,,,21.8,,,,,,,,
17,PT10M40.00S,2023-05-30T00:35:53.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,1,0,2023-05-30T00:36:08Z,170000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,
18,PT10M37.00S,2023-05-30T00:35:59.3Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,1,0,2023-05-30T00:36:18Z,180000,False,,,0,,J. Brown lost ball TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,,,,,,,
19,PT10M37.00S,2023-05-30T00:36:03.3Z,1,REGULAR,foul,personal,[],1627759,,,1610612748,1,0,2023-05-30T00:37:03Z,190000,False,,,0,,J. Brown loose ball personal FOUL (1 PF),"[1627759, 1629622]",1610612738.0,BOS,loose ball,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,1162.0,1.0,0.0,Strus,1629622.0,,,,,,,,,,,,,,,
21,PT10M21.00S,2023-05-30T00:36:28.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202710,18.2161629434954,45.588235294117645,1610612748,1,0,2023-05-30T00:36:35Z,210000,False,22.0,119.0,1,left,MISS J. Butler 12' fadeaway Shot,[202710],1610612748.0,MIA,fadeaway,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,12.07,,,,,,,,
22,PT10M20.00S,2023-05-30T00:36:29.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,1,0,2023-05-30T00:36:35Z,220000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,
23,PT10M01.00S,2023-05-30T00:36:47.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,77.7431011826544,56.372549019607845,1610612738,3,0,2023-05-30T00:37:02Z,230000,False,32.0,157.0,1,right,J. Brown 15' pullup Jump Shot (2 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,8-16 Center,,,,,,Made,2.0,,,,,15.99,,,,,,,,
24,PT09M41.00S,2023-05-30T00:37:11.3Z,1,REGULAR,turnover,out-of-bounds,[],1629216,,,1610612748,3,0,2023-05-30T00:37:16Z,240000,False,,,0,,G. Vincent lost ball out-of-bounds TURNOVER (1 TO),[1629216],1610612748.0,MIA,lost ball,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),0-8 Center,101284.0,,,,,,,,,,,,1.0,,,,,,,
25,PT09M25.00S,2023-05-30T00:37:28.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,93.77463863337714,97.30392156862744,1610612738,3,0,2023-05-30T00:37:37Z,250000,False,237.0,6.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.66,,,,,,,,
26,PT09M23.00S,2023-05-30T00:37:30.1Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,3,0,2023-05-30T00:37:37Z,260000,False,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,,,,,,,,25.0,3.0,2.0,1.0,,,,,,,,,
27,PT09M19.00S,2023-05-30T00:37:33.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201143,93.77463863337714,56.61764705882353,1610612738,5,0,2023-05-30T00:37:40Z,270000,False,33.0,6.0,1,right,A. Horford cutting Layup (2 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,cutting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,3.36,,J. Tatum,1628369.0,1.0,,,,
29,PT09M07.00S,2023-05-30T00:37:45.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,8.360709592641262,53.18627450980392,1610612748,5,2,2023-05-30T00:37:49Z,290000,False,-16.0,26.0,1,left,B. Adebayo driving Layup (2 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,3.06,,,,,,,,
