actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
172,PT09M23.00S,2023-05-10T00:08:18.7Z,2,REGULAR,substitution,in,[],1628401,,,1610612738,27,42,2023-05-10T00:08:23Z,1720000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT09M23.00S,2023-05-10T00:08:37.3Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],203935,,,1610612738,28,42,2023-05-10T00:08:37Z,1730000,False,,,0,,M. Smart Free Throw 2 of 2 (7 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
174,PT09M03.00S,2023-05-10T00:08:58.1Z,2,REGULAR,2pt,Jump Shot,[],201935,17.69053876478318,67.8921568627451,1610612755,28,42,2023-05-10T00:09:03Z,1740000,False,-89.0,114.0,1,left,MISS J. Harden 14' step back Shot,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Mid-Range,8-16 Left,14.48,Missed,,,,,,,,,,,,,,,,,,
175,PT09M02.00S,2023-05-10T00:08:59.1Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,28,42,2023-05-10T00:09:03Z,1750000,False,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,,,174.0,4.0,4.0,0.0,,,,,,,,,,,,,,
176,PT08M45.00S,2023-05-10T00:09:17.2Z,2,REGULAR,foul,personal,['3freethrow'],201935,,,1610612738,28,42,2023-05-10T00:09:27Z,1760000,False,,,0,,J. Harden shooting personal FOUL (2 PF) (White 3 FT),"[201935, 1628401]",1610612755.0,PHI,shooting,,,Harden,J. Harden,,,,,Right Corner 3,24+ Right,,,,,,,,201639.0,2.0,0.0,White,1628401.0,,,,,,,,
178,PT08M45.00S,2023-05-10T00:09:47.4Z,2,REGULAR,freethrow,1 of 3,[],1628401,,,1610612738,29,42,2023-05-10T00:09:47Z,1780000,False,,,0,,D. White Free Throw 1 of 3 (5 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
179,PT08M45.00S,2023-05-10T00:10:06.8Z,2,REGULAR,freethrow,2 of 3,[],1628401,,,1610612738,30,42,2023-05-10T00:10:06Z,1790000,False,,,0,,D. White Free Throw 2 of 3 (6 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
180,PT08M45.00S,2023-05-10T00:10:23.7Z,2,REGULAR,freethrow,3 of 3,[],1628401,,,1610612738,31,42,2023-05-10T00:10:23Z,1800000,False,,,0,,D. White Free Throw 3 of 3 (7 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
181,PT08M21.00S,2023-05-10T00:10:48.2Z,2,REGULAR,3pt,Jump Shot,[],1627863,26.757555847568987,77.94117647058823,1610612755,31,42,2023-05-10T00:10:52Z,1810000,False,-140.0,199.0,1,left,MISS D. House Jr. 24' 3PT,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Above the Break 3,24+ Left Center,24.31,Missed,,,,,,,,,,,,,,,,,,
182,PT08M19.00S,2023-05-10T00:10:50.2Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,31,42,2023-05-10T00:10:52Z,1820000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Left Center,,,181.0,1.0,1.0,0.0,,,,,,,,,,,,,,
