actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
224,PT06M37.00S,2023-05-10T00:19:21.6Z,2,REGULAR,2pt,Jump Shot,[],202699,21.23850197109067,50.98039215686274,1610612755,37,44,2023-05-10T00:19:26Z,2240000,False,-5.0,147.0,1,left,T. Harris 14' Jump Shot (8 PTS) (D. Melton 1 AST),"[202699, 1629001]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Center,14.72,Made,,,,,8.0,,,,,,D. Melton,1629001.0,1.0,,,,,
226,PT06M19.00S,2023-05-10T00:19:39.6Z,2,REGULAR,3pt,Jump Shot,[],201143,88.38699080157687,2.696078431372549,1610612738,37,44,2023-05-10T00:19:44Z,2260000,False,-237.0,57.0,1,right,MISS A. Horford 24' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,24.32,Missed,,,,,,,,,,,,,,,,,,
227,PT06M17.00S,2023-05-10T00:19:41.6Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,37,44,2023-05-10T00:19:44Z,2270000,False,,,0,,T. Harris REBOUND (Off:1 Def:5),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,,,226.0,6.0,5.0,1.0,,,,,,,,,,,,,,
228,PT06M04.00S,2023-05-10T00:19:55.0Z,2,REGULAR,3pt,Jump Shot,[],202699,32.670827858081466,59.31372549019608,1610612755,37,44,2023-05-10T00:20:11Z,2280000,False,-47.0,255.0,1,left,MISS T. Harris 25' step back 3PT,[202699],1610612755.0,PHI,step back,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,25.88,Missed,,,,,,,,,,,,,,,,,,
229,PT06M01.00S,2023-05-10T00:19:58.0Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,37,44,2023-05-10T00:19:59Z,2290000,False,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,228.0,4.0,4.0,0.0,,,,,,,,,,,,,,
230,PT05M48.00S,2023-05-10T00:20:10.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,85.10183968462549,53.18627450980392,1610612738,39,44,2023-05-10T00:20:52Z,2300000,False,16.0,88.0,1,right,J. Tatum 8' driving floating Jump Shot (6 PTS),[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,8.89,Made,,,,,6.0,,,,,,,,,,,,,
231,PT05M32.00S,2023-05-10T00:20:28.8Z,2,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612755,39,44,2023-05-10T00:20:37Z,2310000,False,,,0,,G. Williams shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629684, 203954]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,1830.0,1.0,0.0,Embiid,203954.0,,,,,,,,
233,PT05M32.00S,2023-05-10T00:20:56.5Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,39,45,2023-05-10T00:20:56Z,2330000,False,,,0,,J. Embiid Free Throw 1 of 2 (12 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
234,PT05M32.00S,2023-05-10T00:21:17.5Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,39,46,2023-05-10T00:21:17Z,2340000,False,,,0,,J. Embiid Free Throw 2 of 2 (13 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,13.0,,,,,,,,,,,,,
235,PT05M20.00S,2023-05-10T00:21:30.7Z,2,REGULAR,3pt,Jump Shot,[],1628401,68.80749014454665,26.96078431372549,1610612738,39,46,2023-05-10T00:21:35Z,2350000,False,-115.0,241.0,1,right,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,26.68,Missed,,,,,,,,,,,,,,,,,,
236,PT05M17.00S,2023-05-10T00:21:33.7Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,39,46,2023-05-10T00:21:40Z,2360000,False,,,0,,T. Harris REBOUND (Off:1 Def:6),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,235.0,7.0,6.0,1.0,,,,,,,,,,,,,,
237,PT04M59.00S,2023-05-10T00:21:54.2Z,2,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612755,39,46,2023-05-10T00:21:59Z,2370000,False,,,0,,G. Williams shooting personal FOUL (2 PF) (Embiid 2 FT),"[1629684, 203954]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,Mid-Range,8-16 Left,,,,,,,,204059.0,2.0,0.0,Embiid,203954.0,,,,,,,,
239,PT04M59.00S,2023-05-10T00:22:19.6Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,39,47,2023-05-10T00:22:19Z,2390000,False,,,0,,J. Embiid Free Throw 1 of 2 (14 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,14.0,,,,,,,,,,,,,
240,PT04M59.00S,2023-05-10T00:22:20.3Z,2,REGULAR,substitution,out,[],1629684,,,1610612755,39,47,2023-05-10T00:22:34Z,2400000,False,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT04M59.00S,2023-05-10T00:22:20.3Z,2,REGULAR,substitution,out,[],1629001,,,1610612755,39,47,2023-05-10T00:22:34Z,2410000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT04M59.00S,2023-05-10T00:22:20.3Z,2,REGULAR,substitution,in,[],1627759,,,1610612755,39,47,2023-05-10T00:22:34Z,2420000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT04M59.00S,2023-05-10T00:22:20.3Z,2,REGULAR,substitution,in,[],201935,,,1610612755,39,47,2023-05-10T00:22:34Z,2430000,False,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT04M59.00S,2023-05-10T00:22:46.7Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,39,48,2023-05-10T00:22:46Z,2440000,False,,,0,,J. Embiid Free Throw 2 of 2 (15 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,15.0,,,,,,,,,,,,,
245,PT04M45.00S,2023-05-10T00:23:02.8Z,2,REGULAR,3pt,Jump Shot,[],201143,88.51839684625493,2.941176470588235,1610612738,39,48,2023-05-10T00:23:08Z,2450000,False,-235.0,55.0,1,right,MISS A. Horford 24' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,24.17,Missed,,,,,,,,,,,,,,,,,,
246,PT04M42.00S,2023-05-10T00:23:05.8Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,39,48,2023-05-10T00:23:08Z,2460000,False,,,0,,T. Harris REBOUND (Off:1 Def:7),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,,,245.0,8.0,7.0,1.0,,,,,,,,,,,,,,
247,PT04M33.00S,2023-05-10T00:23:17.5Z,2,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,39,48,2023-05-10T00:23:23Z,2470000,False,,,0,,J. Embiid lost ball out-of-bounds TURNOVER (1 TO),[203954],1610612755.0,PHI,lost ball,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,,,,,,,,201639.0,,,,,,,,,,1.0,,
248,PT04M28.00S,2023-05-10T00:23:30.7Z,2,REGULAR,foul,offensive,[],1627759,,,1610612738,39,48,2023-05-10T00:23:40Z,2480000,False,,,0,,J. Brown offensive FOUL (2 PF),"[1627759, 200782]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,201639.0,2.0,0.0,Tucker,200782.0,,,,,,,,
250,PT04M28.00S,2023-05-10T00:23:30.7Z,2,REGULAR,turnover,offensive foul,[],1627759,,,1610612738,39,48,2023-05-10T00:23:30Z,2500000,False,,,0,,J. Brown offensive foul TURNOVER (2 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,201639.0,,,,,,,,,,2.0,,
251,PT04M11.00S,2023-05-10T00:23:56.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202699,23.603810775295663,83.08823529411765,1610612755,39,51,2023-05-10T00:24:02Z,2510000,False,-165.0,169.0,1,left,T. Harris 3PT  (11 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Left Center,23.68,Made,,,,,11.0,,,,,,J. Embiid,203954.0,1.0,,,,,
253,PT03M51.00S,2023-05-10T00:24:23.4Z,2,REGULAR,foul,offensive,[],1627759,,,1610612738,39,51,2023-05-10T00:24:49Z,2530000,False,,,0,,J. Brown charge offensive FOUL (3 PF),"[1627759, 201935]",1610612738.0,BOS,charge,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,1830.0,3.0,0.0,Harden,201935.0,,,,,,,,
255,PT03M51.00S,2023-05-10T00:24:23.4Z,2,REGULAR,turnover,offensive foul,[],1627759,,,1610612738,39,51,2023-05-10T00:24:23Z,2550000,False,,,0,,J. Brown offensive foul TURNOVER (3 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,1830.0,,,,,,,,,,3.0,,
256,PT03M51.00S,2023-05-10T00:24:32.8Z,2,REGULAR,substitution,out,[],1627759,,,1610612755,39,51,2023-05-10T00:24:36Z,2560000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT03M51.00S,2023-05-10T00:24:32.8Z,2,REGULAR,substitution,in,[],1627763,,,1610612755,39,51,2023-05-10T00:24:36Z,2570000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT03M35.00S,2023-05-10T00:25:03.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],200782,11.777266754270697,2.941176470588235,1610612755,39,51,2023-05-10T00:25:07Z,2580000,False,235.0,58.0,1,left,MISS P. Tucker 24' 3PT,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Right Corner 3,24+ Right,24.24,Missed,,,,,,,,,,,,,,,,,,
259,PT03M33.00S,2023-05-10T00:25:05.1Z,2,REGULAR,rebound,defensive,[],1627763,,,1610612738,39,51,2023-05-10T00:25:07Z,2590000,False,,,0,,M. Brogdon REBOUND (Off:0 Def:2),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Right Corner 3,24+ Right,,,258.0,2.0,2.0,0.0,,,,,,,,,,,,,,
260,PT03M28.00S,2023-05-10T00:25:10.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],201143,73.40670170827858,82.59803921568627,1610612738,39,51,2023-05-10T00:25:52Z,2600000,False,163.0,197.0,1,right,MISS A. Horford 25' running 3PT,[201143],1610612738.0,BOS,running,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,25.61,Missed,,,,,,,,,,,,,,,,,,
261,PT03M25.00S,2023-05-10T00:25:13.5Z,2,REGULAR,rebound,defensive,[],1630178,,,1610612755,39,51,2023-05-10T00:25:16Z,2610000,False,,,0,,T. Maxey REBOUND (Off:0 Def:5),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,260.0,5.0,5.0,0.0,,,,,,,,,,,,,,
262,PT03M20.00S,2023-05-10T00:25:18.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,33.196452036793694,33.57843137254902,1610612755,39,51,2023-05-10T00:26:03Z,2620000,False,82.0,260.0,1,left,MISS T. Maxey 27' running 3PT,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,27.22,Missed,,,,,,,,,,,,,,,,,,
263,PT03M15.00S,2023-05-10T00:25:23.1Z,2,REGULAR,rebound,offensive,[],203954,,,1610612755,39,51,2023-05-10T00:25:25Z,2630000,False,,,0,,J. Embiid REBOUND (Off:3 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,262.0,5.0,2.0,3.0,,,,,,,,,,,,,,
264,PT03M15.00S,2023-05-10T00:25:23.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203954,5.590000152587891,50.0,1610612755,39,51,2023-05-10T00:25:23Z,2640000,False,0.0,0.0,1,left,MISS J. Embiid tip Layup,[203954],1610612755.0,PHI,tip,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
265,PT03M14.00S,2023-05-10T00:25:23.6Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,39,51,2023-05-10T00:25:23Z,2650000,False,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,,,264.0,5.0,5.0,0.0,,,,,,,,,,,,,,
266,PT03M09.00S,2023-05-10T00:25:29.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627763,92.59198423127464,46.32352941176471,1610612738,39,51,2023-05-10T00:26:48Z,2660000,False,-18.0,17.0,1,right,MISS M. Brogdon running reverse Layup,[1627763],1610612738.0,BOS,running reverse,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,2.51,Missed,,,,,,,,,,,,,,,,,,
267,PT03M07.00S,2023-05-10T00:25:30.7Z,2,REGULAR,rebound,offensive,[],1628401,,,1610612738,39,51,2023-05-10T00:25:30Z,2670000,False,,,0,,D. White REBOUND (Off:1 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,266.0,3.0,2.0,1.0,,,,,,,,,,,,,,
268,PT03M06.00S,2023-05-10T00:25:32.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201143,72.48685939553219,82.84313725490196,1610612738,39,51,2023-05-10T00:25:40Z,2680000,False,164.0,206.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,26.35,Missed,,,,,,,,,,,,,,,,,,
269,PT03M04.00S,2023-05-10T00:25:34.5Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,39,51,2023-05-10T00:25:40Z,2690000,False,,,0,,T. Harris REBOUND (Off:1 Def:8),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,268.0,9.0,8.0,1.0,,,,,,,,,,,,,,
270,PT02M56.00S,2023-05-10T00:26:17.9Z,2,REGULAR,jumpball,recovered,[],203935,,,1610612755,39,51,2023-05-10T00:26:17Z,2700000,False,,,0,,Jump Ball J. Tatum vs. J. Harden: Tip to M. Smart,"[203935, 1628369, 201935]",1610612738.0,BOS,heldball,M. Smart,203935.0,Smart,M. Smart,Tatum,1628369.0,Harden,201935.0,,,,,,,,,,,,,,,,,,,,,,
273,PT02M56.00S,2023-05-10T00:26:17.9Z,2,REGULAR,turnover,lost ball,[],201935,,,1610612755,39,51,2023-05-10T00:26:17Z,2730000,False,,,0,,J. Harden lost ball TURNOVER (1 TO),"[201935, 1628369]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0
274,PT02M56.00S,2023-05-10T00:26:17.9Z,2,REGULAR,steal,,[],1628369,,,1610612738,39,51,2023-05-10T00:26:17Z,2740000,False,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT02M47.00S,2023-05-10T00:26:27.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,66.96780551905388,72.79411764705883,1610612738,39,51,2023-05-10T00:27:26Z,2750000,False,114.0,258.0,1,right,MISS J. Tatum 28' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,28.21,Missed,,,,,,,,,,,,,,,,,,
276,PT02M44.00S,2023-05-10T00:26:30.7Z,2,REGULAR,rebound,offensive,[],201143,,,1610612738,39,51,2023-05-10T00:26:30Z,2760000,False,,,0,,A. Horford REBOUND (Off:2 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,275.0,3.0,1.0,2.0,,,,,,,,,,,,,,
277,PT02M40.00S,2023-05-10T00:26:34.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628369,93.38042049934296,49.50980392156863,1610612738,41,51,2023-05-10T00:26:38Z,2770000,False,-2.0,10.0,1,right,J. Tatum cutting DUNK (8 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.0,Made,,,,,8.0,,,,,,M. Smart,203935.0,1.0,,,,,
279,PT02M25.00S,2023-05-10T00:26:50.5Z,2,REGULAR,foul,personal,['2freethrow'],201143,,,1610612755,41,51,2023-05-10T00:27:03Z,2790000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Embiid 2 FT),"[201143, 203954]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,201639.0,1.0,0.0,Embiid,203954.0,,,,,,,,
281,PT02M25.00S,2023-05-10T00:27:21.3Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,41,52,2023-05-10T00:27:21Z,2810000,False,,,0,,J. Embiid Free Throw 1 of 2 (16 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,16.0,,,,,,,,,,,,,
282,PT02M25.00S,2023-05-10T00:27:39.9Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,41,53,2023-05-10T00:27:39Z,2820000,False,,,0,,J. Embiid Free Throw 2 of 2 (17 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,17.0,,,,,,,,,,,,,
283,PT02M05.00S,2023-05-10T00:28:04.8Z,2,REGULAR,turnover,out-of-bounds,[],201143,,,1610612738,41,53,2023-05-10T00:28:12Z,2830000,False,,,0,,A. Horford bad pass out-of-bounds TURNOVER (1 TO),[201143],1610612738.0,BOS,bad pass,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,201639.0,,,,,,,,,,1.0,,
284,PT01M55.00S,2023-05-10T00:28:23.3Z,2,REGULAR,foul,personal,['2freethrow'],201143,,,1610612755,41,53,2023-05-10T00:28:34Z,2840000,False,,,0,,A. Horford shooting personal FOUL (2 PF) (Embiid 2 FT),"[201143, 203954]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,Mid-Range,8-16 Left,,,,,,,,1830.0,2.0,0.0,Embiid,203954.0,,,,,,,,
286,PT01M55.00S,2023-05-10T00:28:52.4Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],203954,,,1610612755,41,54,2023-05-10T00:28:52Z,2860000,False,,,0,,J. Embiid Free Throw 1 of 2 (18 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,18.0,,,,,,,,,,,,,
287,PT01M55.00S,2023-05-10T00:28:59.8Z,2,REGULAR,substitution,out,[],201143,,,1610612755,41,54,2023-05-10T00:29:03Z,2870000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT01M55.00S,2023-05-10T00:28:59.8Z,2,REGULAR,substitution,in,[],1629057,,,1610612755,41,54,2023-05-10T00:29:03Z,2880000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT01M55.00S,2023-05-10T00:29:21.0Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],203954,,,1610612755,41,55,2023-05-10T00:29:21Z,2890000,False,,,0,,J. Embiid Free Throw 2 of 2 (19 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,19.0,,,,,,,,,,,,,
290,PT01M46.00S,2023-05-10T00:29:32.0Z,2,REGULAR,3pt,Jump Shot,[],1628369,69.59592641261499,25.245098039215684,1610612738,44,55,2023-05-10T00:29:37Z,2900000,False,-124.0,233.0,1,right,J. Tatum 26' 3PT pullup (11 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.41,Made,,,,,11.0,,,,,,,,,,,,,
291,PT01M28.00S,2023-05-10T00:29:50.5Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628401,,,1610612755,44,55,2023-05-10T00:30:07Z,2910000,False,,,0,,D. White shooting personal FOUL (1 PF) (Harris 2 FT),"[1628401, 202699]",1610612738.0,BOS,shooting,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,204059.0,1.0,0.0,Harris,202699.0,,,,,,,,
293,PT01M28.00S,2023-05-10T00:30:26.3Z,2,REGULAR,freethrow,1 of 2,[],202699,,,1610612755,44,56,2023-05-10T00:30:57Z,2930000,False,,,0,,T. Harris Free Throw 1 of 2 (12 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
294,PT01M28.00S,2023-05-10T00:30:28.1Z,2,REGULAR,substitution,out,[],201935,,,1610612755,44,56,2023-05-10T00:30:33Z,2940000,False,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT01M28.00S,2023-05-10T00:30:28.1Z,2,REGULAR,substitution,in,[],1629001,,,1610612755,44,56,2023-05-10T00:30:33Z,2950000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
296,PT01M28.00S,2023-05-10T00:30:26.3Z,2,REGULAR,freethrow,2 of 2,[],202699,,,1610612755,44,56,2023-05-10T00:30:57Z,2960000,False,,,0,,MISS T. Harris Free Throw 2 of 2,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
297,PT01M28.00S,2023-05-10T00:30:26.3Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,44,56,2023-05-10T00:31:27Z,2970000,False,,,0,,D. White REBOUND (Off:1 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,296.0,4.0,3.0,1.0,,,,,,,,,,,,,,
298,PT01M11.00S,2023-05-10T00:31:13.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629001,,,1610612738,44,56,2023-05-10T00:31:20Z,2980000,False,,,0,,D. Melton shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629001, 1628369]",1610612755.0,PHI,shooting,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,204059.0,1.0,0.0,Tatum,1628369.0,,,,,,,,
300,PT01M11.00S,2023-05-10T00:31:34.2Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,45,56,2023-05-10T00:31:34Z,3000000,False,,,0,,J. Tatum Free Throw 1 of 2 (12 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
301,PT01M11.00S,2023-05-10T00:31:51.0Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,46,56,2023-05-10T00:31:51Z,3010000,False,,,0,,J. Tatum Free Throw 2 of 2 (13 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,13.0,,,,,,,,,,,,,
302,PT00M51.00S,2023-05-10T00:32:12.5Z,2,REGULAR,2pt,Jump Shot,[],203954,23.209592641261498,69.36274509803921,1610612755,46,58,2023-05-10T00:32:17Z,3020000,False,-97.0,166.0,1,left,J. Embiid 19' Jump Shot (21 PTS) (T. Harris 1 AST),"[203954, 202699]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Left Center,19.19,Made,,,,,21.0,,,,,,T. Harris,202699.0,1.0,,,,,
304,PT00M44.10S,2023-05-10T00:32:25.8Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202699,,,1610612738,46,58,2023-05-10T00:32:35Z,3040000,False,,,0,,T. Harris shooting personal FOUL (3 PF) (Smart 2 FT),"[202699, 203935]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,,,,,,,1830.0,3.0,0.0,Smart,203935.0,,,,,,,,
306,PT00M44.10S,2023-05-10T00:32:51.4Z,2,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,47,58,2023-05-10T00:33:20Z,3060000,False,,,0,,M. Smart Free Throw 1 of 2 (10 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
307,PT00M44.10S,2023-05-10T00:32:52.0Z,2,REGULAR,substitution,out,[],202699,,,1610612738,47,58,2023-05-10T00:32:58Z,3070000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT00M44.10S,2023-05-10T00:32:52.0Z,2,REGULAR,substitution,in,[],1627863,,,1610612738,47,58,2023-05-10T00:32:58Z,3080000,False,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT00M44.10S,2023-05-10T00:32:51.4Z,2,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,47,58,2023-05-10T00:33:20Z,3090000,False,,,0,,MISS M. Smart Free Throw 2 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
