actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
454,PT00M33.60S,2023-04-28T02:14:29.7Z,3,REGULAR,3pt,Jump Shot,[],1628369,67.36202365308804,56.86274509803921,1610612738,98,98,2023-04-28T02:14:33Z,4440000,False,34.0,254.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,25.66,Missed,,,,,,,,,,,,,,,,,,
455,PT00M31.70S,2023-04-28T02:14:31.7Z,3,REGULAR,rebound,defensive,[],1630168,,,1610612737,98,98,2023-04-28T02:14:31Z,4450000,False,,,0,,O. Okongwu REBOUND (Off:2 Def:5),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,,,,,,,,454.0,7.0,5.0,2.0,,,,,,,
456,PT00M27.80S,2023-04-28T02:14:35.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,5.338370565045992,50.98039215686274,1610612737,98,98,2023-04-28T02:18:33Z,4460000,False,-5.0,-2.0,1,left,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,0.54,Missed,,,,,,,,,,,,,,,,,,
457,PT00M25.50S,2023-04-28T02:14:37.9Z,3,REGULAR,rebound,offensive,[],1630168,,,1610612737,98,98,2023-04-28T02:18:33Z,4470000,False,,,0,,O. Okongwu REBOUND (Off:3 Def:5),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,456.0,8.0,5.0,3.0,,,,,,,
458,PT00M25.50S,2023-04-28T02:14:40.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,5.590000152587891,50.0,1610612737,100,98,2023-04-28T02:14:40Z,4480000,False,0.0,0.0,1,left,O. Okongwu putback Layup (6 PTS),[1630168],1610612737.0,ATL,putback,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,0.0,Made,6.0,,,,,,,,,,,,,,,,,
459,PT00M25.50S,2023-04-28T02:14:43.4Z,3,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629684,,,1610612737,100,98,2023-04-28T02:15:01Z,4490000,False,,,0,,G. Williams shooting personal FOUL (1 PF) (Okongwu 1 FT),"[1629684, 1630168]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Okongwu,1630168.0
461,PT00M25.50S,2023-04-28T02:15:05.1Z,3,REGULAR,freethrow,1 of 1,['2ndchance'],1630168,,,1610612737,100,98,2023-04-28T02:15:05Z,4510000,False,,,0,,MISS O. Okongwu Free Throw 1 of 1,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
462,PT00M23.80S,2023-04-28T02:15:06.8Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,100,98,2023-04-28T02:15:06Z,4520000,False,,,0,,J. Brown REBOUND (Off:0 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,461.0,5.0,5.0,0.0,,,,,,,
463,PT00M02.70S,2023-04-28T02:15:27.8Z,3,REGULAR,2pt,Jump Shot,[],1627759,78.13731931668858,66.91176470588235,1610612738,100,98,2023-04-28T02:20:30Z,4530000,False,85.0,153.0,1,right,MISS J. Brown 17' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,17.48,Missed,,,,,,,,,,,,,,,,,,
464,PT00M02.70S,2023-04-28T02:15:27.8Z,3,REGULAR,rebound,defensive,[],1630168,,,1610612737,100,98,2023-04-28T02:15:32Z,4540000,False,,,0,,O. Okongwu REBOUND (Off:3 Def:6),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,463.0,9.0,6.0,3.0,,,,,,,
