actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-05-18T00:32:45.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-18T00:32:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-05-18T00:32:48.0Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2023-05-18T00:32:48Z,40000,False,,,0,,Jump Ball R. Williams III vs. B. Adebayo: Tip to M. Smart,"[203935, 1629057, 1628389]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-05-18T00:32:58.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,80.76544021024968,6.61764705882353,1610612738,0,0,2023-05-18T00:33:15Z,70000,False,-217.0,128.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-05-18T00:33:00.4Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,0,0,2023-05-18T00:33:15Z,80000,False,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2023-05-18T00:33:07.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,92.59198423127464,54.166666666666664,1610612738,0,0,2023-05-18T00:33:20Z,90000,False,21.0,17.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2023-05-18T00:33:10.6Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,0,2023-05-18T00:33:20Z,100000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M22.00S,2023-05-18T00:33:25.0Z,1,REGULAR,turnover,out-of-bounds,[],201567,,,1610612748,0,0,2023-05-18T00:33:30Z,110000,False,,,0,,K. Love lost ball out-of-bounds TURNOVER (1 TO),[201567],1610612748.0,MIA,lost ball,,,Love,K. Love,,,,,Left Corner 3,24+ Left,,,,,,,1830.0,1.0,,,,,,,,,,,,
12,PT11M09.00S,2023-05-18T00:33:46.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201143,66.5735873850197,50.98039215686274,1610612738,0,0,2023-05-18T00:33:51Z,120000,False,5.0,262.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,26.17,Missed,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2023-05-18T00:33:47.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2023-05-18T00:33:51Z,130000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M57.00S,2023-05-18T00:33:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,6.701708278580814,46.82138480392157,1610612748,0,2,2023-05-18T00:34:51Z,140000,False,16.0,10.0,1,left,B. Adebayo reverse Layup (2 PTS),[1628389],1610612748.0,MIA,reverse,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.91,Made,,,,,,,2.0,,,,,,,,,,,
15,PT10M41.00S,2023-05-18T00:34:14.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,79.71419185282524,64.4607843137255,1610612738,0,2,2023-05-18T00:34:20Z,150000,False,72.0,138.0,1,right,MISS J. Brown 15' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,15.6,Missed,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2023-05-18T00:34:15.6Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,0,2,2023-05-18T00:34:20Z,160000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,In The Paint (Non-RA),8-16 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M25.00S,2023-05-18T00:34:31.1Z,1,REGULAR,2pt,Jump Shot,[],1628389,22.421156373193167,35.294117647058826,1610612748,0,2,2023-05-18T00:34:36Z,170000,False,74.0,158.0,1,left,MISS B. Adebayo 17' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,17.45,Missed,,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2023-05-18T00:34:32.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,2,2023-05-18T00:34:36Z,180000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M15.00S,2023-05-18T00:34:41.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,83.96846254927726,53.799019607843135,1610612738,0,2,2023-05-18T00:34:54Z,190000,False,19.0,98.0,1,right,MISS M. Smart 10' pullup Shot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,10.0,Missed,,,,,,,,,,,,,,,,,,
20,PT10M13.00S,2023-05-18T00:34:43.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,0,2,2023-05-18T00:34:54Z,200000,False,,,0,,R. Williams III REBOUND (Off:2 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),8-16 Center,,,19.0,2.0,0.0,2.0,,,,,,,,,,,,,,
21,PT10M11.00S,2023-05-18T00:34:45.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,91.32720105124835,52.025888480392155,1610612738,2,2,2023-05-18T00:34:59Z,210000,False,10.0,29.0,1,right,R. Williams III putback Layup (2 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,3.07,Made,,,,,,,2.0,,,,,,,,,,,
22,PT09M49.00S,2023-05-18T00:35:07.3Z,1,REGULAR,2pt,Jump Shot,[],202710,18.00262812089356,67.91513480392157,1610612748,2,4,2023-05-18T00:35:13Z,220000,False,-90.0,117.0,1,left,J. Butler 14' fadeaway Jump Shot (2 PTS),[202710],1610612748.0,MIA,fadeaway,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,14.71,Made,,,,,,,2.0,,,,,,,,,,,
23,PT09M38.00S,2023-05-18T00:35:17.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,88.25558475689881,53.67647058823529,1610612738,4,4,2023-05-18T00:36:23Z,230000,False,18.0,58.0,1,right,J. Brown 6' floating Jump Shot (2 PTS),[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,6.08,Made,,,,,,,2.0,,,,,,,,,,,
24,PT09M18.00S,2023-05-18T00:35:38.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,14.799605781865965,61.51960784313726,1610612748,4,4,2023-05-18T00:36:46Z,240000,False,-58.0,87.0,1,left,MISS J. Butler 10' turnaround Shot,[202710],1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Left,10.4,Missed,,,,,,,,,,,,,,,,,,
25,PT09M16.00S,2023-05-18T00:35:40.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,4,2023-05-18T00:35:44Z,250000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Left,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M11.00S,2023-05-18T00:35:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,92.9862023653088,52.20588235294118,1610612738,4,4,2023-05-18T00:35:54Z,260000,False,11.0,13.0,1,right,MISS J. Tatum running Layup,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.73,Missed,,,,,,,,,,,,,,,,,,
