actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
27,PT09M09.00S,2023-05-18T00:35:47.6Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,4,4,2023-05-18T00:35:54Z,270000,False,,,0,,R. Williams III REBOUND (Off:3 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,26.0,3.0,0.0,3.0,,,,,,,,,,,,,,
28,PT09M07.00S,2023-05-18T00:35:50.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629057,89.35611038107753,49.16513480392157,1610612738,6,4,2023-05-18T00:37:45Z,280000,False,-4.0,48.0,1,right,R. Williams III putback Layup (4 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,4.78,Made,,,,,,,4.0,,,,,,,,,,,
29,PT08M48.00S,2023-05-18T00:36:07.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,12.828515111695138,47.05882352941176,1610612748,6,6,2023-05-18T00:36:14Z,290000,False,15.0,68.0,1,left,B. Adebayo 6' Hook (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,6.97,Made,,,,,,,4.0,,,,,,,,,,,
31,PT08M35.00S,2023-05-18T00:36:21.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.19776609724047,46.32352941176471,1610612738,8,6,2023-05-18T00:36:25Z,310000,False,-18.0,21.0,1,right,R. Williams III cutting DUNK (6 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,2.78,Made,,,,,,,6.0,M. Smart,203935.0,1.0,,,,,,,,
33,PT08M19.00S,2023-05-18T00:36:39.9Z,1,REGULAR,foul,personal,[],203935,,,1610612748,8,6,2023-05-18T00:36:50Z,330000,False,,,0,,M. Smart personal FOUL (1 PF),"[203935, 1628389]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Left Center,,,,,,,2530.0,,,,,,1.0,0.0,Adebayo,1628389.0,,,,
35,PT08M12.00S,2023-05-18T00:37:06.4Z,1,REGULAR,turnover,bad pass,[],201567,,,1610612748,8,6,2023-05-18T00:37:09Z,350000,False,,,0,,K. Love bad pass TURNOVER (2 TO),"[201567, 201143]",1610612748.0,MIA,,,,Love,K. Love,,,,,Mid-Range,8-16 Center,,,,,,,,2.0,,,,,,,,,Horford,201143.0,,
36,PT08M12.00S,2023-05-18T00:37:06.4Z,1,REGULAR,steal,,[],201143,,,1610612738,8,6,2023-05-18T00:37:08Z,360000,False,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M08.00S,2023-05-18T00:37:10.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,93.51182654402102,51.225490196078425,1610612738,10,6,2023-05-18T00:37:16Z,370000,False,6.0,8.0,1,right,J. Tatum running DUNK (2 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.05,Made,,,,,,,2.0,A. Horford,201143.0,1.0,,,,,,,,
39,PT07M57.00S,2023-05-18T00:37:20.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,15.062417871222076,47.794117647058826,1610612748,10,8,2023-05-18T00:39:09Z,390000,False,11.0,89.0,1,left,B. Adebayo 8' floating Jump Shot (6 PTS) (G. Vincent 1 AST),"[1628389, 1629216]",1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,8.98,Made,,,,,,,6.0,G. Vincent,1629216.0,1.0,,,,,,,,
41,PT07M46.00S,2023-05-18T00:37:31.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.41327201051249,63.970588235294116,1610612738,10,8,2023-05-18T00:39:22Z,410000,False,70.0,244.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,25.42,Missed,,,,,,,,,,,,,,,,,,
42,PT07M44.00S,2023-05-18T00:37:33.8Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,10,8,2023-05-18T00:37:38Z,420000,False,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT07M35.00S,2023-05-18T00:37:43.4Z,1,REGULAR,3pt,Jump Shot,[],1629216,30.56833114323259,25.245098039215684,1610612748,10,11,2023-05-18T00:37:47Z,430000,False,124.0,235.0,1,left,G. Vincent 26' 3PT  (3 PTS) (J. Butler 1 AST),"[1629216, 202710]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Right Center,26.54,Made,,,,,,,3.0,J. Butler,202710.0,1.0,,,,,,,,
45,PT07M22.00S,2023-05-18T00:37:56.4Z,1,REGULAR,2pt,Jump Shot,[],201143,90.48948751642575,74.75490196078431,1610612738,10,11,2023-05-18T00:38:02Z,450000,False,124.0,37.0,1,right,MISS A. Horford 12' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,8-16 Right,12.92,Missed,,,,,,,,,,,,,,,,,,
46,PT07M21.00S,2023-05-18T00:37:57.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,10,11,2023-05-18T00:38:02Z,460000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT07M15.00S,2023-05-18T00:38:05.2Z,1,REGULAR,foul,personal,[],1627759,,,1610612748,10,11,2023-05-18T00:38:19Z,470000,False,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1628389]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1830.0,,,,,,1.0,0.0,Adebayo,1628389.0,,,,
49,PT07M15.00S,2023-05-18T00:38:14.3Z,1,REGULAR,substitution,out,[],201143,,,1610612748,10,11,2023-05-18T00:38:20Z,490000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M15.00S,2023-05-18T00:38:14.3Z,1,REGULAR,substitution,in,[],1627763,,,1610612748,10,11,2023-05-18T00:38:20Z,500000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M03.00S,2023-05-18T00:38:42.4Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612748,10,11,2023-05-18T00:38:51Z,510000,False,,,0,,R. Williams III shooting personal FOUL (1 PF) (Butler 2 FT),"[1629057, 202710]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1179.0,,,,,,1.0,0.0,Butler,202710.0,,,,
53,PT07M03.00S,2023-05-18T00:39:11.6Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,10,12,2023-05-18T00:39:11Z,530000,False,,,0,,J. Butler Free Throw 1 of 2 (3 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
54,PT07M03.00S,2023-05-18T00:39:29.2Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,10,13,2023-05-18T00:39:29Z,540000,False,,,0,,J. Butler Free Throw 2 of 2 (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
55,PT06M47.00S,2023-05-18T00:39:47.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,80.3712220762155,56.372549019607845,1610612738,10,13,2023-05-18T00:39:56Z,550000,False,32.0,132.0,1,right,MISS J. Brown 13' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,13.58,Missed,,,,,,,,,,,,,,,,,,
56,PT06M45.00S,2023-05-18T00:39:49.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,10,13,2023-05-18T00:39:56Z,560000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,55.0,3.0,3.0,0.0,,,,,,,,,,,,,,
57,PT06M36.00S,2023-05-18T00:39:57.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,14.273981603153747,63.23529411764706,1610612748,10,13,2023-05-18T00:40:04Z,570000,False,-66.0,82.0,1,left,MISS B. Adebayo 10' turnaround Shot,[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Left,10.52,Missed,,,,,,,,,,,,,,,,,,
58,PT06M34.00S,2023-05-18T00:39:59.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,13,2023-05-18T00:40:04Z,580000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Left,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,
59,PT06M30.00S,2023-05-18T00:40:03.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627763,75.77201051248358,87.74509803921569,1610612738,13,13,2023-05-18T00:41:00Z,590000,False,189.0,175.0,1,right,M. Brogdon 25' 3PT running (3 PTS) (J. Tatum 1 AST),"[1627763, 1628369]",1610612738.0,BOS,running,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Right Center,25.75,Made,,,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,
61,PT06M14.00S,2023-05-18T00:40:19.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,7.227332457293036,56.885723039215684,1610612748,13,15,2023-05-18T00:40:24Z,610000,False,-34.0,15.0,1,left,J. Butler driving Layup (6 PTS),[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,3.77,Made,,,,,,,6.0,,,,,,,,,,,
62,PT06M01.00S,2023-05-18T00:40:32.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.45836070959264,33.900122549019606,1610612738,16,15,2023-05-18T00:40:38Z,620000,False,-80.0,235.0,1,right,J. Tatum 24' 3PT  (5 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,24.8,Made,,,,,,,5.0,M. Smart,203935.0,2.0,,,,,,,,
64,PT05M55.00S,2023-05-18T00:40:40.2Z,1,REGULAR,foul,personal,[],1628369,,,1610612748,16,15,2023-05-18T00:41:24Z,640000,False,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 202710]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,1830.0,,,,,,1.0,0.0,Butler,202710.0,,,,
66,PT05M55.00S,2023-05-18T00:41:23.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,16,15,2023-05-18T00:41:23Z,660000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M43.00S,2023-05-18T00:44:42.4Z,1,REGULAR,2pt,Jump Shot,[],202710,6.438896189224705,79.6798406862745,1610612748,16,17,2023-05-18T00:44:48Z,670000,False,-148.0,8.0,1,left,J. Butler 14' fadeaway Jump Shot (8 PTS),[202710],1610612748.0,MIA,fadeaway,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,14.86,Made,,,,,,,8.0,,,,,,,,,,,
68,PT05M28.00S,2023-05-18T00:44:56.4Z,1,REGULAR,3pt,Jump Shot,[],1627763,89.17542706964521,4.166666666666666,1610612738,19,17,2023-05-18T00:45:00Z,680000,False,-229.0,49.0,1,right,M. Brogdon 3PT  (6 PTS) (M. Smart 3 AST),"[1627763, 203935]",1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Left Corner 3,24+ Left,23.44,Made,,,,,,,6.0,M. Smart,203935.0,3.0,,,,,,,,
70,PT05M11.00S,2023-05-18T00:45:18.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627763,,,1610612748,19,17,2023-05-18T00:45:32Z,700000,False,,,0,,M. Brogdon shooting personal FOUL (1 PF) (Vincent 2 FT),"[1627763, 1629216]",1610612738.0,BOS,shooting,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Left,,,,,,,2530.0,,,,,,1.0,0.0,Vincent,1629216.0,,,,
72,PT05M11.00S,2023-05-18T00:45:49.8Z,1,REGULAR,freethrow,1 of 2,[],1629216,,,1610612748,19,18,2023-05-18T00:45:49Z,720000,False,,,0,,G. Vincent Free Throw 1 of 2 (4 PTS),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
73,PT05M11.00S,2023-05-18T00:45:50.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612748,19,18,2023-05-18T00:45:58Z,730000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M11.00S,2023-05-18T00:45:50.9Z,1,REGULAR,substitution,out,[],201567,,,1610612748,19,18,2023-05-18T00:45:58Z,740000,False,,,0,,SUB out: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M11.00S,2023-05-18T00:45:50.9Z,1,REGULAR,substitution,in,[],1628401,,,1610612748,19,18,2023-05-18T00:45:58Z,750000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M11.00S,2023-05-18T00:45:50.9Z,1,REGULAR,substitution,in,[],1628997,,,1610612748,19,18,2023-05-18T00:45:58Z,760000,False,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M11.00S,2023-05-18T00:46:06.7Z,1,REGULAR,freethrow,2 of 2,[],1629216,,,1610612748,19,19,2023-05-18T00:46:06Z,770000,False,,,0,,G. Vincent Free Throw 2 of 2 (5 PTS),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
78,PT04M56.00S,2023-05-18T00:46:24.5Z,1,REGULAR,2pt,Jump Shot,[],1627763,91.01511169513797,70.58823529411765,1610612738,19,19,2023-05-18T00:46:30Z,780000,False,103.0,32.0,1,right,MISS M. Brogdon 10' driving floating Shot,[1627763],1610612738.0,BOS,driving floating,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Right,10.78,Missed,,,,,,,,,,,,,,,,,,
79,PT04M54.00S,2023-05-18T00:46:26.5Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,19,19,2023-05-18T00:46:30Z,790000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,8-16 Right,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT04M37.00S,2023-05-18T00:46:43.5Z,1,REGULAR,3pt,Jump Shot,[],1628997,10.33180026281209,97.54901960784314,1610612748,19,22,2023-05-18T00:46:47Z,800000,False,-238.0,45.0,1,left,C. Martin 24' 3PT  (3 PTS) (J. Butler 2 AST),"[1628997, 202710]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,24.18,Made,,,,,,,3.0,J. Butler,202710.0,2.0,,,,,,,,
83,PT04M26.00S,2023-05-18T00:47:02.7Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,19,22,2023-05-18T00:47:15Z,830000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M26.00S,2023-05-18T00:47:02.7Z,1,REGULAR,substitution,out,[],1629216,,,1610612738,19,22,2023-05-18T00:47:15Z,840000,False,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M26.00S,2023-05-18T00:47:02.7Z,1,REGULAR,substitution,out,[],1628389,,,1610612738,19,22,2023-05-18T00:47:15Z,850000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
