actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
475,PT10M24.00S,2023-05-24T02:23:33.2Z,4,REGULAR,3pt,Jump Shot,[],1627763,66.70499342969777,45.83333333333333,1610612738,81,88,2023-05-24T02:23:38Z,4670000,False,-21.0,260.0,1,right,MISS M. Brogdon 26' 3PT,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Center,26.13,Missed,,,,,,,,,,,,,,,,,,
476,PT10M20.00S,2023-05-24T02:23:37.2Z,4,REGULAR,rebound,defensive,[],1628997,,,1610612748,81,88,2023-05-24T02:23:38Z,4680000,False,,,0,,C. Martin REBOUND (Off:0 Def:4),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,475.0,4.0,4.0,0.0,,,,,,,,,,,,,,
478,PT10M14.00S,2023-05-24T02:23:56.7Z,4,REGULAR,foul,personal,[],201143,,,1610612748,81,88,2023-05-24T02:24:07Z,4700000,False,,,0,,A. Horford personal FOUL (3 PF),"[201143, 1628389]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1162.0,3.0,0.0,Adebayo,1628389.0,,,,,
480,PT10M08.00S,2023-05-24T02:24:18.3Z,4,REGULAR,foul,personal,['2freethrow'],201143,,,1610612748,81,88,2023-05-24T02:24:25Z,4720000,False,,,0,,A. Horford shooting personal FOUL (4 PF) (Adebayo 2 FT),"[201143, 1628389]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,101284.0,4.0,0.0,Adebayo,1628389.0,,,,,
482,PT10M08.00S,2023-05-24T02:24:51.2Z,4,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,81,88,2023-05-24T02:25:16Z,4740000,False,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
483,PT10M08.00S,2023-05-24T02:24:51.2Z,4,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612748,81,88,2023-05-24T02:25:16Z,4750000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,482.0,,,,,,,,,,,,,,,,,
484,PT10M08.00S,2023-05-24T02:24:51.2Z,4,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,81,88,2023-05-24T02:25:16Z,4760000,False,,,0,,MISS B. Adebayo Free Throw 2 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
485,PT10M05.00S,2023-05-24T02:24:54.2Z,4,REGULAR,rebound,defensive,[],1627763,,,1610612738,81,88,2023-05-24T02:25:16Z,4770000,False,,,0,,M. Brogdon REBOUND (Off:1 Def:4),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,484.0,5.0,4.0,1.0,,,,,,,,,,,,,,
486,PT09M53.00S,2023-05-24T02:25:26.5Z,4,REGULAR,3pt,Jump Shot,[],1628401,92.72339027595268,95.58823529411765,1610612738,81,88,2023-05-24T02:25:40Z,4780000,False,228.0,16.0,1,right,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,22.85,Missed,,,,,,,,,,,,,,,,,,
487,PT09M50.00S,2023-05-24T02:25:29.5Z,4,REGULAR,rebound,defensive,[],200768,,,1610612748,81,88,2023-05-24T02:25:40Z,4790000,False,,,0,,K. Lowry REBOUND (Off:3 Def:4),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Right Corner 3,24+ Right,,,486.0,7.0,4.0,3.0,,,,,,,,,,,,,,
488,PT09M41.00S,2023-05-24T02:25:39.3Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200768,7.046649145860711,57.59803921568627,1610612748,83,88,2023-05-24T02:25:52Z,4800000,False,-38.0,14.0,1,left,K. Lowry floating Jump Shot (2 PTS) (D. Robinson 1 AST),"[200768, 1629130]",1610612748.0,MIA,floating,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,4.04,Made,,,,,2.0,D. Robinson,1629130.0,1.0,,,,,,,,,,
490,PT09M41.00S,2023-05-24T02:25:46.4Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,83,88,2023-05-24T02:25:46Z,4820000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,PT09M41.00S,2023-05-24T02:25:53.2Z,4,REGULAR,substitution,out,[],1627763,,,1610612738,83,88,2023-05-24T02:28:48Z,4830000,False,,,0,,SUB out: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
492,PT09M41.00S,2023-05-24T02:25:53.2Z,4,REGULAR,substitution,in,[],1628369,,,1610612738,83,88,2023-05-24T02:28:48Z,4840000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
493,PT09M22.00S,2023-05-24T02:29:37.9Z,4,REGULAR,2pt,Jump Shot,[],1628369,75.24638633377135,61.76470588235294,1610612738,83,90,2023-05-24T02:30:53Z,4850000,False,59.0,180.0,1,right,J. Tatum 18' turnaround fadeaway Jump Shot (24 PTS) (G. Williams 2 AST),"[1628369, 1629684]",1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,18.96,Made,,,,,24.0,G. Williams,1629684.0,2.0,,,,,,,,,,
495,PT09M10.00S,2023-05-24T02:29:50.4Z,4,REGULAR,3pt,Jump Shot,[],1629130,31.882391590013142,28.921568627450984,1610612748,83,90,2023-05-24T02:29:57Z,4870000,False,105.0,247.0,1,left,MISS D. Robinson 26' pullup 3PT - blocked,"[1629130, 1628401]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,26.87,Missed,,,,,,,,,,,,,,,White,1628401.0,,
496,PT09M10.00S,2023-05-24T02:29:50.4Z,4,REGULAR,block,,[],1628401,,,1610612748,83,90,2023-05-24T02:29:53Z,4880000,False,,,0,,D. White BLOCK (2 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
497,PT09M06.00S,2023-05-24T02:29:54.4Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,83,90,2023-05-24T02:29:57Z,4890000,False,,,0,,J. Tatum REBOUND (Off:1 Def:10),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,495.0,11.0,10.0,1.0,,,,,,,,,,,,,,
498,PT09M05.00S,2023-05-24T02:29:56.0Z,4,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1627759,94.43166885676742,51.9607843137255,1610612738,83,92,2023-05-24T02:30:39Z,4900000,False,10.0,0.0,1,right,J. Brown running DUNK (13 PTS) (A. Horford 4 AST),"[1627759, 201143]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,13.0,A. Horford,201143.0,4.0,,,,,,,,,,
500,PT09M04.00S,2023-05-24T02:30:03.1Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,83,92,2023-05-24T02:30:03Z,4920000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,PT09M04.00S,2023-05-24T02:31:40.8Z,4,REGULAR,substitution,out,[],1629130,,,1610612748,83,92,2023-05-24T02:33:21Z,4930000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
502,PT09M04.00S,2023-05-24T02:31:40.8Z,4,REGULAR,substitution,out,[],1628401,,,1610612748,83,92,2023-05-24T02:33:21Z,4940000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
503,PT09M04.00S,2023-05-24T02:31:40.8Z,4,REGULAR,substitution,in,[],202710,,,1610612748,83,92,2023-05-24T02:33:21Z,4950000,False,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
504,PT09M04.00S,2023-05-24T02:31:40.8Z,4,REGULAR,substitution,in,[],203935,,,1610612748,83,92,2023-05-24T02:33:21Z,4960000,False,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
505,PT08M39.00S,2023-05-24T02:34:07.0Z,4,REGULAR,2pt,Jump Shot,[],202710,9.674770039421814,21.323529411764707,1610612748,83,92,2023-05-24T02:34:12Z,4970000,False,143.0,38.0,1,left,MISS J. Butler 14' turnaround Shot - blocked,"[202710, 1629684]",1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,Mid-Range,8-16 Right,14.85,Missed,,,,,,,,,,,,,,,Williams,1629684.0,,
506,PT08M39.00S,2023-05-24T02:34:07.0Z,4,REGULAR,block,,[],1629684,,,1610612748,83,92,2023-05-24T02:34:09Z,4980000,False,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
507,PT08M36.00S,2023-05-24T02:34:10.0Z,4,REGULAR,rebound,defensive,[],1629684,,,1610612738,83,92,2023-05-24T02:34:12Z,4990000,False,,,0,,G. Williams REBOUND (Off:2 Def:3),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Mid-Range,8-16 Right,,,505.0,5.0,3.0,2.0,,,,,,,,,,,,,,
508,PT08M20.00S,2023-05-24T02:34:26.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203935,94.56307490144546,51.71568627450981,1610612738,83,94,2023-05-24T02:34:33Z,5000000,False,9.0,-1.0,1,right,M. Smart reverse Layup (8 PTS) (J. Tatum 6 AST),"[203935, 1628369]",1610612738.0,BOS,reverse,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,0.87,Made,,,,,8.0,J. Tatum,1628369.0,6.0,,,,,,,,,,
510,PT08M02.00S,2023-05-24T02:34:43.2Z,4,REGULAR,3pt,Jump Shot,[],1629216,12.828515111695138,96.56862745098039,1610612748,83,94,2023-05-24T02:34:50Z,5020000,False,-233.0,68.0,1,left,MISS G. Vincent 24' 3PT - blocked,"[1629216, 1628369]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Left Corner 3,24+ Left,24.26,Missed,,,,,,,,,,,,,,,Tatum,1628369.0,,
511,PT08M02.00S,2023-05-24T02:34:43.2Z,4,REGULAR,block,,[],1628369,,,1610612748,83,94,2023-05-24T02:34:47Z,5030000,False,,,0,,J. Tatum BLOCK (2 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
512,PT08M02.00S,2023-05-24T02:34:43.2Z,4,REGULAR,rebound,offensive,[],1629216,,,1610612748,83,94,2023-05-24T02:34:50Z,5040000,False,,,0,,G. Vincent REBOUND (Off:1 Def:0),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Left Corner 3,24+ Left,,,510.0,1.0,0.0,1.0,,,,,,,,,,,,,,
513,PT08M02.00S,2023-05-24T02:35:23.7Z,4,REGULAR,turnover,out-of-bounds,[],1629216,,,1610612748,83,94,2023-05-24T02:35:32Z,5050000,False,,,0,,G. Vincent step out-of-bounds TURNOVER (1 TO),[1629216],1610612748.0,MIA,step,,,Vincent,G. Vincent,,,,,Left Corner 3,24+ Left,,,,,,,,,,,1162.0,,,,,1.0,,,,
514,PT07M52.00S,2023-05-24T02:35:41.1Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,71.43561103810775,78.43137254901961,1610612738,83,97,2023-05-24T02:37:40Z,5060000,False,142.0,216.0,1,right,J. Tatum 25' 3PT step back (27 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,25.86,Made,,,,,27.0,,,,,,,,,,,,,
515,PT07M52.00S,2023-05-24T02:35:46.7Z,4,REGULAR,timeout,full,['team'],0,,,1610612748,83,97,2023-05-24T02:35:46Z,5070000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,PT07M52.00S,2023-05-24T02:36:34.0Z,4,REGULAR,substitution,out,[],1629216,,,1610612748,83,97,2023-05-24T02:37:10Z,5080000,False,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
517,PT07M52.00S,2023-05-24T02:36:34.0Z,4,REGULAR,substitution,in,[],1629622,,,1610612748,83,97,2023-05-24T02:37:10Z,5090000,False,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
518,PT07M34.00S,2023-05-24T02:37:25.7Z,4,REGULAR,2pt,Hook,['pointsinthepaint'],202710,13.485545335085414,51.470588235294116,1610612748,83,97,2023-05-24T02:38:33Z,5100000,False,-7.0,74.0,1,left,MISS J. Butler 7' turnaround Hook,[202710],1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,7.47,Missed,,,,,,,,,,,,,,,,,,
519,PT07M32.00S,2023-05-24T02:37:27.7Z,4,REGULAR,rebound,defensive,[],1627759,,,1610612738,83,97,2023-05-24T02:37:34Z,5110000,False,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,518.0,3.0,3.0,0.0,,,,,,,,,,,,,,
520,PT07M25.00S,2023-05-24T02:37:34.8Z,4,REGULAR,3pt,Jump Shot,[],203935,74.58935611038108,13.23529411764706,1610612738,83,100,2023-05-24T02:37:41Z,5120000,False,-184.0,186.0,1,right,M. Smart 26' 3PT  (11 PTS) (J. Tatum 7 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,26.18,Made,,,,,11.0,J. Tatum,1628369.0,7.0,,,,,,,,,,
522,PT07M00.00S,2023-05-24T02:38:04.8Z,4,REGULAR,foul,personal,[],201143,,,1610612748,83,100,2023-05-24T02:38:11Z,5140000,False,,,0,,A. Horford personal FOUL (5 PF),"[201143, 1628389]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1162.0,5.0,0.0,Adebayo,1628389.0,,,,,
524,PT07M00.00S,2023-05-24T02:38:10.6Z,4,REGULAR,substitution,out,[],201143,,,1610612748,83,100,2023-05-24T02:38:13Z,5160000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
525,PT07M00.00S,2023-05-24T02:38:10.6Z,4,REGULAR,substitution,in,[],1629057,,,1610612748,83,100,2023-05-24T02:38:13Z,5170000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
526,PT06M51.00S,2023-05-24T02:38:31.3Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],202710,7.178055190538765,56.127450980392155,1610612748,83,100,2023-05-24T02:38:39Z,5180000,False,-31.0,15.0,1,left,MISS J. Butler Layup,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,3.41,Missed,,,,,,,,,,,,,,,,,,
527,PT06M44.00S,2023-05-24T02:38:37.9Z,4,REGULAR,rebound,offensive,[],202710,,,1610612748,83,100,2023-05-24T02:38:37Z,5190000,False,,,0,,J. Butler REBOUND (Off:4 Def:4),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,526.0,8.0,4.0,4.0,,,,,,,,,,,,,,
528,PT06M44.00S,2023-05-24T02:38:37.9Z,4,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202710,5.590000152587891,50.0,1610612748,83,100,2023-05-24T02:38:43Z,5200000,False,0.0,0.0,1,left,MISS J. Butler tip Layup,[202710],1610612748.0,MIA,tip,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
529,PT06M44.00S,2023-05-24T02:38:37.9Z,4,REGULAR,rebound,defensive,[],1629684,,,1610612738,83,100,2023-05-24T02:38:43Z,5210000,False,,,0,,G. Williams REBOUND (Off:2 Def:4),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,528.0,6.0,4.0,2.0,,,,,,,,,,,,,,
530,PT06M32.00S,2023-05-24T02:38:50.1Z,4,REGULAR,2pt,Jump Shot,[],1628369,92.9862023653088,83.33333333333334,1610612738,83,100,2023-05-24T02:38:56Z,5220000,False,167.0,13.0,1,right,MISS J. Tatum 16' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right,16.72,Missed,,,,,,,,,,,,,,,,,,
531,PT06M29.00S,2023-05-24T02:38:53.1Z,4,REGULAR,rebound,defensive,[],200768,,,1610612748,83,100,2023-05-24T02:44:01Z,5230000,False,,,0,,K. Lowry REBOUND (Off:3 Def:5),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Right,,,530.0,8.0,5.0,3.0,,,,,,,,,,,,,,
533,PT06M27.00S,2023-05-24T02:39:21.5Z,4,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,83,100,2023-05-24T02:39:30Z,5250000,False,,,0,,K. Lowry bad pass out-of-bounds TURNOVER (3 TO),[200768],1610612748.0,MIA,bad pass,,,Lowry,K. Lowry,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1162.0,,,,,3.0,,,,
534,PT06M03.00S,2023-05-24T02:39:52.1Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],203935,95.22010512483574,98.77450980392157,1610612738,83,100,2023-05-24T02:39:56Z,5260000,False,244.0,-8.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Right Corner 3,24+ Right,24.4,Missed,,,,,,,,,,,,,,,,,,
535,PT06M00.00S,2023-05-24T02:39:55.1Z,4,REGULAR,rebound,defensive,[],202710,,,1610612748,83,100,2023-05-24T02:39:56Z,5270000,False,,,0,,J. Butler REBOUND (Off:4 Def:5),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Right Corner 3,24+ Right,,,534.0,9.0,5.0,4.0,,,,,,,,,,,,,,
536,PT05M43.00S,2023-05-24T02:40:12.4Z,4,REGULAR,3pt,Jump Shot,[],200768,7.178055190538765,3.431372549019608,1610612748,86,100,2023-05-24T02:40:18Z,5280000,False,233.0,15.0,1,left,K. Lowry 3PT  (5 PTS) (J. Butler 5 AST),"[200768, 202710]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Right Corner 3,24+ Right,23.33,Made,,,,,5.0,J. Butler,202710.0,5.0,,,,,,,,,,
538,PT05M16.00S,2023-05-24T02:40:39.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,93.24901445466492,47.30392156862745,1610612738,86,100,2023-05-24T02:40:45Z,5300000,False,-13.0,11.0,1,right,MISS R. Williams III Layup - blocked,"[1629057, 1628997]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,1.74,Missed,,,,,,,,,,,,,,,Martin,1628997.0,,
539,PT05M16.00S,2023-05-24T02:40:39.1Z,4,REGULAR,block,,[],1628997,,,1610612738,86,100,2023-05-24T02:40:41Z,5310000,False,,,0,,C. Martin BLOCK (1 BLK),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
540,PT05M13.00S,2023-05-24T02:40:42.1Z,4,REGULAR,rebound,defensive,[],1629622,,,1610612748,86,100,2023-05-24T02:40:45Z,5320000,False,,,0,,M. Strus REBOUND (Off:1 Def:5),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,538.0,6.0,5.0,1.0,,,,,,,,,,,,,,
541,PT05M10.00S,2023-05-24T02:40:45.2Z,4,REGULAR,turnover,bad pass,[],200768,,,1610612748,86,100,2023-05-24T02:40:49Z,5330000,False,,,0,,K. Lowry bad pass TURNOVER (4 TO),"[200768, 1627759]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,4.0,,,Brown,1627759.0
542,PT05M10.00S,2023-05-24T02:40:45.2Z,4,REGULAR,steal,,[],1627759,,,1610612738,86,100,2023-05-24T02:40:47Z,5340000,False,,,0,,J. Brown STEAL (2 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
543,PT05M02.00S,2023-05-24T02:40:53.6Z,4,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629057,93.11760840998686,50.49019607843137,1610612738,86,102,2023-05-24T02:41:00Z,5350000,False,2.0,12.0,1,right,R. Williams III cutting DUNK (7 PTS) (M. Smart 4 AST),"[1629057, 203935]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,1.25,Made,,,,,7.0,M. Smart,203935.0,4.0,,,,,,,,,,
545,PT04M55.00S,2023-05-24T02:41:03.8Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629057,,,1610612748,86,102,2023-05-24T02:41:11Z,5370000,False,,,0,,R. Williams III shooting personal FOUL (3 PF) (Butler 2 FT),"[1629057, 202710]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,101284.0,3.0,0.0,Butler,202710.0,,,,,
547,PT04M55.00S,2023-05-24T02:41:52.7Z,4,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,87,102,2023-05-24T02:41:52Z,5390000,False,,,0,,J. Butler Free Throw 1 of 2 (25 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,25.0,,,,,,,,,,,,,
548,PT04M55.00S,2023-05-24T02:41:55.0Z,4,REGULAR,substitution,out,[],200768,,,1610612748,87,102,2023-05-24T02:41:58Z,5400000,False,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
549,PT04M55.00S,2023-05-24T02:41:55.0Z,4,REGULAR,substitution,in,[],1629216,,,1610612748,87,102,2023-05-24T02:41:58Z,5410000,False,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
550,PT04M55.00S,2023-05-24T02:41:52.7Z,4,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,87,102,2023-05-24T02:42:17Z,5420000,False,,,0,,MISS J. Butler Free Throw 2 of 2,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
551,PT04M53.00S,2023-05-24T02:41:54.7Z,4,REGULAR,rebound,defensive,[],1629057,,,1610612738,87,102,2023-05-24T02:42:17Z,5430000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,550.0,1.0,1.0,0.0,,,,,,,,,,,,,,
552,PT04M36.00S,2023-05-24T02:42:33.8Z,4,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,87,102,2023-05-24T02:42:40Z,5440000,False,,,0,,J. Brown bad pass out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,101284.0,,,,,1.0,,,,
553,PT04M27.00S,2023-05-24T02:42:51.0Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629216,12.171484888304862,51.225490196078425,1610612748,89,102,2023-05-24T02:42:55Z,5450000,False,-6.0,62.0,1,left,G. Vincent 6' driving floating Jump Shot (17 PTS),[1629216],1610612748.0,MIA,driving floating,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),0-8 Center,6.22,Made,,,,,17.0,,,,,,,,,,,,,
554,PT04M12.00S,2023-05-24T02:43:05.8Z,4,REGULAR,3pt,Jump Shot,[],1627759,87.59855453350855,96.32352941176471,1610612738,89,102,2023-05-24T02:43:10Z,5460000,False,232.0,64.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,24.03,Missed,,,,,,,,,,,,,,,,,,
555,PT04M10.00S,2023-05-24T02:43:07.8Z,4,REGULAR,rebound,defensive,[],1629622,,,1610612748,89,102,2023-05-24T02:43:10Z,5470000,False,,,0,,M. Strus REBOUND (Off:1 Def:6),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Right Corner 3,24+ Right,,,554.0,7.0,6.0,1.0,,,,,,,,,,,,,,
556,PT03M55.00S,2023-05-24T02:43:24.1Z,4,REGULAR,turnover,lost ball,[],1628389,,,1610612748,89,102,2023-05-24T02:43:29Z,5480000,False,,,0,,B. Adebayo lost ball TURNOVER (4 TO),"[1628389, 203935]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,4.0,,,Smart,203935.0
557,PT03M55.00S,2023-05-24T02:43:24.1Z,4,REGULAR,steal,,[],203935,,,1610612738,89,102,2023-05-24T02:47:09Z,5490000,False,,,0,,M. Smart STEAL (2 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
558,PT03M52.00S,2023-05-24T02:43:29.3Z,4,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,94.56307490144546,54.166666666666664,1610612738,89,104,2023-05-24T02:46:42Z,5500000,False,21.0,-1.0,1,right,J. Brown running Layup (15 PTS) (M. Smart 5 AST),"[1627759, 203935]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,15.0,M. Smart,203935.0,5.0,,,,,,,,,,
