actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
420,PT02M55.00S,2023-05-24T02:12:07.9Z,3,REGULAR,freethrow,1 of 2,['2ndchance'],202710,,,1610612748,72,81,2023-05-24T02:12:07Z,4120000,False,,,0,,J. Butler Free Throw 1 of 2 (17 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,17.0,,,,,,,,,,,,,
421,PT02M55.00S,2023-05-24T02:12:08.7Z,3,REGULAR,substitution,out,[],1627759,,,1610612748,72,81,2023-05-24T02:12:14Z,4130000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
422,PT02M55.00S,2023-05-24T02:12:08.7Z,3,REGULAR,substitution,in,[],1627763,,,1610612748,72,81,2023-05-24T02:12:14Z,4140000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
423,PT02M55.00S,2023-05-24T02:12:26.7Z,3,REGULAR,freethrow,2 of 2,['2ndchance'],202710,,,1610612748,73,81,2023-05-24T02:12:26Z,4150000,False,,,0,,J. Butler Free Throw 2 of 2 (18 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,18.0,,,,,,,,,,,,,
424,PT02M45.00S,2023-05-24T02:12:43.5Z,3,REGULAR,foul,offensive,[],1628369,,,1610612738,73,81,2023-05-24T02:16:45Z,4160000,False,,,0,,J. Tatum offensive FOUL (3 PF),"[1628369, 203469]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1162.0,3.0,0.0,Zeller,203469.0,,,,,
426,PT02M45.00S,2023-05-24T02:12:43.5Z,3,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,73,81,2023-05-24T02:12:43Z,4180000,False,,,0,,J. Tatum offensive foul TURNOVER (5 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1162.0,,,,,5.0,,,,
427,PT02M33.00S,2023-05-24T02:13:08.4Z,3,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612748,73,81,2023-05-24T02:13:21Z,4190000,False,,,0,,R. Williams III shooting personal FOUL (2 PF) (Butler 2 FT),"[1629057, 202710]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1162.0,2.0,0.0,Butler,202710.0,,,,,
429,PT02M33.00S,2023-05-24T02:13:40.0Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],202710,,,1610612748,74,81,2023-05-24T02:13:40Z,4210000,False,,,0,,J. Butler Free Throw 1 of 2 (19 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,19.0,,,,,,,,,,,,,
430,PT02M33.00S,2023-05-24T02:14:01.1Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],202710,,,1610612748,75,81,2023-05-24T02:14:01Z,4220000,False,,,0,,J. Butler Free Throw 2 of 2 (20 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,20.0,,,,,,,,,,,,,
431,PT02M19.00S,2023-05-24T02:14:16.7Z,3,REGULAR,3pt,Jump Shot,[],203935,70.38436268068331,15.931372549019606,1610612738,75,81,2023-05-24T02:14:23Z,4230000,False,-170.0,226.0,1,right,MISS M. Smart 28' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,28.29,Missed,,,,,,,,,,,,,,,,,,
432,PT02M15.00S,2023-05-24T02:14:20.7Z,3,REGULAR,rebound,defensive,[],1628997,,,1610612748,75,81,2023-05-24T02:14:23Z,4240000,False,,,0,,C. Martin REBOUND (Off:0 Def:2),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,431.0,2.0,2.0,0.0,,,,,,,,,,,,,,
433,PT01M54.00S,2023-05-24T02:14:41.5Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],202710,8.229303547963205,55.88235294117647,1610612748,77,81,2023-05-24T02:14:46Z,4250000,False,-29.0,25.0,1,left,J. Butler turnaround Hook (22 PTS),[202710],1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,3.85,Made,,,,,22.0,,,,,,,,,,,,,
