actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
513,PT06M49.00S,2023-04-19T00:49:39.7Z,4,REGULAR,foul,personal,[],1630168,,,1610612738,101,91,2023-04-19T00:51:51Z,5050000,False,,,0,,O. Okongwu loose ball personal FOUL (1 PF),"[1630168, 1627763]",1610612737.0,ATL,loose ball,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,202058.0,1.0,0.0,Brogdon,1627763.0,,,
515,PT06M49.00S,2023-04-19T00:49:58.2Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,101,91,2023-04-19T00:49:58Z,5070000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,PT06M33.00S,2023-04-19T00:53:32.3Z,4,REGULAR,3pt,Jump Shot,[],1628401,33.065045992115635,32.1078431372549,1610612738,104,91,2023-04-19T00:53:36Z,5080000,False,89.0,258.0,1,left,D. White 27' 3PT  (22 PTS) (M. Smart 6 AST),"[1628401, 203935]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,27.34,Made,22.0,M. Smart,203935.0,6.0,,,,,,,,,,,,,,
518,PT06M07.00S,2023-04-19T00:53:59.7Z,4,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612737,104,91,2023-04-19T00:54:08Z,5100000,False,,,0,,D. White shooting personal FOUL (1 PF) (Young 2 FT),"[1628401, 1629027]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,202026.0,1.0,0.0,Young,1629027.0,,,
520,PT06M07.00S,2023-04-19T00:54:28.9Z,4,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,104,92,2023-04-19T00:54:28Z,5120000,False,,,0,,T. Young Free Throw 1 of 2 (21 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,21.0,,,,,,,,,,,,,,,,,
521,PT06M07.00S,2023-04-19T00:54:52.1Z,4,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,104,93,2023-04-19T00:54:52Z,5130000,False,,,0,,T. Young Free Throw 2 of 2 (22 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,22.0,,,,,,,,,,,,,,,,,
522,PT05M50.00S,2023-04-19T00:55:09.6Z,4,REGULAR,turnover,bad pass,[],1628401,,,1610612738,104,93,2023-04-19T00:55:17Z,5140000,False,,,0,,D. White bad pass TURNOVER (2 TO),"[1628401, 1629027]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,2.0,Young,1629027.0
523,PT05M50.00S,2023-04-19T00:55:09.6Z,4,REGULAR,steal,,[],1629027,,,1610612737,104,93,2023-04-19T00:55:14Z,5150000,False,,,0,,T. Young STEAL (2 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
524,PT05M46.00S,2023-04-19T00:55:15.2Z,4,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629027,93.38042049934296,48.77450980392157,1610612737,104,95,2023-04-19T00:55:24Z,5160000,False,-6.0,10.0,1,right,T. Young running Layup (24 PTS),[1629027],1610612737.0,ATL,running,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.15,Made,24.0,,,,,,,,,,,,,,,,,
525,PT05M21.00S,2023-04-19T00:55:38.1Z,4,REGULAR,3pt,Jump Shot,[],1628369,27.020367936925098,15.686274509803921,1610612738,107,95,2023-04-19T00:55:41Z,5170000,False,172.0,201.0,1,left,J. Tatum 26' 3PT  (27 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,26.47,Made,27.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
