actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
570,PT01M19.00S,2023-04-19T01:06:26.3Z,4,REGULAR,3pt,Jump Shot,[],1628369,34.247700394218136,67.15686274509804,1610612738,119,99,2023-04-19T01:06:33Z,5620000,False,-86.0,269.0,1,left,MISS J. Tatum 28' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,28.27,Missed,,,,,,,,,,,,,,,,,,
571,PT01M17.00S,2023-04-19T01:06:28.3Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612737,119,99,2023-04-19T01:06:33Z,5630000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,570.0,,,,,,,,,,,,,
572,PT01M17.00S,2023-04-19T01:06:35.8Z,4,REGULAR,foul,personal,[],1629057,,,1610612737,119,99,2023-04-19T01:06:42Z,5640000,False,,,0,,R. Williams III loose ball personal FOUL (2 PF),"[1629057, 1628381]",1610612738.0,BOS,loose ball,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,200834.0,2.0,0.0,Collins,1628381.0,,,
574,PT01M07.00S,2023-04-19T01:06:54.4Z,4,REGULAR,turnover,lost ball,[],1627749,,,1610612737,119,99,2023-04-19T01:06:58Z,5660000,False,,,0,,D. Murray lost ball TURNOVER (3 TO),"[1627749, 203935]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,3.0,Smart,203935.0
575,PT01M07.00S,2023-04-19T01:06:54.4Z,4,REGULAR,steal,,[],203935,,,1610612738,119,99,2023-04-19T01:06:56Z,5670000,False,,,0,,M. Smart STEAL (3 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
576,PT01M02.00S,2023-04-19T01:06:59.6Z,4,REGULAR,turnover,lost ball,[],1627759,,,1610612738,119,99,2023-04-19T01:07:04Z,5680000,False,,,0,,J. Brown lost ball TURNOVER (4 TO),"[1627759, 1627749]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,4.0,Murray,1627749.0
577,PT01M02.00S,2023-04-19T01:06:59.6Z,4,REGULAR,steal,,[],1627749,,,1610612737,119,99,2023-04-19T01:12:08Z,5690000,False,,,0,,D. Murray STEAL (4 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
578,PT01M01.00S,2023-04-19T01:07:03.4Z,4,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629631,92.72339027595268,47.05882352941176,1610612737,119,101,2023-04-19T01:07:51Z,5700000,False,-15.0,16.0,1,right,D. Hunter running DUNK (18 PTS),[1629631],1610612737.0,ATL,running,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,2.17,Made,18.0,,,,,,,,,,,,,,,,,
579,PT00M48.80S,2023-04-19T01:07:17.7Z,4,REGULAR,foul,personal,[],1627749,,,1610612738,119,101,2023-04-19T01:07:40Z,5710000,False,,,0,,D. Murray personal FOUL (1 PF),"[1627749, 203935]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,200834.0,1.0,0.0,Smart,203935.0,,,
581,PT00M48.80S,2023-04-19T01:07:31.9Z,4,REGULAR,substitution,out,[],1629057,,,1610612738,119,101,2023-04-19T01:07:36Z,5730000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
582,PT00M48.80S,2023-04-19T01:07:31.9Z,4,REGULAR,substitution,in,[],1628436,,,1610612738,119,101,2023-04-19T01:07:36Z,5740000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
583,PT00M35.30S,2023-04-19T01:07:55.3Z,4,REGULAR,3pt,Jump Shot,[],203935,35.955978975032856,40.68627450980392,1610612738,119,101,2023-04-19T01:09:11Z,5750000,False,47.0,285.0,1,left,MISS M. Smart 28' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,28.93,Missed,,,,,,,,,,,,,,,,,,
584,PT00M34.80S,2023-04-19T01:07:55.8Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612738,119,101,2023-04-19T01:08:02Z,5760000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,583.0,,,,,,,,,,,,,
586,PT00M34.80S,2023-04-19T01:08:05.9Z,4,REGULAR,turnover,shot clock,['team'],0,,,1610612738,119,101,2023-04-19T01:08:18Z,5780000,False,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
587,PT00M26.60S,2023-04-19T01:08:12.5Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1627749,70.90998685939553,80.63725490196079,1610612737,119,104,2023-04-19T01:09:46Z,5790000,False,153.0,221.0,1,right,D. Murray 26' 3PT pullup (27 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,26.88,Made,27.0,,,,,,,,,,,,,,,,,
588,PT00M16.10S,2023-04-19T01:08:32.2Z,4,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,119,104,2023-04-19T01:08:38Z,5800000,False,,,0,,J. Tatum lost ball out-of-bounds TURNOVER (4 TO),[1628369],1610612738.0,BOS,lost ball,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,200834.0,,,,,4.0,,
589,PT00M08.70S,2023-04-19T01:08:42.9Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627749,93.51182654402102,52.20588235294118,1610612737,119,106,2023-04-19T01:08:48Z,5810000,False,11.0,8.0,1,right,D. Murray driving Layup (29 PTS),[1627749],1610612737.0,ATL,driving,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,1.39,Made,29.0,,,,,,,,,,,,,,,,,
590,PT00M00.00S,2023-04-19T01:08:57.0Z,4,REGULAR,period,end,[],0,,,1610612738,119,106,2023-04-19T01:08:57Z,5820000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,PT00M00.00S,2023-04-19T01:10:08.1Z,4,REGULAR,game,end,[],0,,,0,119,106,2023-04-19T01:10:08Z,5830000,False,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
