actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
40,PT08M42.00S,2023-05-20T00:38:37.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.41327201051249,29.166666666666668,1610612738,7,9,2023-05-20T00:38:42Z,400000,False,-104.0,244.0,1,right,J. Tatum 26' 3PT step back (5 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.57,Made,5.0,,,,,,,,,,,,,,,,,
41,PT08M19.00S,2023-05-20T00:38:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,10.85742444152431,58.57843137254902,1610612748,7,9,2023-05-20T00:39:08Z,410000,False,-43.0,50.0,1,left,MISS B. Adebayo 6' driving reverse Layup,[1628389],1610612748.0,MIA,driving reverse,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,6.56,Missed,,,,,,,,,,,,,,,,,,
42,PT08M17.00S,2023-05-20T00:39:01.9Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,7,9,2023-05-20T00:39:08Z,420000,False,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,41.0,2.0,1.0,1.0,,,,,,,,,,,,,
43,PT08M17.00S,2023-05-20T00:39:03.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202710,5.590000152587891,50.0,1610612748,7,11,2023-05-20T00:39:13Z,430000,False,0.0,0.0,1,left,J. Butler tip Layup (2 PTS),[202710],1610612748.0,MIA,tip,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
44,PT08M01.00S,2023-05-20T00:39:17.9Z,1,REGULAR,2pt,Jump Shot,[],1627759,77.34888304862024,67.40196078431373,1610612738,7,11,2023-05-20T00:39:27Z,440000,False,87.0,160.0,1,right,MISS J. Brown 18' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,18.25,Missed,,,,,,,,,,,,,,,,,,
45,PT07M58.00S,2023-05-20T00:39:20.9Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,7,11,2023-05-20T00:40:07Z,450000,False,,,0,,J. Butler REBOUND (Off:1 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right Center,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,,,
48,PT07M45.00S,2023-05-20T00:39:33.8Z,1,REGULAR,2pt,Jump Shot,[],202710,22.026938239159,23.03921568627451,1610612748,7,11,2023-05-20T00:40:09Z,480000,False,135.0,155.0,1,left,MISS J. Butler 20' step back Shot,[202710],1610612748.0,MIA,step back,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right Center,20.51,Missed,,,,,,,,,,,,,,,,,,
49,PT07M43.00S,2023-05-20T00:39:35.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,11,2023-05-20T00:39:40Z,490000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,
50,PT07M35.00S,2023-05-20T00:39:45.1Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,7,11,2023-05-20T00:39:55Z,500000,False,,,0,,J. Tatum lost ball TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,,,,
52,PT07M35.00S,2023-05-20T00:39:48.3Z,1,REGULAR,foul,personal,[],1628369,,,1610612748,7,11,2023-05-20T00:39:58Z,520000,False,,,0,,J. Tatum loose ball personal FOUL (1 PF),"[1628369, 1628389]",1610612738.0,BOS,loose ball,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,,,,,,,,204059.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,
54,PT07M35.00S,2023-05-20T00:40:09.7Z,1,REGULAR,substitution,out,[],1629057,,,1610612748,7,11,2023-05-20T00:40:16Z,540000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M35.00S,2023-05-20T00:40:09.7Z,1,REGULAR,substitution,in,[],1628401,,,1610612748,7,11,2023-05-20T00:40:16Z,550000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M24.00S,2023-05-20T00:40:33.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628389,14.799605781865965,38.970588235294116,1610612748,7,11,2023-05-20T00:40:40Z,560000,False,55.0,87.0,1,left,MISS B. Adebayo 10' driving Hook,[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Right,10.26,Missed,,,,,,,,,,,,,,,,,,
57,PT07M23.00S,2023-05-20T00:40:34.6Z,1,REGULAR,rebound,offensive,[],201567,,,1610612748,7,11,2023-05-20T00:40:40Z,570000,False,,,0,,K. Love REBOUND (Off:1 Def:1),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,In The Paint (Non-RA),8-16 Right,,,,56.0,2.0,1.0,1.0,,,,,,,,,,,,,
58,PT07M23.00S,2023-05-20T00:40:37.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",201567,5.590000152587891,50.0,1610612748,7,11,2023-05-20T00:40:47Z,580000,False,0.0,0.0,1,left,MISS K. Love tip Layup,[201567],1610612748.0,MIA,tip,,,Love,K. Love,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
59,PT07M21.00S,2023-05-20T00:40:39.1Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,7,11,2023-05-20T00:40:47Z,590000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,
60,PT07M16.00S,2023-05-20T00:40:40.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,73.80091984231275,83.08823529411765,1610612738,7,11,2023-05-20T00:42:42Z,600000,False,165.0,194.0,1,right,MISS D. White 25' running 3PT,[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,Above the Break 3,24+ Right Center,25.48,Missed,,,,,,,,,,,,,,,,,,
61,PT07M15.00S,2023-05-20T00:40:41.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,11,2023-05-20T00:40:54Z,610000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,60.0,4.0,4.0,0.0,,,,,,,,,,,,,
62,PT06M59.00S,2023-05-20T00:40:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,8.886333771353483,49.01960784313725,1610612748,7,13,2023-05-20T00:41:02Z,620000,False,5.0,31.0,1,left,B. Adebayo cutting Layup (6 PTS) (J. Butler 1 AST),"[1628389, 202710]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,3.14,Made,6.0,,,,,,,,,,J. Butler,202710.0,1.0,,,,,
64,PT06M37.00S,2023-05-20T00:41:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,93.24901445466492,51.71568627450981,1610612738,9,13,2023-05-20T00:41:24Z,640000,False,9.0,11.0,1,right,A. Horford cutting Layup (2 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,cutting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,1.4,Made,2.0,,,,,,,,,,J. Tatum,1628369.0,1.0,,,,,
66,PT06M17.00S,2023-05-20T00:41:40.9Z,1,REGULAR,3pt,Jump Shot,[],1629216,19.530223390275953,6.862745098039216,1610612748,9,13,2023-05-20T00:41:51Z,660000,False,216.0,131.0,1,left,MISS G. Vincent 25' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Right Center,25.24,Missed,,,,,,,,,,,,,,,,,,
67,PT06M16.00S,2023-05-20T00:41:41.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,9,13,2023-05-20T00:41:51Z,670000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,66.0,,,,,,,,,,,,,,,,
68,PT06M16.00S,2023-05-20T00:41:48.6Z,1,REGULAR,foul,personal,[],1627759,,,1610612748,9,13,2023-05-20T00:41:57Z,680000,False,,,0,,J. Brown loose ball personal FOUL (1 PF),"[1627759, 201567]",1610612738.0,BOS,loose ball,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,202058.0,1.0,0.0,Love,201567.0,,,,,,,,
70,PT06M16.00S,2023-05-20T00:41:58.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,9,13,2023-05-20T00:41:58Z,700000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M04.00S,2023-05-20T00:45:49.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629622,25.57490144546649,86.02941176470588,1610612748,9,16,2023-05-20T00:46:05Z,710000,False,-180.0,188.0,1,left,M. Strus 26' 3PT pullup (6 PTS) (B. Adebayo 1 AST),"[1629622, 1628389]",1610612748.0,MIA,pullup,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,26.03,Made,6.0,,,,,,,,,,B. Adebayo,1628389.0,1.0,,,,,
72,PT05M47.00S,2023-05-20T00:46:05.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,88.25558475689881,34.80392156862745,1610612738,9,16,2023-05-20T00:46:10Z,720000,False,-76.0,58.0,1,right,MISS J. Brown 9' driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Left,9.55,Missed,,,,,,,,,,,,,,,,,,
73,PT05M45.00S,2023-05-20T00:46:07.8Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,9,16,2023-05-20T00:46:10Z,730000,False,,,0,,K. Love REBOUND (Off:1 Def:2),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,In The Paint (Non-RA),8-16 Left,,,,72.0,3.0,2.0,1.0,,,,,,,,,,,,,
75,PT05M37.00S,2023-05-20T00:46:16.0Z,1,REGULAR,3pt,Jump Shot,[],1629622,33.98488830486202,38.970588235294116,1610612748,9,16,2023-05-20T00:46:23Z,740000,False,55.0,267.0,1,left,MISS M. Strus 27' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,27.26,Missed,,,,,,,,,,,,,,,,,,
76,PT05M35.00S,2023-05-20T00:46:18.0Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,9,16,2023-05-20T00:46:23Z,750000,False,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,
77,PT05M20.00S,2023-05-20T00:46:32.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,69.99014454664915,25.0,1610612738,12,16,2023-05-20T00:46:37Z,760000,False,-125.0,230.0,1,right,D. White 26' 3PT  (3 PTS) (J. Tatum 2 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,26.14,Made,3.0,,,,,,,,,,J. Tatum,1628369.0,2.0,,,,,
82,PT04M57.00S,2023-05-20T00:46:45.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,18.265440210249672,49.5327818627451,1610612748,12,16,2023-05-20T00:48:13Z,775000,False,2.0,119.0,1,left,MISS B. Adebayo 11' pullup Shot - blocked,"[1628389, 201143]",1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,11.92,Missed,,,,,,,,,,,,,,,,,Horford,201143.0
83,PT04M57.00S,2023-05-20T00:46:45.3Z,1,REGULAR,block,,[],201143,,,1610612748,12,16,2023-05-20T00:47:31Z,777500,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
84,PT04M56.00S,2023-05-20T00:46:46.3Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,12,16,2023-05-20T00:47:31Z,778750,False,,,0,,J. Butler REBOUND (Off:2 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,,,,82.0,4.0,2.0,2.0,,,,,,,,,,,,,
79,PT04M55.00S,2023-05-20T00:46:57.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202710,18.2161629434954,22.54901960784314,1610612748,12,18,2023-05-20T00:47:31Z,780000,False,137.0,119.0,1,left,J. Butler 18' Jump Shot (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right Center,18.15,Made,4.0,,,,,,,,,,,,,,,,,
80,PT04M44.00S,2023-05-20T00:47:08.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,78.26872536136662,63.970588235294116,1610612738,14,18,2023-05-20T00:48:58Z,790000,False,70.0,152.0,1,right,J. Brown 16' pullup Jump Shot (2 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,16.71,Made,2.0,,,,,,,,,,M. Smart,203935.0,1.0,,,,,
81,PT04M25.00S,2023-05-20T00:47:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,10.726018396846255,60.049019607843135,1610612748,14,20,2023-05-20T00:47:42Z,800000,False,-50.0,48.0,1,left,J. Butler 6' driving Layup (6 PTS),[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,6.97,Made,6.0,,,,,,,,,,,,,,,,,
