actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-05-20T00:33:06.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-20T00:33:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-05-20T00:33:08.0Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2023-05-20T00:33:08Z,40000,False,,,0,,Jump Ball R. Williams III vs. B. Adebayo: Tip to M. Smart,"[203935, 1629057, 1628389]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-05-20T00:33:20.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,88.12417871222075,48.28431372549019,1610612738,2,0,2023-05-20T00:33:49Z,70000,False,-9.0,59.0,1,right,M. Smart turnaround Jump Shot (2 PTS),[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,5.97,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2023-05-20T00:33:38.7Z,1,REGULAR,2pt,Jump Shot,[],1628389,20.71287779237845,52.94117647058824,1610612748,2,2,2023-05-20T00:33:42Z,80000,False,-15.0,142.0,1,left,B. Adebayo 14' pullup Jump Shot (2 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Center,14.3,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2023-05-20T00:33:53.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,85.49605781865965,34.55882352941176,1610612738,2,2,2023-05-20T00:33:58Z,90000,False,-77.0,84.0,1,right,MISS M. Smart 11' turnaround bank Shot,[203935],1610612738.0,BOS,turnaround bank,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Left,11.39,Missed,,,,,,,,,,,,,,,,,,
10,PT11M10.00S,2023-05-20T00:33:55.5Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,2,2,2023-05-20T00:33:58Z,100000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,In The Paint (Non-RA),8-16 Left,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT10M59.00S,2023-05-20T00:34:06.2Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612748,2,2,2023-05-20T00:34:20Z,110000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Vincent 2 FT),"[201143, 1629216]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,204059.0,1.0,0.0,Vincent,1629216.0,,,,,,,,
13,PT10M59.00S,2023-05-20T00:34:37.2Z,1,REGULAR,freethrow,1 of 2,[],1629216,,,1610612748,2,3,2023-05-20T00:34:37Z,130000,False,,,0,,G. Vincent Free Throw 1 of 2 (1 PTS),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2023-05-20T00:34:52.5Z,1,REGULAR,freethrow,2 of 2,[],1629216,,,1610612748,2,4,2023-05-20T00:34:52Z,140000,False,,,0,,G. Vincent Free Throw 2 of 2 (2 PTS),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2023-05-20T00:35:00.6Z,1,REGULAR,3pt,Jump Shot,[],201143,69.72733245729303,75.0,1610612738,2,4,2023-05-20T00:35:06Z,150000,False,125.0,232.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,26.36,Missed,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2023-05-20T00:35:01.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,4,2023-05-20T00:35:06Z,160000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M34.00S,2023-05-20T00:35:19.6Z,1,REGULAR,3pt,Jump Shot,[],1629622,32.933639947437584,34.068627450980394,1610612748,2,7,2023-05-20T00:35:25Z,170000,False,80.0,257.0,1,left,M. Strus 26' 3PT  (3 PTS) (K. Love 1 AST),"[1629622, 201567]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,26.92,Made,3.0,,,,,,,,,,K. Love,201567.0,1.0,,,,,
20,PT10M23.00S,2023-05-20T00:35:43.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,83.26215505913272,63.725490196078425,1610612738,2,7,2023-05-20T00:35:50Z,200000,False,69.0,105.0,1,right,MISS J. Brown 12' turnaround Shot,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Right,12.53,Missed,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2023-05-20T00:35:45.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,7,2023-05-20T00:36:56Z,210000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Right,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,
22,PT10M09.00S,2023-05-20T00:35:57.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201567,14.273981603153747,41.17647058823529,1610612748,2,7,2023-05-20T00:36:05Z,220000,False,44.0,82.0,1,left,MISS K. Love 9' Hook,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,In The Paint (Non-RA),8-16 Center,9.28,Missed,,,,,,,,,,,,,,,,,,
23,PT10M08.00S,2023-05-20T00:35:58.9Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,7,2023-05-20T00:36:05Z,230000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT09M57.00S,2023-05-20T00:36:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,93.51182654402102,60.78431372549019,1610612738,2,7,2023-05-20T00:38:10Z,240000,False,54.0,8.0,1,right,MISS J. Brown floating Shot,[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.46,Missed,,,,,,,,,,,,,,,,,,
25,PT09M55.00S,2023-05-20T00:36:10.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,7,2023-05-20T00:36:13Z,250000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,24.0,3.0,3.0,0.0,,,,,,,,,,,,,
26,PT09M49.00S,2023-05-20T00:36:17.4Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612748,2,7,2023-05-20T00:36:28Z,260000,False,,,0,,R. Williams III shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1629057, 1628389]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2534.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,
28,PT09M49.00S,2023-05-20T00:36:49.3Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,2,8,2023-05-20T00:36:49Z,280000,False,,,0,,B. Adebayo Free Throw 1 of 2 (3 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
29,PT09M49.00S,2023-05-20T00:37:10.5Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,2,9,2023-05-20T00:37:10Z,290000,False,,,0,,B. Adebayo Free Throw 2 of 2 (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
30,PT09M38.00S,2023-05-20T00:37:25.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.11760840998686,47.30392156862745,1610612738,4,9,2023-05-20T00:37:30Z,300000,False,-13.0,12.0,1,right,J. Tatum driving Layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.82,Made,2.0,,,,,,,,,,,,,,,,,
31,PT09M24.00S,2023-05-20T00:37:39.5Z,1,REGULAR,turnover,bad pass,[],1629216,,,1610612748,4,9,2023-05-20T00:37:43Z,310000,False,,,0,,G. Vincent bad pass TURNOVER (1 TO),"[1629216, 1629057]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1.0,Williams III,1629057.0,,
32,PT09M24.00S,2023-05-20T00:37:39.5Z,1,REGULAR,steal,,[],1629057,,,1610612738,4,9,2023-05-20T00:37:41Z,320000,False,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
33,PT09M17.00S,2023-05-20T00:37:48.4Z,1,REGULAR,foul,personal,[],1628389,,,1610612738,4,9,2023-05-20T00:37:57Z,330000,False,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 1628369]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,,,,,,,,202058.0,1.0,0.0,Tatum,1628369.0,,,,,,,,
35,PT09M08.00S,2023-05-20T00:38:11.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201143,71.30420499342969,16.666666666666664,1610612738,4,9,2023-05-20T00:38:18Z,350000,False,-167.0,217.0,1,right,MISS A. Horford 27' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,27.38,Missed,,,,,,,,,,,,,,,,,,
36,PT09M06.00S,2023-05-20T00:38:13.4Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,4,9,2023-05-20T00:38:18Z,360000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,
37,PT08M55.00S,2023-05-20T00:38:24.0Z,1,REGULAR,3pt,Jump Shot,[],202710,24.917871222076215,13.23529411764706,1610612748,4,9,2023-05-20T00:39:46Z,370000,False,184.0,182.0,1,left,MISS J. Butler 25' pullup 3PT - blocked,"[202710, 1629057]",1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,25.85,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0
38,PT08M55.00S,2023-05-20T00:38:24.0Z,1,REGULAR,block,,[],1629057,,,1610612748,4,9,2023-05-20T00:38:26Z,380000,False,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
39,PT08M54.00S,2023-05-20T00:38:25.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,4,9,2023-05-20T00:38:30Z,390000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Right Center,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,
