actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
17,PT10M53.00S,2022-10-05T23:42:09.0Z,1,REGULAR,steal,,[],1629018,,,1610612761,2,2,2022-10-05T23:42:15Z,170000,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M46.00S,2022-10-05T23:42:16.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627783,14.536793692509855,95.58823529411765,1610612761,2,2,2022-10-05T23:42:21Z,180000,-228.0,84.0,1,left,MISS P. Siakam 24' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,24.29,Missed,,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2022-10-05T23:42:18.1Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,2,2022-10-05T23:42:35Z,190000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M38.00S,2022-10-05T23:42:23.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627759,80.76544021024968,37.99019607843137,1610612738,4,2,2022-10-05T23:42:32Z,200000,-60.0,128.0,1,right,J. Brown 14' pullup Jump Shot (4 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,14.16,Made,,,,,,,4.0,,,,,,,,,,,
21,PT10M23.00S,2022-10-05T23:42:38.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,13.87976346911958,35.049019607843135,1610612761,4,4,2022-10-05T23:42:43Z,210000,75.0,78.0,1,left,P. Siakam 10' driving floating bank Jump Shot (2 PTS),[1627783],1610612761.0,TOR,driving floating bank,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Right,10.81,Made,,,,,,,2.0,,,,,,,,,,,
22,PT10M06.00S,2022-10-05T23:42:55.4Z,1,REGULAR,3pt,Jump Shot,[],203935,66.17936925098554,26.96078431372549,1610612738,4,4,2022-10-05T23:43:02Z,220000,-115.0,265.0,1,right,MISS M. Smart 28' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,28.93,Missed,,,,,,,,,,,,,,,,,,
23,PT10M04.00S,2022-10-05T23:42:57.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,4,4,2022-10-05T23:43:02Z,230000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT09M58.00S,2022-10-05T23:43:04.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,9.017739816031538,53.92156862745098,1610612761,4,4,2022-10-05T23:43:18Z,240000,-20.0,32.0,1,left,MISS P. Siakam running finger roll Layup,[1627783],1610612761.0,TOR,running finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,3.78,Missed,,,,,,,,,,,,,,,,,,
25,PT09M56.00S,2022-10-05T23:43:06.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,4,2022-10-05T23:43:18Z,250000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,
26,PT09M51.00S,2022-10-05T23:43:11.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201143,70.51576872536137,23.03921568627451,1610612738,4,4,2022-10-05T23:43:26Z,260000,-135.0,225.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2022-10-05T23:43:13.7Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,4,4,2022-10-05T23:43:38Z,270000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M40.00S,2022-10-05T23:43:26.6Z,1,REGULAR,foul,personal,[],1628369,,,1610612761,4,4,2022-10-05T23:43:32Z,280000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 1628384]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2005.0,,,,,,,,1.0,0.0,Anunoby,1628384.0,,
30,PT09M26.00S,2022-10-05T23:43:52.7Z,1,REGULAR,2pt,Jump Shot,[],1628384,20.05584756898817,74.75490196078431,1610612761,4,4,2022-10-05T23:44:00Z,300000,-124.0,136.0,1,left,MISS O. Anunoby 18' turnaround Shot,[1628384],1610612761.0,TOR,turnaround,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Left Center,18.39,Missed,,,,,,,,,,,,,,,,,,
31,PT09M24.00S,2022-10-05T23:43:54.7Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,4,4,2022-10-05T23:44:00Z,310000,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,,,30.0,2.0,1.0,1.0,,,,,,,,,,,,,,
32,PT09M21.00S,2022-10-05T23:43:57.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,27.020367936925098,20.34313725490196,1610612761,4,4,2022-10-05T23:44:03Z,320000,148.0,201.0,1,left,MISS F. VanVleet 25' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,25.02,Missed,,,,,,,,,,,,,,,,,,
33,PT09M19.00S,2022-10-05T23:43:59.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,4,2022-10-05T23:44:03Z,330000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,
34,PT09M13.00S,2022-10-05T23:44:05.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,90.22667542706965,5.392156862745098,1610612738,4,4,2022-10-05T23:44:12Z,340000,-223.0,39.0,1,right,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,22.65,Missed,,,,,,,,,,,,,,,,,,
35,PT09M11.00S,2022-10-05T23:44:07.0Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,4,4,2022-10-05T23:44:12Z,350000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT09M04.00S,2022-10-05T23:44:14.6Z,1,REGULAR,2pt,Jump Shot,[],1630567,13.485545335085414,68.13725490196079,1610612761,4,4,2022-10-05T23:44:23Z,360000,-91.0,74.0,1,left,MISS S. Barnes 11' driving floating bank Shot,[1630567],1610612761.0,TOR,driving floating bank,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,11.72,Missed,,,,,,,,,,,,,,,,,,
37,PT09M02.00S,2022-10-05T23:44:16.6Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,4,4,2022-10-05T23:44:23Z,370000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Left,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M53.00S,2022-10-05T23:44:24.9Z,1,REGULAR,2pt,Jump Shot,[],1627759,94.56307490144546,80.14705882352942,1610612738,4,4,2022-10-05T23:44:29Z,380000,151.0,-1.0,1,right,MISS J. Brown 15' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,15.07,Missed,,,,,,,,,,,,,,,,,,
39,PT08M51.00S,2022-10-05T23:44:26.9Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,4,4,2022-10-05T23:44:29Z,390000,,,0,,F. VanVleet REBOUND (Off:0 Def:2),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Right,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT08M48.00S,2022-10-05T23:44:32.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627832,11.645860709592641,45.588235294117645,1610612761,4,4,2022-10-05T23:44:42Z,400000,22.0,57.0,1,left,MISS F. VanVleet 6' running Layup - blocked,"[1627832, 1628401]",1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,6.11,Missed,,,,,,,,,,,,,,,,,White,1628401.0
41,PT08M48.00S,2022-10-05T23:44:32.6Z,1,REGULAR,block,,[],1628401,,,1610612761,4,4,2022-10-05T23:44:34Z,410000,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M47.00S,2022-10-05T23:44:33.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,4,4,2022-10-05T23:44:42Z,420000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,40.0,,,,,,,,,,,,,,,,,
44,PT08M40.00S,2022-10-05T23:44:57.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627783,11.957950065703022,45.44653799019608,1610612761,4,6,2022-10-05T23:45:05Z,440000,23.0,60.0,1,left,P. Siakam 6' driving Layup (4 PTS),[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,6.41,Made,,,,,,,4.0,,,,,,,,,,,
45,PT08M26.00S,2022-10-05T23:45:13.9Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,4,6,2022-10-05T23:45:20Z,450000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,Mid-Range,16-24 Right Center,,,,,,,1630886.0,1.0,,,,,,,,,,,,
46,PT08M16.00S,2022-10-05T23:45:31.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628384,14.799605781865965,42.8921568627451,1610612761,4,8,2022-10-05T23:45:39Z,460000,36.0,87.0,1,left,O. Anunoby 9' driving Hook (2 PTS) (F. VanVleet 1 AST),"[1628384, 1627832]",1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,9.36,Made,,,,,,,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,
48,PT07M51.00S,2022-10-05T23:45:55.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,93.64323258869908,97.79411764705883,1610612738,4,8,2022-10-05T23:46:00Z,480000,239.0,7.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,23.91,Missed,,,,,,,,,,,,,,,,,,
49,PT07M48.00S,2022-10-05T23:45:58.5Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,4,8,2022-10-05T23:46:00Z,490000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Right Corner 3,24+ Right,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT07M35.00S,2022-10-05T23:46:13.2Z,1,REGULAR,2pt,Jump Shot,[],1627783,13.354139290407357,79.65686274509804,1610612761,4,8,2022-10-05T23:46:22Z,500000,-148.0,73.0,1,left,MISS P. Siakam 16' step back Shot,[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left,16.53,Missed,,,,,,,,,,,,,,,,,,
51,PT07M33.00S,2022-10-05T23:46:15.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,8,2022-10-05T23:46:22Z,510000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT07M24.00S,2022-10-05T23:46:23.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,66.96780551905388,37.254901960784316,1610612738,4,8,2022-10-05T23:46:33Z,520000,-64.0,258.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,26.57,Missed,,,,,,,,,,,,,,,,,,
53,PT07M22.00S,2022-10-05T23:46:25.7Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,4,8,2022-10-05T23:46:33Z,530000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:2),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Center,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,,,
54,PT07M16.00S,2022-10-05T23:46:31.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627832,9.329829172141919,57.866115196078425,1610612761,4,8,2022-10-05T23:46:38Z,540000,-39.0,35.0,1,left,MISS F. VanVleet running Layup,[1627832],1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,5.28,Missed,,,,,,,,,,,,,,,,,,
55,PT07M14.00S,2022-10-05T23:46:33.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,8,2022-10-05T23:46:38Z,550000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,
56,PT07M11.00S,2022-10-05T23:46:37.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628369,93.64323258869908,63.23529411764706,1610612738,4,8,2022-10-05T23:46:59Z,560000,66.0,7.0,1,right,MISS J. Tatum 6' running Layup,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,6.66,Missed,,,,,,,,,,,,,,,,,,
57,PT07M10.00S,2022-10-05T23:46:38.6Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,4,8,2022-10-05T23:46:59Z,570000,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,56.0,3.0,2.0,1.0,,,,,,,,,,,,,,
58,PT07M08.00S,2022-10-05T23:46:40.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'fastbreak']",201143,94.43166885676742,50.0,1610612738,6,8,2022-10-05T23:47:04Z,580000,0.0,0.0,1,right,A. Horford putback Layup (2 PTS),[201143],1610612738.0,BOS,putback,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,0.02,Made,,,,,,,2.0,,,,,,,,,,,
59,PT07M05.00S,2022-10-05T23:46:48.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612761,6,8,2022-10-05T23:47:11Z,590000,,,0,,TEAM delay-of-game VIOLATION,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,201639.0,,,,,,,,,,,,,
60,PT06M50.00S,2022-10-05T23:47:06.2Z,1,REGULAR,3pt,Jump Shot,[],1627783,32.276609724047304,33.82352941176471,1610612761,6,8,2022-10-05T23:49:01Z,600000,81.0,251.0,1,left,MISS P. Siakam 26' pullup 3PT,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,26.36,Missed,,,,,,,,,,,,,,,,,,
61,PT06M48.00S,2022-10-05T23:47:09.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,8,2022-10-05T23:47:09Z,610000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,60.0,3.0,3.0,0.0,,,,,,,,,,,,,,
63,PT06M42.00S,2022-10-05T23:47:21.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,6,8,2022-10-05T23:47:21Z,630000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M33.00S,2022-10-05T23:50:21.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,93.82391590013141,60.31709558823529,1610612738,6,8,2022-10-05T23:50:42Z,640000,52.0,6.0,1,right,MISS A. Horford driving Layup - blocked,"[201143, 1630567]",1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,5.19,Missed,,,,,,,,,,,,,,,,,Barnes,1630567.0
65,PT06M33.00S,2022-10-05T23:50:21.9Z,1,REGULAR,block,,[],1630567,,,1610612738,6,8,2022-10-05T23:50:24Z,650000,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
66,PT06M32.00S,2022-10-05T23:50:22.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,6,8,2022-10-05T23:50:42Z,660000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,64.0,,,,,,,,,,,,,,,,,
68,PT06M26.00S,2022-10-05T23:50:43.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627759,79.71419185282524,61.029411764705884,1610612738,6,8,2022-10-05T23:50:49Z,680000,55.0,138.0,1,right,MISS J. Brown 14' Jump Shot,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,14.88,Missed,,,,,,,,,,,,,,,,,,
69,PT06M24.00S,2022-10-05T23:50:45.0Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,6,8,2022-10-05T23:50:57Z,690000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,68.0,3.0,2.0,1.0,,,,,,,,,,,,,,
70,PT06M24.00S,2022-10-05T23:50:47.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627759,94.40999984741211,50.0,1610612738,8,8,2022-10-05T23:51:01Z,700000,0.0,0.0,1,right,J. Brown tip Layup (6 PTS),[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,6.0,,,,,,,,,,,
71,PT06M08.00S,2022-10-05T23:51:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,17.95335085413929,58.82352941176471,1610612761,8,10,2022-10-05T23:51:08Z,710000,-44.0,116.0,1,left,G. Trent Jr. 12' fadeaway Jump Shot (2 PTS),[1629018],1610612761.0,TOR,fadeaway,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,12.44,Made,,,,,,,2.0,,,,,,,,,,,
72,PT06M00.00S,2022-10-05T23:51:10.6Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612738,8,10,2022-10-05T23:51:18Z,720000,,,0,,P. Siakam shooting personal FOUL (1 PF) (White 2 FT),"[1627783, 1628401]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,201639.0,,,,,,,,1.0,0.0,White,1628401.0,,
74,PT06M00.00S,2022-10-05T23:51:36.4Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,9,10,2022-10-05T23:51:36Z,740000,,,0,,D. White Free Throw 1 of 2 (1 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
75,PT06M00.00S,2022-10-05T23:51:54.7Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,10,10,2022-10-05T23:51:54Z,750000,,,0,,D. White Free Throw 2 of 2 (2 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
76,PT05M45.00S,2022-10-05T23:52:12.0Z,1,REGULAR,2pt,Jump Shot,[],1628384,16.507884362680684,29.411764705882355,1610612761,10,12,2022-10-05T23:52:17Z,760000,103.0,103.0,1,left,O. Anunoby 14' fadeaway Jump Shot (4 PTS) (S. Barnes 1 AST),"[1628384, 1630567]",1610612761.0,TOR,fadeaway,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Right,14.54,Made,,,,,,,4.0,S. Barnes,1630567.0,1.0,,,,,,,,
78,PT05M25.00S,2022-10-05T23:52:31.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,82.86793692509855,94.11764705882352,1610612738,13,12,2022-10-05T23:52:35Z,780000,221.0,109.0,1,right,J. Brown 24' 3PT  (9 PTS) (J. Tatum 2 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,24.58,Made,,,,,,,9.0,J. Tatum,1628369.0,2.0,,,,,,,,
80,PT05M12.00S,2022-10-05T23:52:44.8Z,1,REGULAR,turnover,lost ball,[],1630567,,,1610612761,13,12,2022-10-05T23:52:48Z,800000,,,0,,S. Barnes lost ball TURNOVER (1 TO),"[1630567, 1627759]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,,,,,Brown,1627759.0,,,,,,
