actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-05T23:40:34.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-05T23:40:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-05T23:40:36.5Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2022-10-05T23:40:36Z,40000,,,0,,Jump Ball S. Barnes vs. A. Horford: Tip to F. VanVleet,"[1627832, 1630567, 201143]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Barnes,1630567.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-10-05T23:40:48.7Z,1,REGULAR,2pt,Jump Shot,[],1629018,21.23850197109067,53.18627450980392,1610612761,0,0,2022-10-05T23:40:54Z,70000,-16.0,147.0,1,left,MISS G. Trent Jr. 14' fadeaway Shot,[1629018],1610612761.0,TOR,fadeaway,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,8-16 Center,14.8,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-10-05T23:40:50.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2022-10-05T23:40:54Z,80000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2022-10-05T23:40:57.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.67608409986859,34.31372549019608,1610612738,0,0,2022-10-05T23:41:02Z,90000,-78.0,242.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,25.43,Missed,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2022-10-05T23:40:59.5Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,0,0,2022-10-05T23:41:02Z,100000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M31.00S,2022-10-05T23:41:04.8Z,1,REGULAR,turnover,traveling,[],1627783,,,1610612761,0,0,2022-10-05T23:41:10Z,110000,,,0,,P. Siakam traveling TURNOVER (1 TO),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,,,,,2005.0,1.0,,,,,,,,,,,,
13,PT11M20.00S,2022-10-05T23:41:41.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,90.53876478318003,39.85906862745098,1610612738,2,0,2022-10-05T23:42:01Z,130000,-51.0,36.0,1,right,J. Brown 6' driving Layup (2 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,6.24,Made,,,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,
15,PT11M06.00S,2022-10-05T23:41:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,19.92444152431012,36.27450980392157,1610612761,2,2,2022-10-05T23:42:09Z,150000,69.0,135.0,1,left,S. Barnes 15' turnaround Jump Shot (2 PTS),[1630567],1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,15.13,Made,,,,,,,2.0,,,,,,,,,,,
16,PT10M53.00S,2022-10-05T23:42:09.0Z,1,REGULAR,turnover,bad pass,[],201143,,,1610612738,2,2,2022-10-05T23:42:15Z,160000,,,0,,A. Horford bad pass TURNOVER (1 TO),"[201143, 1629018]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,,,,,Trent Jr.,1629018.0,,,,,,
