actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-05-04T00:02:52.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-04T00:02:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-05-04T00:02:55.2Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612755,0,0,2023-05-04T00:02:55Z,40000,False,,,0,,Jump Ball J. Embiid vs. A. Horford: Tip to T. Harris,"[202699, 203954, 201143]",1610612755.0,PHI,startperiod,T. Harris,202699.0,Harris,T. Harris,Embiid,203954.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-05-04T00:03:13.9Z,1,REGULAR,2pt,Jump Shot,[],202699,6.701708278580814,72.32689950980392,1610612755,0,2,2023-05-04T00:03:19Z,70000,False,-112.0,10.0,1,left,T. Harris 11' pullup Jump Shot (2 PTS) (T. Maxey 1 AST),"[202699, 1630178]",1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,11.21,Made,2.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-05-04T00:03:26.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,68.01905387647832,57.84313725490197,1610612738,3,2,2023-05-04T00:03:32Z,90000,False,39.0,248.0,1,right,J. Brown 25' 3PT  (3 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,25.12,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
11,PT11M10.00S,2023-05-04T00:03:42.1Z,1,REGULAR,3pt,Jump Shot,[],203954,32.276609724047304,46.81372549019608,1610612755,3,2,2023-05-04T00:03:53Z,110000,False,16.0,251.0,1,left,MISS J. Embiid 25' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,25.14,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2023-05-04T00:03:44.1Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,3,2,2023-05-04T00:03:53Z,120000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M02.00S,2023-05-04T00:03:49.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201143,86.94152431011827,4.411764705882353,1610612738,3,2,2023-05-04T00:04:17Z,130000,False,-228.0,70.0,1,right,MISS A. Horford running 3PT,[201143],1610612738.0,BOS,running,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,23.85,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2023-05-04T00:03:50.4Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,3,2,2023-05-04T00:03:59Z,140000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Left Corner 3,24+ Left,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M55.00S,2023-05-04T00:03:56.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,29.25427069645204,83.08823529411765,1610612755,3,5,2023-05-04T00:04:42Z,150000,False,-165.0,222.0,1,left,T. Maxey 27' 3PT running pullup (3 PTS) (J. Harden 1 AST),"[1630178, 201935]",1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,27.72,Made,3.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
17,PT10M37.00S,2023-05-04T00:04:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,91.93495400788436,54.166666666666664,1610612738,3,5,2023-05-04T00:04:21Z,170000,False,21.0,23.0,1,right,MISS D. White driving Layup,[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,3.12,Missed,,,,,,,,,,,,,,,,,,
