actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-02T17:10:45.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-02T17:10:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-10-02T17:10:47.8Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2022-10-02T17:10:47Z,40000,,,0,,Jump Ball M. Plumlee vs. A. Horford: Tip to L. Ball,"[1630163, 203486, 201143]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-10-02T17:11:09.6Z,1,REGULAR,3pt,Jump Shot,[],1626162,68.80749014454665,42.64705882352941,1610612766,0,0,2022-10-02T17:12:13Z,70000,-37.0,241.0,1,right,MISS K. Oubre Jr. 24' pullup 3PT,[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,24.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-10-02T17:11:11.6Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,0,2022-10-02T17:11:15Z,80000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-10-02T17:11:20.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,31.750985545335087,74.75490196078431,1610612738,0,0,2022-10-02T17:11:25Z,90000,-124.0,246.0,1,left,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,27.54,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-10-02T17:11:22.4Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,0,2022-10-02T17:11:25Z,100000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2022-10-02T17:11:28.0Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630163,73.40670170827858,62.745098039215684,1610612766,0,2,2022-10-02T17:13:20Z,110000,64.0,197.0,1,right,L. Ball 20' running pullup Jump Shot (2 PTS),[1630163],1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,Mid-Range,16-24 Right Center,20.75,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M02.00S,2022-10-02T17:11:42.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203935,17.69053876478318,39.950980392156865,1610612738,0,2,2022-10-02T17:11:48Z,120000,50.0,114.0,1,left,MISS M. Smart 12' turnaround Hook,[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,12.44,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-10-02T17:11:44.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,0,2,2022-10-02T17:11:48Z,130000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT10M48.00S,2022-10-02T17:11:56.6Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,0,2,2022-10-02T17:12:00Z,140000,,,0,,J. Tatum lost ball TURNOVER (1 TO),"[1628369, 203486]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,Plumlee,203486.0,,,,,,,,,,
15,PT10M48.00S,2022-10-02T17:11:56.6Z,1,REGULAR,steal,,[],203486,,,1610612766,0,2,2022-10-02T17:17:04Z,150000,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2022-10-02T17:12:01.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630163,69.46452036793693,26.715686274509803,1610612766,0,2,2022-10-02T17:16:27Z,160000,-116.0,235.0,1,right,MISS L. Ball 26' running pullup 3PT,[1630163],1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,26.18,Missed,,,,,,,,,,,,,,,,,,
