actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
17,PT10M41.00S,2022-10-02T17:12:04.0Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,2,2022-10-02T17:12:09Z,170000,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
18,PT10M32.00S,2022-10-02T17:12:12.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,7.966491458607096,49.754901960784316,1610612738,2,2,2022-10-02T17:12:17Z,180000,1.0,22.0,1,left,J. Brown driving DUNK (2 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.24,Made,,,,,2.0,,,,A. Horford,201143.0,1.0,,,,,,,
20,PT10M29.00S,2022-10-02T17:12:17.9Z,1,REGULAR,foul,personal,[],201143,,,1610612766,2,2,2022-10-02T17:12:30Z,200000,,,0,,A. Horford personal FOUL (1 PF),"[201143, 1626162]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,1628482.0,1.0,0.0,Oubre Jr.,1626162.0,,
22,PT10M20.00S,2022-10-02T17:12:44.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,85.23324572930355,56.86274509803921,1610612766,2,4,2022-10-02T17:12:52Z,220000,34.0,86.0,1,right,T. Rozier 9' driving floating Jump Shot (2 PTS),[1626179],1610612766.0,CHA,driving floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,9.29,Made,,,,,2.0,,,,,,,,,,,,,
23,PT09M57.00S,2022-10-02T17:13:07.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,33.722076215505915,57.35294117647059,1610612738,2,4,2022-10-02T17:13:13Z,230000,-37.0,264.0,1,left,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,26.7,Missed,,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2022-10-02T17:13:10.5Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,2,4,2022-10-02T17:13:13Z,240000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M51.00S,2022-10-02T17:13:13.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629023,74.45795006570303,83.33333333333334,1610612766,2,4,2022-10-02T17:20:20Z,250000,167.0,188.0,1,right,MISS P. Washington 25' running pullup 3PT,[1629023],1610612766.0,CHA,running pullup,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.1,Missed,,,,,,,,,,,,,,,,,,
26,PT09M47.00S,2022-10-02T17:13:17.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,2,4,2022-10-02T17:13:22Z,260000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M39.00S,2022-10-02T17:13:25.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,22.815374507227332,42.64705882352941,1610612738,4,4,2022-10-02T17:13:32Z,270000,37.0,162.0,1,left,J. Brown 16' fadeaway Jump Shot (4 PTS) (A. Horford 2 AST),"[1627759, 201143]",1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,16.61,Made,,,,,4.0,,,,A. Horford,201143.0,2.0,,,,,,,
29,PT09M28.00S,2022-10-02T17:13:42.1Z,1,REGULAR,foul,personal,[],203935,,,1610612766,4,4,2022-10-02T17:14:03Z,290000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 203486]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1627961.0,1.0,0.0,Plumlee,203486.0,,
31,PT09M20.00S,2022-10-02T17:14:05.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626162,89.04402102496715,39.705882352941174,1610612766,4,4,2022-10-02T17:21:35Z,310000,-51.0,50.0,1,right,MISS K. Oubre Jr. 7' driving Hook - blocked,"[1626162, 201143]",1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.21,Missed,,,,,,,,,,,,,,,,,Horford,201143.0
32,PT09M20.00S,2022-10-02T17:14:05.3Z,1,REGULAR,block,,[],201143,,,1610612766,4,4,2022-10-02T17:14:07Z,320000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M17.00S,2022-10-02T17:14:08.3Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,4,4,2022-10-02T17:14:17Z,330000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,,31.0,2.0,1.0,1.0,,,,,,,,,,,,,,
34,PT09M15.00S,2022-10-02T17:14:09.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203486,94.56307490144546,46.81372549019608,1610612766,4,6,2022-10-02T17:14:21Z,340000,-16.0,-1.0,1,right,M. Plumlee putback Layup (2 PTS),[203486],1610612766.0,CHA,putback,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,1.6,Made,,,,,2.0,,,,,,,,,,,,,
35,PT09M05.00S,2022-10-02T17:14:19.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,34.90473061760841,50.245098039215684,1610612738,4,6,2022-10-02T17:22:20Z,350000,-1.0,276.0,1,left,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,27.56,Missed,,,,,,,,,,,,,,,,,,
36,PT09M05.00S,2022-10-02T17:14:19.3Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,4,6,2022-10-02T17:14:23Z,360000,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,,
37,PT08M55.00S,2022-10-02T17:14:29.9Z,1,REGULAR,3pt,Jump Shot,[],1626179,87.20433639947439,4.166666666666666,1610612766,4,9,2022-10-02T17:14:34Z,370000,-229.0,68.0,1,right,T. Rozier 3PT fadeaway (5 PTS) (L. Ball 1 AST),"[1626179, 1630163]",1610612766.0,CHA,fadeaway,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,23.9,Made,,,,,5.0,,,,L. Ball,1630163.0,1.0,,,,,,,
39,PT08M36.00S,2022-10-02T17:14:48.9Z,1,REGULAR,3pt,Jump Shot,[],203935,17.16491458607096,4.6568627450980395,1610612738,7,9,2022-10-02T17:14:53Z,390000,227.0,109.0,1,left,M. Smart 25' 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,25.15,Made,,,,,3.0,,,,J. Tatum,1628369.0,1.0,,,,,,,
41,PT08M15.00S,2022-10-02T17:15:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,94.30026281208936,50.49019607843137,1610612766,7,11,2022-10-02T17:15:16Z,410000,2.0,1.0,1,right,M. Plumlee cutting finger roll Layup (4 PTS) (T. Rozier 1 AST),"[203486, 1626179]",1610612766.0,CHA,cutting finger roll,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,0.27,Made,,,,,4.0,,,,T. Rozier,1626179.0,1.0,,,,,,,
43,PT08M08.00S,2022-10-02T17:15:17.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,30.042706964520367,78.92156862745098,1610612738,10,11,2022-10-02T17:23:38Z,430000,-145.0,230.0,1,left,J. Brown 27' 3PT pullup (7 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,27.16,Made,,,,,7.0,,,,M. Smart,203935.0,1.0,,,,,,,
45,PT07M52.00S,2022-10-02T17:15:32.0Z,1,REGULAR,2pt,Jump Shot,[],1630163,81.42247043363994,30.88235294117647,1610612766,10,11,2022-10-02T17:15:43Z,450000,-96.0,122.0,1,right,MISS L. Ball 15' pullup Shot,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Mid-Range,8-16 Left,15.51,Missed,,,,,,,,,,,,,,,,,,
46,PT07M50.00S,2022-10-02T17:15:34.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,10,11,2022-10-02T17:15:43Z,460000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Mid-Range,8-16 Left,,,45.0,,,,,,,,,,,,,,,,,
48,PT07M43.00S,2022-10-02T17:16:12.0Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612766,10,11,2022-10-02T17:16:20Z,480000,,,0,,A. Horford shooting personal FOUL (2 PF) (Oubre Jr. 2 FT),"[201143, 1626162]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1628482.0,2.0,0.0,Oubre Jr.,1626162.0,,
50,PT07M43.00S,2022-10-02T17:16:40.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626162,,,1610612766,10,12,2022-10-02T17:16:40Z,500000,,,0,,K. Oubre Jr. Free Throw 1 of 2 (1 PTS),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
51,PT07M43.00S,2022-10-02T17:16:58.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626162,,,1610612766,10,13,2022-10-02T17:16:58Z,510000,,,0,,K. Oubre Jr. Free Throw 2 of 2 (2 PTS),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
52,PT07M33.00S,2022-10-02T17:17:10.9Z,1,REGULAR,3pt,Jump Shot,[],201143,27.020367936925098,87.74509803921569,1610612738,13,13,2022-10-02T17:17:15Z,520000,-189.0,201.0,1,left,A. Horford 27' 3PT  (3 PTS) (M. Smart 2 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,27.61,Made,,,,,3.0,,,,M. Smart,203935.0,2.0,,,,,,,
54,PT07M19.00S,2022-10-02T17:17:24.1Z,1,REGULAR,2pt,Jump Shot,[],1626179,77.21747700394218,34.55882352941176,1610612766,13,13,2022-10-02T17:17:30Z,540000,-77.0,162.0,1,right,MISS T. Rozier 17' pullup Shot,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Left Center,17.92,Missed,,,,,,,,,,,,,,,,,,
55,PT07M17.00S,2022-10-02T17:17:26.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,13,2022-10-02T17:17:30Z,550000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,,,
56,PT07M17.00S,2022-10-02T17:17:31.4Z,1,REGULAR,foul,personal,['1freethrow'],203486,,,1610612738,13,13,2022-10-02T17:18:43Z,560000,,,0,,M. Plumlee transition take personal FOUL (1 PF) (Brown 1 FT),"[203486, 1627759]",1610612766.0,CHA,transition take,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,1627961.0,1.0,0.0,Brown,1627759.0,,
71,PT07M17.00S,2022-10-02T17:17:57.3Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1627759,,,1610612738,14,13,2022-10-02T17:20:00Z,575000,,,0,,J. Brown transition take Free Throw 1 of 1 (8 PTS),[1627759],1610612738.0,BOS,transition take,,,Brown,J. Brown,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
58,PT07M06.00S,2022-10-02T17:18:23.3Z,1,REGULAR,3pt,Jump Shot,[],1628401,13.091327201051248,4.411764705882353,1610612738,14,13,2022-10-02T17:18:32Z,580000,228.0,71.0,1,left,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,23.86,Missed,,,,,,,,,,,,,,,,,,
59,PT07M03.00S,2022-10-02T17:18:26.3Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,14,13,2022-10-02T17:18:32Z,590000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Right Corner 3,24+ Right,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,,
60,PT06M51.00S,2022-10-02T17:18:38.3Z,1,REGULAR,3pt,Jump Shot,[],1630163,72.35545335085413,17.892156862745097,1610612766,14,13,2022-10-02T17:18:46Z,600000,-161.0,207.0,1,right,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,26.22,Missed,,,,,,,,,,,,,,,,,,
61,PT06M50.00S,2022-10-02T17:18:40.5Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,14,13,2022-10-02T17:18:40Z,610000,,,0,,M. Plumlee REBOUND (Off:2 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Left Center,,,60.0,3.0,1.0,2.0,,,,,,,,,,,,,,
62,PT06M47.00S,2022-10-02T17:18:43.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626162,71.96123521681997,75.49019607843137,1610612766,14,13,2022-10-02T17:18:48Z,620000,127.0,211.0,1,right,MISS K. Oubre Jr. 24' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,24.66,Missed,,,,,,,,,,,,,,,,,,
63,PT06M47.00S,2022-10-02T17:18:43.5Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,14,13,2022-10-02T17:18:48Z,630000,,,0,,D. White REBOUND (Off:0 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,62.0,3.0,3.0,0.0,,,,,,,,,,,,,,
64,PT06M36.00S,2022-10-02T17:18:53.3Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,14,13,2022-10-02T17:18:58Z,640000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1626162]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Oubre Jr.,1626162.0,,,,,,,,,,
65,PT06M36.00S,2022-10-02T17:18:53.3Z,1,REGULAR,steal,,[],1626162,,,1610612766,14,13,2022-10-02T17:18:55Z,650000,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
66,PT06M31.00S,2022-10-02T17:18:58.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626179,71.30420499342969,22.54901960784314,1610612766,14,13,2022-10-02T17:32:27Z,660000,-137.0,217.0,1,right,MISS T. Rozier 25' running 3PT,[1626179],1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,25.7,Missed,,,,,,,,,,,,,,,,,,
67,PT06M31.00S,2022-10-02T17:18:58.1Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,14,13,2022-10-02T17:19:04Z,670000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,66.0,1.0,0.0,1.0,,,,,,,,,,,,,,
68,PT06M31.00S,2022-10-02T17:19:01.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626162,94.95729303547962,48.77450980392157,1610612766,14,15,2022-10-02T17:19:09Z,680000,-6.0,-5.0,1,right,K. Oubre Jr. putback Layup (4 PTS),[1626162],1610612766.0,CHA,putback,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,0.8,Made,,,,,4.0,,,,,,,,,,,,,
69,PT06M31.00S,2022-10-02T17:19:03.4Z,1,REGULAR,foul,personal,['1freethrow'],1627759,,,1610612766,14,15,2022-10-02T17:19:14Z,690000,,,0,,J. Brown shooting personal FOUL (1 PF) (Oubre Jr. 1 FT),"[1627759, 1626162]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1151.0,1.0,0.0,Oubre Jr.,1626162.0,,
72,PT06M31.00S,2022-10-02T17:20:32.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,14,15,2022-10-02T17:20:32Z,710000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M31.00S,2022-10-02T17:22:27.3Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance', 'fastbreak']",1626162,,,1610612766,14,16,2022-10-02T17:22:27Z,720000,,,0,,K. Oubre Jr. Free Throw 1 of 1 (5 PTS),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
74,PT06M15.00S,2022-10-02T17:22:46.8Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612738,14,16,2022-10-02T17:22:58Z,730000,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Tatum 2 FT),"[1626162, 1628369]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1151.0,1.0,0.0,Tatum,1628369.0,,
76,PT06M15.00S,2022-10-02T17:23:20.3Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,15,16,2022-10-02T17:23:20Z,750000,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
77,PT06M15.00S,2022-10-02T17:23:21.4Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,15,16,2022-10-02T17:23:25Z,760000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M15.00S,2022-10-02T17:23:21.4Z,1,REGULAR,substitution,in,[],1627763,,,1610612738,15,16,2022-10-02T17:23:25Z,770000,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M15.00S,2022-10-02T17:23:42.7Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,16,16,2022-10-02T17:23:42Z,780000,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
80,PT06M01.00S,2022-10-02T17:24:00.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203935,,,1610612766,16,16,2022-10-02T17:24:07Z,790000,,,0,,M. Smart shooting personal FOUL (2 PF) (Plumlee 2 FT),"[203935, 203486]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1151.0,2.0,0.0,Plumlee,203486.0,,
82,PT06M01.00S,2022-10-02T17:24:22.5Z,1,REGULAR,freethrow,1 of 2,[],203486,,,1610612766,16,16,2022-10-02T17:24:22Z,810000,,,0,,MISS M. Plumlee Free Throw 1 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
83,PT06M01.00S,2022-10-02T17:24:22.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,16,16,2022-10-02T17:24:22Z,820000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,
84,PT06M01.00S,2022-10-02T17:24:23.4Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,16,16,2022-10-02T17:24:27Z,830000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M01.00S,2022-10-02T17:24:23.4Z,1,REGULAR,substitution,in,[],1630547,,,1610612766,16,16,2022-10-02T17:24:27Z,840000,,,0,,SUB in: J. Bouknight,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M01.00S,2022-10-02T17:24:42.5Z,1,REGULAR,freethrow,2 of 2,[],203486,,,1610612766,16,16,2022-10-02T17:24:42Z,850000,,,0,,MISS M. Plumlee Free Throw 2 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
