actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
249,PT07M30.00S,2023-05-14T20:30:39.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],201143,67.09921156373193,39.46078431372549,1610612738,33,35,2023-05-14T20:33:08Z,2360000,False,-53.0,257.0,1,right,MISS A. Horford 26' running 3PT,[201143],1610612738.0,BOS,running,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,26.22,Missed,,,,,,,,,,,,,,,,,,
250,PT07M29.00S,2023-05-14T20:30:40.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,33,35,2023-05-14T20:30:55Z,2370000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,,,249.0,,,,,,,,,,,,,,,,,
252,PT07M28.00S,2023-05-14T20:30:56.9Z,2,REGULAR,foul,personal,[],200782,,,1610612738,33,35,2023-05-14T20:31:18Z,2390000,False,,,0,,P. Tucker loose ball personal FOUL (1 PF),"[200782, 1629057]",1610612755.0,PHI,loose ball,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1162.0,1.0,0.0,Williams III,1629057.0,,
254,PT07M19.00S,2023-05-14T20:31:15.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,92.32917214191852,54.90196078431373,1610612738,33,35,2023-05-14T20:34:16Z,2410000,False,25.0,20.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,3.14,Missed,,,,,,,,,,,,,,,,,,
255,PT07M18.00S,2023-05-14T20:31:16.5Z,2,REGULAR,rebound,defensive,[],201935,,,1610612755,33,35,2023-05-14T20:31:26Z,2420000,False,,,0,,J. Harden REBOUND (Off:0 Def:4),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,254.0,4.0,4.0,0.0,,,,,,,,,,,,,,
256,PT06M59.00S,2023-05-14T20:31:34.5Z,2,REGULAR,3pt,Jump Shot,[],202699,27.283180026281208,16.666666666666664,1610612755,33,35,2023-05-14T20:31:45Z,2430000,False,167.0,204.0,1,left,MISS T. Harris 26' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,26.34,Missed,,,,,,,,,,,,,,,,,,
257,PT06M55.00S,2023-05-14T20:31:38.5Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,33,35,2023-05-14T20:31:45Z,2440000,False,,,0,,J. Brown REBOUND (Off:1 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,256.0,4.0,3.0,1.0,,,,,,,,,,,,,,
260,PT06M50.00S,2023-05-14T20:34:24.1Z,2,REGULAR,foul,technical,[],1627777,,,1610612738,33,35,2023-05-14T20:34:36Z,2460000,False,,,0,,G. Niang double technical FOUL (1 Tech),[1627777],1610612755.0,PHI,double,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,1162.0,0.0,1.0,,,,
261,PT06M50.00S,2023-05-14T20:34:24.1Z,2,REGULAR,foul,technical,[],1627759,,,1610612738,33,35,2023-05-14T20:34:32Z,2470000,False,,,0,,J. Brown double technical FOUL (1 Tech),[1627759],1610612738.0,BOS,double,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1162.0,1.0,1.0,,,,
262,PT06M40.00S,2023-05-14T20:35:04.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,93.51182654402102,44.36274509803921,1610612738,35,35,2023-05-14T20:35:07Z,2480000,False,-28.0,8.0,1,right,R. Williams III cutting Layup (6 PTS) (J. Tatum 3 AST),"[1629057, 1628369]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,2.95,Made,,,,,,,,6.0,J. Tatum,1628369.0,3.0,,,,,,,
