actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
310,PT01M32.00S,2023-05-14T20:43:31.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,83.65637319316689,53.18627450980392,1610612738,50,49,2023-05-14T20:43:36Z,2950000,False,16.0,101.0,1,right,J. Tatum 10' driving floating Jump Shot (22 PTS),[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,10.23,Made,,,,,,,,22.0,,,,,,,,,,
311,PT01M18.00S,2023-05-14T20:43:47.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203954,5.338370565045992,54.90196078431373,1610612755,50,51,2023-05-14T20:44:03Z,2960000,False,-25.0,-2.0,1,left,J. Embiid driving Layup (12 PTS),[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,2.46,Made,,,,,,,,12.0,,,,,,,,,,
312,PT01M18.00S,2023-05-14T20:43:57.8Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",203935,,,1610612755,50,51,2023-05-14T20:44:05Z,2970000,False,,,0,,M. Smart shooting personal FOUL (1 PF) (Embiid 1 FT),"[203935, 203954]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2715.0,1.0,0.0,Embiid,203954.0,,
314,PT01M18.00S,2023-05-14T20:44:43.4Z,2,REGULAR,freethrow,1 of 1,[],203954,,,1610612755,50,52,2023-05-14T20:44:43Z,2990000,False,,,0,,J. Embiid Free Throw 1 of 1 (13 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,13.0,,,,,,,,,,
315,PT01M04.00S,2023-05-14T20:44:59.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,82.47371879106439,55.14705882352941,1610612738,52,52,2023-05-14T20:45:03Z,3000000,False,26.0,112.0,1,right,M. Smart 11' pullup Jump Shot (5 PTS) (J. Tatum 4 AST),"[203935, 1628369]",1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,11.51,Made,,,,,,,,5.0,J. Tatum,1628369.0,4.0,,,,,,,
317,PT00M44.20S,2023-05-14T20:45:19.9Z,2,REGULAR,turnover,lost ball,[],203954,,,1610612755,52,52,2023-05-14T20:45:23Z,3020000,False,,,0,,J. Embiid lost ball TURNOVER (2 TO),"[203954, 1627759]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,,,,,,,2.0,Brown,1627759.0,,,,,,,,,,,
318,PT00M44.20S,2023-05-14T20:45:19.9Z,2,REGULAR,steal,,[],1627759,,,1610612738,52,52,2023-05-14T20:45:21Z,3030000,False,,,0,,J. Brown STEAL (2 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
319,PT00M32.30S,2023-05-14T20:45:31.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,72.22404730617609,18.627450980392158,1610612738,55,52,2023-05-14T20:45:36Z,3040000,False,-157.0,209.0,1,right,J. Tatum 26' 3PT step back (25 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.1,Made,,,,,,,,25.0,,,,,,,,,,
320,PT00M12.00S,2023-05-14T20:45:54.8Z,2,REGULAR,3pt,Jump Shot,[],201935,22.421156373193167,9.313725490196079,1610612755,55,52,2023-05-14T20:47:14Z,3050000,False,203.0,158.0,1,left,MISS J. Harden 25' pullup 3PT,[201935],1610612755.0,PHI,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,25.77,Missed,,,,,,,,,,,,,,,,,,
321,PT00M09.70S,2023-05-14T20:45:59.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,55,52,2023-05-14T20:45:59Z,3060000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Right Center,,,320.0,,,,,,,,,,,,,,,,,
323,PT00M09.70S,2023-05-14T20:46:04.2Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,55,52,2023-05-14T20:46:17Z,3080000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT00M09.70S,2023-05-14T20:46:04.2Z,2,REGULAR,substitution,out,[],1630178,,,1610612738,55,52,2023-05-14T20:46:17Z,3090000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT00M09.70S,2023-05-14T20:46:04.2Z,2,REGULAR,substitution,in,[],1628401,,,1610612738,55,52,2023-05-14T20:46:17Z,3100000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT00M09.70S,2023-05-14T20:46:04.2Z,2,REGULAR,substitution,in,[],200782,,,1610612738,55,52,2023-05-14T20:46:17Z,3110000,False,,,0,,SUB in: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT00M02.80S,2023-05-14T20:46:31.5Z,2,REGULAR,3pt,Jump Shot,[],1628369,65.25952693823915,59.31372549019608,1610612738,55,52,2023-05-14T20:48:19Z,3120000,False,47.0,274.0,1,right,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,27.8,Missed,,,,,,,,,,,,,,,,,,
328,PT00M02.80S,2023-05-14T20:46:31.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,55,52,2023-05-14T20:46:41Z,3130000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,,,327.0,,,,,,,,,,,,,,,,,
329,PT00M00.00S,2023-05-14T20:46:42.4Z,2,REGULAR,period,end,[],0,,,1610612738,55,52,2023-05-14T20:46:42Z,3140000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT12M00.00S,2023-05-14T21:02:04.8Z,3,REGULAR,substitution,out,['startperiod'],1627763,,,1610612738,55,52,2023-05-14T21:02:26Z,3150000,False,,,0,,SUB out: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
331,PT12M00.00S,2023-05-14T21:02:04.8Z,3,REGULAR,substitution,out,['startperiod'],1628401,,,1610612738,55,52,2023-05-14T21:02:26Z,3160000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
332,PT12M00.00S,2023-05-14T21:02:04.8Z,3,REGULAR,substitution,out,['startperiod'],1629001,,,1610612738,55,52,2023-05-14T21:02:26Z,3170000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
333,PT12M00.00S,2023-05-14T21:02:04.8Z,3,REGULAR,substitution,in,['startperiod'],201143,,,1610612738,55,52,2023-05-14T21:02:26Z,3180000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
334,PT12M00.00S,2023-05-14T21:02:04.8Z,3,REGULAR,substitution,in,['startperiod'],1629057,,,1610612738,55,52,2023-05-14T21:02:26Z,3190000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
335,PT12M00.00S,2023-05-14T21:02:04.8Z,3,REGULAR,substitution,in,['startperiod'],1630178,,,1610612738,55,52,2023-05-14T21:02:26Z,3200000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
336,PT12M00.00S,2023-05-14T21:02:50.5Z,3,REGULAR,period,start,[],0,,,1610612755,55,52,2023-05-14T21:02:50Z,3210000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,PT11M37.00S,2023-05-14T21:03:13.0Z,3,REGULAR,3pt,Jump Shot,[],202699,81.553876478318,95.09803921568627,1610612755,55,55,2023-05-14T21:03:16Z,3220000,False,225.0,121.0,1,right,T. Harris 25' 3PT  (11 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,25.59,Made,,,,,,,,11.0,J. Embiid,203954.0,1.0,,,,,,,
339,PT11M12.00S,2023-05-14T21:03:37.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,13.61695137976347,36.029411764705884,1610612738,57,55,2023-05-14T21:03:42Z,3240000,False,70.0,75.0,1,left,M. Smart 10' turnaround fadeaway Jump Shot (7 PTS),[203935],1610612738.0,BOS,turnaround fadeaway,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Right,10.29,Made,,,,,,,,7.0,,,,,,,,,,
340,PT10M54.00S,2023-05-14T21:03:58.9Z,3,REGULAR,foul,offensive,[],202699,,,1610612755,57,55,2023-05-14T21:04:21Z,3250000,False,,,0,,T. Harris offensive FOUL (2 PF),"[202699, 1628369]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,1162.0,2.0,0.0,Tatum,1628369.0,,
342,PT10M54.00S,2023-05-14T21:03:58.9Z,3,REGULAR,turnover,offensive foul,[],202699,,,1610612755,57,55,2023-05-14T21:04:21Z,3270000,False,,,0,,T. Harris offensive foul TURNOVER (1 TO),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,,,,,,,1162.0,,,,,,
343,PT10M35.00S,2023-05-14T21:04:28.1Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,19.136005256241788,29.411764705882355,1610612738,57,55,2023-05-14T21:04:34Z,3280000,False,103.0,127.0,1,left,MISS J. Brown 16' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,16.38,Missed,,,,,,,,,,,,,,,,,,
344,PT10M34.00S,2023-05-14T21:04:29.1Z,3,REGULAR,rebound,defensive,[],203954,,,1610612755,57,55,2023-05-14T21:04:34Z,3290000,False,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Right Center,,,343.0,2.0,2.0,0.0,,,,,,,,,,,,,,
345,PT10M15.00S,2023-05-14T21:04:48.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,82.07950065703022,53.431372549019606,1610612755,57,55,2023-05-14T21:05:37Z,3300000,False,17.0,116.0,1,right,MISS J. Embiid 11' pullup Shot - blocked,"[203954, 201143]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,11.73,Missed,,,,,,,,,,,,,,,,,Horford,201143.0
346,PT10M15.00S,2023-05-14T21:04:48.8Z,3,REGULAR,block,,[],201143,,,1610612755,57,55,2023-05-14T21:04:56Z,3310000,False,,,0,,A. Horford BLOCK (2 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
347,PT10M14.00S,2023-05-14T21:04:49.8Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612755,57,55,2023-05-14T21:05:37Z,3320000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,345.0,,,,,,,,,,,,,,,,,
348,PT10M14.00S,2023-05-14T21:04:48.9Z,3,REGULAR,turnover,offensive-kicked-ball,[],203954,,,1610612755,57,55,2023-05-14T21:05:22Z,3330000,False,,,0,,J. Embiid offensive-kicked-ball TURNOVER (3 TO),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,3.0,,,,,,,,,,,,,
349,PT09M50.00S,2023-05-14T21:05:28.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,5.469776609724048,53.18627450980392,1610612738,59,55,2023-05-14T21:05:31Z,3340000,False,-16.0,-1.0,1,left,J. Tatum driving Layup (27 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,,,,27.0,,,,,,,,,,
350,PT09M29.00S,2023-05-14T21:05:48.5Z,3,REGULAR,3pt,Jump Shot,[],200782,91.5407358738502,2.450980392156863,1610612755,59,55,2023-05-14T21:05:54Z,3350000,False,-238.0,27.0,1,right,MISS P. Tucker 3PT,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,23.92,Missed,,,,,,,,,,,,,,,,,,
351,PT09M28.00S,2023-05-14T21:05:49.5Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612738,59,55,2023-05-14T21:05:54Z,3360000,False,,,0,,R. Williams III REBOUND (Off:2 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Left Corner 3,24+ Left,,,350.0,5.0,3.0,2.0,,,,,,,,,,,,,,
352,PT09M09.00S,2023-05-14T21:06:08.7Z,3,REGULAR,3pt,Jump Shot,[],1628369,4.681340341655716,95.83333333333334,1610612738,62,55,2023-05-14T21:06:12Z,3370000,False,-229.0,-8.0,1,left,J. Tatum 3PT step back (30 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,22.94,Made,,,,,,,,30.0,,,,,,,,,,
353,PT09M09.00S,2023-05-14T21:06:15.3Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,62,55,2023-05-14T21:06:15Z,3380000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,PT08M50.00S,2023-05-14T21:10:09.5Z,3,REGULAR,3pt,Jump Shot,[],202699,91.80354796320631,1.9607843137254901,1610612755,62,55,2023-05-14T21:10:20Z,3390000,False,-240.0,25.0,1,right,MISS T. Harris 24' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,24.14,Missed,,,,,,,,,,,,,,,,,,
355,PT08M47.00S,2023-05-14T21:10:12.5Z,3,REGULAR,rebound,defensive,[],203935,,,1610612738,62,55,2023-05-14T21:10:20Z,3400000,False,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,,,354.0,3.0,3.0,0.0,,,,,,,,,,,,,,
356,PT08M26.00S,2023-05-14T21:10:33.6Z,3,REGULAR,3pt,Jump Shot,[],1628369,31.882391590013142,49.754901960784316,1610612738,65,55,2023-05-14T21:10:38Z,3410000,False,1.0,247.0,1,left,J. Tatum 24' 3PT step back (33 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,24.72,Made,,,,,,,,33.0,,,,,,,,,,
357,PT08M02.00S,2023-05-14T21:10:57.4Z,3,REGULAR,3pt,Jump Shot,[],201935,68.9388961892247,25.98039215686275,1610612755,65,58,2023-05-14T21:11:01Z,3420000,False,-120.0,239.0,1,right,J. Harden 26' 3PT step back (9 PTS),[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,26.79,Made,,,,,,,,9.0,,,,,,,,,,
358,PT07M50.00S,2023-05-14T21:11:12.7Z,3,REGULAR,foul,personal,['2freethrow'],203954,,,1610612738,65,58,2023-05-14T21:11:22Z,3430000,False,,,0,,J. Embiid shooting personal FOUL (2 PF) (Tatum 2 FT),"[203954, 1628369]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,1162.0,2.0,0.0,Tatum,1628369.0,,
360,PT07M50.00S,2023-05-14T21:11:36.5Z,3,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,66,58,2023-05-14T21:11:36Z,3450000,False,,,0,,J. Tatum Free Throw 1 of 2 (34 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,34.0,,,,,,,,,,
361,PT07M50.00S,2023-05-14T21:11:37.6Z,3,REGULAR,substitution,out,[],1629057,,,1610612738,66,58,2023-05-14T21:11:48Z,3460000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
362,PT07M50.00S,2023-05-14T21:11:37.6Z,3,REGULAR,substitution,out,[],200782,,,1610612738,66,58,2023-05-14T21:11:48Z,3470000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
364,PT07M50.00S,2023-05-14T21:11:37.6Z,3,REGULAR,substitution,in,[],1629001,,,1610612738,66,58,2023-05-14T21:11:48Z,3490000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
366,PT07M50.00S,2023-05-14T21:11:37.6Z,3,REGULAR,substitution,in,[],1627763,,,1610612738,66,58,2023-05-14T21:12:12Z,3495000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
365,PT07M50.00S,2023-05-14T21:11:59.9Z,3,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,67,58,2023-05-14T21:11:59Z,3500000,False,,,0,,J. Tatum Free Throw 2 of 2 (35 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,35.0,,,,,,,,,,
367,PT07M25.00S,2023-05-14T21:12:28.0Z,3,REGULAR,3pt,Jump Shot,[],203954,66.96780551905388,12.745098039215685,1610612755,67,58,2023-05-14T21:12:36Z,3510000,False,-186.0,258.0,1,right,MISS J. Embiid 31' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,31.82,Missed,,,,,,,,,,,,,,,,,,
368,PT07M25.00S,2023-05-14T21:12:28.0Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612755,67,58,2023-05-14T21:12:36Z,3520000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,367.0,,,,,,,,,,,,,,,,,
374,PT07M25.00S,2023-05-14T21:12:45.2Z,3,REGULAR,turnover,shot clock,['team'],0,,,1610612755,67,58,2023-05-14T21:13:17Z,3530000,False,,,0,,PHI shot clock Team TURNOVER,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,1662.0,,,,,,
370,PT07M08.00S,2023-05-14T21:13:02.5Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,18.610381077529567,42.40196078431372,1610612738,67,58,2023-05-14T21:13:53Z,3540000,False,38.0,122.0,1,left,MISS J. Brown 12' turnaround Shot,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,12.82,Missed,,,,,,,,,,,,,,,,,,
371,PT07M05.00S,2023-05-14T21:13:05.1Z,3,REGULAR,rebound,defensive,[],201935,,,1610612755,67,58,2023-05-14T21:13:05Z,3550000,False,,,0,,J. Harden REBOUND (Off:1 Def:5),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,,,370.0,6.0,5.0,1.0,,,,,,,,,,,,,,
372,PT06M57.00S,2023-05-14T21:13:13.3Z,3,REGULAR,3pt,Jump Shot,[],202699,92.32917214191852,2.941176470588235,1610612755,67,58,2023-05-14T21:13:23Z,3560000,False,-235.0,20.0,1,right,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,23.61,Missed,,,,,,,,,,,,,,,,,,
373,PT06M54.00S,2023-05-14T21:13:16.3Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,67,58,2023-05-14T21:13:23Z,3570000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,,,372.0,2.0,2.0,0.0,,,,,,,,,,,,,,
375,PT06M46.00S,2023-05-14T21:13:24.7Z,3,REGULAR,3pt,Jump Shot,[],1627759,26.888961892247043,14.950980392156863,1610612738,70,58,2023-05-14T21:13:30Z,3580000,False,175.0,200.0,1,left,J. Brown 26' 3PT  (16 PTS) (A. Horford 2 AST),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,26.61,Made,,,,,,,,16.0,A. Horford,201143.0,2.0,,,,,,,
377,PT06M26.00S,2023-05-14T21:13:44.2Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,83.26215505913272,62.745098039215684,1610612755,70,58,2023-05-14T21:14:07Z,3600000,False,64.0,105.0,1,right,MISS J. Embiid 12' turnaround Shot - blocked,"[203954, 201143]",1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Right,12.26,Missed,,,,,,,,,,,,,,,,,Horford,201143.0
380,PT06M26.00S,2023-05-14T21:13:44.2Z,3,REGULAR,block,,[],201143,,,1610612755,70,58,2023-05-14T21:14:07Z,3605000,False,,,0,,A. Horford BLOCK (3 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
378,PT06M24.00S,2023-05-14T21:13:46.2Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,70,58,2023-05-14T21:14:07Z,3610000,False,,,0,,J. Brown REBOUND (Off:1 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Right,,,377.0,5.0,4.0,1.0,,,,,,,,,,,,,,
381,PT06M15.00S,2023-05-14T21:14:09.2Z,3,REGULAR,3pt,Jump Shot,[],1628369,30.042706964520367,68.38235294117648,1610612738,73,58,2023-05-14T21:14:14Z,3630000,False,-92.0,230.0,1,left,J. Tatum 24' 3PT pullup (38 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,24.76,Made,,,,,,,,38.0,,,,,,,,,,
382,PT06M14.00S,2023-05-14T21:14:15.2Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,73,58,2023-05-14T21:14:15Z,3640000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,PT06M08.00S,2023-05-14T21:17:58.6Z,3,REGULAR,turnover,bad pass,[],201935,,,1610612755,73,58,2023-05-14T21:18:03Z,3650000,False,,,0,,J. Harden bad pass TURNOVER (4 TO),"[201935, 201143]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,4.0,Horford,201143.0,,,,,,,,,,,
384,PT06M08.00S,2023-05-14T21:17:58.6Z,3,REGULAR,steal,,[],201143,,,1610612738,73,58,2023-05-14T21:18:01Z,3660000,False,,,0,,A. Horford STEAL (2 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
385,PT05M56.00S,2023-05-14T21:18:10.6Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],201143,5.995400788436268,96.07843137254902,1610612738,73,58,2023-05-14T21:18:20Z,3670000,False,-230.0,4.0,1,left,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,23.04,Missed,,,,,,,,,,,,,,,,,,
386,PT05M54.00S,2023-05-14T21:18:12.6Z,3,REGULAR,rebound,defensive,[],203954,,,1610612755,73,58,2023-05-14T21:18:20Z,3680000,False,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Left Corner 3,24+ Left,,,385.0,3.0,3.0,0.0,,,,,,,,,,,,,,
387,PT05M41.00S,2023-05-14T21:18:24.9Z,3,REGULAR,3pt,Jump Shot,[],1629001,94.43166885676742,94.36274509803921,1610612755,73,58,2023-05-14T21:19:13Z,3690000,False,222.0,0.0,1,right,MISS D. Melton step back 3PT,[1629001],1610612755.0,PHI,step back,,,Melton,D. Melton,,,,,Right Corner 3,24+ Right,22.18,Missed,,,,,,,,,,,,,,,,,,
388,PT05M39.00S,2023-05-14T21:18:26.9Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,73,58,2023-05-14T21:18:28Z,3700000,False,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Right Corner 3,24+ Right,,,387.0,3.0,3.0,0.0,,,,,,,,,,,,,,
389,PT05M18.00S,2023-05-14T21:18:49.0Z,3,REGULAR,3pt,Jump Shot,[],1627759,31.225361366622867,60.5392156862745,1610612738,76,58,2023-05-14T21:18:55Z,3710000,False,-53.0,241.0,1,left,J. Brown 24' 3PT  (19 PTS) (A. Horford 3 AST),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,24.67,Made,,,,,,,,19.0,A. Horford,201143.0,3.0,,,,,,,
391,PT04M59.00S,2023-05-14T21:19:12.1Z,3,REGULAR,foul,personal,[],1627763,,,1610612755,76,58,2023-05-14T21:19:20Z,3730000,False,,,0,,M. Brogdon personal FOUL (2 PF),"[1627763, 201935]",1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1162.0,2.0,0.0,Harden,201935.0,,
393,PT04M59.00S,2023-05-14T21:19:20.1Z,3,REGULAR,substitution,out,[],203935,,,1610612755,76,58,2023-05-14T21:19:35Z,3750000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
394,PT04M59.00S,2023-05-14T21:19:20.1Z,3,REGULAR,substitution,out,[],202699,,,1610612755,76,58,2023-05-14T21:19:35Z,3760000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
