actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
21,PT09M28.00S,2023-05-01T23:36:20.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201935,20.844283837056505,38.72549019607843,1610612755,6,6,2023-05-01T23:36:25Z,210000,False,56.0,143.0,1,left,J. Harden 15' step back Jump Shot (4 PTS),[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Mid-Range,8-16 Center,15.41,Made,4.0,,,,,,,,,,,,,,,,,
22,PT09M10.00S,2023-05-01T23:36:38.7Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,6,6,2023-05-01T23:36:43Z,220000,False,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 200782]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,1.0,Tucker,200782.0,,,,
23,PT09M10.00S,2023-05-01T23:36:38.7Z,1,REGULAR,steal,,[],200782,,,1610612755,6,6,2023-05-01T23:42:00Z,230000,False,,,0,,P. Tucker STEAL (1 STL),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
24,PT09M06.00S,2023-05-01T23:36:42.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,11.251642575558476,46.81372549019608,1610612755,6,8,2023-05-01T23:36:49Z,240000,False,16.0,53.0,1,left,T. Harris running alley-oop DUNK (4 PTS) (P. Reed 1 AST),"[202699, 1630194]",1610612755.0,PHI,running alley-oop,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,5.56,Made,4.0,P. Reed,1630194.0,1.0,,,,,,,,,,,,,,
26,PT08M49.00S,2023-05-01T23:36:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,91.27792378449409,37.5,1610612738,6,8,2023-05-01T23:37:09Z,260000,False,-62.0,29.0,1,right,MISS J. Tatum 6' driving floating Shot - blocked,"[1628369, 1630194]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,6.91,Missed,,,,,,,,,Reed,1630194.0,,,,,,,,
30,PT08M49.00S,2023-05-01T23:36:59.2Z,1,REGULAR,block,,[],1630194,,,1610612738,6,8,2023-05-01T23:37:09Z,265000,False,,,0,,P. Reed BLOCK (1 BLK),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT08M48.00S,2023-05-01T23:37:00.2Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,6,8,2023-05-01T23:37:09Z,270000,False,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,26.0,2.0,1.0,1.0,,,,,,,,,,
28,PT08M46.00S,2023-05-01T23:37:02.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,80.1084099868594,7.107843137254902,1610612738,9,8,2023-05-01T23:37:11Z,280000,False,-214.0,134.0,1,right,J. Brown 25' 3PT  (3 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.32,Made,3.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
31,PT08M33.00S,2023-05-01T23:37:15.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,17.95335085413929,64.4607843137255,1610612755,9,10,2023-05-01T23:41:02Z,300000,False,-72.0,116.0,1,left,J. Harden 13' turnaround fadeaway Jump Shot (6 PTS),[201935],1610612755.0,PHI,turnaround fadeaway,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Left,13.69,Made,6.0,,,,,,,,,,,,,,,,,
32,PT08M24.00S,2023-05-01T23:37:24.9Z,1,REGULAR,turnover,out-of-bounds,[],201143,,,1610612738,9,10,2023-05-01T23:37:39Z,310000,False,,,0,,A. Horford bad pass out-of-bounds TURNOVER (1 TO),[201143],1610612738.0,BOS,bad pass,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2714.0,1.0,,,,,,
33,PT08M13.00S,2023-05-01T23:37:43.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201935,23.47240473061761,9.068627450980392,1610612755,9,13,2023-05-01T23:37:50Z,320000,False,205.0,168.0,1,left,J. Harden 26' 3PT step back (9 PTS),[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,26.49,Made,9.0,,,,,,,,,,,,,,,,,
34,PT08M02.00S,2023-05-01T23:37:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,91.01511169513797,49.26470588235294,1610612738,11,13,2023-05-01T23:37:59Z,330000,False,-4.0,32.0,1,right,D. White driving Layup (2 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,3.22,Made,2.0,,,,,,,,,,,,,,,,,
35,PT07M41.00S,2023-05-01T23:38:15.5Z,1,REGULAR,3pt,Jump Shot,[],201935,28.728646517739815,13.725490196078432,1610612755,11,16,2023-05-01T23:38:20Z,340000,False,181.0,218.0,1,left,J. Harden 28' 3PT pullup (12 PTS),[201935],1610612755.0,PHI,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,28.32,Made,12.0,,,,,,,,,,,,,,,,,
36,PT07M20.00S,2023-05-01T23:38:37.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.32917214191852,54.166666666666664,1610612738,13,16,2023-05-01T23:38:40Z,350000,False,21.0,20.0,1,right,J. Brown driving Layup (5 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.86,Made,5.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
38,PT07M11.00S,2023-05-01T23:38:45.3Z,1,REGULAR,3pt,Jump Shot,[],1630178,31.61957950065703,30.14705882352941,1610612755,13,19,2023-05-01T23:38:49Z,370000,False,99.0,245.0,1,left,T. Maxey 26' 3PT pullup (3 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.41,Made,3.0,,,,,,,,,,,,,,,,,
39,PT06M58.00S,2023-05-01T23:39:01.1Z,1,REGULAR,foul,personal,[],1630194,,,1610612738,13,19,2023-05-01T23:39:14Z,380000,False,,,0,,P. Reed personal FOUL (1 PF),"[1630194, 1627759]",1610612755.0,PHI,,,,Reed,P. Reed,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,2004.0,,,,1.0,0.0,Brown,1627759.0
41,PT06M58.00S,2023-05-01T23:39:16.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,13,19,2023-05-01T23:39:16Z,400000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT06M58.00S,2023-05-01T23:42:08.4Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,13,19,2023-05-01T23:42:37Z,410000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT06M58.00S,2023-05-01T23:42:08.4Z,1,REGULAR,substitution,in,[],1627763,,,1610612738,13,19,2023-05-01T23:42:37Z,420000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT06M49.00S,2023-05-01T23:42:55.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.17279894875165,78.92156862745098,1610612738,16,19,2023-05-01T23:44:28Z,430000,False,145.0,218.0,1,right,J. Brown 26' 3PT pullup (8 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,26.2,Made,8.0,,,,,,,,,,,,,,,,,
45,PT06M22.00S,2023-05-01T23:43:22.1Z,1,REGULAR,2pt,Jump Shot,[],1630178,23.99802890932983,64.95098039215686,1610612755,16,19,2023-05-01T23:43:28Z,440000,False,-75.0,173.0,1,left,MISS T. Maxey 18' fadeaway Shot,[1630178],1610612755.0,PHI,fadeaway,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Left Center,18.86,Missed,,,,,,,,,,,,,,,,,,
46,PT06M21.00S,2023-05-01T23:43:23.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,16,19,2023-05-01T23:43:28Z,450000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,
47,PT06M06.00S,2023-05-01T23:43:38.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.51182654402102,53.431372549019606,1610612738,18,19,2023-05-01T23:43:42Z,460000,False,17.0,8.0,1,right,J. Tatum driving Layup (6 PTS) (M. Brogdon 1 AST),"[1628369, 1627763]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.92,Made,6.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,,,
49,PT05M46.00S,2023-05-01T23:43:58.4Z,1,REGULAR,3pt,Jump Shot,[],201935,25.443495400788436,9.558823529411764,1610612755,18,19,2023-05-01T23:45:02Z,480000,False,202.0,187.0,1,left,MISS J. Harden 27' pullup 3PT,[201935],1610612755.0,PHI,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,27.52,Missed,,,,,,,,,,,,,,,,,,
50,PT05M45.00S,2023-05-01T23:43:59.4Z,1,REGULAR,rebound,offensive,[],200782,,,1610612755,18,19,2023-05-01T23:44:03Z,490000,False,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Right Center,,,,,,,49.0,1.0,0.0,1.0,,,,,,,,,,
51,PT05M43.00S,2023-05-01T23:44:02.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202699,32.40801576872536,68.38235294117648,1610612755,18,19,2023-05-01T23:44:07Z,500000,False,-92.0,252.0,1,left,MISS T. Harris 26' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,26.83,Missed,,,,,,,,,,,,,,,,,,
52,PT05M42.00S,2023-05-01T23:44:03.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,18,19,2023-05-01T23:44:07Z,510000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,
53,PT05M34.00S,2023-05-01T23:44:10.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,92.72339027595268,54.90196078431373,1610612738,20,19,2023-05-01T23:44:16Z,520000,False,25.0,16.0,1,right,J. Brown running Layup (10 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.92,Made,10.0,,,,,,,,,,,,,,,,,
54,PT05M34.00S,2023-05-01T23:44:18.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,20,19,2023-05-01T23:44:18Z,530000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT05M34.00S,2023-05-01T23:47:18.7Z,1,REGULAR,substitution,out,[],201143,,,1610612755,20,19,2023-05-01T23:47:40Z,540000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT05M34.00S,2023-05-01T23:47:18.7Z,1,REGULAR,substitution,out,[],1630178,,,1610612755,20,19,2023-05-01T23:47:40Z,550000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT05M34.00S,2023-05-01T23:47:18.7Z,1,REGULAR,substitution,out,[],1630194,,,1610612755,20,19,2023-05-01T23:47:40Z,560000,False,,,0,,SUB out: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT05M34.00S,2023-05-01T23:47:18.7Z,1,REGULAR,substitution,in,[],1629057,,,1610612755,20,19,2023-05-01T23:47:40Z,570000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT05M34.00S,2023-05-01T23:47:18.7Z,1,REGULAR,substitution,in,[],1629667,,,1610612755,20,19,2023-05-01T23:47:40Z,580000,False,,,0,,SUB in: J. McDaniels,[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT05M34.00S,2023-05-01T23:47:18.7Z,1,REGULAR,substitution,in,[],1629001,,,1610612755,20,19,2023-05-01T23:47:40Z,590000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M11.00S,2023-05-01T23:48:13.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,12.040078843626807,35.53921568627451,1610612755,20,19,2023-05-01T23:48:17Z,600000,False,72.0,61.0,1,left,MISS T. Harris 9' driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Right,9.44,Missed,,,,,,,,,,,,,,,,,,
62,PT05M09.00S,2023-05-01T23:48:15.1Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612738,20,19,2023-05-01T23:48:17Z,610000,False,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,
63,PT05M04.00S,2023-05-01T23:48:19.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,92.85479632063075,52.94117647058824,1610612738,22,19,2023-05-01T23:49:28Z,620000,False,15.0,15.0,1,right,J. Brown cutting DUNK (12 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.08,Made,12.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
65,PT04M44.00S,2023-05-01T23:48:40.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629667,9.937582128777924,64.95098039215686,1610612755,22,19,2023-05-01T23:49:57Z,640000,False,-75.0,41.0,1,left,MISS J. McDaniels 8' floating Shot,[1629667],1610612755.0,PHI,floating,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Left,8.53,Missed,,,,,,,,,,,,,,,,,,
66,PT04M43.00S,2023-05-01T23:48:41.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,22,19,2023-05-01T23:48:47Z,650000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,
67,PT04M37.00S,2023-05-01T23:48:46.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629057,93.64323258869908,46.81372549019608,1610612738,24,19,2023-05-01T23:50:23Z,660000,False,-16.0,7.0,1,right,R. Williams III running alley-oop DUNK (2 PTS) (J. Tatum 2 AST),"[1629057, 1628369]",1610612738.0,BOS,running alley-oop,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,1.75,Made,2.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,
69,PT04M15.00S,2023-05-01T23:49:11.9Z,1,REGULAR,foul,personal,[],1627759,,,1610612755,24,19,2023-05-01T23:49:26Z,680000,False,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 201935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,2004.0,,,,1.0,0.0,Harden,201935.0
71,PT04M15.00S,2023-05-01T23:49:20.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612755,24,19,2023-05-01T23:49:24Z,700000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M15.00S,2023-05-01T23:49:20.4Z,1,REGULAR,substitution,in,[],1629684,,,1610612755,24,19,2023-05-01T23:49:24Z,710000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M04.00S,2023-05-01T23:49:44.2Z,1,REGULAR,2pt,Jump Shot,[],201935,21.895532194480946,31.127450980392158,1610612755,24,21,2023-05-01T23:49:49Z,720000,False,94.0,153.0,1,left,J. Harden 18' step back Jump Shot (14 PTS),[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Mid-Range,16-24 Right Center,18.0,Made,14.0,,,,,,,,,,,,,,,,,
74,PT03M53.00S,2023-05-01T23:49:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.32917214191852,54.41176470588235,1610612738,26,21,2023-05-01T23:49:59Z,730000,False,22.0,20.0,1,right,J. Brown driving Layup (14 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.95,Made,14.0,,,,,,,,,,,,,,,,,
75,PT03M39.00S,2023-05-01T23:50:09.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202699,9.149145860709593,45.588235294117645,1610612755,26,23,2023-05-01T23:50:15Z,740000,False,22.0,34.0,1,left,T. Harris driving DUNK (6 PTS) (J. Harden 1 AST),"[202699, 201935]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,4.01,Made,6.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
77,PT03M25.00S,2023-05-01T23:50:23.2Z,1,REGULAR,3pt,Jump Shot,[],1627763,71.30420499342969,77.69607843137256,1610612738,29,23,2023-05-01T23:51:29Z,760000,False,138.0,217.0,1,right,M. Brogdon 25' 3PT pullup (3 PTS),[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Right Center,25.76,Made,3.0,,,,,,,,,,,,,,,,,
78,PT03M12.00S,2023-05-01T23:50:35.5Z,1,REGULAR,3pt,Jump Shot,[],1629667,15.456636005256241,2.696078431372549,1610612755,29,23,2023-05-01T23:50:45Z,770000,False,237.0,93.0,1,left,MISS J. McDaniels 25' 3PT,[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right,25.41,Missed,,,,,,,,,,,,,,,,,,
79,PT03M10.00S,2023-05-01T23:50:37.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,29,23,2023-05-01T23:50:55Z,780000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Right,,,,,,,78.0,,,,,,,,,,,,,
81,PT03M10.00S,2023-05-01T23:50:52.4Z,1,REGULAR,substitution,out,[],202699,,,1610612755,29,23,2023-05-01T23:51:00Z,800000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT03M10.00S,2023-05-01T23:50:52.4Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,29,23,2023-05-01T23:51:00Z,810000,False,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT02M56.00S,2023-05-01T23:51:22.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201935,14.799605781865965,50.73529411764706,1610612755,29,25,2023-05-01T23:51:26Z,820000,False,-4.0,87.0,1,left,J. Harden 8' driving floating Jump Shot (16 PTS),[201935],1610612755.0,PHI,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,8.67,Made,16.0,,,,,,,,,,,,,,,,,
