actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-05-01T23:33:44.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-05-01T23:33:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-05-01T23:33:47.2Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612755,0,0,2023-05-01T23:33:47Z,40000,False,,,0,,Jump Ball P. Reed vs. A. Horford: Tip to J. Harden,"[201935, 1630194, 201143]",1610612755.0,PHI,startperiod,J. Harden,201935.0,Harden,J. Harden,Reed,1630194.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-05-01T23:34:04.4Z,1,REGULAR,2pt,Jump Shot,[],201935,6.964520367936925,69.140625,1610612755,0,2,2023-05-01T23:34:44Z,70000,False,-96.0,13.0,1,left,J. Harden 9' step back Jump Shot (2 PTS),[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Mid-Range,8-16 Left,9.66,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2023-05-01T23:34:21.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,93.38042049934296,48.03921568627451,1610612738,2,2,2023-05-01T23:34:27Z,80000,False,-10.0,10.0,1,right,J. Tatum cutting DUNK (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.38,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
10,PT11M06.00S,2023-05-01T23:34:36.5Z,1,REGULAR,3pt,Jump Shot,[],1630178,29.77989487516426,15.441176470588236,1610612755,2,2,2023-05-01T23:35:26Z,100000,False,173.0,227.0,1,left,MISS T. Maxey 28' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,28.56,Missed,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2023-05-01T23:34:39.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,2,2023-05-01T23:34:41Z,110000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M46.00S,2023-05-01T23:34:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,93.9060446780552,58.333333333333336,1610612738,4,2,2023-05-01T23:35:02Z,120000,False,42.0,5.0,1,right,A. Horford cutting Layup (2 PTS) (J. Brown 1 AST),"[201143, 1627759]",1610612738.0,BOS,cutting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,4.2,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
14,PT10M33.00S,2023-05-01T23:35:09.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,8.541392904073588,41.50582107843137,1610612755,4,2,2023-05-01T23:35:15Z,140000,False,42.0,28.0,1,left,MISS P. Reed driving Layup - blocked,"[1630194, 201143]",1610612755.0,PHI,driving,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,5.08,Missed,,,,,,,,,Horford,201143.0,,,,,,,,
15,PT10M33.00S,2023-05-01T23:35:09.8Z,1,REGULAR,block,,[],201143,,,1610612755,4,2,2023-05-01T23:35:12Z,150000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M32.00S,2023-05-01T23:35:10.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,2,2023-05-01T23:35:28Z,160000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M27.00S,2023-05-01T23:35:15.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628369,94.1688567674113,53.18627450980392,1610612738,6,2,2023-05-01T23:37:38Z,170000,False,16.0,2.0,1,right,J. Tatum running DUNK (4 PTS) (J. Brown 2 AST),"[1628369, 1627759]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.61,Made,4.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,,
19,PT10M00.00S,2023-05-01T23:35:43.0Z,1,REGULAR,2pt,Jump Shot,[],202699,20.45006570302234,44.85294117647059,1610612755,6,4,2023-05-01T23:35:48Z,190000,False,26.0,140.0,1,left,T. Harris 14' fadeaway Jump Shot (2 PTS),[202699],1610612755.0,PHI,fadeaway,,,Harris,T. Harris,,,,,Mid-Range,8-16 Center,14.2,Made,2.0,,,,,,,,,,,,,,,,,
20,PT09M37.00S,2023-05-01T23:36:08.3Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,6,4,2023-05-01T23:36:15Z,200000,False,,,0,,M. Smart lost ball out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,lost ball,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2714.0,1.0,,,,,,
