actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
494,PT03M20.00S,2023-05-26T02:35:10.3Z,4,REGULAR,substitution,out,[],1627759,,,1610612748,107,88,2023-05-26T02:36:15Z,4850000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
495,PT03M20.00S,2023-05-26T02:35:10.3Z,4,REGULAR,substitution,out,[],1629057,,,1610612748,107,88,2023-05-26T02:36:15Z,4860000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
496,PT03M20.00S,2023-05-26T02:35:10.3Z,4,REGULAR,substitution,out,[],1628997,,,1610612748,107,88,2023-05-26T02:36:15Z,4870000,False,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
497,PT03M20.00S,2023-05-26T02:35:10.3Z,4,REGULAR,substitution,out,[],201567,,,1610612748,107,88,2023-05-26T02:36:15Z,4880000,False,,,0,,SUB out: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
498,PT03M20.00S,2023-05-26T02:35:10.3Z,4,REGULAR,substitution,in,[],1630573,,,1610612748,107,88,2023-05-26T02:36:15Z,4890000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
499,PT03M20.00S,2023-05-26T02:35:10.3Z,4,REGULAR,substitution,in,[],1628436,,,1610612748,107,88,2023-05-26T02:36:15Z,4900000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
500,PT03M20.00S,2023-05-26T02:35:10.3Z,4,REGULAR,substitution,in,[],1630202,,,1610612748,107,88,2023-05-26T02:36:15Z,4910000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
501,PT03M20.00S,2023-05-26T02:35:10.3Z,4,REGULAR,substitution,in,[],1631107,,,1610612748,107,88,2023-05-26T02:36:15Z,4920000,False,,,0,,SUB in: N. Jovic,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,,,,,,,,,,,,,,,,,
502,PT03M20.00S,2023-05-26T02:35:10.3Z,4,REGULAR,substitution,in,[],1630209,,,1610612748,107,88,2023-05-26T02:36:15Z,4930000,False,,,0,,SUB in: O. Yurtseven,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,,,
503,PT03M14.00S,2023-05-26T02:36:21.0Z,4,REGULAR,2pt,DUNK,['pointsinthepaint'],1630209,91.93495400788436,48.529411764705884,1610612748,107,90,2023-05-26T02:36:25Z,4940000,False,-7.0,23.0,1,right,O. Yurtseven cutting DUNK (2 PTS) (D. Robinson 8 AST),"[1630209, 1629130]",1610612748.0,MIA,cutting,,,Yurtseven,O. Yurtseven,,,,,Restricted Area,0-8 Center,,,,2.44,Made,2.0,D. Robinson,1629130.0,8.0,,,,,,,,,,,
