actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
301,PT01M07.00S,2023-05-22T01:28:50.8Z,2,REGULAR,3pt,Jump Shot,[],1627759,19.92444152431012,6.127450980392156,1610612738,61,44,2023-05-22T01:28:54Z,2870000,False,219.0,135.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.75,Missed,,,,,,,,,,,,,,,,,,
302,PT01M04.00S,2023-05-22T01:28:53.8Z,2,REGULAR,rebound,defensive,[],1629622,,,1610612748,61,44,2023-05-22T01:28:54Z,2880000,False,,,0,,M. Strus REBOUND (Off:0 Def:3),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,301.0,3.0,3.0,0.0,,,,,,,,,,,,,,
303,PT00M43.10S,2023-05-22T01:29:15.0Z,2,REGULAR,2pt,Jump Shot,[],202710,94.03745072273325,83.33333333333334,1610612748,61,44,2023-05-22T01:29:22Z,2890000,False,167.0,4.0,1,right,MISS J. Butler 16' pullup Shot,[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right,16.67,Missed,,,,,,,,,,,,,,,,,,
304,PT00M40.60S,2023-05-22T01:29:17.5Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,61,44,2023-05-22T01:29:22Z,2900000,False,,,0,,J. Tatum REBOUND (Off:2 Def:7),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right,,,303.0,9.0,7.0,2.0,,,,,,,,,,,,,,
306,PT00M35.40S,2023-05-22T01:29:46.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,9.543363994743759,41.66666666666667,1610612738,61,46,2023-05-22T01:29:51Z,2920000,False,42.0,37.0,1,left,M. Smart driving floating Jump Shot (3 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,5.59,Made,,,,,3.0,J. Brown,1627759.0,1.0,,,,,,,,,,
308,PT00M24.70S,2023-05-22T01:29:57.4Z,2,REGULAR,3pt,Jump Shot,[],1629622,71.82982917214193,16.911764705882355,1610612748,61,46,2023-05-22T01:30:02Z,2940000,False,-165.0,212.0,1,right,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,26.91,Missed,,,,,,,,,,,,,,,,,,
309,PT00M22.80S,2023-05-22T01:29:59.3Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,61,46,2023-05-22T01:30:02Z,2950000,False,,,0,,J. Tatum REBOUND (Off:2 Def:8),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,308.0,10.0,8.0,2.0,,,,,,,,,,,,,,
310,PT00M08.50S,2023-05-22T01:30:13.7Z,2,REGULAR,3pt,Jump Shot,[],1627759,8.886333771353483,3.6764705882352944,1610612738,61,46,2023-05-22T01:30:18Z,2960000,False,232.0,31.0,1,left,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,23.37,Missed,,,,,,,,,,,,,,,,,,
311,PT00M04.20S,2023-05-22T01:30:18.0Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,61,46,2023-05-22T01:30:55Z,2970000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,,,310.0,3.0,3.0,0.0,,,,,,,,,,,,,,
312,PT00M00.20S,2023-05-22T01:30:23.2Z,2,REGULAR,2pt,Jump Shot,[],202710,92.59198423127464,90.93137254901961,1610612748,61,46,2023-05-22T01:43:57Z,2980000,False,205.0,17.0,1,right,MISS J. Butler 20' fadeaway Shot,[202710],1610612748.0,MIA,fadeaway,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right,20.54,Missed,,,,,,,,,,,,,,,,,,
