actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-07T23:41:04.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-07T23:41:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-07T23:41:07.5Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2022-10-07T23:41:07Z,40000,,,0,,Jump Ball M. Plumlee vs. N. Vonleh: Tip to L. Ball,"[1630163, 203486, 203943]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Vonleh,203943.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-10-07T23:41:17.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629023,93.74178712220763,50.245098039215684,1610612766,0,0,2022-10-07T23:41:22Z,70000,1.0,6.0,1,right,MISS P. Washington DUNK,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,0.64,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-10-07T23:41:19.6Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,0,0,2022-10-07T23:41:19Z,80000,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2022-10-07T23:41:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,7.539421813403408,49.01960784313726,1610612738,0,2,2022-10-07T23:45:10Z,90000,5.0,18.0,1,left,D. White driving Layup (2 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,1.9,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M24.00S,2022-10-07T23:41:40.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,91.63929040735874,52.69607843137255,1610612766,2,2,2022-10-07T23:46:06Z,100000,13.0,26.0,1,right,M. Plumlee cutting DUNK (2 PTS) (L. Ball 1 AST),"[203486, 1630163]",1610612766.0,CHA,cutting,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,2.94,Made,,,,,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,
12,PT11M04.00S,2022-10-07T23:42:00.5Z,1,REGULAR,foul,offensive,[],203943,,,1610612738,2,2,2022-10-07T23:42:08Z,120000,,,0,,N. Vonleh offensive FOUL (1 PF),"[203943, 1626179]",1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Mid-Range,8-16 Left,,,,,,,,,,,2534.0,1.0,0.0,Rozier,1626179.0,,,,,
14,PT11M04.00S,2022-10-07T23:42:00.5Z,1,REGULAR,turnover,offensive foul,[],203943,,,1610612738,2,2,2022-10-07T23:42:00Z,140000,,,0,,N. Vonleh offensive foul TURNOVER (1 TO),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Mid-Range,8-16 Left,,,,,,,,,,,2534.0,,,,,1.0,,,,
15,PT10M37.00S,2022-10-07T23:42:26.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626162,84.4119579500657,39.4607843137255,1610612766,2,2,2022-10-07T23:47:18Z,150000,-53.0,94.0,1,right,MISS K. Oubre Jr. 10' pullup Shot,[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.78,Missed,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2022-10-07T23:42:28.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,2,2022-10-07T23:42:28Z,160000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M35.00S,2022-10-07T23:42:36.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,30.798291721419176,73.0392156862745,1610612738,2,2,2022-10-07T23:42:40Z,170000,-115.0,237.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.35,Missed,,,,,,,,,,,,,,,,,,
18,PT10M35.00S,2022-10-07T23:42:36.0Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,2,2,2022-10-07T23:42:40Z,180000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M31.00S,2022-10-07T23:42:46.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,89.53679369250986,63.23529411764706,1610612766,2,2,2022-10-07T23:43:00Z,190000,66.0,46.0,1,right,MISS L. Ball 8' floating Shot,[1630163],1610612766.0,CHA,floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Right,8.06,Missed,,,,,,,,,,,,,,,,,,
