actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
20,PT10M27.00S,2022-10-07T23:42:50.5Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,2,2,2022-10-07T23:43:00Z,200000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),8-16 Right,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M24.00S,2022-10-07T23:42:53.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626179,92.95335085413929,49.50980392156863,1610612766,4,2,2022-10-07T23:43:04Z,210000,-2.0,14.0,1,right,T. Rozier Layup (2 PTS) (M. Plumlee 1 AST),"[1626179, 203486]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,2.0,M. Plumlee,203486.0,1.0,,,,,,,,,,
23,PT10M08.00S,2022-10-07T23:43:08.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,26.72470433639947,18.137254901960787,1610612738,4,2,2022-10-07T23:43:12Z,230000,159.0,199.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,25.47,Missed,,,,,,,,,,,,,,,,,,
24,PT10M06.00S,2022-10-07T23:43:10.9Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,4,2,2022-10-07T23:43:10Z,240000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M55.00S,2022-10-07T23:43:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,94.3988173455979,52.94117647058824,1610612766,6,2,2022-10-07T23:43:27Z,250000,15.0,0.0,1,right,L. Ball driving Layup (2 PTS),[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,2.0,,,,,,,,,,,,,
26,PT09M42.00S,2022-10-07T23:43:34.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,25.936268068331145,17.40196078431373,1610612738,6,5,2022-10-07T23:43:40Z,260000,163.0,191.0,1,left,J. Brown 25' 3PT  (3 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.13,Made,,,,,3.0,D. White,1628401.0,1.0,,,,,,,,,,
28,PT09M42.00S,2022-10-07T23:43:40.3Z,1,REGULAR,foul,personal,['1freethrow'],1626162,,,1610612738,6,5,2022-10-07T23:45:38Z,280000,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Brown 1 FT),"[1626162, 1627759]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1628485.0,1.0,0.0,Brown,1627759.0,,,,,
30,PT09M42.00S,2022-10-07T23:44:14.4Z,1,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,6,6,2022-10-07T23:45:27Z,300000,,,0,,J. Brown Free Throw 1 of 1 (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
31,PT09M42.00S,2022-10-07T23:44:27.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,94.3988173455979,50.49019607843137,1610612766,6,6,2022-10-07T23:44:34Z,310000,2.0,0.0,1,right,MISS P. Washington cutting Layup,[1629023],1610612766.0,CHA,cutting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,0.25,Missed,,,,,,,,,,,,,,,,,,
32,PT09M42.00S,2022-10-07T23:44:29.2Z,1,REGULAR,rebound,defensive,[],203943,,,1610612738,6,6,2022-10-07T23:44:29Z,320000,,,0,,N. Vonleh REBOUND (Off:0 Def:1),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT09M42.00S,2022-10-07T23:44:34.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628401,7.670827858081481,48.774509803921575,1610612738,6,8,2022-10-07T23:50:30Z,330000,6.0,20.0,1,left,D. White running Layup (4 PTS),[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,Restricted Area,0-8 Center,2.05,Made,,,,,4.0,,,,,,,,,,,,,
35,PT09M10.00S,2022-10-07T23:45:10.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,92.82194480946123,3.67647058823529,1610612766,9,8,2022-10-07T23:46:54Z,350000,-232.0,15.0,1,right,L. Ball 3PT  (5 PTS) (T. Rozier 1 AST),"[1630163, 1626179]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,23.21,Made,,,,,5.0,T. Rozier,1626179.0,1.0,,,,,,,,,,
37,PT08M47.00S,2022-10-07T23:45:28.2Z,1,REGULAR,foul,personal,[],1630163,,,1610612738,9,8,2022-10-07T23:45:42Z,370000,,,0,,L. Ball personal FOUL (1 PF),"[1630163, 1628401]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,2534.0,1.0,0.0,White,1628401.0,,,,,
39,PT08M43.00S,2022-10-07T23:45:52.0Z,1,REGULAR,foul,offensive,[],203943,,,1610612738,9,8,2022-10-07T23:45:59Z,390000,,,0,,N. Vonleh offensive FOUL (2 PF),"[203943, 1626179]",1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,203592.0,2.0,0.0,Rozier,1626179.0,,,,,
41,PT08M43.00S,2022-10-07T23:45:52.0Z,1,REGULAR,turnover,offensive foul,[],203943,,,1610612738,9,8,2022-10-07T23:45:52Z,410000,,,0,,N. Vonleh offensive foul TURNOVER (2 TO),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,203592.0,,,,,2.0,,,,
42,PT08M27.00S,2022-10-07T23:46:21.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630163,92.42772667542707,51.71568627450981,1610612766,9,8,2022-10-07T23:46:29Z,420000,9.0,19.0,1,right,MISS L. Ball Layup,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,2.06,Missed,,,,,,,,,,,,,,,,,,
43,PT08M27.00S,2022-10-07T23:46:21.8Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,9,8,2022-10-07T23:46:29Z,430000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,,,
44,PT08M23.00S,2022-10-07T23:46:25.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626162,94.40999984741211,50.0,1610612766,11,8,2022-10-07T23:46:25Z,440000,0.0,0.0,1,right,K. Oubre Jr. tip Layup (2 PTS),[1626162],1610612766.0,CHA,tip,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
45,PT08M14.00S,2022-10-07T23:46:40.0Z,1,REGULAR,foul,personal,['2freethrow'],1630163,,,1610612738,11,8,2022-10-07T23:46:49Z,450000,,,0,,L. Ball shooting personal FOUL (2 PF) (White 2 FT),"[1630163, 1628401]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1628485.0,2.0,0.0,White,1628401.0,,,,,
47,PT08M14.00S,2022-10-07T23:47:01.0Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,11,9,2022-10-07T23:47:01Z,470000,,,0,,D. White Free Throw 1 of 2 (5 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
48,PT08M14.00S,2022-10-07T23:47:17.5Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,11,10,2022-10-07T23:47:17Z,480000,,,0,,D. White Free Throw 2 of 2 (6 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
49,PT08M08.00S,2022-10-07T23:47:30.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,82.44086727989487,49.01960784313726,1610612766,13,10,2022-10-07T23:47:34Z,490000,-5.0,113.0,1,right,L. Ball 11' floating Jump Shot (7 PTS),[1630163],1610612766.0,CHA,floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,11.27,Made,,,,,7.0,,,,,,,,,,,,,
50,PT07M59.00S,2022-10-07T23:47:39.3Z,1,REGULAR,turnover,bad pass,[],1630573,,,1610612738,13,10,2022-10-07T23:47:44Z,500000,,,0,,S. Hauser bad pass TURNOVER (1 TO),"[1630573, 1630163]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Ball,1630163.0,,
51,PT07M59.00S,2022-10-07T23:47:39.3Z,1,REGULAR,steal,,[],1630163,,,1610612766,13,10,2022-10-07T23:47:40Z,510000,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
52,PT07M55.00S,2022-10-07T23:47:43.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,94.26741130091985,48.529411764705884,1610612766,15,10,2022-10-07T23:54:58Z,520000,-7.0,1.0,1,right,K. Oubre Jr. running Layup (4 PTS) (L. Ball 2 AST),"[1626162, 1630163]",1610612766.0,CHA,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,0.75,Made,,,,,4.0,L. Ball,1630163.0,2.0,,,,,,,,,,
54,PT07M52.00S,2022-10-07T23:47:46.3Z,1,REGULAR,foul,personal,['1freethrow'],1630573,,,1610612766,15,10,2022-10-07T23:47:57Z,540000,,,0,,S. Hauser shooting personal FOUL (1 PF) (Oubre Jr. 1 FT),"[1630573, 1626162]",1610612738.0,BOS,shooting,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1628485.0,1.0,0.0,Oubre Jr.,1626162.0,,,,,
56,PT07M52.00S,2022-10-07T23:48:13.0Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1626162,,,1610612766,16,10,2022-10-07T23:48:13Z,560000,,,0,,K. Oubre Jr. Free Throw 1 of 1 (5 PTS),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
57,PT07M42.00S,2022-10-07T23:48:25.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,30.929697766097235,75.49019607843138,1610612738,16,13,2022-10-07T23:48:30Z,570000,-127.0,238.0,1,left,J. Brown 27' 3PT  (7 PTS) (S. Hauser 1 AST),"[1627759, 1630573]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,27.02,Made,,,,,7.0,S. Hauser,1630573.0,1.0,,,,,,,,,,
59,PT07M30.00S,2022-10-07T23:48:38.0Z,1,REGULAR,2pt,Jump Shot,[],1630163,94.00459921156373,79.65686274509804,1610612766,18,13,2022-10-07T23:48:43Z,590000,148.0,4.0,1,right,L. Ball 14' pullup Jump Shot (9 PTS),[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Mid-Range,8-16 Right,14.84,Made,,,,,9.0,,,,,,,,,,,,,
60,PT07M18.00S,2022-10-07T23:48:50.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,32.637976346911955,65.68627450980392,1610612738,18,13,2022-10-07T23:48:55Z,600000,-78.0,254.0,1,left,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,26.61,Missed,,,,,,,,,,,,,,,,,,
61,PT07M14.00S,2022-10-07T23:48:53.9Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,18,13,2022-10-07T23:48:53Z,610000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:2),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,,,60.0,3.0,2.0,1.0,,,,,,,,,,,,,,
62,PT07M07.00S,2022-10-07T23:49:06.0Z,1,REGULAR,foul,personal,[],1629684,,,1610612766,18,13,2022-10-07T23:49:13Z,620000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 1629023]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2534.0,1.0,0.0,Washington,1629023.0,,,,,
64,PT06M57.00S,2022-10-07T23:49:38.2Z,1,REGULAR,3pt,Jump Shot,[],1629023,67.9862023653088,55.14705882352941,1610612766,21,13,2022-10-07T23:49:43Z,640000,26.0,248.0,1,right,P. Washington 24' 3PT  (3 PTS) (L. Ball 3 AST),"[1629023, 1630163]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,24.97,Made,,,,,3.0,L. Ball,1630163.0,3.0,,,,,,,,,,
66,PT06M43.00S,2022-10-07T23:49:52.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203943,9.247700394218143,49.50980392156863,1610612738,21,15,2022-10-07T23:59:23Z,660000,2.0,34.0,1,left,N. Vonleh Hook (2 PTS) (S. Hauser 2 AST),"[203943, 1630573]",1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,3.45,Made,,,,,2.0,S. Hauser,1630573.0,2.0,,,,,,,,,,
68,PT06M28.00S,2022-10-07T23:50:07.1Z,1,REGULAR,3pt,Jump Shot,[],1626162,68.9060446780552,27.450980392156865,1610612766,21,15,2022-10-07T23:50:11Z,680000,-113.0,240.0,1,right,MISS K. Oubre Jr. 26' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,26.5,Missed,,,,,,,,,,,,,,,,,,
69,PT06M26.00S,2022-10-07T23:50:09.2Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612766,21,15,2022-10-07T23:50:09Z,690000,,,0,,T. Rozier REBOUND (Off:1 Def:0),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,68.0,1.0,0.0,1.0,,,,,,,,,,,,,,
70,PT06M14.00S,2022-10-07T23:50:21.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626179,94.3988173455979,54.90196078431372,1610612766,21,15,2022-10-07T23:50:27Z,700000,25.0,0.0,1,right,MISS T. Rozier driving Layup,[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
71,PT06M12.00S,2022-10-07T23:50:22.8Z,1,REGULAR,rebound,defensive,[],203943,,,1610612738,21,15,2022-10-07T23:50:22Z,710000,,,0,,N. Vonleh REBOUND (Off:0 Def:2),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,,,
72,PT06M08.00S,2022-10-07T23:50:27.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628401,5.831143232588701,49.01960784313726,1610612738,21,17,2022-10-07T23:50:33Z,720000,5.0,2.0,1,left,D. White running Layup (8 PTS),[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,Restricted Area,0-8 Center,0.54,Made,,,,,8.0,,,,,,,,,,,,,
73,PT06M01.00S,2022-10-07T23:50:34.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,74.55650459921156,16.42156862745098,1610612766,21,17,2022-10-07T23:50:39Z,730000,-168.0,187.0,1,right,MISS L. Ball 25' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,25.11,Missed,,,,,,,,,,,,,,,,,,
74,PT05M57.00S,2022-10-07T23:50:38.4Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612766,21,17,2022-10-07T23:50:38Z,740000,,,0,,T. Rozier REBOUND (Off:2 Def:0),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,73.0,2.0,0.0,2.0,,,,,,,,,,,,,,
75,PT05M48.00S,2022-10-07T23:50:47.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630163,76.39618922470433,12.5,1610612766,24,17,2022-10-07T23:50:50Z,750000,-188.0,169.0,1,right,L. Ball 25' 3PT  (12 PTS) (T. Rozier 2 AST),"[1630163, 1626179]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,25.27,Made,,,,,12.0,T. Rozier,1626179.0,2.0,,,,,,,,,,
77,PT05M35.00S,2022-10-07T23:50:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.4881734559789805,46.32352941176471,1610612738,24,17,2022-10-07T23:51:05Z,770000,18.0,8.0,1,left,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.03,Missed,,,,,,,,,,,,,,,,,,
78,PT05M33.00S,2022-10-07T23:51:01.9Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,24,17,2022-10-07T23:51:01Z,780000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,77.0,2.0,1.0,1.0,,,,,,,,,,,,,,
79,PT05M30.00S,2022-10-07T23:51:05.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626179,70.74572930354796,81.37254901960785,1610612766,24,17,2022-10-08T00:01:27Z,790000,157.0,222.0,1,right,MISS T. Rozier 27' running 3PT,[1626179],1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,27.23,Missed,,,,,,,,,,,,,,,,,,
80,PT05M27.00S,2022-10-07T23:51:08.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,24,17,2022-10-07T23:51:08Z,800000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,79.0,2.0,2.0,0.0,,,,,,,,,,,,,,
81,PT05M19.00S,2022-10-07T23:51:15.8Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,24,17,2022-10-07T23:51:20Z,810000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1629023]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Washington,1629023.0,,
82,PT05M19.00S,2022-10-07T23:51:15.8Z,1,REGULAR,steal,,[],1629023,,,1610612766,24,17,2022-10-07T23:51:17Z,820000,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
83,PT05M15.00S,2022-10-07T23:51:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629023,93.34756898817345,48.529411764705884,1610612766,26,17,2022-10-07T23:51:25Z,830000,-7.0,10.0,1,right,P. Washington running Layup (5 PTS),[1629023],1610612766.0,CHA,running,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,1.24,Made,,,,,5.0,,,,,,,,,,,,,
84,PT04M53.00S,2022-10-07T23:51:42.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,11.48160315374507,48.28431372549019,1610612738,26,17,2022-10-07T23:51:47Z,840000,9.0,55.0,1,left,MISS G. Williams driving Layup - blocked,"[1629684, 203486]",1610612738.0,BOS,driving,,,Williams,G. Williams,,,,,In The Paint (Non-RA),0-8 Center,5.61,Missed,,,,,,,,,,,,,,,,,Plumlee,203486.0
85,PT04M53.00S,2022-10-07T23:51:42.6Z,1,REGULAR,block,,[],203486,,,1610612738,26,17,2022-10-07T23:51:46Z,850000,,,0,,M. Plumlee BLOCK (1 BLK),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
