actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
15,PT10M49.00S,2023-04-25T23:37:09.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201143,91.80354796320631,66.17647058823529,1610612738,2,5,2023-04-25T23:37:15Z,150000,False,81.0,25.0,1,right,MISS A. Horford 8' driving floating bank Shot,[201143],1610612738.0,BOS,driving floating bank,,,Horford,A. Horford,,,,,Mid-Range,8-16 Right,8.45,Missed,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2023-04-25T23:37:12.1Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,2,5,2023-04-25T23:37:15Z,160000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Right,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M26.00S,2023-04-25T23:37:31.7Z,1,REGULAR,2pt,Hook,[],203991,10.463206307490145,69.6078431372549,1610612737,2,5,2023-04-25T23:37:38Z,170000,False,-98.0,46.0,1,left,MISS C. Capela 10' driving Hook,[203991],1610612737.0,ATL,driving,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,10.82,Missed,,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2023-04-25T23:37:33.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,5,2023-04-25T23:37:38Z,180000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT10M18.00S,2023-04-25T23:37:39.9Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627759,89.96386333771353,12.745098039215685,1610612738,4,5,2023-04-25T23:37:54Z,190000,False,-186.0,42.0,1,right,J. Brown 19' turnaround fadeaway Jump Shot (2 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left,19.09,Made,2.0,,,,,,,J. Tatum,1628369.0,1.0,,,,,,,,
21,PT10M08.00S,2023-04-25T23:37:50.2Z,1,REGULAR,3pt,Jump Shot,[],1628381,14.011169513797633,97.05882352941177,1610612737,4,5,2023-04-25T23:37:56Z,210000,False,-235.0,79.0,1,left,MISS J. Collins 24' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Left Corner 3,24+ Left,24.83,Missed,,,,,,,,,,,,,,,,,,
22,PT10M08.00S,2023-04-25T23:37:50.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,5,2023-04-25T23:37:56Z,220000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT09M58.00S,2023-04-25T23:37:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.77463863337714,60.78431372549019,1610612738,6,5,2023-04-25T23:38:05Z,230000,False,54.0,6.0,1,right,J. Brown driving Layup (4 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.42,Made,4.0,,,,,,,,,,,,,,,,,
24,PT09M48.00S,2023-04-25T23:38:16.0Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,6,5,2023-04-25T23:38:26Z,240000,False,,,0,,T. Young lost ball out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,lost ball,,,Young,T. Young,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,2004.0,1.0,,,,,,
25,PT09M37.00S,2023-04-25T23:38:30.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,73.40670170827858,13.480392156862745,1610612738,6,5,2023-04-25T23:38:35Z,250000,False,-183.0,197.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.9,Missed,,,,,,,,,,,,,,,,,,
26,PT09M34.00S,2023-04-25T23:38:33.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,6,5,2023-04-25T23:38:35Z,260000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Left Center,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,
27,PT09M27.00S,2023-04-25T23:38:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,18.873193166885677,42.15686274509804,1610612737,6,5,2023-04-25T23:39:27Z,270000,False,39.0,125.0,1,left,MISS T. Young 13' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,13.09,Missed,,,,,,,,,,,,,,,,,,
28,PT09M26.00S,2023-04-25T23:38:42.8Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,6,5,2023-04-25T23:39:27Z,280000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,
29,PT09M17.00S,2023-04-25T23:38:49.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,87.99277266754271,3.9215686274509802,1610612738,9,5,2023-04-25T23:39:03Z,290000,False,-230.0,60.0,1,right,M. Smart 3PT running (3 PTS) (A. Horford 1 AST),"[203935, 201143]",1610612738.0,BOS,running,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,23.82,Made,3.0,,,,,,,A. Horford,201143.0,1.0,,,,,,,,
31,PT09M00.00S,2023-04-25T23:39:07.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,8.147174770039427,48.778339460784316,1610612737,9,7,2023-04-25T23:42:01Z,310000,False,6.0,24.0,1,left,C. Capela alley-oop Layup (2 PTS) (B. Bogdanovic 1 AST),"[203991, 203992]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,2.49,Made,2.0,,,,,,,B. Bogdanovic,203992.0,1.0,,,,,,,,
33,PT08M41.00S,2023-04-25T23:39:26.1Z,1,REGULAR,2pt,Jump Shot,[],201143,84.62549277266754,91.19944852941177,1610612738,9,7,2023-04-25T23:45:07Z,330000,False,206.0,92.0,1,right,MISS A. Horford 22' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,16-24 Right,22.56,Missed,,,,,,,,,,,,,,,,,,
34,PT08M39.00S,2023-04-25T23:39:28.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,9,7,2023-04-25T23:39:33Z,340000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,33.0,,,,,,,,,,,,,,,,
36,PT08M26.00S,2023-04-25T23:39:55.9Z,1,REGULAR,2pt,Jump Shot,[],1629027,21.76412614980289,35.294117647058826,1610612737,9,9,2023-04-25T23:40:05Z,360000,False,74.0,152.0,1,left,T. Young 16' turnaround fadeaway Jump Shot (7 PTS),[1629027],1610612737.0,ATL,turnaround fadeaway,,,Young,T. Young,,,,,Mid-Range,16-24 Right Center,16.89,Made,7.0,,,,,,,,,,,,,,,,,
37,PT08M12.00S,2023-04-25T23:40:09.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.9862023653088,45.588235294117645,1610612738,11,9,2023-04-25T23:40:14Z,370000,False,-22.0,13.0,1,right,J. Brown driving Layup (6 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.58,Made,6.0,,,,,,,,,,,,,,,,,
38,PT07M55.00S,2023-04-25T23:40:26.4Z,1,REGULAR,2pt,Jump Shot,[],1628381,12.171484888304862,33.33333333333333,1610612737,11,9,2023-04-25T23:40:34Z,380000,False,83.0,62.0,1,left,MISS J. Collins 10' Jump Shot,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,10.38,Missed,,,,,,,,,,,,,,,,,,
39,PT07M51.00S,2023-04-25T23:40:30.4Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,11,9,2023-04-25T23:41:28Z,390000,False,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Right,,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,
40,PT07M50.00S,2023-04-25T23:40:31.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203991,5.590000152587891,50.0,1610612737,11,9,2023-04-25T23:41:17Z,400000,False,0.0,0.0,1,left,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
41,PT07M49.00S,2023-04-25T23:40:32.5Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,11,9,2023-04-25T23:41:17Z,410000,False,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,40.0,1.0,0.0,1.0,,,,,,,,,,,,,
42,PT07M49.00S,2023-04-25T23:40:32.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,5.590000152587891,50.0,1610612737,11,11,2023-04-25T23:40:32Z,420000,False,0.0,0.0,1,left,J. Collins tip Layup (2 PTS),[1628381],1610612737.0,ATL,tip,,,Collins,J. Collins,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
43,PT07M43.00S,2023-04-25T23:40:45.3Z,1,REGULAR,foul,personal,['2freethrow'],203992,,,1610612738,11,11,2023-04-25T23:44:56Z,430000,False,,,0,,B. Bogdanovic shooting personal FOUL (1 PF) (Tatum 2 FT),"[203992, 1628369]",1610612737.0,ATL,shooting,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2004.0,,1.0,0.0,Tatum,1628369.0,,
45,PT07M43.00S,2023-04-25T23:41:07.8Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,12,11,2023-04-25T23:41:07Z,450000,False,,,0,,J. Tatum Free Throw 1 of 2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
46,PT07M43.00S,2023-04-25T23:41:24.0Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,13,11,2023-04-25T23:41:24Z,460000,False,,,0,,J. Tatum Free Throw 2 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
47,PT07M31.00S,2023-04-25T23:41:38.0Z,1,REGULAR,2pt,Jump Shot,[],1629631,20.581471747700395,38.72549019607843,1610612737,13,11,2023-04-25T23:41:44Z,470000,False,56.0,141.0,1,left,MISS D. Hunter 15' turnaround fadeaway Shot,[1629631],1610612737.0,ATL,turnaround fadeaway,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Center,15.19,Missed,,,,,,,,,,,,,,,,,,
48,PT07M28.00S,2023-04-25T23:41:41.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,13,11,2023-04-25T23:41:44Z,480000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Center,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,
49,PT07M24.00S,2023-04-25T23:41:45.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1627759,93.77463863337714,48.529411764705884,1610612738,15,11,2023-04-25T23:42:01Z,490000,False,-7.0,6.0,1,right,J. Brown running DUNK (8 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,0.95,Made,8.0,,,,,,,,,,,,,,,,,
50,PT07M10.00S,2023-04-25T23:41:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,8.886333771353483,47.30392156862745,1610612737,15,13,2023-04-25T23:42:04Z,500000,False,13.0,31.0,1,left,T. Young driving floating Jump Shot (9 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,Restricted Area,0-8 Center,3.38,Made,9.0,,,,,,,,,,,,,,,,,
51,PT06M53.00S,2023-04-25T23:42:15.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,80.50262812089356,36.27450980392157,1610612738,15,13,2023-04-25T23:42:20Z,510000,False,-69.0,131.0,1,right,MISS J. Tatum 14' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,14.77,Missed,,,,,,,,,,,,,,,,,,
52,PT06M51.00S,2023-04-25T23:42:17.6Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,13,2023-04-25T23:42:20Z,520000,False,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,,,,51.0,3.0,2.0,1.0,,,,,,,,,,,,,
53,PT06M40.00S,2023-04-25T23:42:28.9Z,1,REGULAR,3pt,Jump Shot,[],1629631,14.273981603153747,3.431372549019608,1610612737,15,16,2023-04-25T23:42:33Z,530000,False,233.0,82.0,1,left,D. Hunter 24' 3PT  (3 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Right Corner 3,24+ Right,24.67,Made,3.0,,,,,,,T. Young,1629027.0,1.0,,,,,,,,
55,PT06M16.00S,2023-04-25T23:42:52.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,88.64980289093299,96.32352941176471,1610612738,18,16,2023-04-25T23:42:57Z,550000,False,232.0,54.0,1,right,J. Brown 3PT  (11 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,23.79,Made,11.0,,,,,,,D. White,1628401.0,1.0,,,,,,,,
57,PT05M59.00S,2023-04-25T23:43:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,7.5722733245729295,55.392156862745104,1610612737,18,18,2023-04-25T23:43:16Z,570000,False,-27.0,19.0,1,left,C. Capela driving reverse Layup (4 PTS) (B. Bogdanovic 2 AST),"[203991, 203992]",1610612737.0,ATL,driving reverse,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,3.28,Made,4.0,,,,,,,B. Bogdanovic,203992.0,2.0,,,,,,,,
58,PT05M36.00S,2023-04-25T23:43:32.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,87.99277266754271,95.58823529411765,1610612738,18,18,2023-04-25T23:48:26Z,580000,False,228.0,60.0,1,right,MISS J. Brown step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,23.58,Missed,,,,,,,,,,,,,,,,,,
59,PT05M33.00S,2023-04-25T23:43:35.7Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,18,18,2023-04-25T23:43:36Z,590000,False,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Right Corner 3,24+ Right,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,
60,PT05M24.00S,2023-04-25T23:43:46.1Z,1,REGULAR,3pt,Jump Shot,[],203992,19.398817345597898,93.87254901960785,1610612737,18,18,2023-04-25T23:43:57Z,600000,False,-219.0,130.0,1,left,MISS B. Bogdanovic 25' 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
62,PT05M23.00S,2023-04-25T23:43:47.1Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,18,18,2023-04-25T23:43:57Z,610000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,
63,PT05M17.00S,2023-04-25T23:43:55.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628401,92.3784494086728,43.84957107843137,1610612738,18,18,2023-04-25T23:51:07Z,620000,False,-31.0,19.0,1,right,MISS D. White running Layup - blocked,"[1628401, 203991]",1610612738.0,BOS,running,,,White,D. White,,,,,Restricted Area,0-8 Center,3.62,Missed,,,,,,Capela,203991.0,,,,,,,,,,,
64,PT05M17.00S,2023-04-25T23:43:55.6Z,1,REGULAR,block,,[],203991,,,1610612738,18,18,2023-04-25T23:43:57Z,630000,False,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
65,PT05M15.00S,2023-04-25T23:43:57.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,18,18,2023-04-25T23:44:24Z,640000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,63.0,,,,,,,,,,,,,,,,
67,PT05M14.00S,2023-04-25T23:44:02.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,18,18,2023-04-25T23:44:02Z,660000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M14.00S,2023-04-25T23:47:00.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612737,18,18,2023-04-25T23:47:31Z,670000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M14.00S,2023-04-25T23:47:00.6Z,1,REGULAR,substitution,out,[],203935,,,1610612737,18,18,2023-04-25T23:47:31Z,680000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M14.00S,2023-04-25T23:47:00.6Z,1,REGULAR,substitution,out,[],203992,,,1610612737,18,18,2023-04-25T23:47:31Z,690000,False,,,0,,SUB out: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M14.00S,2023-04-25T23:47:00.6Z,1,REGULAR,substitution,in,[],1627763,,,1610612737,18,18,2023-04-25T23:47:31Z,700000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M14.00S,2023-04-25T23:47:00.6Z,1,REGULAR,substitution,in,[],1629057,,,1610612737,18,18,2023-04-25T23:47:31Z,710000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M14.00S,2023-04-25T23:47:00.6Z,1,REGULAR,substitution,in,[],1630180,,,1610612737,18,18,2023-04-25T23:47:31Z,720000,False,,,0,,SUB in: S. Bey,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M03.00S,2023-04-25T23:47:53.6Z,1,REGULAR,3pt,Jump Shot,[],1629027,29.517082785808146,83.33333333333334,1610612737,18,18,2023-04-25T23:47:58Z,730000,False,-167.0,225.0,1,left,MISS T. Young 28' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,28.0,Missed,,,,,,,,,,,,,,,,,,
75,PT05M00.00S,2023-04-25T23:47:56.6Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,18,18,2023-04-25T23:47:58Z,740000,False,,,0,,D. White REBOUND (Off:0 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,74.0,3.0,3.0,0.0,,,,,,,,,,,,,
76,PT04M49.00S,2023-04-25T23:48:08.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,93.64323258869908,49.50980392156863,1610612738,20,18,2023-04-25T23:48:12Z,750000,False,-2.0,7.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (D. White 2 AST),"[1629057, 1628401]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,0.77,Made,2.0,,,,,,,D. White,1628401.0,2.0,,,,,,,,
78,PT04M39.00S,2023-04-25T23:48:18.1Z,1,REGULAR,3pt,Jump Shot,[],1628381,28.86005256241787,82.1078431372549,1610612737,20,21,2023-04-25T23:48:22Z,770000,False,-161.0,219.0,1,left,J. Collins 27' 3PT  (5 PTS) (T. Young 2 AST),"[1628381, 1629027]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,27.14,Made,5.0,,,,,,,T. Young,1629027.0,2.0,,,,,,,,
80,PT04M25.00S,2023-04-25T23:48:32.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,87.20433639947439,47.30392156862745,1610612738,22,21,2023-04-25T23:48:37Z,790000,False,-13.0,68.0,1,right,D. White 6' driving floating Jump Shot (2 PTS) (A. Horford 2 AST),"[1628401, 201143]",1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,6.91,Made,2.0,,,,,,,A. Horford,201143.0,2.0,,,,,,,,
82,PT04M15.00S,2023-04-25T23:48:45.4Z,1,REGULAR,foul,offensive,[],1628381,,,1610612737,22,21,2023-04-25T23:48:55Z,810000,False,,,0,,J. Collins offensive FOUL (1 PF),"[1628381, 1628401]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,201639.0,,1.0,0.0,White,1628401.0,,
