actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-25T23:35:59.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-25T23:35:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-25T23:36:02.0Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2023-04-25T23:36:02Z,40000,False,,,0,,Jump Ball C. Capela vs. A. Horford: Tip to T. Young,"[1629027, 203991, 201143]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2023-04-25T23:36:07.9Z,1,REGULAR,3pt,Jump Shot,[],1629027,35.43035479632063,59.80392156862745,1610612737,0,3,2023-04-25T23:36:26Z,70000,False,-49.0,281.0,1,left,T. Young 28' 3PT pullup (3 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,28.47,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2023-04-25T23:36:28.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.46452036793693,69.6078431372549,1610612738,0,3,2023-04-25T23:36:35Z,80000,False,98.0,235.0,1,right,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,25.42,Missed,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2023-04-25T23:36:29.8Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,0,3,2023-04-25T23:36:35Z,90000,False,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M23.00S,2023-04-25T23:36:35.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,92.72339027595268,59.31372549019608,1610612738,2,3,2023-04-25T23:36:44Z,100000,False,47.0,16.0,1,right,J. Tatum driving Layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,4.92,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2023-04-25T23:36:47.4Z,1,REGULAR,2pt,Jump Shot,[],1629027,25.57490144546649,68.62745098039215,1610612737,2,5,2023-04-25T23:36:53Z,110000,False,-93.0,188.0,1,left,T. Young 20' driving floating Jump Shot (5 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,Mid-Range,16-24 Left Center,20.97,Made,5.0,,,,,,,,,,,,,,,,,
12,PT10M57.00S,2023-04-25T23:37:01.2Z,1,REGULAR,3pt,Jump Shot,[],203935,68.54467805519053,27.205882352941174,1610612738,2,5,2023-04-25T23:37:06Z,120000,False,-114.0,243.0,1,right,MISS M. Smart 26' 3PT - blocked,"[203935, 203992]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,26.86,Missed,,,,,,Bogdanovic,203992.0,,,,,,,,,,,
13,PT10M57.00S,2023-04-25T23:37:01.2Z,1,REGULAR,block,,[],203992,,,1610612738,2,5,2023-04-25T23:37:04Z,130000,False,,,0,,B. Bogdanovic BLOCK (1 BLK),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2023-04-25T23:37:05.2Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,2,5,2023-04-25T23:37:06Z,140000,False,,,0,,M. Smart REBOUND (Off:2 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,12.0,2.0,0.0,2.0,,,,,,,,,,,,,
