actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-14T23:41:02.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-14T23:41:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-14T23:41:04.3Z,1,REGULAR,jumpball,recovered,[],203920,,,1610612761,0,0,2022-10-14T23:41:04Z,40000,,,0,,Jump Ball S. Barnes vs. A. Horford: Tip to K. Birch,"[203920, 1630567, 201143]",1610612761.0,TOR,startperiod,K. Birch,203920.0,Birch,K. Birch,Barnes,1630567.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-10-14T23:41:20.6Z,1,REGULAR,2pt,Jump Shot,[],1630173,7.440867279894875,68.38235294117648,1610612761,0,0,2022-10-14T23:41:27Z,70000,-92.0,17.0,1,left,MISS P. Achiuwa 9' pullup Shot,[1630173],1610612761.0,TOR,pullup,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,8-16 Left,9.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-10-14T23:41:23.6Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,0,0,2022-10-14T23:52:41Z,80000,,,0,,K. Birch REBOUND (Off:1 Def:0),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,Mid-Range,8-16 Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-10-14T23:41:35.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630567,31.09395532194481,24.509803921568626,1610612761,0,0,2022-10-14T23:41:42Z,90000,127.0,240.0,1,left,MISS S. Barnes 27' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,27.16,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-10-14T23:41:39.6Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612761,0,0,2022-10-14T23:41:42Z,100000,,,0,,F. VanVleet REBOUND (Off:1 Def:0),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M14.00S,2022-10-14T23:41:47.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628384,7.703679369250986,54.90196078431373,1610612761,2,0,2022-10-14T23:41:55Z,110000,-25.0,20.0,1,left,O. Anunoby driving Layup (2 PTS) (K. Birch 1 AST),"[1628384, 203920]",1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,3.16,Made,,,,,2.0,K. Birch,203920.0,1.0,,,,,,,,,,
12,PT10M51.00S,2022-10-14T23:42:10.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,91.14651773981603,95.09803921568627,1610612738,2,0,2022-10-14T23:42:14Z,120000,225.0,31.0,1,right,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,22.76,Missed,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2022-10-14T23:42:13.3Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,2,0,2022-10-14T23:42:14Z,130000,,,0,,F. VanVleet REBOUND (Off:1 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Right Corner 3,24+ Right,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,,,
14,PT10M32.00S,2022-10-14T23:42:29.1Z,1,REGULAR,3pt,Jump Shot,[],1628384,34.11629434954008,55.14705882352941,1610612761,5,0,2022-10-14T23:42:33Z,140000,-26.0,268.0,1,left,O. Anunoby 26' 3PT  (5 PTS) (F. VanVleet 1 AST),"[1628384, 1627832]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,26.94,Made,,,,,5.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,
16,PT10M19.00S,2022-10-14T23:42:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.93495400788436,54.41176470588235,1610612738,5,2,2022-10-14T23:42:51Z,160000,22.0,23.0,1,right,J. Brown driving finger roll Layup (2 PTS),[1627759],1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.21,Made,,,,,2.0,,,,,,,,,,,,,
17,PT10M19.00S,2022-10-14T23:42:48.9Z,1,REGULAR,foul,personal,['1freethrow'],203920,,,1610612738,5,2,2022-10-14T23:42:56Z,170000,,,0,,K. Birch shooting personal FOUL (1 PF) (Brown 1 FT),"[203920, 1627759]",1610612761.0,TOR,shooting,,,Birch,K. Birch,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1151.0,1.0,0.0,Brown,1627759.0,,,,,
19,PT10M19.00S,2022-10-14T23:43:08.7Z,1,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,5,2,2022-10-14T23:43:13Z,190000,,,0,,MISS J. Brown Free Throw 1 of 1,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
20,PT10M17.00S,2022-10-14T23:43:10.7Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,5,2,2022-10-14T23:43:13Z,200000,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
22,PT10M09.00S,2022-10-14T23:43:17.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628369,87.33574244415243,50.73529411764706,1610612738,5,4,2022-10-14T23:43:29Z,210000,4.0,67.0,1,right,J. Tatum 6' driving floating Jump Shot (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,6.66,Made,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,,,,
23,PT09M45.00S,2022-10-14T23:43:42.7Z,1,REGULAR,3pt,Jump Shot,[],1627832,25.04927726675427,88.23529411764706,1610612761,5,4,2022-10-14T23:43:48Z,220000,-191.0,183.0,1,left,MISS F. VanVleet 26' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,26.47,Missed,,,,,,,,,,,,,,,,,,
24,PT09M40.00S,2022-10-14T23:43:47.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,4,2022-10-14T23:43:48Z,230000,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,
25,PT09M38.00S,2022-10-14T23:43:50.4Z,1,REGULAR,foul,personal,['2freethrow'],203920,,,1610612738,5,4,2022-10-14T23:44:01Z,240000,,,0,,K. Birch shooting personal FOUL (2 PF) (White 2 FT),"[203920, 1628401]",1610612761.0,TOR,shooting,,,Birch,K. Birch,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204058.0,2.0,0.0,White,1628401.0,,,,,
27,PT09M38.00S,2022-10-14T23:44:15.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628401,,,1610612738,5,5,2022-10-14T23:44:15Z,260000,,,0,,D. White Free Throw 1 of 2 (1 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
28,PT09M38.00S,2022-10-14T23:44:31.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628401,,,1610612738,5,6,2022-10-14T23:44:31Z,270000,,,0,,D. White Free Throw 2 of 2 (2 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
29,PT09M22.00S,2022-10-14T23:44:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,12.565703022339028,47.30392156862745,1610612761,7,6,2022-10-14T23:44:54Z,280000,13.0,66.0,1,left,S. Barnes 6' driving floating Jump Shot (2 PTS),[1630567],1610612761.0,TOR,driving floating,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,6.7,Made,,,,,2.0,,,,,,,,,,,,,
31,PT09M12.00S,2022-10-14T23:44:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,92.46057818659659,42.8921568627451,1610612738,7,6,2022-10-14T23:45:26Z,290000,-36.0,18.0,1,right,MISS D. White driving Layup - blocked,"[1628401, 1628384]",1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,4.0,Missed,,,,,,,,,,,,,,Anunoby,1628384.0,,,
32,PT09M12.00S,2022-10-14T23:44:59.8Z,1,REGULAR,block,,[],1628384,,,1610612738,7,6,2022-10-14T23:45:02Z,300000,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M12.00S,2022-10-14T23:44:59.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,7,6,2022-10-14T23:45:26Z,310000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,31.0,,,,,,,,,,,,,,,,,
35,PT09M06.00S,2022-10-14T23:45:21.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,66.70499342969777,42.64705882352941,1610612738,7,9,2022-10-14T23:45:33Z,330000,-37.0,260.0,1,right,J. Brown 26' 3PT pullup (5 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,26.31,Made,,,,,5.0,A. Horford,201143.0,1.0,,,,,,,,,,
37,PT08M52.00S,2022-10-14T23:45:35.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628384,9.543363994743759,43.627450980392155,1610612761,9,9,2022-10-14T23:45:40Z,350000,32.0,37.0,1,left,O. Anunoby turnaround Hook (7 PTS),[1628384],1610612761.0,TOR,turnaround,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,4.9,Made,,,,,7.0,,,,,,,,,,,,,
38,PT08M31.00S,2022-10-14T23:45:55.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,94.56307490144546,2.941176470588235,1610612738,9,12,2022-10-14T23:46:01Z,360000,-235.0,-1.0,1,right,D. White 3PT  (5 PTS) (J. Brown 1 AST),"[1628401, 1627759]",1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,23.53,Made,,,,,5.0,J. Brown,1627759.0,1.0,,,,,,,,,,
40,PT08M15.00S,2022-10-14T23:46:11.8Z,1,REGULAR,3pt,Jump Shot,[],1630567,26.231931668856767,16.176470588235293,1610612761,9,12,2022-10-14T23:46:16Z,380000,169.0,194.0,1,left,MISS S. Barnes 25' pullup 3PT,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,25.74,Missed,,,,,,,,,,,,,,,,,,
41,PT08M12.00S,2022-10-14T23:46:14.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,12,2022-10-14T23:46:16Z,390000,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,40.0,3.0,2.0,1.0,,,,,,,,,,,,,,
42,PT08M07.00S,2022-10-14T23:46:20.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,93.24901445466492,47.549019607843135,1610612738,9,12,2022-10-14T23:46:27Z,400000,-12.0,11.0,1,right,MISS J. Tatum running Layup,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.65,Missed,,,,,,,,,,,,,,,,,,
43,PT08M05.00S,2022-10-14T23:46:22.5Z,1,REGULAR,rebound,defensive,[],203920,,,1610612761,9,12,2022-10-14T23:46:27Z,410000,,,0,,K. Birch REBOUND (Off:1 Def:1),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,Restricted Area,0-8 Center,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,,,
44,PT07M55.00S,2022-10-14T23:46:34.6Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612761,9,12,2022-10-14T23:46:40Z,420000,,,0,,D. White shooting personal FOUL (1 PF) (Achiuwa 2 FT),"[1628401, 1630173]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204058.0,1.0,0.0,Achiuwa,1630173.0,,,,,
46,PT07M55.00S,2022-10-14T23:46:58.7Z,1,REGULAR,freethrow,1 of 2,[],1630173,,,1610612761,10,12,2022-10-14T23:46:58Z,440000,,,0,,P. Achiuwa Free Throw 1 of 2 (1 PTS),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
47,PT07M55.00S,2022-10-14T23:47:16.6Z,1,REGULAR,freethrow,2 of 2,[],1630173,,,1610612761,11,12,2022-10-14T23:47:16Z,450000,,,0,,P. Achiuwa Free Throw 2 of 2 (2 PTS),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
48,PT07M39.00S,2022-10-14T23:47:34.7Z,1,REGULAR,3pt,Jump Shot,[],1628401,93.38042049934296,2.696078431372549,1610612738,11,15,2022-10-14T23:47:38Z,460000,-237.0,10.0,1,right,D. White 3PT  (8 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,23.67,Made,,,,,8.0,J. Tatum,1628369.0,1.0,,,,,,,,,,
50,PT07M25.00S,2022-10-14T23:47:48.5Z,1,REGULAR,2pt,Jump Shot,[],1628384,5.206964520367937,22.30392156862745,1610612761,13,15,2022-10-14T23:47:52Z,480000,138.0,-4.0,1,left,O. Anunoby 13' pullup Jump Shot (9 PTS) (F. VanVleet 2 AST),"[1628384, 1627832]",1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Right,13.85,Made,,,,,9.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,
52,PT07M13.00S,2022-10-14T23:48:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,94.03745072273325,52.94117647058824,1610612738,13,15,2022-10-14T23:48:09Z,500000,15.0,4.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 203920]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.51,Missed,,,,,,,,,,,,,,Birch,203920.0,,,
53,PT07M13.00S,2022-10-14T23:48:01.1Z,1,REGULAR,block,,[],203920,,,1610612738,13,15,2022-10-14T23:48:03Z,510000,,,0,,K. Birch BLOCK (1 BLK),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
54,PT07M11.00S,2022-10-14T23:48:03.1Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,13,15,2022-10-14T23:48:09Z,520000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,52.0,1.0,0.0,1.0,,,,,,,,,,,,,,
55,PT07M11.00S,2022-10-14T23:48:05.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627759,91.5407358738502,47.794117647058826,1610612738,13,17,2022-10-14T23:48:13Z,530000,-11.0,27.0,1,right,J. Brown turnaround Hook (7 PTS),[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.92,Made,,,,,7.0,,,,,,,,,,,,,
56,PT07M11.00S,2022-10-14T23:48:12.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,13,17,2022-10-14T23:48:12Z,540000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M56.00S,2022-10-14T23:51:06.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,15.193823915900131,55.14705882352941,1610612761,13,17,2022-10-14T23:51:11Z,550000,-26.0,90.0,1,left,MISS O. Anunoby 9' turnaround fadeaway Shot,[1628384],1610612761.0,TOR,turnaround fadeaway,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,9.39,Missed,,,,,,,,,,,,,,,,,,
