actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
58,PT06M53.00S,2022-10-14T23:51:09.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,13,17,2022-10-14T23:51:11Z,560000,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,57.0,4.0,3.0,1.0,,,,,,,,,,,,,,
59,PT06M48.00S,2022-10-14T23:51:13.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,90.62089356110381,94.85294117647058,1610612738,13,17,2022-10-14T23:51:28Z,570000,224.0,36.0,1,right,MISS J. Brown step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,22.71,Missed,,,,,,,,,,,,,,,,,,
60,PT06M46.00S,2022-10-14T23:51:15.5Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,13,17,2022-10-14T23:54:34Z,580000,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Right Corner 3,24+ Right,,,59.0,1.0,0.0,1.0,,,,,,,,,,,,,,
98,PT06M46.00S,2022-10-14T23:51:16.6Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,13,17,2022-10-14T23:55:05Z,585000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627524.0,,,,,,,1.0,,
62,PT06M30.00S,2022-10-14T23:51:40.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630567,9.280551905387648,19.362745098039216,1610612761,13,17,2022-10-14T23:55:46Z,600000,153.0,35.0,1,left,MISS S. Barnes 15' turnaround fadeaway Shot,[1630567],1610612761.0,TOR,turnaround fadeaway,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Right,15.71,Missed,,,,,,,,,,,,,,,,,,
63,PT06M25.00S,2022-10-14T23:51:45.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,13,17,2022-10-14T23:51:46Z,610000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,8-16 Right,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,,
64,PT06M18.00S,2022-10-14T23:51:50.7Z,1,REGULAR,3pt,Jump Shot,[],1628401,82.86793692509855,94.36274509803921,1610612738,13,20,2022-10-14T23:51:56Z,620000,222.0,109.0,1,right,D. White 24' 3PT  (11 PTS) (A. Horford 2 AST),"[1628401, 201143]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,24.69,Made,,,,,11.0,A. Horford,201143.0,2.0,,,,,,,,,,
66,PT06M04.00S,2022-10-14T23:52:05.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,9.149145860709593,54.65686274509803,1610612761,15,20,2022-10-14T23:52:09Z,640000,-23.0,34.0,1,left,O. Anunoby driving Layup (11 PTS),[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,4.08,Made,,,,,11.0,,,,,,,,,,,,,
67,PT05M39.00S,2022-10-14T23:52:31.2Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,15,20,2022-10-14T23:52:34Z,650000,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 1627832]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,2.0,VanVleet,1627832.0
68,PT05M39.00S,2022-10-14T23:52:31.2Z,1,REGULAR,steal,,[],1627832,,,1610612761,15,20,2022-10-14T23:52:33Z,660000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
69,PT05M32.00S,2022-10-14T23:52:36.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203920,7.835085413929041,50.0,1610612761,17,20,2022-10-14T23:57:14Z,670000,0.0,21.0,1,left,K. Birch running DUNK (2 PTS),[203920],1610612761.0,TOR,running,,,Birch,K. Birch,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,2.0,,,,,,,,,,,,,
70,PT05M11.00S,2022-10-14T23:52:58.1Z,1,REGULAR,3pt,Jump Shot,[],1628401,93.77463863337714,3.9215686274509802,1610612738,17,23,2022-10-14T23:53:02Z,680000,-230.0,6.0,1,right,D. White 3PT  (14 PTS) (A. Horford 3 AST),"[1628401, 201143]",1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,23.05,Made,,,,,14.0,A. Horford,201143.0,3.0,,,,,,,,,,
72,PT04M58.00S,2022-10-14T23:53:11.2Z,1,REGULAR,2pt,Jump Shot,[],1628384,20.71287779237845,37.254901960784316,1610612761,17,23,2022-10-14T23:53:16Z,700000,64.0,142.0,1,left,MISS O. Anunoby 15' fadeaway Shot,[1628384],1610612761.0,TOR,fadeaway,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Center,15.58,Missed,,,,,,,,,,,,,,,,,,
73,PT04M56.00S,2022-10-14T23:53:14.1Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,17,23,2022-10-14T23:53:14Z,710000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Center,,,72.0,1.0,0.0,1.0,,,,,,,,,,,,,,
74,PT04M52.00S,2022-10-14T23:53:17.6Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612761,17,23,2022-10-14T23:53:21Z,720000,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 1628401]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,White,1628401.0
75,PT04M52.00S,2022-10-14T23:53:17.6Z,1,REGULAR,steal,,[],1628401,,,1610612738,17,23,2022-10-14T23:53:19Z,730000,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
76,PT04M47.00S,2022-10-14T23:53:22.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,93.38042049934296,49.01960784313725,1610612738,17,25,2022-10-14T23:53:29Z,740000,-5.0,10.0,1,right,J. Tatum running Layup (4 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,4.0,D. White,1628401.0,1.0,,,,,,,,,,
78,PT04M39.00S,2022-10-14T23:53:29.8Z,1,REGULAR,3pt,Jump Shot,[],1628384,6.258212877792378,0.24509803921568626,1610612761,20,25,2022-10-14T23:53:38Z,760000,249.0,6.0,1,left,O. Anunoby 24' 3PT  (14 PTS) (F. VanVleet 3 AST),"[1628384, 1627832]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,24.89,Made,,,,,14.0,F. VanVleet,1627832.0,3.0,,,,,,,,,,
80,PT04M28.00S,2022-10-14T23:53:43.1Z,1,REGULAR,foul,personal,[],1627832,,,1610612738,20,25,2022-10-14T23:53:50Z,780000,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 1628401]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1627524.0,1.0,0.0,White,1628401.0,,,,,
82,PT04M28.00S,2022-10-14T23:53:50.5Z,1,REGULAR,substitution,out,[],1628384,,,1610612738,20,25,2022-10-14T23:54:07Z,800000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M28.00S,2022-10-14T23:53:50.5Z,1,REGULAR,substitution,out,[],1630173,,,1610612738,20,25,2022-10-14T23:54:07Z,810000,,,0,,SUB out: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M28.00S,2022-10-14T23:53:50.5Z,1,REGULAR,substitution,out,[],203920,,,1610612738,20,25,2022-10-14T23:54:07Z,820000,,,0,,SUB out: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M28.00S,2022-10-14T23:53:50.5Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,20,25,2022-10-14T23:54:07Z,830000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M28.00S,2022-10-14T23:53:50.5Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,20,25,2022-10-14T23:54:07Z,840000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M28.00S,2022-10-14T23:53:50.5Z,1,REGULAR,substitution,in,[],1631132,,,1610612738,20,25,2022-10-14T23:54:07Z,850000,,,0,,SUB in: C. Koloko,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
